PeakID (cmd=annotatePeaks.pl development_D1_p05FC1_shared_D1up_melpCoords.bed /work/rpapa/share/REF/Hmel2/Hmel2.fa -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_melpomene_melpomene_Hmel2.gff3 -annStats development_D1_p05FC1_shared_D1up_melpCoords_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
825	Hmel203069	1816161	1816878	+	0	NA	Intergenic	Intergenic	13522	ID=HMEL036258g1.t1-E3;Parent=HMEL036258g1.t1								
389	Hmel213051	277241	277497	+	0	NA	promoter-TSS (ID=HMEL032088g1.t1-E1;Parent=HMEL032088g1.t1)	-promoter-TSS (ID=HMEL032088g1.t1-E1;Parent=HMEL032088g1.t1)	-463	ID=HMEL032088g1.t1-E1;Parent=HMEL032088g1.t1								
129	Hmel201009	4182437	4184033	+	0	NA	Intergenic	Intergenic	2212	ID=HMEL030238g1.t1-E2;Parent=HMEL030238g1.t1								
548	Hmel217020	1336037	1336662	+	0	NA	Intergenic	Intergenic	-2182	ID=HMEL007794g1.t1-E2;Parent=HMEL007794g1.t1								
495	Hmel202006	1192997	1193129	+	0	NA	Intergenic	Intergenic	-3118	ID=HMEL006871g1.t1-E1;Parent=HMEL006871g1.t1								
859	Hmel201007	1331182	1331640	+	0	NA	Intergenic	Intergenic	-5686	ID=HMEL004276g1.t1-E1;Parent=HMEL004276g1.t1								
739	Hmel220005	4216506	4217000	+	0	NA	Intergenic	Intergenic	-3956	ID=HMEL035200g1.t1-E1;Parent=HMEL035200g1.t1								
876	Hmel205020	767310	767500	+	0	NA	Intergenic	Intergenic	-43929	ID=HMEL036806g1.t1-E1;Parent=HMEL036806g1.t1								
662	Hmel219003	6287553	6287792	+	0	NA	Intergenic	Intergenic	-26707	ID=HMEL034692g1.t1-E1;Parent=HMEL034692g1.t1								
418	Hmel214008	310095	310780	+	0	NA	Intergenic	Intergenic	-101205	ID=HMEL008012g1.t1-E1;Parent=HMEL008012g1.t1								
783	Hmel221012	2696321	2696608	+	0	NA	Intergenic	Intergenic	-14559	ID=HMEL035612g1.t1-E1;Parent=HMEL035612g1.t1								
758	Hmel221001	323949	324584	+	0	NA	Intergenic	Intergenic	-2010	ID=HMEL011042g3.t1-E1;Parent=HMEL011042g3.t1								
236	Hmel211004	1579748	1579917	+	0	NA	Intergenic	Intergenic	-2925	ID=HMEL031061g1.t1-E2;Parent=HMEL031061g1.t1								
706	Hmel220003	1531174	1531355	+	0	NA	promoter-TSS (ID=HMEL017038g1.t1-E18;Parent=HMEL017038g1.t1)	-promoter-TSS (ID=HMEL017038g1.t1-E18;Parent=HMEL017038g1.t1)	36	ID=HMEL017038g1.t1-E18;Parent=HMEL017038g1.t1								
218	Hmel201011	1113028	1113369	+	0	NA	Intergenic	Intergenic	-17280	ID=HMEL002506g1.t1-E1;Parent=HMEL002506g1.t1								
168	Hmel210004	5515674	5516421	+	0	NA	Intergenic	Intergenic	-4609	ID=HMEL010484g1.t1-E1;Parent=HMEL010484g1.t1								
135	Hmel209001	223732	224133	+	0	NA	Intergenic	Intergenic	4006	ID=HMEL006100g1.t1-E3;Parent=HMEL006100g1.t1								
14	Hmel206009	799309	799681	+	0	NA	Intergenic	Intergenic	16769	ID=HMEL017103g1.t1-E1;Parent=HMEL017103g1.t1								
348	Hmel212014	62201	62684	+	0	NA	TTS (ID=HMEL031710g1.t1-E1;Parent=HMEL031710g1.t1)	-TTS (ID=HMEL031710g1.t1-E1;Parent=HMEL031710g1.t1)	284	ID=HMEL031710g1.t1-E1;Parent=HMEL031710g1.t1								
145	Hmel201009	5097220	5097474	+	0	NA	Intergenic	Intergenic	7635	ID=HMEL030266g1.t1-E2;Parent=HMEL030266g1.t1								
789	Hmel221015	602014	602576	+	0	NA	promoter-TSS (ID=HMEL008470g1.t1-E5;Parent=HMEL008470g1.t1)	-promoter-TSS (ID=HMEL008470g1.t1-E5;Parent=HMEL008470g1.t1)	-232	ID=HMEL008470g1.t1-E5;Parent=HMEL008470g1.t1								
49	Hmel207002	1782871	1783903	+	0	NA	promoter-TSS (ID=HMEL011244g1.t1-E5;Parent=HMEL011244g1.t1)	-promoter-TSS (ID=HMEL011244g1.t1-E5;Parent=HMEL011244g1.t1)	-130	ID=HMEL011244g1.t1-E5;Parent=HMEL011244g1.t1								
834	Hmel204001	1204921	1205814	+	0	NA	Intergenic	Intergenic	7011	ID=HMEL009716g1.t1-E7;Parent=HMEL009716g1.t1								
178	Hmel210005	324403	324884	+	0	NA	Intergenic	Intergenic	8602	ID=HMEL014116g1.t1-E1;Parent=HMEL014116g1.t1								
285	Hmel212001	1925055	1926632	+	0	NA	exon (ID=HMEL016803g1.t1-E2;Parent=HMEL016803g1.t1, exon 1 of 1)	-exon (ID=HMEL016803g1.t1-E2;Parent=HMEL016803g1.t1, exon 1 of 1)	402	ID=HMEL016803g1.t1-E2;Parent=HMEL016803g1.t1								
772	Hmel221012	502354	503192	+	0	NA	Intergenic	Intergenic	12788	ID=HMEL007774g1.t1-E1;Parent=HMEL007774g1.t1								
124	Hmel208046	23900	24598	+	0	NA	Intergenic	Intergenic	-9488	ID=HMEL038090g1.t1-E1;Parent=HMEL038090g1.t1								
627	Hmel218018	7809945	7810165	+	0	NA	Intergenic	Intergenic	-16512	ID=HMEL016588g4.t1-E1;Parent=HMEL016588g4.t1								
234	Hmel211004	1497884	1498307	+	0	NA	Intergenic	Intergenic	-9048	ID=HMEL015191g1.t1-E1;Parent=HMEL015191g1.t1								
594	Hmel218018	1097056	1097402	+	0	NA	Intergenic	Intergenic	-35675	ID=HMEL016226-RA-E1;Parent=HMEL016226-RA								
715	Hmel220005	727078	727839	+	0	NA	Intergenic	Intergenic	2307	ID=HMEL035058g1.t1-E2;Parent=HMEL035058g1.t1								
23	Hmel206009	3739375	3739908	+	0	NA	promoter-TSS (ID=HMEL014666g1.t1-E3;Parent=HMEL014666g1.t1)	-promoter-TSS (ID=HMEL014666g1.t1-E3;Parent=HMEL014666g1.t1)	-132	ID=HMEL014666g1.t1-E3;Parent=HMEL014666g1.t1								
388	Hmel213051	251671	252397	+	0	NA	Intergenic	Intergenic	-3340	ID=HMEL015898g1.t1-E2;Parent=HMEL015898g1.t1								
364	Hmel213020	229431	229683	+	0	NA	Intergenic	Intergenic	-14225	ID=HMEL004896g1.t1-E1;Parent=HMEL004896g1.t1								
96	Hmel207021	736779	737091	+	0	NA	Intergenic	Intergenic	-2359	ID=HMEL037682g1.t1-E1;Parent=HMEL037682g1.t1								
653	Hmel219003	4472802	4473326	+	0	NA	Intergenic	Intergenic	4258	ID=HMEL013143g1.t1-E7;Parent=HMEL013143g1.t1								
486	Hmel216011	2029841	2030473	+	0	NA	Intergenic	Intergenic	1857	ID=HMEL004406g4.t1-E1;Parent=HMEL004406g4.t1								
509	Hmel217004	122779	122972	+	0	NA	Intergenic	Intergenic	-8353	ID=HMEL033768g1.t1-E1;Parent=HMEL033768g1.t1								
160	Hmel201009	5883109	5884244	+	0	NA	Intergenic	Intergenic	-7016	ID=HMEL002300g1.t1-E1;Parent=HMEL002300g1.t1								
569	Hmel218007	883536	884011	+	0	NA	TTS (ID=HMEL034302g1.t1-E17;Parent=HMEL034302g1.t1)	-TTS (ID=HMEL034302g1.t1-E17;Parent=HMEL034302g1.t1)	788	ID=HMEL034302g1.t1-E17;Parent=HMEL034302g1.t1								
367	Hmel213020	869328	870000	+	0	NA	Intergenic	Intergenic	-13797	ID=HMEL031895g1.t1-E1;Parent=HMEL031895g1.t1								
8	Hmel206006	1922392	1922987	+	0	NA	Intergenic	Intergenic	5569	ID=HMEL036962g1.t1-E3;Parent=HMEL036962g1.t1								
716	Hmel220005	729194	729865	+	0	NA	Intergenic	Intergenic	4378	ID=HMEL035058g1.t1-E2;Parent=HMEL035058g1.t1								
98	Hmel207021	1845131	1845495	+	0	NA	Intergenic	Intergenic	-4436	ID=HMEL037709g1.t1-E1;Parent=HMEL037709g1.t1								
43	Hmel207002	605117	605397	+	0	NA	Intergenic	Intergenic	-3555	ID=HMEL009522g1.t1-E1;Parent=HMEL009522g1.t1								
686	Hmel219014	107523	107953	+	0	NA	promoter-TSS (ID=HMEL012804g1.t1-E2;Parent=HMEL012804g1.t1)	-promoter-TSS (ID=HMEL012804g1.t1-E2;Parent=HMEL012804g1.t1)	-801	ID=HMEL012804g1.t1-E2;Parent=HMEL012804g1.t1								
485	Hmel216011	1867816	1868366	+	0	NA	Intergenic	Intergenic	1266	ID=HMEL010236g1.t1-E1;Parent=HMEL010236g1.t1								
391	Hmel213062	1052853	1053550	+	0	NA	Intergenic	Intergenic	-2638	ID=HMEL032128g1.t1-E1;Parent=HMEL032128g1.t1								
778	Hmel221012	1997687	1999043	+	0	NA	Intergenic	Intergenic	-3948	ID=HMEL017925g1.t1-E1;Parent=HMEL017925g1.t1								
743	Hmel220005	4953278	4953558	+	0	NA	Intergenic	Intergenic	-3742	ID=HMEL035221g1.t1-E1;Parent=HMEL035221g1.t1								
685	Hmel219012	451841	452563	+	0	NA	Intergenic	Intergenic	-8541	ID=HMEL006036g1.t1-E1;Parent=HMEL006036g1.t1								
21	Hmel206009	3371529	3371769	+	0	NA	promoter-TSS (ID=HMEL002657g1.t1-E3;Parent=HMEL002657g1.t1)	-promoter-TSS (ID=HMEL002657g1.t1-E3;Parent=HMEL002657g1.t1)	-403	ID=HMEL002657g1.t2-E3;Parent=HMEL002657g1.t2								
523	Hmel217004	1679661	1679954	+	0	NA	Intergenic	Intergenic	3399	ID=HMEL006827g1.t1-E1;Parent=HMEL006827g1.t1								
720	Hmel220005	1663205	1663558	+	0	NA	Intergenic	Intergenic	2623	ID=HMEL012893g1.t1-E10;Parent=HMEL012893g1.t1								
288	Hmel212001	2688634	2689018	+	0	NA	Intergenic	Intergenic	1238	ID=HMEL016834g2.t1-E5;Parent=HMEL016834g2.t1								
193	Hmel210011	365567	366298	+	0	NA	Intergenic	Intergenic	1773	ID=HMEL013326g1.t1-E3;Parent=HMEL013326g1.t1								
460	Hmel215035	149414	150053	+	0	NA	promoter-TSS (ID=HMEL008705g1.t1-E2;Parent=HMEL008705g1.t1)	-promoter-TSS (ID=HMEL008705g1.t1-E2;Parent=HMEL008705g1.t1)	-626	ID=HMEL008705g1.t1-E2;Parent=HMEL008705g1.t1								
119	Hmel201009	3688532	3689311	+	0	NA	Intergenic	Intergenic	-1166	ID=HMEL012424g2.t1-E1;Parent=HMEL012424g2.t1								
723	Hmel220005	1799459	1799916	+	0	NA	Intergenic	Intergenic	-2740	ID=HMEL014071g1.t1-E1;Parent=HMEL014071g1.t1								
586	Hmel218018	637662	639324	+	0	NA	Intergenic	Intergenic	39543	ID=HMEL017479-RA-E1;Parent=HMEL017479-RA								
453	Hmel215032	114460	114968	+	0	NA	Intergenic	Intergenic	-6866	ID=HMEL016291g1.t1-E1;Parent=HMEL016291g1.t1								
324	Hmel201019	466354	467141	+	0	NA	Intergenic	Intergenic	9534	ID=HMEL033110g1.t1-E2;Parent=HMEL033110g1.t1								
180	Hmel210005	783598	784641	+	0	NA	promoter-TSS (ID=HMEL008542g1.t1-E7;Parent=HMEL008542g1.t1)	-promoter-TSS (ID=HMEL008542g1.t1-E7;Parent=HMEL008542g1.t1)	-377	ID=HMEL008542g1.t1-E7;Parent=HMEL008542g1.t1								
244	Hmel211004	3963555	3963749	+	0	NA	Intergenic	Intergenic	-4249	ID=HMEL015692-RA-E1;Parent=HMEL015692-RA								
637	Hmel218018	9278510	9279921	+	0	NA	promoter-TSS (ID=HMEL003746g1.t1-E2;Parent=HMEL003746g1.t1)	-promoter-TSS (ID=HMEL003746g1.t1-E2;Parent=HMEL003746g1.t1)	46	ID=HMEL003746g1.t1-E2;Parent=HMEL003746g1.t1								
351	Hmel213004	428812	429920	+	0	NA	exon (ID=HMEL017852g1.t1-E1;Parent=HMEL017852g1.t1, exon 1 of 1)	-exon (ID=HMEL017852g1.t1-E1;Parent=HMEL017852g1.t1, exon 1 of 1)	158	ID=HMEL017852g1.t1-E1;Parent=HMEL017852g1.t1								
410	Hmel213069	1141558	1141880	+	0	NA	Intergenic	Intergenic	7165	ID=HMEL032234g1.t1-E2;Parent=HMEL032234g1.t1								
595	Hmel218018	1180833	1181183	+	0	NA	Intergenic	Intergenic	35576	ID=HMEL034361g1.t1-E2;Parent=HMEL034361g1.t1								
246	Hmel201011	2165178	2165979	+	0	NA	Intergenic	Intergenic	-3344	ID=HMEL011425g1.t1-E2;Parent=HMEL011425g1.t1								
690	Hmel219014	1460389	1460769	+	0	NA	Intergenic	Intergenic	-2049	ID=HMEL005122g1.t1-E2;Parent=HMEL005122g1.t1								
488	Hmel216011	2554070	2554684	+	0	NA	Intergenic	Intergenic	-13169	ID=HMEL002813g1.t1-E1;Parent=HMEL002813g1.t1								
61	Hmel207002	4963698	4964115	+	0	NA	Intergenic	Intergenic	17034	ID=HMEL037464g1.t1-E3;Parent=HMEL037464g1.t1								
752	Hmel220011	118157	118471	+	0	NA	Intergenic	Intergenic	1762	ID=HMEL035267g1.t1-E3;Parent=HMEL035267g1.t1								
835	Hmel204001	1209496	1209772	+	0	NA	Intergenic	Intergenic	11278	ID=HMEL009716g1.t1-E7;Parent=HMEL009716g1.t1								
430	Hmel214024	291501	291959	+	0	NA	Intergenic	Intergenic	-2420	ID=HMEL032509g1.t1-E7;Parent=HMEL032509g1.t1								
447	Hmel215006	1492084	1493552	+	0	NA	Intergenic	Intergenic	-1132	ID=HMEL000036-RA-E4;Parent=HMEL000036-RA								
536	Hmel217004	4389356	4389908	+	0	NA	Intergenic	Intergenic	12711	ID=HMEL010081g1.t1-E6;Parent=HMEL010081g1.t1								
379	Hmel213050	14857	15461	+	0	NA	NA	NA	NA	NA								
415	Hmel202004	311367	312679	+	0	NA	Intergenic	Intergenic	4518	ID=HMEL033194g1.t1-E2;Parent=HMEL033194g1.t1								
113	Hmel208019	244357	244572	+	0	NA	Intergenic	Intergenic	-1894	ID=HMEL037907g1.t1-E1;Parent=HMEL037907g1.t1								
152	Hmel209007	4747387	4747679	+	0	NA	Intergenic	Intergenic	12883	ID=HMEL030495g1.t1-E1;Parent=HMEL030495g1.t1								
189	Hmel210009	415361	416282	+	0	NA	promoter-TSS (ID=HMEL005949g1.t1-E1;Parent=HMEL005949g1.t1)	-promoter-TSS (ID=HMEL005949g1.t1-E1;Parent=HMEL005949g1.t1)	-479	ID=HMEL005949g1.t1-E1;Parent=HMEL005949g1.t1								
452	Hmel215017	11457	11788	+	0	NA	Intergenic	Intergenic	-11371	ID=HMEL032714g1.t1-E1;Parent=HMEL032714g1.t1								
342	Hmel212013	2397209	2397440	+	0	NA	Intergenic	Intergenic	9497	ID=HMEL031692g1.t1-E2;Parent=HMEL031692g1.t1								
862	Hmel205012	424615	425116	+	0	NA	Intergenic	Intergenic	21951	ID=HMEL007222g1.t1-E2;Parent=HMEL007222g1.t1								
579	Hmel218013	36273	36562	+	0	NA	Intergenic	Intergenic	3010	ID=HMEL034338g1.t1-E7;Parent=HMEL034338g1.t1								
295	Hmel212001	3244228	3244779	+	0	NA	Intergenic	Intergenic	-1170	ID=HMEL004107g2.t1-E1;Parent=HMEL004107g2.t1								
480	Hmel216011	880110	880906	+	0	NA	Intergenic	Intergenic	-1699	ID=HMEL011146g2.t1-E1;Parent=HMEL011146g2.t1								
341	Hmel201019	829317	830016	+	0	NA	Intergenic	Intergenic	-17740	ID=HMEL006990g1.t1-E1;Parent=HMEL006990g1.t1								
438	Hmel215006	1176448	1176717	+	0	NA	Intergenic	Intergenic	12379	ID=HMEL032679g1.t1-E2;Parent=HMEL032679g1.t1								
107	Hmel201009	3034230	3034826	+	0	NA	promoter-TSS (ID=HMEL017192g1.t1-E3;Parent=HMEL017192g1.t1)	-promoter-TSS (ID=HMEL017192g1.t1-E3;Parent=HMEL017192g1.t1)	231	ID=HMEL017192g1.t1-E2;Parent=HMEL017192g1.t1								
535	Hmel217004	4234489	4235014	+	0	NA	Intergenic	Intergenic	-4678	ID=HMEL033871g1.t1-E1;Parent=HMEL033871g1.t1								
87	Hmel207011	10271	10535	+	0	NA	Intergenic	Intergenic	2685	ID=HMEL037552g1.t1-E3;Parent=HMEL037552g1.t1								
77	Hmel207008	38694	39604	+	0	NA	Intergenic	Intergenic	16582	ID=HmGr15_1-E3;Parent=HmGr15_1								
683	Hmel219012	104380	104552	+	0	NA	Intergenic	Intergenic	-3028	ID=HMEL006580g1.t1-E3;Parent=HMEL006580g1.t1								
444	Hmel215006	1362608	1363054	+	0	NA	TTS (ID=HMEL000026-RA-E14;Parent=HMEL000026-RA)	-TTS (ID=HMEL000026-RA-E14;Parent=HMEL000026-RA)	1035	ID=HMEL000026-RA-E14;Parent=HMEL000026-RA								
