PeakID (cmd=annotatePeaks.pl development_D2_p05FC1_shared_D2down_eratoCoords.bed /home/rpapa/sbelleghem/share/REF/H_erato_dem/Herato_final.fasta -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_erato_demophoon_v1.gff3 -annStats development_D2_p05FC1_shared_D2down_eratoCoords_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
722	Herato1603	3642803	3643642	+	0	NA	Intergenic	Intergenic	-16626	ID=evm.model.Herato1603.102-E1;Parent=evm.model.Herato1603.102								
634	Herato1301	21305472	21305994	+	0	NA	Intergenic	Intergenic	3853	ID=evm.model.Herato1301.726.2-E11;Parent=evm.model.Herato1301.726.2								
1109	Herato0310	3729369	3730330	+	0	NA	Intergenic	Intergenic	2113	ID=evm.model.Herato0310.90-E1;Parent=evm.model.Herato0310.90								
578	Herato1301	6688020	6688537	+	0	NA	promoter-TSS (ID=evm.model.Herato1301.247-E6;Parent=evm.model.Herato1301.247)	-promoter-TSS (ID=evm.model.Herato1301.247-E6;Parent=evm.model.Herato1301.247)	-87	ID=evm.model.Herato1301.247-E6;Parent=evm.model.Herato1301.247								
695	Herato1507	8185340	8185645	+	0	NA	TTS (ID=evm.model.Herato1507.292-E1;Parent=evm.model.Herato1507.292)	-TTS (ID=evm.model.Herato1507.292-E1;Parent=evm.model.Herato1507.292)	748	ID=evm.model.Herato1507.292-E1;Parent=evm.model.Herato1507.292								
978	Herato2001	5059845	5060824	+	0	NA	Intergenic	Intergenic	-5102	ID=evm.model.Herato2001.172-E1;Parent=evm.model.Herato2001.172								
728	Herato1605	2479063	2480105	+	0	NA	promoter-TSS (ID=evm.model.Herato1605.85-E2;Parent=evm.model.Herato1605.85)	-promoter-TSS (ID=evm.model.Herato1605.85-E2;Parent=evm.model.Herato1605.85)	-753	ID=evm.model.Herato1605.85-E2;Parent=evm.model.Herato1605.85								
742	Herato1701	5470029	5470509	+	0	NA	TTS (ID=evm.model.Herato1701.147-E1;Parent=evm.model.Herato1701.147)	-TTS (ID=evm.model.Herato1701.147-E1;Parent=evm.model.Herato1701.147)	1298	ID=evm.model.Herato1701.147-E1;Parent=evm.model.Herato1701.147								
378	Herato1108	6934448	6934869	+	0	NA	promoter-TSS (ID=evm.model.Herato1108.305-E2;Parent=evm.model.Herato1108.305)	-promoter-TSS (ID=evm.model.Herato1108.305-E2;Parent=evm.model.Herato1108.305)	56	ID=evm.model.Herato1108.305-E2;Parent=evm.model.Herato1108.305								
325	Herato1007	2978553	2980064	+	0	NA	Intergenic	Intergenic	56593	ID=evm.model.Herato1007.106-E3;Parent=evm.model.Herato1007.106								
29	Herato0606	3122146	3122811	+	0	NA	Intergenic	Intergenic	29138	ID=evm.model.Herato0606.99-E6;Parent=evm.model.Herato0606.99								
889	Herato1901	2208144	2208360	+	0	NA	TTS (ID=evm.model.Herato1901.64-E14;Parent=evm.model.Herato1901.64)	-TTS (ID=evm.model.Herato1901.64-E14;Parent=evm.model.Herato1901.64)	649	ID=evm.model.Herato1901.64.1-E13;Parent=evm.model.Herato1901.64.1								
350	Herato1108	3019573	3020028	+	0	NA	TTS (ID=evm.model.Herato1108.93-E5;Parent=evm.model.Herato1108.93)	-TTS (ID=evm.model.Herato1108.93-E5;Parent=evm.model.Herato1108.93)	773	ID=evm.model.Herato1108.93-E6;Parent=evm.model.Herato1108.93								
540	Herato1202	19647199	19647630	+	0	NA	Intergenic	Intergenic	-3112	ID=evm.model.Herato1202.798-E5;Parent=evm.model.Herato1202.798								
1162	Herato0503	3448328	3448635	+	0	NA	Intergenic	Intergenic	-23601	ID=evm.model.Herato0503.117-E1;Parent=evm.model.Herato0503.117								
58	Herato0606	8922730	8923495	+	0	NA	Intergenic	Intergenic	10665	ID=evm.model.Herato0606.284-E1;Parent=evm.model.Herato0606.284								
684	Herato1507	2093606	2094497	+	0	NA	promoter-TSS (ID=evm.model.Herato1507.59-E1;Parent=evm.model.Herato1507.59)	-promoter-TSS (ID=evm.model.Herato1507.59-E1;Parent=evm.model.Herato1507.59)	41	ID=evm.model.Herato1507.59.4-E1;Parent=evm.model.Herato1507.59.4								
211	Herato0901	1356446	1356834	+	0	NA	Intergenic	Intergenic	6461	ID=evm.model.Herato0901.49-E12;Parent=evm.model.Herato0901.49								
153	Herato0701	14472597	14473075	+	0	NA	Intergenic	Intergenic	-10335	ID=evm.model.Herato0701.662-E1;Parent=evm.model.Herato0701.662								
861	Herato0214	703615	704248	+	0	NA	Intergenic	Intergenic	-16234	ID=evm.model.Herato0214.42-E1;Parent=evm.model.Herato0214.42								
337	Herato1007	4317130	4318448	+	0	NA	Intergenic	Intergenic	-3014	ID=evm.model.Herato1007.177-E1;Parent=evm.model.Herato1007.177								
101	Herato0701	3893230	3893589	+	0	NA	Intergenic	Intergenic	22551	ID=evm.model.Herato0701.184-E1;Parent=evm.model.Herato0701.184								
340	Herato0101	17527344	17527864	+	0	NA	promoter-TSS (ID=evm.model.Herato0101.689_evm.model.Herato0101.690-E44;Parent=evm.model.Herato0101.689_evm.model.Herato0101.690)	-promoter-TSS (ID=evm.model.Herato0101.689_evm.model.Herato0101.690-E44;Parent=evm.model.Herato0101.689_evm.model.Herato0101.690)	-841	ID=evm.model.Herato0101.689_evm.model.Herato0101.690.1-E44;Parent=evm.model.Herato0101.689_evm.model.Herato0101.690.1								
76	Herato0701	1083657	1084470	+	0	NA	TTS (ID=evm.model.Herato0701.39-E2;Parent=evm.model.Herato0701.39)	-TTS (ID=evm.model.Herato0701.39-E2;Parent=evm.model.Herato0701.39)	412	ID=evm.model.Herato0701.39-E2;Parent=evm.model.Herato0701.39								
311	Herato1007	1163778	1164066	+	0	NA	Intergenic	Intergenic	8193	ID=evm.model.Herato1007.44-E1;Parent=evm.model.Herato1007.44								
982	Herato2001	5219878	5221024	+	0	NA	promoter-TSS (ID=evm.model.Herato2001.177-E2;Parent=evm.model.Herato2001.177)	-promoter-TSS (ID=evm.model.Herato2001.177-E2;Parent=evm.model.Herato2001.177)	80	ID=evm.model.Herato2001.177.2-E1;Parent=evm.model.Herato2001.177.2								
571	Herato1301	4359407	4360272	+	0	NA	Intergenic	Intergenic	-1988	ID=evm.model.Herato1301.123-E2;Parent=evm.model.Herato1301.123								
825	Herato1805	3740232	3741140	+	0	NA	Intergenic	Intergenic	-10600	ID=evm.model.Herato1805.104-E1;Parent=evm.model.Herato1805.104								
389	Herato1108	10171021	10172245	+	0	NA	promoter-TSS (ID=evm.model.Herato1108.452-E2;Parent=evm.model.Herato1108.452)	-promoter-TSS (ID=evm.model.Herato1108.452-E2;Parent=evm.model.Herato1108.452)	-37	ID=evm.model.Herato1108.452.1-E1;Parent=evm.model.Herato1108.452.1								
917	Herato1904	5179496	5179952	+	0	NA	Intergenic	Intergenic	-9834	ID=evm.model.Herato1904.175-E1;Parent=evm.model.Herato1904.175								
495	Herato0101	20438988	20439895	+	0	NA	Intergenic	Intergenic	-17304	ID=evm.model.Herato0101.781-E1;Parent=evm.model.Herato0101.781								
1171	Herato0503	4314499	4314817	+	0	NA	Intergenic	Intergenic	9023	ID=evm.model.Herato0503.130-E12;Parent=evm.model.Herato0503.130								
1123	Herato0310	7439903	7440251	+	0	NA	Intergenic	Intergenic	-9501	ID=evm.model.Herato0310.191-E3;Parent=evm.model.Herato0310.191								
966	Herato2001	2260362	2261188	+	0	NA	Intergenic	Intergenic	-8427	ID=evm.model.Herato2001.58-E1;Parent=evm.model.Herato2001.58								
992	Herato2001	8550446	8551727	+	0	NA	Intergenic	Intergenic	-10201	ID=evm.model.Herato2001.361-E1;Parent=evm.model.Herato2001.361								
758	Herato1701	7493111	7493525	+	0	NA	Intergenic	Intergenic	68059	ID=evm.model.Herato1701.220-E5;Parent=evm.model.Herato1701.220								
236	Herato0901	8688274	8689069	+	0	NA	Intergenic	Intergenic	-4265	ID=evm.model.Herato0901.278-E5;Parent=evm.model.Herato0901.278								
706	Herato1603	666958	667205	+	0	NA	Intergenic	Intergenic	-1419	ID=evm.model.Herato1603.10-E2;Parent=evm.model.Herato1603.10								
218	Herato0101	13770772	13771242	+	0	NA	Intergenic	Intergenic	36838	ID=evm.model.Herato0101.491-E2;Parent=evm.model.Herato0101.491								
1172	Herato0503	4572301	4573231	+	0	NA	Intergenic	Intergenic	6617	ID=evm.model.Herato0503.132.2-E2;Parent=evm.model.Herato0503.132.2								
14	Herato0101	832420	833082	+	0	NA	Intergenic	Intergenic	-17720	ID=evm.model.Herato0101.18-E1;Parent=evm.model.Herato0101.18								
834	Herato1805	5871726	5872708	+	0	NA	Intergenic	Intergenic	-20473	ID=evm.model.Herato1805.158-E1;Parent=evm.model.Herato1805.158								
285	Herato1005	953197	953918	+	0	NA	Intergenic	Intergenic	-5095	ID=evm.model.Herato1005.59.1-E2;Parent=evm.model.Herato1005.59.1								
234	Herato0901	7910233	7910946	+	0	NA	Intergenic	Intergenic	57596	ID=evm.model.Herato0901.259-E6;Parent=evm.model.Herato0901.259								
594	Herato1301	12117905	12118989	+	0	NA	Intergenic	Intergenic	-31429	ID=evm.model.Herato1301.479-E2;Parent=evm.model.Herato1301.479								
1135	Herato0401	1961116	1961944	+	0	NA	Intergenic	Intergenic	2598	ID=evm.model.Herato0401.49-E5;Parent=evm.model.Herato0401.49								
96	Herato0101	10499945	10500512	+	0	NA	Intergenic	Intergenic	-4024	ID=evm.model.Herato0101.306-E1;Parent=evm.model.Herato0101.306								
1068	Herato2101	11099897	11100336	+	0	NA	Intergenic	Intergenic	1803	ID=evm.model.Herato2101.383-E4;Parent=evm.model.Herato2101.383								
486	Herato1202	11303134	11303540	+	0	NA	Intergenic	Intergenic	2313	ID=evm.model.Herato1202.449-E1;Parent=evm.model.Herato1202.449								
160	Herato0701	16280484	16281091	+	0	NA	Intergenic	Intergenic	87898	ID=evm.model.Herato0701.699-E5;Parent=evm.model.Herato0701.699								
569	Herato1301	4168225	4168898	+	0	NA	Intergenic	Intergenic	7206	ID=evm.model.Herato1301.115-E8;Parent=evm.model.Herato1301.115								
8	Herato0101	8387024	8387976	+	0	NA	Intergenic	Intergenic	35872	ID=evm.model.Herato0101.251-E7;Parent=evm.model.Herato0101.251								
98	Herato0701	3415462	3416080	+	0	NA	Intergenic	Intergenic	29925	ID=evm.model.Herato0701.170-E1;Parent=evm.model.Herato0701.170								
1048	Herato2101	6399633	6400484	+	0	NA	Intergenic	Intergenic	-4051	ID=evm.model.Herato2101.218-E9;Parent=evm.model.Herato2101.218								
1000	Herato2001	9695714	9696405	+	0	NA	Intergenic	Intergenic	-26811	ID=evm.model.Herato2001.392-E1;Parent=evm.model.Herato2001.392								
1061	Herato2101	8983971	8985195	+	0	NA	Intergenic	Intergenic	-72576	ID=evm.model.Herato2101.308-E1;Parent=evm.model.Herato2101.308								
43	Herato0606	4473506	4474018	+	0	NA	Intergenic	Intergenic	-5072	ID=evm.model.Herato0606.141-E20;Parent=evm.model.Herato0606.141								
686	Herato1507	5269617	5271011	+	0	NA	TTS (ID=evm.model.Herato1507.181-E5;Parent=evm.model.Herato1507.181)	-TTS (ID=evm.model.Herato1507.181-E5;Parent=evm.model.Herato1507.181)	258	ID=evm.model.Herato1507.181-E5;Parent=evm.model.Herato1507.181								
391	Herato0101	18541338	18541894	+	0	NA	exon (ID=evm.model.Herato0101.738-E5;Parent=evm.model.Herato0101.738, exon 1 of 1)	-exon (ID=evm.model.Herato0101.738-E5;Parent=evm.model.Herato0101.738, exon 1 of 1)	1370	ID=evm.model.Herato0101.738-E5;Parent=evm.model.Herato0101.738								
943	Herato1908	2199627	2202311	+	0	NA	Intergenic	Intergenic	-1666	ID=evm.model.Herato1908.74-E5;Parent=evm.model.Herato1908.74								
288	Herato1005	1278608	1278998	+	0	NA	Intergenic	Intergenic	3480	ID=evm.model.Herato1005.76-E1;Parent=evm.model.Herato1005.76								
193	Herato0801	6989764	6990645	+	0	NA	Intergenic	Intergenic	3166	ID=evm.model.Herato0801.208-E3;Parent=evm.model.Herato0801.208								
119	Herato0701	8389438	8390464	+	0	NA	Intergenic	Intergenic	5298	ID=evm.model.Herato0701.370-E1;Parent=evm.model.Herato0701.370								
586	Herato1301	7553014	7553485	+	0	NA	Intergenic	Intergenic	-4634	ID=evm.model.Herato1301.300-E3;Parent=evm.model.Herato1301.300								
180	Herato0701	18862059	18862575	+	0	NA	Intergenic	Intergenic	-40531	ID=evm.model.Herato0701.762-E1;Parent=evm.model.Herato0701.762								
410	Herato1108	13310088	13310895	+	0	NA	Intergenic	Intergenic	-20053	ID=evm.model.Herato1108.568-E1;Parent=evm.model.Herato1108.568								
246	Herato0904	252980	253515	+	0	NA	Intergenic	Intergenic	10562	ID=evm.model.Herato0904.21-E2;Parent=evm.model.Herato0904.21								
999	Herato2001	9683016	9683416	+	0	NA	Intergenic	Intergenic	-13968	ID=evm.model.Herato2001.392-E1;Parent=evm.model.Herato2001.392								
690	Herato1507	7067880	7068591	+	0	NA	Intergenic	Intergenic	53076	ID=evm.model.Herato1507.248-E2;Parent=evm.model.Herato1507.248								
1168	Herato0503	4218357	4218920	+	0	NA	Intergenic	Intergenic	4338	ID=evm.model.Herato0503.130-E2;Parent=evm.model.Herato0503.130								
61	Herato0101	9606842	9607571	+	0	NA	Intergenic	Intergenic	48560	ID=evm.model.Herato0101.285-E4;Parent=evm.model.Herato0101.285								
1180	Herato0503	6903111	6903657	+	0	NA	promoter-TSS (ID=evm.model.Herato0503.242-E3;Parent=evm.model.Herato0503.242)	-promoter-TSS (ID=evm.model.Herato0503.242-E3;Parent=evm.model.Herato0503.242)	97	ID=evm.model.Herato0503.242-E3;Parent=evm.model.Herato0503.242								
1185	Herato0508	183163	183604	+	0	NA	Intergenic	Intergenic	3778	ID=evm.model.Herato0508.3-E1;Parent=evm.model.Herato0508.3								
430	Herato1202	2225724	2227188	+	0	NA	TTS (ID=evm.model.Herato1202.75-E14;Parent=evm.model.Herato1202.75)	-TTS (ID=evm.model.Herato1202.75-E14;Parent=evm.model.Herato1202.75)	753	ID=evm.model.Herato1202.75-E14;Parent=evm.model.Herato1202.75								
447	Herato1202	3610276	3610744	+	0	NA	Intergenic	Intergenic	1742	ID=evm.model.Herato1202.123-E1;Parent=evm.model.Herato1202.123								
536	Herato1202	19220436	19220632	+	0	NA	Intergenic	Intergenic	-4749	ID=evm.model.Herato1202.776-E19;Parent=evm.model.Herato1202.776								
1130	Herato0401	1642816	1643636	+	0	NA	Intergenic	Intergenic	8253	ID=evm.model.Herato0401.41-E7;Parent=evm.model.Herato0401.41								
415	Herato0101	19044032	19044346	+	0	NA	Intergenic	Intergenic	7056	ID=evm.model.Herato0101.757-E4;Parent=evm.model.Herato0101.757								
189	Herato0801	5830463	5831028	+	0	NA	Intergenic	Intergenic	-12867	ID=evm.model.Herato0801.157-E3;Parent=evm.model.Herato0801.157								
480	Herato1202	9584967	9586241	+	0	NA	Intergenic	Intergenic	5684	ID=evm.model.Herato1202.397.1-E1;Parent=evm.model.Herato1202.397.1								
1153	Herato0503	619336	621450	+	0	NA	promoter-TSS (ID=evm.model.Herato0503.22-E2;Parent=evm.model.Herato0503.22)	-promoter-TSS (ID=evm.model.Herato0503.22-E2;Parent=evm.model.Herato0503.22)	-76	ID=evm.model.Herato0503.22.3-E2;Parent=evm.model.Herato0503.22.3								
438	Herato1202	2939347	2940258	+	0	NA	TTS (ID=evm.model.Herato1202.98-E2;Parent=evm.model.Herato1202.98)	-TTS (ID=evm.model.Herato1202.98-E2;Parent=evm.model.Herato1202.98)	262	ID=evm.model.Herato1202.98-E2;Parent=evm.model.Herato1202.98								
107	Herato0701	5289432	5290498	+	0	NA	promoter-TSS (ID=evm.model.Herato0701.242-E2;Parent=evm.model.Herato0701.242)	-promoter-TSS (ID=evm.model.Herato0701.242-E2;Parent=evm.model.Herato0701.242)	-757	ID=evm.model.Herato0701.242-E2;Parent=evm.model.Herato0701.242								
87	Herato0701	2417971	2418625	+	0	NA	Intergenic	Intergenic	-2723	ID=evm.model.Herato0701.144-E2;Parent=evm.model.Herato0701.144								
1022	Herato2001	17370251	17371331	+	0	NA	Intergenic	Intergenic	-7848	ID=evm.model.Herato2001.668-E1;Parent=evm.model.Herato2001.668								
444	Herato1202	3437564	3438320	+	0	NA	Intergenic	Intergenic	-1337	ID=evm.model.Herato1202.116.2-E2;Parent=evm.model.Herato1202.116.2								
508	Herato1202	14682578	14683036	+	0	NA	Intergenic	Intergenic	2982	ID=evm.model.Herato1202.567.4-E1;Parent=evm.model.Herato1202.567.4								
953	Herato0215	2230078	2231067	+	0	NA	Intergenic	Intergenic	16619	ID=evm.model.Herato0215.80-E3;Parent=evm.model.Herato0215.80								
221	Herato0901	2233671	2233959	+	0	NA	Intergenic	Intergenic	56106	ID=evm.model.Herato0901.75-E2;Parent=evm.model.Herato0901.75								
39	Herato0606	3896303	3896595	+	0	NA	promoter-TSS (ID=evm.model.Herato0606.120-E2;Parent=evm.model.Herato0606.120)	-promoter-TSS (ID=evm.model.Herato0606.120-E2;Parent=evm.model.Herato0606.120)	-14	ID=evm.model.Herato0606.120-E2;Parent=evm.model.Herato0606.120								
1089	Herato0301	3335119	3335408	+	0	NA	Intergenic	Intergenic	21177	ID=evm.model.Herato0301.89-E4;Parent=evm.model.Herato0301.89								
558	Herato0101	21472802	21473630	+	0	NA	Intergenic	Intergenic	3074	ID=evm.model.Herato0101.831-E8;Parent=evm.model.Herato0101.831								
417	Herato1202	185475	187145	+	0	NA	TTS (ID=evm.model.Herato1202.14-E3;Parent=evm.model.Herato1202.14)	-TTS (ID=evm.model.Herato1202.14-E3;Parent=evm.model.Herato1202.14)	510	ID=evm.model.Herato1202.14-E3;Parent=evm.model.Herato1202.14								
12	Herato0601	3394802	3395379	+	0	NA	Intergenic	Intergenic	-8438	ID=evm.model.Herato0601.80-E1;Parent=evm.model.Herato0601.80								
784	Herato1801	2112606	2113316	+	0	NA	Intergenic	Intergenic	5237	ID=evm.model.Herato1801.88-E3;Parent=evm.model.Herato1801.88								
260	Herato1001	5484806	5485490	+	0	NA	Intergenic	Intergenic	5711	ID=evm.model.Herato1001.179.2-E2;Parent=evm.model.Herato1001.179.2								
573	Herato1301	6327176	6327374	+	0	NA	Intergenic	Intergenic	5651	ID=evm.model.Herato1301.221-E1;Parent=evm.model.Herato1301.221								
1084	Herato0301	3214751	3215002	+	0	NA	TTS (ID=evm.model.Herato0301.83-E2;Parent=evm.model.Herato0301.83)	-TTS (ID=evm.model.Herato0301.83-E2;Parent=evm.model.Herato0301.83)	655	ID=evm.model.Herato0301.83-E2;Parent=evm.model.Herato0301.83								
1144	Herato0411	4443580	4444114	+	0	NA	Intergenic	Intergenic	-1882	ID=evm.model.Herato0411.101-E2;Parent=evm.model.Herato0411.101								
762	Herato1701	8255450	8255895	+	0	NA	Intergenic	Intergenic	24665	ID=evm.model.Herato1701.252-E11;Parent=evm.model.Herato1701.252								
638	Herato1301	21472418	21473309	+	0	NA	Intergenic	Intergenic	-1072	ID=evm.model.Herato1301.728-E2;Parent=evm.model.Herato1301.728								
734	Herato1701	434842	435504	+	0	NA	TTS (ID=evm.model.Herato1701.21-E1;Parent=evm.model.Herato1701.21)	-TTS (ID=evm.model.Herato1701.21-E1;Parent=evm.model.Herato1701.21)	1548	ID=evm.model.Herato1701.21-E1;Parent=evm.model.Herato1701.21								
875	Herato1807	2564409	2564941	+	0	NA	Intergenic	Intergenic	15086	ID=evm.model.Herato1807.50.1-E3;Parent=evm.model.Herato1807.50.1								
1	Herato0508	1848062	1848675	+	0	NA	promoter-TSS (ID=evm.model.Herato0508.67-E1;Parent=evm.model.Herato0508.67)	-promoter-TSS (ID=evm.model.Herato0508.67-E1;Parent=evm.model.Herato0508.67)	75	ID=evm.model.Herato0508.67.2-E1;Parent=evm.model.Herato0508.67.2								
506	Herato1202	14328420	14328825	+	0	NA	Intergenic	Intergenic	2185	ID=evm.model.Herato1202.544.1-E1;Parent=evm.model.Herato1202.544.1								
136	Herato0701	10390827	10391115	+	0	NA	Intergenic	Intergenic	-2179	ID=evm.model.Herato0701.432-E1;Parent=evm.model.Herato0701.432								
116	Herato0701	8262455	8262870	+	0	NA	Intergenic	Intergenic	-12170	ID=evm.model.Herato0701.366-E7;Parent=evm.model.Herato0701.366								
144	Herato0701	12541946	12542163	+	0	NA	TTS (ID=evm.model.Herato0701.594-E5;Parent=evm.model.Herato0701.594)	-TTS (ID=evm.model.Herato0701.594-E5;Parent=evm.model.Herato0701.594)	727	ID=evm.model.Herato0701.594-E5;Parent=evm.model.Herato0701.594								
661	Herato1411	2686032	2686582	+	0	NA	Intergenic	Intergenic	-1058	ID=evm.model.Herato1411.103-E32;Parent=evm.model.Herato1411.103								
381	Herato1108	7655755	7656167	+	0	NA	Intergenic	Intergenic	20054	ID=evm.model.Herato1108.341.2-E1;Parent=evm.model.Herato1108.341.2								
581	Herato1301	6719426	6720305	+	0	NA	Intergenic	Intergenic	11518	ID=evm.model.Herato1301.248-E23;Parent=evm.model.Herato1301.248								
308	Herato1007	1015432	1015946	+	0	NA	Intergenic	Intergenic	-13760	ID=evm.model.Herato1007.41-E1;Parent=evm.model.Herato1007.41								
906	Herato0215	640197	640496	+	0	NA	Intergenic	Intergenic	7506	ID=evm.model.Herato0215.17-E1;Parent=evm.model.Herato0215.17								
177	Herato0701	18544065	18545455	+	0	NA	Intergenic	Intergenic	-11417	ID=evm.model.Herato0701.760-E1;Parent=evm.model.Herato0701.760								
678	Herato1505	2917853	2918544	+	0	NA	Intergenic	Intergenic	-5070	ID=evm.model.Herato1505.124.1-E1;Parent=evm.model.Herato1505.124.1								
373	Herato1108	6180592	6182047	+	0	NA	TTS (ID=evm.model.Herato1108.263-E6;Parent=evm.model.Herato1108.263)	-TTS (ID=evm.model.Herato1108.263-E6;Parent=evm.model.Herato1108.263)	732	ID=evm.model.Herato1108.263.1-E6;Parent=evm.model.Herato1108.263.1								
773	Herato1703	1108558	1109033	+	0	NA	Intergenic	Intergenic	2766	ID=evm.model.Herato1703.49-E1;Parent=evm.model.Herato1703.49								
205	Herato0821	2186939	2187293	+	0	NA	Intergenic	Intergenic	17037	ID=evm.model.Herato0821.84.1-E4;Parent=evm.model.Herato0821.84.1								
22	Herato0606	1795758	1796567	+	0	NA	Intergenic	Intergenic	9942	ID=evm.model.Herato0606.54-E2;Parent=evm.model.Herato0606.54								
927	Herato1904	7539784	7540099	+	0	NA	Intergenic	Intergenic	-8789	ID=evm.model.Herato1904.264.1-E1;Parent=evm.model.Herato1904.264.1								
301	Herato0101	16716438	16716696	+	0	NA	Intergenic	Intergenic	-55610	ID=evm.model.Herato0101.645-E1;Parent=evm.model.Herato0101.645								
51	Herato0101	9286820	9287189	+	0	NA	Intergenic	Intergenic	27763	ID=evm.model.Herato0101.282-E6;Parent=evm.model.Herato0101.282								
456	Herato1202	4942820	4943215	+	0	NA	Intergenic	Intergenic	-22300	ID=evm.model.Herato1202.189-E1;Parent=evm.model.Herato1202.189								
874	Herato1807	2529025	2529275	+	0	NA	Intergenic	Intergenic	5264	ID=evm.model.Herato1807.48.1.1-E1;Parent=evm.model.Herato1807.48.1.1								
652	Herato1408	3485571	3486288	+	0	NA	Intergenic	Intergenic	-6583	ID=evm.model.Herato1408.117-E12;Parent=evm.model.Herato1408.117								
975	Herato2001	3874497	3875279	+	0	NA	Intergenic	Intergenic	5472	ID=evm.model.Herato2001.130-E3;Parent=evm.model.Herato2001.130								
493	Herato1202	12080372	12081074	+	0	NA	Intergenic	Intergenic	13745	ID=evm.model.Herato1202.468-E4;Parent=evm.model.Herato1202.468								
1033	Herato2101	2736575	2736856	+	0	NA	Intergenic	Intergenic	-8499	ID=evm.model.Herato2101.101.3-E1;Parent=evm.model.Herato2101.101.3								
796	Herato1801	4221682	4222744	+	0	NA	Intergenic	Intergenic	2568	ID=evm.model.Herato1801.145-E7;Parent=evm.model.Herato1801.145								
1026	Herato2101	745852	746501	+	0	NA	Intergenic	Intergenic	-2528	ID=evm.model.Herato2101.30-E2;Parent=evm.model.Herato2101.30								
