PeakID (cmd=annotatePeaks.pl development_5th_p05FC1_eratoUnique_5thup.bed /home/rpapa/sbelleghem/share/REF/H_erato_dem/Herato_final.fasta -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_erato_demophoon_v1.gff3 -annStats development_5th_p05FC1_eratoUnique_5thup_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
2359	Herato1007	2847662	2847909	+	0	NA	TTS (ID=evm.model.Herato1007.102-E3;Parent=evm.model.Herato1007.102)	-TTS (ID=evm.model.Herato1007.102-E3;Parent=evm.model.Herato1007.102)	130	ID=evm.model.Herato1007.102-E4;Parent=evm.model.Herato1007.102								
5309	Herato2001	12922071	12924065	+	0	NA	promoter-TSS (ID=evm.model.Herato2001.509-E1;Parent=evm.model.Herato2001.509)	-promoter-TSS (ID=evm.model.Herato2001.509-E1;Parent=evm.model.Herato2001.509)	-783	ID=evm.model.Herato2001.509-E1;Parent=evm.model.Herato2001.509								
2045	Herato1301	17613602	17614316	+	0	NA	Intergenic	Intergenic	16738	ID=evm.model.Herato1301.621-E16;Parent=evm.model.Herato1301.621								
686	Herato1108	4487911	4488430	+	0	NA	Intergenic	Intergenic	4067	ID=evm.model.Herato1108.173.5-E2;Parent=evm.model.Herato1108.173.5								
5310	Herato0310	1728749	1729155	+	0	NA	Intergenic	Intergenic	-3440	ID=evm.model.Herato0310.40-E1;Parent=evm.model.Herato0310.40								
3149	Herato1801	1591417	1591590	+	0	NA	Intergenic	Intergenic	17690	ID=evm.model.Herato1801.77-E3;Parent=evm.model.Herato1801.77								
943	Herato0701	14806701	14806899	+	0	NA	Intergenic	Intergenic	-76033	ID=evm.model.Herato0701.666.3-E1;Parent=evm.model.Herato0701.666.3								
1887	Herato1001	2279087	2279588	+	0	NA	Intergenic	Intergenic	30160	ID=evm.model.Herato1001.80-E9;Parent=evm.model.Herato1001.80								
4258	Herato0204	1314609	1315333	+	0	NA	Intergenic	Intergenic	-1175	ID=evm.model.Herato0204.50-E3;Parent=evm.model.Herato0204.50								
1585	Herato0901	3829377	3830094	+	0	NA	Intergenic	Intergenic	-16958	ID=evm.model.Herato0901.95-E1;Parent=evm.model.Herato0901.95								
4709	Herato0310	5640300	5640833	+	0	NA	Intergenic	Intergenic	4193	ID=evm.model.Herato0310.131-E3;Parent=evm.model.Herato0310.131								
4993	Herato2001	2038132	2038388	+	0	NA	promoter-TSS (ID=evm.model.Herato2001.43-E2;Parent=evm.model.Herato2001.43)	-promoter-TSS (ID=evm.model.Herato2001.43-E2;Parent=evm.model.Herato2001.43)	-844	ID=evm.model.Herato2001.43-E2;Parent=evm.model.Herato2001.43								
4474	Herato2001	4971187	4971816	+	0	NA	Intergenic	Intergenic	-16088	ID=evm.model.Herato2001.170-E1;Parent=evm.model.Herato2001.170								
2705	Herato1507	2789412	2789761	+	0	NA	Intergenic	Intergenic	-4417	ID=evm.model.Herato1507.89-E1;Parent=evm.model.Herato1507.89								
690	Herato0101	17958817	17959153	+	0	NA	Intergenic	Intergenic	10007	ID=evm.model.Herato0101.718-E4;Parent=evm.model.Herato0101.718								
5825	Herato1908	2741220	2741905	+	0	NA	promoter-TSS (ID=evm.model.Herato1908.103-E1;Parent=evm.model.Herato1908.103)	-promoter-TSS (ID=evm.model.Herato1908.103-E1;Parent=evm.model.Herato1908.103)	37	ID=evm.model.Herato1908.103-E1;Parent=evm.model.Herato1908.103								
61	Herato0601	913376	913575	+	0	NA	Intergenic	Intergenic	-7554	ID=evm.model.Herato0601.10-E1;Parent=evm.model.Herato0601.10								
4475	Herato1505	883290	883636	+	0	NA	TTS (ID=evm.model.Herato1505.161-E2;Parent=evm.model.Herato1505.161)	-TTS (ID=evm.model.Herato1505.161-E2;Parent=evm.model.Herato1505.161)	988	ID=evm.model.Herato1505.161-E2;Parent=evm.model.Herato1505.161								
5215	Herato1805	4215581	4215876	+	0	NA	Intergenic	Intergenic	12030	ID=evm.model.Herato1805.108-E12;Parent=evm.model.Herato1805.108								
4094	Herato1701	7449919	7450505	+	0	NA	Intergenic	Intergenic	-40356	ID=evm.model.Herato1701.219.1-E1;Parent=evm.model.Herato1701.219.1								
3540	Herato1301	461196	462027	+	0	NA	Intergenic	Intergenic	-3061	ID=evm.model.Herato1301.18.1-E6;Parent=evm.model.Herato1301.18.1								
4704	Herato1906	609368	609484	+	0	NA	Intergenic	Intergenic	15523	ID=evm.model.Herato1906.21-E4;Parent=evm.model.Herato1906.21								
2394	Herato0214	810543	810807	+	0	NA	promoter-TSS (ID=evm.model.Herato0214.43_evm.model.Herato0214.44_evm.model.Herato0214.46-E3;Parent=evm.model.Herato0214.43_evm.model.Herato0214.44_evm.model.Herato0214.46)	-promoter-TSS (ID=evm.model.Herato0214.43_evm.model.Herato0214.44_evm.model.Herato0214.46-E3;Parent=evm.model.Herato0214.43_evm.model.Herato0214.44_evm.model.Herato0214.46)	-342	ID=evm.model.Herato0214.43_evm.model.Herato0214.44_evm.model.Herato0214.46-E3;Parent=evm.model.Herato0214.43_evm.model.Herato0214.44_evm.model.Herato0214.46								
1266	Herato0801	5621320	5621652	+	0	NA	Intergenic	Intergenic	1352	ID=evm.model.Herato0801.141.1-E2;Parent=evm.model.Herato0801.141.1								
5780	Herato1904	5114043	5114745	+	0	NA	Intergenic	Intergenic	-45408	ID=evm.model.Herato1904.173-E1;Parent=evm.model.Herato1904.173								
3419	Herato1701	5408538	5409633	+	0	NA	promoter-TSS (ID=evm.model.Herato1701.144-E2;Parent=evm.model.Herato1701.144)	-promoter-TSS (ID=evm.model.Herato1701.144-E2;Parent=evm.model.Herato1701.144)	-483	ID=evm.model.Herato1701.144-E2;Parent=evm.model.Herato1701.144								
3326	Herato2001	7429768	7430335	+	0	NA	Intergenic	Intergenic	4452	ID=evm.model.Herato2001.294-E4;Parent=evm.model.Herato2001.294								
5433	Herato0401	29049	29657	+	0	NA	Intergenic	Intergenic	-2163	ID=evm.model.Herato0401.3-E1;Parent=evm.model.Herato0401.3								
2654	Herato1904	3368726	3368904	+	0	NA	Intergenic	Intergenic	-39897	ID=evm.model.Herato1904.118-E1;Parent=evm.model.Herato1904.118								
4209	Herato1910	507961	508564	+	0	NA	Intergenic	Intergenic	-4802	ID=evm.model.Herato1910.44-E2;Parent=evm.model.Herato1910.44								
4144	Herato1408	796303	796530	+	0	NA	Intergenic	Intergenic	56539	ID=evm.model.Herato1408.26-E3;Parent=evm.model.Herato1408.26								
4784	Herato1703	955660	956067	+	0	NA	Intergenic	Intergenic	-4194	ID=evm.model.Herato1703.16-E2;Parent=evm.model.Herato1703.16								
3627	Herato1807	1182652	1183111	+	0	NA	Intergenic	Intergenic	-16287	ID=evm.model.Herato1807.22-E1;Parent=evm.model.Herato1807.22								
39	Herato1301	11456389	11456860	+	0	NA	Intergenic	Intergenic	11232	ID=evm.model.Herato1301.458-E1;Parent=evm.model.Herato1301.458								
558	Herato0101	10448904	10449675	+	0	NA	Intergenic	Intergenic	-5049	ID=evm.model.Herato0101.302-E1;Parent=evm.model.Herato0101.302								
3200	Herato1605	2354168	2354601	+	0	NA	Intergenic	Intergenic	-2188	ID=evm.model.Herato1605.80-E3;Parent=evm.model.Herato1605.80								
5443	Herato0401	389558	390370	+	0	NA	Intergenic	Intergenic	-106391	ID=evm.model.Herato0401.7-E1;Parent=evm.model.Herato0401.7								
5503	Herato0310	5371175	5371367	+	0	NA	Intergenic	Intergenic	-72641	ID=evm.model.Herato0310.128-E1;Parent=evm.model.Herato0310.128								
5536	Herato0310	9913756	9914468	+	0	NA	Intergenic	Intergenic	-22203	ID=evm.model.Herato0310.302-E1;Parent=evm.model.Herato0310.302								
573	Herato0701	3204288	3204685	+	0	NA	Intergenic	Intergenic	9186	ID=evm.model.Herato0701.167-E3;Parent=evm.model.Herato0701.167								
2710	Herato1507	2849978	2850483	+	0	NA	Intergenic	Intergenic	1197	ID=evm.model.Herato1507.94.1-E1;Parent=evm.model.Herato1507.94.1								
1084	Herato0101	1164378	1165267	+	0	NA	Intergenic	Intergenic	49489	ID=evm.model.Herato0101.20-E4;Parent=evm.model.Herato0101.20								
4570	Herato1805	3474607	3474852	+	0	NA	Intergenic	Intergenic	-34314	ID=evm.model.Herato1805.100-E1;Parent=evm.model.Herato1805.100								
5324	Herato1807	3890406	3890883	+	0	NA	Intergenic	Intergenic	-1183	ID=evm.model.Herato1807.80.1-E1;Parent=evm.model.Herato1807.80.1								
3446	Herato1202	17775585	17775872	+	0	NA	Intergenic	Intergenic	24139	ID=evm.model.Herato1202.729-E2;Parent=evm.model.Herato1202.729								
638	Herato1108	3362872	3363192	+	0	NA	promoter-TSS (ID=evm.model.Herato1108.115-E1;Parent=evm.model.Herato1108.115)	-promoter-TSS (ID=evm.model.Herato1108.115-E1;Parent=evm.model.Herato1108.115)	-893	ID=evm.model.Herato1108.115-E1;Parent=evm.model.Herato1108.115								
2350	Herato1408	4554905	4555370	+	0	NA	Intergenic	Intergenic	-21045	ID=evm.model.Herato1408.164-E1;Parent=evm.model.Herato1408.164								
2479	Herato0206	78618	79211	+	0	NA	TTS (ID=evm.model.Herato0206.4-E10;Parent=evm.model.Herato0206.4)	-TTS (ID=evm.model.Herato0206.4-E10;Parent=evm.model.Herato0206.4)	114	ID=evm.model.Herato0206.4.1-E10;Parent=evm.model.Herato0206.4.1								
1	Herato1301	9846061	9846277	+	0	NA	Intergenic	Intergenic	-3753	ID=evm.model.Herato1301.390-E1;Parent=evm.model.Herato1301.390								
3218	Herato1605	2784404	2784952	+	0	NA	TTS (ID=evm.model.Herato1605.94-E1;Parent=evm.model.Herato1605.94)	-TTS (ID=evm.model.Herato1605.94-E1;Parent=evm.model.Herato1605.94)	225	ID=evm.model.Herato1605.94-E1;Parent=evm.model.Herato1605.94								
