PeakID (cmd=annotatePeaks.pl development_D1_p05FC1_shared_D1down_melpCoords.bed /work/rpapa/share/REF/Hmel2/Hmel2.fa -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_melpomene_melpomene_Hmel2.gff3 -annStats development_D1_p05FC1_shared_D1down_melpCoords_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1061	Hmel220005	774525	775050	+	0	NA	TTS (ID=HMEL035061g1.t1-E1;Parent=HMEL035061g1.t1)	-TTS (ID=HMEL035061g1.t1-E1;Parent=HMEL035061g1.t1)	1265	ID=HMEL035061g1.t1-E1;Parent=HMEL035061g1.t1								
43	Hmel206009	2365616	2366860	+	0	NA	Intergenic	Intergenic	-2484	ID=HMEL005363g1.t2-E3;Parent=HMEL005363g1.t2								
686	Hmel215006	802235	803388	+	0	NA	Intergenic	Intergenic	16459	ID=HMEL002008g1.t1-E16;Parent=HMEL002008g1.t1								
391	Hmel211002	1332933	1333909	+	0	NA	promoter-TSS (ID=HMEL006277g2.t1-E2;Parent=HMEL006277g2.t1)	-promoter-TSS (ID=HMEL006277g2.t1-E2;Parent=HMEL006277g2.t1)	-34	ID=HMEL006277g2.t1-E2;Parent=HMEL006277g2.t1								
943	Hmel219003	1868221	1868596	+	0	NA	Intergenic	Intergenic	2874	ID=HMEL034610g1.t1-E1;Parent=HMEL034610g1.t1								
288	Hmel210004	5933242	5933953	+	0	NA	Intergenic	Intergenic	9562	ID=HMEL009013g1.t2-E1;Parent=HMEL009013g1.t2								
193	Hmel208021	543853	544712	+	0	NA	Intergenic	Intergenic	1177	ID=HMEL003447g1.t1-E1;Parent=HMEL003447g1.t1								
119	Hmel207002	6409617	6409928	+	0	NA	Intergenic	Intergenic	-4464	ID=HMEL037498g1.t1-E1;Parent=HMEL037498g1.t1								
586	Hmel213044	229291	229484	+	0	NA	Intergenic	Intergenic	-11967	ID=HMEL032029g1.t1-E1;Parent=HMEL032029g1.t1								
180	Hmel208003	79159	79443	+	0	NA	Intergenic	Intergenic	-1988	ID=HMEL037800g1.t1-E1;Parent=HMEL037800g1.t1								
410	Hmel211004	2096581	2097109	+	0	NA	Intergenic	Intergenic	6378	ID=HMEL015137g2.t1-E2;Parent=HMEL015137g2.t1								
246	Hmel201009	5120548	5121190	+	0	NA	promoter-TSS (ID=HMEL030267g1.t1-E2;Parent=HMEL030267g1.t1)	-promoter-TSS (ID=HMEL030267g1.t1-E2;Parent=HMEL030267g1.t1)	84	ID=HMEL030267g1.t1-E2;Parent=HMEL030267g1.t1								
999	Hmel219012	316258	316516	+	0	NA	Intergenic	Intergenic	-22491	ID=HMEL034766g1.t1-E1;Parent=HMEL034766g1.t1								
690	Hmel215028	15716	17662	+	0	NA	Intergenic	Intergenic	-11349	ID=HMEL013591g1.t1-E2;Parent=HMEL013591g1.t1								
1168	Hmel203048	412015	412227	+	0	NA	Intergenic	Intergenic	-14874	ID=HMEL036097g1.t1-E1;Parent=HMEL036097g1.t1								
61	Hmel206009	4450407	4450761	+	0	NA	Intergenic	Intergenic	-3758	ID=HMEL037089g1.t1-E1;Parent=HMEL037089g1.t1								
1180	Hmel203069	380610	380944	+	0	NA	Intergenic	Intergenic	-3578	ID=HMEL036176g1.t1-E3;Parent=HMEL036176g1.t1								
1185	Hmel203069	1809331	1809572	+	0	NA	Intergenic	Intergenic	-8243	ID=HMEL007167g1.t1-E1;Parent=HMEL007167g1.t1								
430	Hmel211010	48046	48718	+	0	NA	TTS (ID=HMEL031190g1.t1-E3;Parent=HMEL031190g1.t1)	-TTS (ID=HMEL031190g1.t1-E3;Parent=HMEL031190g1.t1)	815	ID=HMEL031190g1.t1-E3;Parent=HMEL031190g1.t1								
447	Hmel211012	949963	950172	+	0	NA	Intergenic	Intergenic	-3957	ID=HMEL015092g1.t1-E2;Parent=HMEL015092g1.t1								
536	Hmel201002	1536731	1537897	+	0	NA	Intergenic	Intergenic	9067	ID=HMEL011288g1.t1-E1;Parent=HMEL011288g1.t1								
1130	Hmel221015	23243	23805	+	0	NA	promoter-TSS (ID=HMEL002170g1.t1-E1;Parent=HMEL002170g1.t1)	-promoter-TSS (ID=HMEL002170g1.t1-E1;Parent=HMEL002170g1.t1)	-731	ID=HMEL002170g1.t1-E1;Parent=HMEL002170g1.t1								
415	Hmel211004	2687384	2688282	+	0	NA	Intergenic	Intergenic	-1021	ID=HMEL031098g1.t2-E2;Parent=HMEL031098g1.t2								
1266	Hmel205020	298405	299029	+	0	NA	Intergenic	Intergenic	40525	ID=HMEL036792g1.t1-E2;Parent=HMEL036792g1.t1								
189	Hmel208019	413195	414196	+	0	NA	Intergenic	Intergenic	10316	ID=HMEL037914g1.t1-E2;Parent=HMEL037914g1.t1								
480	Hmel212001	3713558	3713958	+	0	NA	Intergenic	Intergenic	-18577	ID=HMEL031391g1.t2-E1;Parent=HMEL031391g1.t2								
1153	Hmel203033	516854	517471	+	0	NA	promoter-TSS (ID=HMEL036038g1.t1-E2;Parent=HMEL036038g1.t1)	-promoter-TSS (ID=HMEL036038g1.t1-E2;Parent=HMEL036038g1.t1)	-728	ID=HMEL036038g1.t1-E2;Parent=HMEL036038g1.t1								
438	Hmel211010	215925	216879	+	0	NA	TTS (ID=HMEL006520g1.t1-E1;Parent=HMEL006520g1.t1)	-TTS (ID=HMEL006520g1.t1-E1;Parent=HMEL006520g1.t1)	507	ID=HMEL006520g1.t1-E1;Parent=HMEL006520g1.t1								
107	Hmel207002	5089984	5090641	+	0	NA	Intergenic	Intergenic	-3892	ID=HMEL037467g1.t2-E4;Parent=HMEL037467g1.t2								
87	Hmel207002	1568703	1569583	+	0	NA	promoter-TSS (ID=HMEL011239g1.t1-E5;Parent=HMEL011239g1.t1)	-promoter-TSS (ID=HMEL011239g1.t1-E5;Parent=HMEL011239g1.t1)	-158	ID=HMEL011239g1.t1-E5;Parent=HMEL011239g1.t1								
1022	Hmel219018	1276476	1276819	+	0	NA	Intergenic	Intergenic	12434	ID=HMEL034911g1.t1-E2;Parent=HMEL034911g1.t1								
444	Hmel211012	892675	894027	+	0	NA	Intergenic	Intergenic	-1720	ID=HMEL015089g1.t1-E1;Parent=HMEL015089g1.t1								
508	Hmel201019	491435	492488	+	0	NA	Intergenic	Intergenic	-14672	ID=HMEL033110g1.t1-E1;Parent=HMEL033110g1.t1								
953	Hmel219003	1984207	1984430	+	0	NA	Intergenic	Intergenic	3063	ID=HMEL010678g1.t1-E4;Parent=HMEL010678g1.t1								
221	Hmel209001	1201477	1202031	+	0	NA	Intergenic	Intergenic	-11590	ID=HMEL007609g1.t1-E1;Parent=HMEL007609g1.t1								
39	Hmel206009	2189056	2189443	+	0	NA	TTS (ID=HMEL012824g1.t1-E3;Parent=HMEL012824g1.t1)	-TTS (ID=HMEL012824g1.t1-E3;Parent=HMEL012824g1.t1)	138	ID=HMEL012824g1.t1-E3;Parent=HMEL012824g1.t1								
1089	Hmel220005	4794471	4794897	+	0	NA	Intergenic	Intergenic	-7525	ID=HMEL035218g1.t1-E1;Parent=HMEL035218g1.t1								
558	Hmel213004	1512145	1512365	+	0	NA	Intergenic	Intergenic	-2759	ID=HMEL013360-RA-E1;Parent=HMEL013360-RA								
417	Hmel211004	3351674	3352126	+	0	NA	Intergenic	Intergenic	-3154	ID=HMEL006248g1.t1-E2;Parent=HMEL006248g1.t1								
12	Hmel201009	221712	222309	+	0	NA	Intergenic	Intergenic	6261	ID=HMEL030122g1.t1-E1;Parent=HMEL030122g1.t1								
784	Hmel217001	2791015	2791980	+	0	NA	Intergenic	Intergenic	-10974	ID=HMEL008952g2.t1-E1;Parent=HMEL008952g2.t1								
260	Hmel209007	4469333	4469521	+	0	NA	Intergenic	Intergenic	-4409	ID=HMEL003876-RA-E2;Parent=HMEL003876-RA								
573	Hmel213020	621969	623176	+	0	NA	Intergenic	Intergenic	2548	ID=HMEL010103g1.t1-E1;Parent=HMEL010103g1.t1								
1084	Hmel220005	4079883	4080547	+	0	NA	Intergenic	Intergenic	-14775	ID=HMEL035192g1.t1-E1;Parent=HMEL035192g1.t1								
1144	Hmel203033	130556	130848	+	0	NA	Intergenic	Intergenic	16430	ID=HMEL036031g1.t1-E2;Parent=HMEL036031g1.t1								
762	Hmel216011	2596513	2596881	+	0	NA	Intergenic	Intergenic	-16147	ID=HMEL033589g1.t1-E1;Parent=HMEL033589g1.t1								
638	Hmel214008	1760408	1760614	+	0	NA	TTS (ID=HMEL032355g1.t1-E4;Parent=HMEL032355g1.t1)	-TTS (ID=HMEL032355g1.t1-E4;Parent=HMEL032355g1.t1)	530	ID=HMEL032355g1.t1-E4;Parent=HMEL032355g1.t1								
734	Hmel202006	793725	794455	+	0	NA	Intergenic	Intergenic	-13747	ID=HMEL010189g2.t1-E1;Parent=HMEL010189g2.t1								
875	Hmel218018	314195	315063	+	0	NA	Intergenic	Intergenic	114822	ID=HMEL017493-RA-E1;Parent=HMEL017493-RA								
1	Hmel201008	4037	4833	+	0	NA	promoter-TSS (ID=HMEL030115g1.t1-E1;Parent=HMEL030115g1.t1)	-promoter-TSS (ID=HMEL030115g1.t1-E1;Parent=HMEL030115g1.t1)	-21	ID=HMEL030115g1.t1-E1;Parent=HMEL030115g1.t1								
506	Hmel212009	244541	245967	+	0	NA	promoter-TSS (ID=HMEL003641g1.t1-E8;Parent=HMEL003641g1.t1)	-promoter-TSS (ID=HMEL003641g1.t1-E8;Parent=HMEL003641g1.t1)	153	ID=HMEL003641g1.t3-E7;Parent=HMEL003641g1.t3								
136	Hmel207011	211016	211261	+	0	NA	TTS (ID=HMEL007904g1.t1-E5;Parent=HMEL007904g1.t1)	-TTS (ID=HMEL007904g1.t1-E5;Parent=HMEL007904g1.t1)	651	ID=HMEL007904g1.t1-E5;Parent=HMEL007904g1.t1								
116	Hmel207002	6354816	6355702	+	0	NA	Intergenic	Intergenic	4570	ID=HMEL016486g1.t1-E1;Parent=HMEL016486g1.t1								
1197	Hmel204003	526448	527405	+	0	NA	Intergenic	Intergenic	-15073	ID=HMEL036357g1.t1-E1;Parent=HMEL036357g1.t1								
144	Hmel207021	179941	180528	+	0	NA	Intergenic	Intergenic	-29102	ID=HMEL009804g1.t1-E1;Parent=HMEL009804g1.t1								
661	Hmel214024	695374	695819	+	0	NA	Intergenic	Intergenic	3450	ID=HMEL032528g1.t1-E2;Parent=HMEL032528g1.t1								
381	Hmel211002	31594	32596	+	0	NA	Intergenic	Intergenic	18300	ID=HMEL030983g1.t1-E2;Parent=HMEL030983g1.t1								
581	Hmel213025	251310	251896	+	0	NA	TTS (ID=HMEL031934g1.t1-E3;Parent=HMEL031934g1.t1)	-TTS (ID=HMEL031934g1.t1-E3;Parent=HMEL031934g1.t1)	1664	ID=HMEL031934g1.t1-E3;Parent=HMEL031934g1.t1								
308	Hmel210009	84288	84674	+	0	NA	Intergenic	Intergenic	2148	ID=HMEL005924-RA-E2;Parent=HMEL005924-RA								
906	Hmel218018	6541197	6541751	+	0	NA	Intergenic	Intergenic	14610	ID=HMEL034461g1.t1-E3;Parent=HMEL034461g1.t1								
177	Hmel208003	20350	20807	+	0	NA	promoter-TSS (ID=HMEL037788g1.t1-E1;Parent=HMEL037788g1.t1)	-promoter-TSS (ID=HMEL037788g1.t1-E1;Parent=HMEL037788g1.t1)	41	ID=HMEL037789g1.t1-E1;Parent=HMEL037789g1.t1								
678	Hmel215006	126967	127660	+	0	NA	Intergenic	Intergenic	-6328	ID=HMEL032657g1.t1-E1;Parent=HMEL032657g1.t1								
373	Hmel210011	5315229	5317067	+	0	NA	Intergenic	Intergenic	3562	ID=HMEL009190g1.t1-E7;Parent=HMEL009190g1.t1								
773	Hmel216013	632551	633489	+	0	NA	TTS (ID=HMEL011712g1.t1-E2;Parent=HMEL011712g1.t1)	-TTS (ID=HMEL011712g1.t1-E2;Parent=HMEL011712g1.t1)	129	ID=HMEL011712g1.t1-E2;Parent=HMEL011712g1.t1								
1247	Hmel205012	1232440	1233040	+	0	NA	Intergenic	Intergenic	12992	ID=HMEL017901g1.t1-E2;Parent=HMEL017901g1.t1								
205	Hmel201009	4088658	4089639	+	0	NA	Intergenic	Intergenic	4716	ID=HMEL012451g1.t1-E11;Parent=HMEL012451g1.t1								
22	Hmel206009	950531	951250	+	0	NA	Intergenic	Intergenic	-50576	ID=HMEL037011g1.t1-E1;Parent=HMEL037011g1.t1								
927	Hmel218018	8969463	8969937	+	0	NA	Intergenic	Intergenic	-7032	ID=HMEL013935g1.t1-E1;Parent=HMEL013935g1.t1								
301	Hmel201002	1154884	1156023	+	0	NA	Intergenic	Intergenic	2448	ID=HMEL030029g1.t1-E2;Parent=HMEL030029g1.t1								
51	Hmel206009	2733826	2734258	+	0	NA	Intergenic	Intergenic	5232	ID=HMEL005347g1.t1-E3;Parent=HMEL005347g1.t1								
