PeakID (cmd=annotatePeaks.pl development_5th_p05FC1_shared_5thdown_melpCoords.bed /work/rpapa/share/REF/Hmel2/Hmel2.fa -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_melpomene_melpomene_Hmel2.gff3 -annStats development_5th_p05FC1_shared_5thdown_melpCoords_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1244	Hmel213051	213800	214446	+	0	NA	Intergenic	Intergenic	-24305	ID=HMEL015898g1.t1-E1;Parent=HMEL015898g1.t1								
2154	Hmel219014	1609296	1609724	+	0	NA	Intergenic	Intergenic	-9647	ID=HMEL034806g1.t1-E1;Parent=HMEL034806g1.t1								
1638	Hmel217004	2964551	2964709	+	0	NA	Intergenic	Intergenic	2313	ID=HMEL005235g1.t1-E3;Parent=HMEL005235g1.t1								
742	Hmel210011	3949117	3949286	+	0	NA	Intergenic	Intergenic	11611	ID=HMEL030906g1.t1-E2;Parent=HMEL030906g1.t1								
29	Hmel206006	1884002	1884776	+	0	NA	Intergenic	Intergenic	-5282	ID=HMEL036960g1.t1-E1;Parent=HMEL036960g1.t1								
350	Hmel201002	852567	853207	+	0	NA	Intergenic	Intergenic	20299	ID=HMEL003790g1.t1-E4;Parent=HMEL003790g1.t1								
1969	Hmel218018	8657248	8658809	+	0	NA	promoter-TSS (ID=HMEL009230g1.t1-E1;Parent=HMEL009230g1.t1)	-promoter-TSS (ID=HMEL009230g1.t1-E1;Parent=HMEL009230g1.t1)	-380	ID=HMEL009230g1.t1-E1;Parent=HMEL009230g1.t1								
1810	Hmel218011	349468	349842	+	0	NA	Intergenic	Intergenic	15861	ID=HMEL034336g1.t1-E1;Parent=HMEL034336g1.t1								
2203	Hmel220003	1282782	1284253	+	0	NA	Intergenic	Intergenic	-16226	ID=HMEL017017g1.t1-E1;Parent=HMEL017017g1.t1								
58	Hmel206009	1503923	1504583	+	0	NA	Intergenic	Intergenic	16817	ID=HMEL016780g2.t1-E1;Parent=HMEL016780g2.t1								
153	Hmel207002	780891	781148	+	0	NA	Intergenic	Intergenic	-1292	ID=HMEL011159g1.t1-E1;Parent=HMEL011159g1.t1								
2387	Hmel220017	840700	841120	+	0	NA	Intergenic	Intergenic	-4221	ID=HMEL035364g1.t1-E1;Parent=HMEL035364g1.t1								
1546	Hmel216012	263418	264224	+	0	NA	Intergenic	Intergenic	8987	ID=HMEL033595g1.t1-E2;Parent=HMEL033595g1.t1								
101	Hmel206009	3774746	3775060	+	0	NA	Intergenic	Intergenic	9672	ID=HMEL014669g1.t1-E5;Parent=HMEL014669g1.t1								
340	Hmel201009	3138657	3138985	+	0	NA	Intergenic	Intergenic	-9567	ID=HMEL030207g1.t1-E1;Parent=HMEL030207g1.t1								
311	Hmel207021	1287960	1289153	+	0	NA	Intergenic	Intergenic	-24041	ID=HMEL037693g1.t1-E1;Parent=HMEL037693g1.t1								
825	Hmel211004	3322766	3323434	+	0	NA	Intergenic	Intergenic	-1743	ID=HMEL006247g1.t1-E2;Parent=HMEL006247g1.t1								
917	Hmel201011	2697359	2698532	+	0	NA	Intergenic	Intergenic	4582	ID=HMEL006157g4.t1-E3;Parent=HMEL006157g4.t1								
2425	Hmel221012	2666654	2666799	+	0	NA	Intergenic	Intergenic	1660	ID=HMEL008788g1.t1-E1;Parent=HMEL008788g1.t1								
495	Hmel209007	534765	535055	+	0	NA	promoter-TSS (ID=HMEL030374g1.t1-E2;Parent=HMEL030374g1.t1)	-promoter-TSS (ID=HMEL030374g1.t1-E2;Parent=HMEL030374g1.t1)	-523	ID=HMEL030374g1.t1-E2;Parent=HMEL030374g1.t1								
1703	Hmel217018	2248023	2248734	+	0	NA	Intergenic	Intergenic	-11221	ID=HMEL034020g1.t1-E1;Parent=HMEL034020g1.t1								
2086	Hmel219003	7089253	7089867	+	0	NA	Intergenic	Intergenic	4132	ID=HMEL034705g1.t1-E1;Parent=HMEL034705g1.t1								
1322	Hmel213069	1258212	1258774	+	0	NA	Intergenic	Intergenic	5276	ID=HMEL032236g1.t1-E18;Parent=HMEL032236g1.t1								
1816	Hmel218013	60159	60647	+	0	NA	Intergenic	Intergenic	16877	ID=HMEL034339g1.t1-E1;Parent=HMEL034339g1.t1								
2460	Hmel201005	373956	375027	+	0	NA	Intergenic	Intergenic	3804	ID=HMEL030070g1.t1-E2;Parent=HMEL030070g1.t1								
2510	Hmel203067	672175	672503	+	0	NA	promoter-TSS (ID=HMEL036146g1.t1-E1;Parent=HMEL036146g1.t1)	-promoter-TSS (ID=HMEL036146g1.t1-E1;Parent=HMEL036146g1.t1)	-941	ID=HMEL036146g1.t1-E1;Parent=HMEL036146g1.t1								
1172	Hmel213020	590057	590586	+	0	NA	Intergenic	Intergenic	17093	ID=HMEL010103g1.t1-E5;Parent=HMEL010103g1.t1								
2458	Hmel203033	433253	433459	+	0	NA	Intergenic	Intergenic	-12713	ID=HMEL017476g1.t1-E1;Parent=HMEL017476g1.t1								
1259	Hmel213062	984403	984697	+	0	NA	Intergenic	Intergenic	6103	ID=HMEL032123g1.t1-E5;Parent=HMEL032123g1.t1								
834	Hmel211004	4021277	4021441	+	0	NA	Intergenic	Intergenic	-2348	ID=HMEL015694g1.t1-E1;Parent=HMEL015694g1.t1								
285	Hmel201009	2512944	2514418	+	0	NA	promoter-TSS (ID=HMEL017246g1.t1-E1;Parent=HMEL017246g1.t1)	-promoter-TSS (ID=HMEL017246g1.t1-E1;Parent=HMEL017246g1.t1)	-311	ID=HMEL017246g1.t1-E1;Parent=HMEL017246g1.t1								
2441	Hmel221017	330163	330727	+	0	NA	TTS (ID=HMEL012199g1.t1-E7;Parent=HMEL012199g1.t1)	-TTS (ID=HMEL012199g1.t1-E7;Parent=HMEL012199g1.t1)	289	ID=HMEL012199g1.t1-E7;Parent=HMEL012199g1.t1								
2414	Hmel221012	1239884	1240776	+	0	NA	promoter-TSS (ID=HMEL016654g5.t1-E14;Parent=HMEL016654g5.t1)	-promoter-TSS (ID=HMEL016654g5.t1-E14;Parent=HMEL016654g5.t1)	-389	ID=HMEL016654g5.t2-E1;Parent=HMEL016654g5.t2								
1216	Hmel213044	833280	834287	+	0	NA	Intergenic	Intergenic	2498	ID=HMEL032043g1.t1-E5;Parent=HMEL032043g1.t1								
2285	Hmel220005	3055712	3056213	+	0	NA	Intergenic	Intergenic	1325	ID=HMEL035167g1.t2-E8;Parent=HMEL035167g1.t2								
2274	Hmel220005	1964188	1965402	+	0	NA	Intergenic	Intergenic	-1207	ID=HMEL015754g1.t1-E1;Parent=HMEL015754g1.t1								
2194	Hmel220003	1110642	1110909	+	0	NA	Intergenic	Intergenic	4354	ID=HMEL017014g1.t2-E5;Parent=HMEL017014g1.t2								
1135	Hmel213004	1476203	1476642	+	0	NA	Intergenic	Intergenic	6112	ID=HMEL013359g1.t1-E3;Parent=HMEL013359g1.t1								
2002	Hmel219003	2467795	2467997	+	0	NA	promoter-TSS (ID=HMEL003917g1.t1-E4;Parent=HMEL003917g1.t1)	-promoter-TSS (ID=HMEL003917g1.t1-E4;Parent=HMEL003917g1.t1)	-655	ID=HMEL003917g1.t2-E4;Parent=HMEL003917g1.t2								
1203	Hmel213037	97763	98008	+	0	NA	Intergenic	Intergenic	-1090	ID=HMEL032016g1.t1-E1;Parent=HMEL032016g1.t1								
96	Hmel206009	3680164	3680421	+	0	NA	promoter-TSS (ID=HMEL037066g1.t1-E2;Parent=HMEL037066g1.t1)	-promoter-TSS (ID=HMEL037066g1.t1-E2;Parent=HMEL037066g1.t1)	412	ID=HMEL037066g1.t1-E1;Parent=HMEL037066g1.t1								
2088	Hmel219003	7099009	7099404	+	0	NA	Intergenic	Intergenic	13778	ID=HMEL034705g1.t1-E1;Parent=HMEL034705g1.t1								
1068	Hmel212011	1569823	1570171	+	0	NA	Intergenic	Intergenic	-5148	ID=HMEL012931g1.t1-E1;Parent=HMEL012931g1.t1								
1667	Hmel217004	4397895	4398084	+	0	NA	Intergenic	Intergenic	21068	ID=HMEL010081g1.t1-E6;Parent=HMEL010081g1.t1								
2114	Hmel219012	99311	99814	+	0	NA	Intergenic	Intergenic	-7932	ID=HMEL006580g1.t1-E3;Parent=HMEL006580g1.t1								
486	Hmel201009	4686766	4687372	+	0	NA	promoter-TSS (ID=HMEL009385g1.t1-E5;Parent=HMEL009385g1.t1)	-promoter-TSS (ID=HMEL009385g1.t1-E5;Parent=HMEL009385g1.t1)	-846	ID=HMEL009385g1.t1-E5;Parent=HMEL009385g1.t1								
2134	Hmel219014	384143	384353	+	0	NA	promoter-TSS (ID=HMEL012870g2.t1-E1;Parent=HMEL012870g2.t1)	-promoter-TSS (ID=HMEL012870g2.t1-E1;Parent=HMEL012870g2.t1)	-900	ID=HMEL012870g2.t1-E1;Parent=HMEL012870g2.t1								
1354	Hmel214008	1658560	1659050	+	0	NA	Intergenic	Intergenic	-13256	ID=HMEL006481g1.t1-E1;Parent=HMEL006481g1.t1								
569	Hmel210004	800225	800516	+	0	NA	Intergenic	Intergenic	16778	ID=HMEL030620g1.t1-E7;Parent=HMEL030620g1.t1								
8	Hmel205028	151781	152430	+	0	NA	Intergenic	Intergenic	-7937	ID=HMEL036885g1.t1-E1;Parent=HMEL036885g1.t1								
2359	Hmel220011	644042	644233	+	0	NA	Intergenic	Intergenic	-15737	ID=HMEL035286g1.t2-E1;Parent=HMEL035286g1.t2								
2045	Hmel219003	5032617	5033560	+	0	NA	Intergenic	Intergenic	2697	ID=HMEL016906g1.t1-E1;Parent=HMEL016906g1.t1								
1396	Hmel202004	1278571	1278797	+	0	NA	Intergenic	Intergenic	-9207	ID=HMEL003562g1.t2-E1;Parent=HMEL003562g1.t2								
686	Hmel210011	745215	745712	+	0	NA	promoter-TSS (ID=HMEL013355-RA-E2;Parent=HMEL013355-RA)	-promoter-TSS (ID=HMEL013355-RA-E2;Parent=HMEL013355-RA)	-110	ID=HMEL013355-RA-E2;Parent=HMEL013355-RA								
1760	Hmel218005	650195	650576	+	0	NA	Intergenic	Intergenic	-7238	ID=HMEL014940g1.t1-E3;Parent=HMEL014940g1.t1								
2033	Hmel219003	4584243	4586088	+	0	NA	Intergenic	Intergenic	-68352	ID=HMEL034652g1.t1-E1;Parent=HMEL034652g1.t1								
391	Hmel201009	3739140	3740033	+	0	NA	Intergenic	Intergenic	-2467	ID=HMEL012426g2.t1-E4;Parent=HMEL012426g2.t1								
943	Hmel212001	2059765	2059996	+	0	NA	Intergenic	Intergenic	2078	ID=HMEL016808g1.t1-E1;Parent=HMEL016808g1.t1								
2676	Hmel205020	270452	270634	+	0	NA	Intergenic	Intergenic	32481	ID=HMEL020436g1.t1-E4;Parent=HMEL020436g1.t1								
1887	Hmel218018	4810593	4810719	+	0	NA	Intergenic	Intergenic	1223	ID=HMEL005252g2.t1-E3;Parent=HMEL005252g2.t1								
1375	Hmel214020	14738	15600	+	0	NA	Intergenic	Intergenic	9904	ID=HMEL032474g1.t1-E9;Parent=HMEL032474g1.t1								
180	Hmel207002	2708561	2709340	+	0	NA	Intergenic	Intergenic	4618	ID=HMEL007128g1.t1-E1;Parent=HMEL007128g1.t1								
1585	Hmel217004	122779	122972	+	0	NA	Intergenic	Intergenic	-8353	ID=HMEL033768g1.t1-E1;Parent=HMEL033768g1.t1								
1877	Hmel218018	3362481	3362969	+	0	NA	promoter-TSS (ID=HMEL014783g1.t1-E4;Parent=HMEL014783g1.t1)	-promoter-TSS (ID=HMEL014783g1.t1-E4;Parent=HMEL014783g1.t1)	243	ID=HMEL014783g1.t1-E3;Parent=HMEL014783g1.t1								
246	Hmel207002	6497777	6498718	+	0	NA	Intergenic	Intergenic	8149	ID=HMEL037499g1.t1-E1;Parent=HMEL037499g1.t1								
2227	Hmel220003	2245750	2246820	+	0	NA	Intergenic	Intergenic	-10194	ID=HMEL012565g1.t1-E1;Parent=HMEL012565g1.t1								
690	Hmel210011	996221	996380	+	0	NA	Intergenic	Intergenic	-9144	ID=HMEL006943g2.t1-E1;Parent=HMEL006943g2.t1								
1168	Hmel213020	278931	280047	+	0	NA	Intergenic	Intergenic	-11276	ID=HMEL004893g1.t1-E1;Parent=HMEL004893g1.t1								
61	Hmel206009	1975250	1975436	+	0	NA	promoter-TSS (ID=HMEL004097g1.t1-E1;Parent=HMEL004097g1.t1)	-promoter-TSS (ID=HMEL004097g1.t1-E1;Parent=HMEL004097g1.t1)	-397	ID=HMEL004097g1.t1-E1;Parent=HMEL004097g1.t1								
536	Hmel209007	3420485	3420679	+	0	NA	Intergenic	Intergenic	-2011	ID=HMEL006916g1.t1-E2;Parent=HMEL006916g1.t1								
1767	Hmel218007	719005	719199	+	0	NA	Intergenic	Intergenic	9716	ID=HMEL002563g1.t1-E6;Parent=HMEL002563g1.t1								
1653	Hmel217004	3604287	3604777	+	0	NA	Intergenic	Intergenic	2640	ID=HMEL033848g1.t1-E4;Parent=HMEL033848g1.t1								
2237	Hmel220003	2866848	2867204	+	0	NA	Intergenic	Intergenic	-2804	ID=HMEL035032g1.t1-E1;Parent=HMEL035032g1.t1								
1688	Hmel217018	548806	548984	+	0	NA	Intergenic	Intergenic	-1651	ID=HMEL033966g1.t1-E1;Parent=HMEL033966g1.t1								
2394	Hmel221001	405400	406119	+	0	NA	Intergenic	Intergenic	-1774	ID=HMEL011041g1.t1-E2;Parent=HMEL011041g1.t1								
1266	Hmel213065	210755	212393	+	0	NA	Intergenic	Intergenic	-10783	ID=HMEL032140g1.t1-E2;Parent=HMEL032140g1.t1								
2654	Hmel205013	199129	199882	+	0	NA	Intergenic	Intergenic	2181	ID=HMEL008937g1.t1-E1;Parent=HMEL008937g1.t1								
1458	Hmel215047	45156	46092	+	0	NA	Intergenic	Intergenic	-2533	ID=HMEL032850g1.t1-E1;Parent=HMEL032850g1.t1								
444	Hmel209001	10413	10647	+	0	NA	TTS (ID=HMEL038207g1.t1-E3;Parent=HMEL038207g1.t1)	-TTS (ID=HMEL038207g1.t1-E3;Parent=HMEL038207g1.t1)	199	ID=HMEL038207g1.t1-E4;Parent=HMEL038207g1.t1								
508	Hmel209007	1703303	1704192	+	0	NA	promoter-TSS (ID=HMEL015713-RA-E3;Parent=HMEL015713-RA)	-promoter-TSS (ID=HMEL015713-RA-E3;Parent=HMEL015713-RA)	104	ID=HMEL015713-RA-E2;Parent=HMEL015713-RA								
1336	Hmel202004	336288	336824	+	0	NA	Intergenic	Intergenic	7251	ID=HMEL014167g1.t1-E1;Parent=HMEL014167g1.t1								
39	Hmel201009	455205	455801	+	0	NA	Intergenic	Intergenic	11996	ID=HMEL030127g1.t1-E2;Parent=HMEL030127g1.t1								
1089	Hmel201019	824038	824554	+	0	NA	Intergenic	Intergenic	-21278	ID=HMEL006992g1.t1-E1;Parent=HMEL006992g1.t1								
558	Hmel210001	620181	621610	+	0	NA	Intergenic	Intergenic	-12263	ID=HMEL030583g1.t1-E1;Parent=HMEL030583g1.t1								
12	Hmel206006	304161	304375	+	0	NA	Intergenic	Intergenic	-3907	ID=HMEL036935g1.t1-E1;Parent=HMEL036935g1.t1								
1554	Hmel216013	335200	335987	+	0	NA	Intergenic	Intergenic	-5916	ID=HMEL017538g1.t2-E1;Parent=HMEL017538g1.t2								
2168	Hmel219015	52266	52665	+	0	NA	Intergenic	Intergenic	9332	ID=HMEL008749g1.t1-E4;Parent=HMEL008749g1.t1								
573	Hmel210004	1115603	1115951	+	0	NA	Intergenic	Intergenic	17319	ID=HMEL030626g1.t1-E3;Parent=HMEL030626g1.t1								
1084	Hmel212013	981831	983159	+	0	NA	TTS (ID=HMEL007391g1.t1-E1;Parent=HMEL007391g1.t1)	-TTS (ID=HMEL007391g1.t1-E1;Parent=HMEL007391g1.t1)	616	ID=HMEL007391g1.t1-E1;Parent=HMEL007391g1.t1								
638	Hmel210005	341195	341435	+	0	NA	Intergenic	Intergenic	-2665	ID=HMEL014115g1.t1-E1;Parent=HMEL014115g1.t1								
2350	Hmel220009	414620	414877	+	0	NA	Intergenic	Intergenic	9688	ID=HMEL020100g1.t1-E1;Parent=HMEL020100g1.t1								
875	Hmel211012	271767	272139	+	0	NA	TTS (ID=HMEL010345g1.t1-E3;Parent=HMEL010345g1.t1)	-TTS (ID=HMEL010345g1.t1-E3;Parent=HMEL010345g1.t1)	809	ID=HMEL010345g1.t1-E3;Parent=HMEL010345g1.t1								
2479	Hmel203045	618541	618928	+	0	NA	Intergenic	Intergenic	6796	ID=HMEL036074g1.t1-E17;Parent=HMEL036074g1.t1								
1522	Hmel216011	1311546	1312459	+	0	NA	Intergenic	Intergenic	-3959	ID=HMEL033557g1.t1-E1;Parent=HMEL033557g1.t1								
1	Hmel205022	408719	409235	+	0	NA	Intergenic	Intergenic	-15428	ID=HMEL036819g1.t1-E1;Parent=HMEL036819g1.t1								
506	Hmel209007	1665411	1665641	+	0	NA	Intergenic	Intergenic	-7915	ID=HMEL015712g1.t1-E1;Parent=HMEL015712g1.t1								
136	Hmel206022	607090	608283	+	0	NA	Intergenic	Intergenic	-11769	ID=HMEL014433g1.t1-E1;Parent=HMEL014433g1.t1								
116	Hmel206012	530827	531159	+	0	NA	promoter-TSS (ID=HMEL037115g1.t1-E1;Parent=HMEL037115g1.t1)	-promoter-TSS (ID=HMEL037115g1.t1-E1;Parent=HMEL037115g1.t1)	-323	ID=HMEL037115g1.t1-E1;Parent=HMEL037115g1.t1								
1197	Hmel213030	108008	108445	+	0	NA	Intergenic	Intergenic	-82650	ID=HMEL031987g1.t1-E1;Parent=HMEL031987g1.t1								
1580	Hmel202006	1547647	1548309	+	0	NA	promoter-TSS (ID=HMEL009417g1.t1-E1;Parent=HMEL009417g1.t1)	-promoter-TSS (ID=HMEL009417g1.t1-E1;Parent=HMEL009417g1.t1)	-319	ID=HMEL009417g1.t1-E1;Parent=HMEL009417g1.t1								
2419	Hmel221012	1906022	1906689	+	0	NA	TTS (ID=HMEL035593g1.t1-E1;Parent=HMEL035593g1.t1)	-TTS (ID=HMEL035593g1.t1-E1;Parent=HMEL035593g1.t1)	810	ID=HMEL035593g1.t1-E1;Parent=HMEL035593g1.t1								
2146	Hmel219014	910465	910917	+	0	NA	Intergenic	Intergenic	-5696	ID=HMEL034791g1.t1-E3;Parent=HMEL034791g1.t1								
661	Hmel210009	73105	73392	+	0	NA	exon (ID=HMEL005923g1.t1-E4;Parent=HMEL005923g1.t1, exon 1 of 1)	-exon (ID=HMEL005923g1.t1-E4;Parent=HMEL005923g1.t1, exon 1 of 1)	134	ID=HMEL005923g1.t1-E4;Parent=HMEL005923g1.t1								
2482	Hmel203045	713465	714410	+	0	NA	Intergenic	Intergenic	-10866	ID=HMEL036076g1.t2-E2;Parent=HMEL036076g1.t2								
1935	Hmel218018	7662042	7663125	+	0	NA	Intergenic	Intergenic	-4211	ID=HMEL016586g1.t1-E2;Parent=HMEL016586g1.t1								
2690	Hmel201007	1872050	1872456	+	0	NA	promoter-TSS (ID=HMEL004329g1.t1-E1;Parent=HMEL004329g1.t1)	-promoter-TSS (ID=HMEL004329g1.t1-E1;Parent=HMEL004329g1.t1)	-858	ID=HMEL004329g1.t1-E1;Parent=HMEL004329g1.t1								
581	Hmel201009	5890577	5891123	+	0	NA	Intergenic	Intergenic	-11253	ID=HMEL030294g1.t1-E1;Parent=HMEL030294g1.t1								
308	Hmel201009	2861778	2862343	+	0	NA	Intergenic	Intergenic	3107	ID=HMEL017211g1.t1-E3;Parent=HMEL017211g1.t1								
678	Hmel210011	149267	149843	+	0	NA	Intergenic	Intergenic	-7898	ID=HMEL013311g1.t1-E1;Parent=HMEL013311g1.t1								
1517	Hmel216011	741681	742117	+	0	NA	Intergenic	Intergenic	-31715	ID=HMEL011150g1.t1-E1;Parent=HMEL011150g1.t1								
1975	Hmel218018	9164137	9164316	+	0	NA	Intergenic	Intergenic	-3476	ID=HMEL003749g1.t1-E3;Parent=HMEL003749g1.t1								
1973	Hmel218018	9155757	9156679	+	0	NA	Intergenic	Intergenic	-3762	ID=HMEL003749g1.t2-E4;Parent=HMEL003749g1.t2								
1991	Hmel219003	1345691	1346780	+	0	NA	TTS (ID=HMEL034598g1.t1-E1;Parent=HMEL034598g1.t1)	-TTS (ID=HMEL034598g1.t1-E1;Parent=HMEL034598g1.t1)	175	ID=HMEL034598g1.t1-E2;Parent=HMEL034598g1.t1								
927	Hmel212001	1712538	1712714	+	0	NA	Intergenic	Intergenic	22612	ID=HMEL005670g1.t1-E2;Parent=HMEL005670g1.t1								
301	Hmel207021	716268	716626	+	0	NA	Intergenic	Intergenic	-10965	ID=HMEL016331g1.t1-E1;Parent=HMEL016331g1.t1								
2302	Hmel220005	3697440	3697785	+	0	NA	Intergenic	Intergenic	-37675	ID=HMEL035187g1.t1-E1;Parent=HMEL035187g1.t1								
51	Hmel206009	855213	856271	+	0	NA	Intergenic	Intergenic	7571	ID=HMEL037009g1.t1-E1;Parent=HMEL037009g1.t1								
1758	Hmel218005	613802	614711	+	0	NA	Intergenic	Intergenic	-2046	ID=HMEL014936g1.t1-E1;Parent=HMEL014936g1.t1								
1822	Hmel218014	152876	153319	+	0	NA	Intergenic	Intergenic	-28530	ID=HMEL034342g1.t1-E1;Parent=HMEL034342g1.t1								
456	Hmel209001	648661	648840	+	0	NA	Intergenic	Intergenic	15778	ID=HMEL038222g1.t1-E1;Parent=HMEL038222g1.t1								
652	Hmel210005	787145	787415	+	0	NA	promoter-TSS (ID=HMEL008542g1.t1-E3;Parent=HMEL008542g1.t1)	-promoter-TSS (ID=HMEL008542g1.t1-E3;Parent=HMEL008542g1.t1)	65	ID=HMEL008542g1.t1-E3;Parent=HMEL008542g1.t1								
1033	Hmel212009	153428	153834	+	0	NA	Intergenic	Intergenic	-39473	ID=HMEL031553g1.t1-E1;Parent=HMEL031553g1.t1								
2400	Hmel221005	624211	624908	+	0	NA	promoter-TSS (ID=HMEL015057g2.t1-E4;Parent=HMEL015057g2.t1)	-promoter-TSS (ID=HMEL015057g2.t1-E4;Parent=HMEL015057g2.t1)	265	ID=HMEL015057g2.t1-E3;Parent=HMEL015057g2.t1								
2258	Hmel220005	1687822	1688336	+	0	NA	Intergenic	Intergenic	9177	ID=HMEL035096g1.t1-E2;Parent=HMEL035096g1.t1								
2034	Hmel219003	4602646	4603032	+	0	NA	Intergenic	Intergenic	-50678	ID=HMEL034652g1.t1-E1;Parent=HMEL034652g1.t1								
1539	Hmel216011	2554070	2554684	+	0	NA	Intergenic	Intergenic	-13169	ID=HMEL002813g1.t1-E1;Parent=HMEL002813g1.t1								
2029	Hmel219003	4525841	4526531	+	0	NA	Intergenic	Intergenic	-11169	ID=HMEL013143g1.t1-E1;Parent=HMEL013143g1.t1								
796	Hmel211004	1033111	1033479	+	0	NA	Intergenic	Intergenic	-3641	ID=HMEL031050g1.t1-E1;Parent=HMEL031050g1.t1								
2349	Hmel220009	411746	412413	+	0	NA	Intergenic	Intergenic	12357	ID=HMEL020100g1.t1-E1;Parent=HMEL020100g1.t1								
