PeakID (cmd=annotatePeaks.pl development_D2_p05FC1_eratoUnique_D2down.bed /home/rpapa/sbelleghem/share/REF/H_erato_dem/Herato_final.fasta -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_erato_demophoon_v1.gff3 -annStats development_D2_p05FC1_eratoUnique_D2down_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
3844	Herato1301	8743211	8743547	+	0	NA	Intergenic	Intergenic	9999	ID=evm.model.Herato1301.370.1-E22;Parent=evm.model.Herato1301.370.1								
825	Herato1108	7663728	7663936	+	0	NA	Intergenic	Intergenic	12183	ID=evm.model.Herato1108.341.2-E1;Parent=evm.model.Herato1108.341.2								
917	Herato1108	11009752	11010322	+	0	NA	TTS (ID=evm.model.Herato1108.474-E7;Parent=evm.model.Herato1108.474)	-TTS (ID=evm.model.Herato1108.474-E7;Parent=evm.model.Herato1108.474)	879	ID=evm.model.Herato1108.474-E7;Parent=evm.model.Herato1108.474								
3431	Herato1301	18363988	18365010	+	0	NA	Intergenic	Intergenic	3529	ID=evm.model.Herato1301.631-E2;Parent=evm.model.Herato1301.631								
6003	Herato0503	5586829	5587156	+	0	NA	Intergenic	Intergenic	30725	ID=evm.model.Herato0503.185-E1;Parent=evm.model.Herato0503.185								
4977	Herato1910	3183777	3184322	+	0	NA	Intergenic	Intergenic	-18499	ID=evm.model.Herato1910.158-E1;Parent=evm.model.Herato1910.158								
495	Herato0701	590040	590591	+	0	NA	Intergenic	Intergenic	4689	ID=evm.model.Herato0701.21-E1;Parent=evm.model.Herato0701.21								
4501	Herato0101	6180329	6180782	+	0	NA	Intergenic	Intergenic	35962	ID=evm.model.Herato0101.179-E3;Parent=evm.model.Herato0101.179								
3889	Herato1801	2110872	2111037	+	0	NA	Intergenic	Intergenic	7244	ID=evm.model.Herato1801.88-E3;Parent=evm.model.Herato1801.88								
3302	Herato1202	9631829	9632142	+	0	NA	Intergenic	Intergenic	-15716	ID=evm.model.Herato1202.400-E2;Parent=evm.model.Herato1202.400								
2086	Herato1801	5117769	5118849	+	0	NA	Intergenic	Intergenic	2868	ID=evm.model.Herato1801.175-E8;Parent=evm.model.Herato1801.175								
1322	Herato0801	5110371	5110613	+	0	NA	Intergenic	Intergenic	2145	ID=evm.model.Herato0801.107.1-E1;Parent=evm.model.Herato0801.107.1								
1816	Herato0901	10778741	10778927	+	0	NA	Intergenic	Intergenic	-2490	ID=evm.model.Herato0901.324.3-E42;Parent=evm.model.Herato0901.324.3								
5804	Herato1904	511271	511572	+	0	NA	Intergenic	Intergenic	-7133	ID=evm.model.Herato1904.19-E1;Parent=evm.model.Herato1904.19								
5174	Herato0215	3191309	3191644	+	0	NA	Intergenic	Intergenic	-8028	ID=evm.model.Herato0215.124-E1;Parent=evm.model.Herato0215.124								
2460	Herato1007	2877704	2878175	+	0	NA	TTS (ID=evm.model.Herato1007.104-E11;Parent=evm.model.Herato1007.104)	-TTS (ID=evm.model.Herato1007.104-E11;Parent=evm.model.Herato1007.104)	863	ID=evm.model.Herato1007.104.1-E11;Parent=evm.model.Herato1007.104.1								
4293	Herato1408	1756348	1757286	+	0	NA	promoter-TSS (ID=evm.model.Herato1408.55-E3;Parent=evm.model.Herato1408.55)	-promoter-TSS (ID=evm.model.Herato1408.55-E3;Parent=evm.model.Herato1408.55)	-764	ID=evm.model.Herato1408.55-E3;Parent=evm.model.Herato1408.55								
2699	Herato1701	904075	904283	+	0	NA	Intergenic	Intergenic	-31675	ID=evm.model.Herato1701.34-E1;Parent=evm.model.Herato1701.34								
5067	Herato2101	6204370	6204975	+	0	NA	Intergenic	Intergenic	-6992	ID=evm.model.Herato2101.215-E1;Parent=evm.model.Herato2101.215								
1259	Herato0801	1914722	1914937	+	0	NA	Intergenic	Intergenic	-4086	ID=evm.model.Herato0801.39-E1;Parent=evm.model.Herato0801.39								
5464	Herato0403	134079	134555	+	0	NA	Intergenic	Intergenic	-7990	ID=evm.model.Herato0403.4-E1;Parent=evm.model.Herato0403.4								
3824	Herato1301	7467365	7467646	+	0	NA	promoter-TSS (ID=evm.model.Herato1301.289-E4;Parent=evm.model.Herato1301.289)	-promoter-TSS (ID=evm.model.Herato1301.289-E4;Parent=evm.model.Herato1301.289)	-677	ID=evm.model.Herato1301.289-E4;Parent=evm.model.Herato1301.289								
3574	Herato1202	19505220	19505710	+	0	NA	Intergenic	Intergenic	8598	ID=evm.model.Herato1202.790-E1;Parent=evm.model.Herato1202.790								
2976	Herato1202	19906569	19906796	+	0	NA	promoter-TSS (ID=evm.model.Herato1202.803-E9;Parent=evm.model.Herato1202.803)	-promoter-TSS (ID=evm.model.Herato1202.803-E9;Parent=evm.model.Herato1202.803)	557	ID=evm.model.Herato1202.803-E8;Parent=evm.model.Herato1202.803								
5401	Herato2001	11619146	11619616	+	0	NA	Intergenic	Intergenic	9110	ID=evm.model.Herato2001.441-E4;Parent=evm.model.Herato2001.441								
3475	Herato1805	3870217	3870434	+	0	NA	Intergenic	Intergenic	-117447	ID=evm.model.Herato1805.105-E1;Parent=evm.model.Herato1805.105								
4319	Herato1605	2069205	2069911	+	0	NA	Intergenic	Intergenic	6900	ID=evm.model.Herato1605.64-E1;Parent=evm.model.Herato1605.64								
5531	Herato0310	8611724	8612104	+	0	NA	Intergenic	Intergenic	-7479	ID=evm.model.Herato0310.229-E2;Parent=evm.model.Herato0310.229								
3421	Herato1202	14481950	14482312	+	0	NA	Intergenic	Intergenic	-2489	ID=evm.model.Herato1202.552.4-E2;Parent=evm.model.Herato1202.552.4								
3238	Herato1202	7608378	7608868	+	0	NA	Intergenic	Intergenic	-2907	ID=evm.model.Herato1202.304-E1;Parent=evm.model.Herato1202.304								
2274	Herato0310	4710339	4710555	+	0	NA	Intergenic	Intergenic	2528	ID=evm.model.Herato0310.120-E3;Parent=evm.model.Herato0310.120								
5938	Herato0411	3612396	3612787	+	0	NA	TTS (ID=evm.model.Herato0411.76-E2;Parent=evm.model.Herato0411.76)	-TTS (ID=evm.model.Herato0411.76-E2;Parent=evm.model.Herato0411.76)	723	ID=evm.model.Herato0411.76-E2;Parent=evm.model.Herato0411.76								
2002	Herato2101	7187038	7187571	+	0	NA	Intergenic	Intergenic	-2498	ID=evm.model.Herato2101.259-E2;Parent=evm.model.Herato2101.259								
4902	Herato1703	1756302	1757350	+	0	NA	Intergenic	Intergenic	-5318	ID=evm.model.Herato1703.30.2-E1;Parent=evm.model.Herato1703.30.2								
4591	Herato2001	6209759	6210182	+	0	NA	Intergenic	Intergenic	20815	ID=evm.model.Herato2001.222-E5;Parent=evm.model.Herato2001.222								
1203	Herato0801	632335	632476	+	0	NA	Intergenic	Intergenic	11706	ID=evm.model.Herato0801.17.1-E1;Parent=evm.model.Herato0801.17.1								
5508	Herato1801	600960	601523	+	0	NA	Intergenic	Intergenic	-1275	ID=evm.model.Herato1801.31-E2;Parent=evm.model.Herato1801.31								
5873	Herato0101	4274643	4274984	+	0	NA	Intergenic	Intergenic	1297	ID=evm.model.Herato0101.129-E5;Parent=evm.model.Herato0101.129								
4261	Herato1408	503011	503330	+	0	NA	Intergenic	Intergenic	-111656	ID=evm.model.Herato1408.25-E1;Parent=evm.model.Herato1408.25								
2088	Herato1003	2085428	2085787	+	0	NA	Intergenic	Intergenic	-2312	ID=evm.model.Herato1003.65.1-E1;Parent=evm.model.Herato1003.65.1								
1068	Herato1202	199709	200117	+	0	NA	Intergenic	Intergenic	-2233	ID=evm.model.Herato1202.15.2-E3;Parent=evm.model.Herato1202.15.2								
4429	Herato1603	2938718	2939200	+	0	NA	promoter-TSS (ID=evm.model.Herato1603.84-E3;Parent=evm.model.Herato1603.84)	-promoter-TSS (ID=evm.model.Herato1603.84-E3;Parent=evm.model.Herato1603.84)	772	ID=evm.model.Herato1603.84-E2;Parent=evm.model.Herato1603.84								
486	Herato0701	461765	462166	+	0	NA	Intergenic	Intergenic	11956	ID=evm.model.Herato0701.14.4-E2;Parent=evm.model.Herato0701.14.4								
2134	Herato1805	2655666	2656253	+	0	NA	Intergenic	Intergenic	7698	ID=novel_model_238_novel_model_241-E2;Parent=novel_model_238_novel_model_241								
1354	Herato2001	1269896	1270519	+	0	NA	Intergenic	Intergenic	11145	ID=evm.model.Herato2001.22-E1;Parent=evm.model.Herato2001.22								
4066	Herato1904	3967885	3968363	+	0	NA	Intergenic	Intergenic	-11484	ID=evm.model.Herato1904.139-E4;Parent=evm.model.Herato1904.139								
4213	Herato1301	22944180	22944768	+	0	NA	Intergenic	Intergenic	-108971	ID=evm.model.Herato1301.770-E1;Parent=evm.model.Herato1301.770								
8	Herato0508	806676	807205	+	0	NA	Intergenic	Intergenic	31919	ID=evm.model.Herato0508.43-E2;Parent=evm.model.Herato0508.43								
3239	Herato1605	609790	610040	+	0	NA	Intergenic	Intergenic	-28591	ID=evm.model.Herato1605.30-E1;Parent=evm.model.Herato1605.30								
2359	Herato1805	9743115	9743672	+	0	NA	Intergenic	Intergenic	43435	ID=evm.model.Herato1805.290-E1;Parent=evm.model.Herato1805.290								
5309	Herato0501	201475	201740	+	0	NA	Intergenic	Intergenic	-15577	ID=evm.model.Herato0501.13.1-E1;Parent=evm.model.Herato0501.13.1								
2045	Herato1301	12269947	12270191	+	0	NA	Intergenic	Intergenic	51689	ID=evm.model.Herato1301.483.1-E8;Parent=evm.model.Herato1301.483.1								
686	Herato0701	6478184	6478610	+	0	NA	Intergenic	Intergenic	13233	ID=evm.model.Herato0701.284-E1;Parent=evm.model.Herato0701.284								
5310	Herato1901	746037	747419	+	0	NA	promoter-TSS (ID=evm.model.Herato1901.22-E3;Parent=evm.model.Herato1901.22)	-promoter-TSS (ID=evm.model.Herato1901.22-E3;Parent=evm.model.Herato1901.22)	-341	ID=evm.model.Herato1901.22-E3;Parent=evm.model.Herato1901.22								
3149	Herato1202	4244785	4245266	+	0	NA	Intergenic	Intergenic	-3504	ID=evm.model.Herato1202.150.1-E8;Parent=evm.model.Herato1202.150.1								
943	Herato0701	13730125	13730514	+	0	NA	Intergenic	Intergenic	-83392	ID=evm.model.Herato0701.628-E1;Parent=evm.model.Herato0701.628								
1887	Herato0901	12526718	12527240	+	0	NA	Intergenic	Intergenic	4028	ID=evm.model.Herato0901.380.1-E2;Parent=evm.model.Herato0901.380.1								
4258	Herato1805	8765518	8765757	+	0	NA	Intergenic	Intergenic	27930	ID=evm.model.Herato1805.261-E3;Parent=evm.model.Herato1805.261								
1585	Herato1701	3679468	3679657	+	0	NA	Intergenic	Intergenic	2141	ID=evm.model.Herato1701.88-E1;Parent=evm.model.Herato1701.88								
4709	Herato2001	10696139	10696585	+	0	NA	Intergenic	Intergenic	-6359	ID=evm.model.Herato2001.419-E1;Parent=evm.model.Herato2001.419								
4993	Herato1807	3238945	3239384	+	0	NA	Intergenic	Intergenic	-17602	ID=evm.model.Herato1807.63-E1;Parent=evm.model.Herato1807.63								
4474	Herato0210	159972	160314	+	0	NA	Intergenic	Intergenic	14054	ID=evm.model.Herato0210.8.2-E19;Parent=evm.model.Herato0210.8.2								
2705	Herato2101	15950139	15950493	+	0	NA	Intergenic	Intergenic	4192	ID=evm.model.Herato2101.494-E1;Parent=evm.model.Herato2101.494								
690	Herato1108	4084485	4084867	+	0	NA	Intergenic	Intergenic	-21344	ID=evm.model.Herato1108.155-E4;Parent=evm.model.Herato1108.155								
5825	Herato2101	1924594	1925380	+	0	NA	Intergenic	Intergenic	-1986	ID=evm.model.Herato2101.65-E1;Parent=evm.model.Herato2101.65								
61	Herato0601	953105	953377	+	0	NA	Intergenic	Intergenic	-47320	ID=evm.model.Herato0601.10-E1;Parent=evm.model.Herato0601.10								
4475	Herato0411	1039267	1039861	+	0	NA	Intergenic	Intergenic	-4448	ID=evm.model.Herato0411.17-E3;Parent=evm.model.Herato0411.17								
5215	Herato1904	467585	468105	+	0	NA	Intergenic	Intergenic	3268	ID=evm.model.Herato1904.16.2-E1;Parent=evm.model.Herato1904.16.2								
5970	Herato2001	1777634	1778855	+	0	NA	Intergenic	Intergenic	-8033	ID=evm.model.Herato2001.35-E1;Parent=evm.model.Herato2001.35								
4094	Herato0304	62954	63329	+	0	NA	Intergenic	Intergenic	-42405	ID=evm.model.Herato0304.1-E1;Parent=evm.model.Herato0304.1								
3540	Herato1202	18394266	18394604	+	0	NA	Intergenic	Intergenic	4596	ID=evm.model.Herato1202.746-E9;Parent=evm.model.Herato1202.746								
4704	Herato1701	5125988	5126311	+	0	NA	TTS (ID=evm.model.Herato1701.124-E5;Parent=evm.model.Herato1701.124)	-TTS (ID=evm.model.Herato1701.124-E5;Parent=evm.model.Herato1701.124)	121	ID=evm.model.Herato1701.124-E6;Parent=evm.model.Herato1701.124								
2394	Herato1007	1239377	1239766	+	0	NA	Intergenic	Intergenic	23480	ID=evm.model.Herato1007.46-E2;Parent=evm.model.Herato1007.46								
1266	Herato0801	3323115	3323556	+	0	NA	Intergenic	Intergenic	-12771	ID=evm.model.Herato0801.64-E1;Parent=evm.model.Herato0801.64								
5780	Herato0503	2523171	2523564	+	0	NA	Intergenic	Intergenic	2540	ID=evm.model.Herato0503.97.1-E1;Parent=evm.model.Herato0503.97.1								
3419	Herato1301	17605850	17606298	+	0	NA	Intergenic	Intergenic	-12558	ID=evm.model.Herato1301.619-E1;Parent=evm.model.Herato1301.619								
3326	Herato1202	10762422	10763037	+	0	NA	Intergenic	Intergenic	-4565	ID=evm.model.Herato1202.428.2-E1;Parent=evm.model.Herato1202.428.2								
5433	Herato2001	5102685	5102993	+	0	NA	Intergenic	Intergenic	4466	ID=evm.model.Herato2001.171-E4;Parent=evm.model.Herato2001.171								
2654	Herato1202	11025475	11025873	+	0	NA	Intergenic	Intergenic	-30902	ID=evm.model.Herato1202.441-E1;Parent=evm.model.Herato1202.441								
4209	Herato1301	22871398	22872080	+	0	NA	Intergenic	Intergenic	65930	ID=evm.model.Herato1301.769-E9;Parent=evm.model.Herato1301.769								
4144	Herato2001	10798484	10798653	+	0	NA	Intergenic	Intergenic	1122	ID=evm.model.Herato2001.420-E3;Parent=evm.model.Herato2001.420								
4784	Herato0503	3724899	3725135	+	0	NA	TTS (ID=evm.model.Herato0503.122-E9;Parent=evm.model.Herato0503.122)	-TTS (ID=evm.model.Herato0503.122-E9;Parent=evm.model.Herato0503.122)	652	ID=evm.model.Herato0503.122-E9;Parent=evm.model.Herato0503.122								
3627	Herato0101	2096181	2097663	+	0	NA	Intergenic	Intergenic	9826	ID=evm.model.Herato0101.51.1-E1;Parent=evm.model.Herato0101.51.1								
39	Herato0508	1978377	1978895	+	0	NA	Intergenic	Intergenic	9411	ID=evm.model.Herato0508.76-E2;Parent=evm.model.Herato0508.76								
5907	Herato2001	10838216	10839094	+	0	NA	promoter-TSS (ID=evm.model.Herato2001.421-E2;Parent=evm.model.Herato2001.421)	-promoter-TSS (ID=evm.model.Herato2001.421-E2;Parent=evm.model.Herato2001.421)	-286	ID=evm.model.Herato2001.421-E2;Parent=evm.model.Herato2001.421								
558	Herato0701	2979608	2979887	+	0	NA	TTS (ID=evm.model.Herato0701.164-E3;Parent=evm.model.Herato0701.164)	-TTS (ID=evm.model.Herato0701.164-E3;Parent=evm.model.Herato0701.164)	465	ID=evm.model.Herato0701.164-E3;Parent=evm.model.Herato0701.164								
3200	Herato1603	3462831	3463390	+	0	NA	Intergenic	Intergenic	-25093	ID=evm.model.Herato1603.91-E1;Parent=evm.model.Herato1603.91								
5443	Herato2001	12672579	12673502	+	0	NA	Intergenic	Intergenic	-2475	ID=evm.model.Herato2001.483-E3;Parent=evm.model.Herato2001.483								
5503	Herato2001	14458754	14458966	+	0	NA	Intergenic	Intergenic	-23247	ID=evm.model.Herato2001.568-E1;Parent=evm.model.Herato2001.568								
5536	Herato2001	3634155	3634537	+	0	NA	Intergenic	Intergenic	-1020	ID=evm.model.Herato2001.112-E1;Parent=evm.model.Herato2001.112								
573	Herato0701	3229435	3229752	+	0	NA	Intergenic	Intergenic	1865	ID=evm.model.Herato0701.167-E1;Parent=evm.model.Herato0701.167								
2710	Herato1505	2448245	2448779	+	0	NA	Intergenic	Intergenic	-3764	ID=evm.model.Herato1505.95-E6;Parent=evm.model.Herato1505.95								
1084	Herato1202	440503	440734	+	0	NA	Intergenic	Intergenic	19524	ID=evm.model.Herato1202.25-E7;Parent=evm.model.Herato1202.25								
4570	Herato2001	5279921	5280149	+	0	NA	promoter-TSS (ID=evm.model.Herato2001.177.3-E1;Parent=evm.model.Herato2001.177.3)	-promoter-TSS (ID=evm.model.Herato2001.177.3-E1;Parent=evm.model.Herato2001.177.3)	-630	ID=evm.model.Herato2001.177.3-E1;Parent=evm.model.Herato2001.177.3								
5324	Herato2001	8939120	8939955	+	0	NA	promoter-TSS (ID=evm.model.Herato2001.376-E24;Parent=evm.model.Herato2001.376)	-promoter-TSS (ID=evm.model.Herato2001.376-E24;Parent=evm.model.Herato2001.376)	-857	ID=evm.model.Herato2001.376.2-E25;Parent=evm.model.Herato2001.376.2								
3446	Herato1202	15286172	15287077	+	0	NA	Intergenic	Intergenic	-3023	ID=evm.model.Herato1202.579-E1;Parent=evm.model.Herato1202.579								
638	Herato1411	6619774	6619973	+	0	NA	promoter-TSS (ID=evm.model.Herato1411.245-E1;Parent=evm.model.Herato1411.245)	-promoter-TSS (ID=evm.model.Herato1411.245-E1;Parent=evm.model.Herato1411.245)	-356	ID=evm.model.Herato1411.245-E1;Parent=evm.model.Herato1411.245								
2350	Herato1005	4575253	4575548	+	0	NA	Intergenic	Intergenic	-4301	ID=evm.model.Herato1005.220-E2;Parent=evm.model.Herato1005.220								
2479	Herato1408	5946039	5946709	+	0	NA	Intergenic	Intergenic	6409	ID=evm.model.Herato1408.236-E2;Parent=evm.model.Herato1408.236								
