PeakID (cmd=annotatePeaks.pl development_5th_p05FC1_eratoUnique_5thdown.bed /home/rpapa/sbelleghem/share/REF/H_erato_dem/Herato_final.fasta -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_erato_demophoon_v1.gff3 -annStats development_5th_p05FC1_eratoUnique_5thdown_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1244	Herato0701	8881725	8881899	+	0	NA	Intergenic	Intergenic	-129509	ID=evm.model.Herato0701.374.1-E1;Parent=evm.model.Herato0701.374.1								
1638	Herato0701	16841598	16841863	+	0	NA	Intergenic	Intergenic	-15279	ID=evm.model.Herato0701.719-E1;Parent=evm.model.Herato0701.719								
29	Herato0508	1160879	1161470	+	0	NA	Intergenic	Intergenic	-18736	ID=evm.model.Herato0508.58-E1;Parent=evm.model.Herato0508.58								
7816	Herato0101	7290236	7291245	+	0	NA	Intergenic	Intergenic	16136	ID=evm.model.Herato0101.227-E1;Parent=evm.model.Herato0101.227								
5831	Herato1805	2646236	2646732	+	0	NA	promoter-TSS (ID=novel_model_238_novel_model_241-E1;Parent=novel_model_238_novel_model_241)	-promoter-TSS (ID=novel_model_238_novel_model_241-E1;Parent=novel_model_238_novel_model_241)	-427	ID=novel_model_238_novel_model_241-E1;Parent=novel_model_238_novel_model_241								
4087	Herato1507	5181962	5182716	+	0	NA	TTS (ID=evm.model.Herato1507.177-E3;Parent=evm.model.Herato1507.177)	-TTS (ID=evm.model.Herato1507.177-E3;Parent=evm.model.Herato1507.177)	355	ID=evm.model.Herato1507.177.1-E3;Parent=evm.model.Herato1507.177.1								
1969	Herato1605	2652713	2653275	+	0	NA	Intergenic	Intergenic	7820	ID=evm.model.Herato1605.91-E18;Parent=evm.model.Herato1605.91								
2203	Herato0901	2244796	2245055	+	0	NA	Intergenic	Intergenic	67216	ID=evm.model.Herato0901.75-E2;Parent=evm.model.Herato0901.75								
6358	Herato1603	2411942	2412381	+	0	NA	Intergenic	Intergenic	6158	ID=evm.model.Herato1603.132-E3;Parent=evm.model.Herato1603.132								
4358	Herato1202	1807144	1807873	+	0	NA	Intergenic	Intergenic	-2731	ID=evm.model.Herato1202.63.8-E1;Parent=evm.model.Herato1202.63.8								
2994	Herato1301	16763313	16763663	+	0	NA	Intergenic	Intergenic	50347	ID=evm.model.Herato1301.593-E13;Parent=evm.model.Herato1301.593								
6587	Herato0411	5200557	5200975	+	0	NA	Intergenic	Intergenic	1613	ID=evm.model.Herato0411.120-E2;Parent=evm.model.Herato0411.120								
4003	Herato0101	18289544	18290400	+	0	NA	Intergenic	Intergenic	2722	ID=evm.model.Herato0101.723-E3;Parent=evm.model.Herato0101.723								
4836	Herato2001	6019411	6020102	+	0	NA	promoter-TSS (ID=evm.model.Herato2001.218-E1;Parent=evm.model.Herato2001.218)	-promoter-TSS (ID=evm.model.Herato2001.218-E1;Parent=evm.model.Herato2001.218)	-187	ID=evm.model.Herato2001.218-E1;Parent=evm.model.Herato2001.218								
3844	Herato1108	4074665	4074811	+	0	NA	Intergenic	Intergenic	16184	ID=evm.model.Herato1108.155-E3;Parent=evm.model.Herato1108.155								
3889	Herato0101	6570522	6571332	+	0	NA	Intergenic	Intergenic	19905	ID=evm.model.Herato0101.199-E4;Parent=evm.model.Herato0101.199								
2086	Herato0101	13527355	13527978	+	0	NA	Intergenic	Intergenic	-9591	ID=evm.model.Herato0101.471-E1;Parent=evm.model.Herato0101.471								
1322	Herato0101	11160015	11161085	+	0	NA	Intergenic	Intergenic	3652	ID=evm.model.Herato0101.318-E19;Parent=evm.model.Herato0101.318								
7337	Herato1801	1105499	1106268	+	0	NA	Intergenic	Intergenic	-27625	ID=evm.model.Herato1801.48-E1;Parent=evm.model.Herato1801.48								
5804	Herato1505	3327702	3328272	+	0	NA	Intergenic	Intergenic	9213	ID=evm.model.Herato1505.142.1-E1;Parent=evm.model.Herato1505.142.1								
2699	Herato1001	1626173	1627022	+	0	NA	TTS (ID=evm.model.Herato1001.62-E1;Parent=evm.model.Herato1001.62)	-TTS (ID=evm.model.Herato1001.62-E1;Parent=evm.model.Herato1001.62)	1226	ID=evm.model.Herato1001.62-E1;Parent=evm.model.Herato1001.62								
7398	Herato1908	2617459	2618043	+	0	NA	Intergenic	Intergenic	16356	ID=evm.model.Herato1908.102-E1;Parent=evm.model.Herato1908.102								
1259	Herato0701	8965443	8966018	+	0	NA	Intergenic	Intergenic	69429	ID=evm.model.Herato0701.375-E9;Parent=evm.model.Herato0701.375								
8694	Herato0411	4492587	4492762	+	0	NA	Intergenic	Intergenic	-37653	ID=evm.model.Herato0411.101-E1;Parent=evm.model.Herato0411.101								
5464	Herato1603	2958453	2958889	+	0	NA	Intergenic	Intergenic	-18940	ID=evm.model.Herato1603.84-E2;Parent=evm.model.Herato1603.84								
5401	Herato1301	5405834	5406344	+	0	NA	TTS (ID=evm.model.Herato1301.193-E2;Parent=evm.model.Herato1301.193)	-TTS (ID=evm.model.Herato1301.193-E2;Parent=evm.model.Herato1301.193)	560	ID=evm.model.Herato1301.193-E2;Parent=evm.model.Herato1301.193								
3475	Herato1007	1724582	1724708	+	0	NA	TTS (ID=evm.model.Herato1007.75-E1;Parent=evm.model.Herato1007.75)	-TTS (ID=evm.model.Herato1007.75-E1;Parent=evm.model.Herato1007.75)	931	ID=evm.model.Herato1007.75.1-E1;Parent=evm.model.Herato1007.75.1								
4319	Herato1601	756317	756811	+	0	NA	Intergenic	Intergenic	4771	ID=evm.model.Herato1601.35-E2;Parent=evm.model.Herato1601.35								
8193	Herato2001	1329526	1330461	+	0	NA	TTS (ID=evm.model.Herato2001.22.2-E1;Parent=evm.model.Herato2001.22.2)	-TTS (ID=evm.model.Herato2001.22.2-E1;Parent=evm.model.Herato2001.22.2)	1186	ID=evm.model.Herato2001.22.2-E1;Parent=evm.model.Herato2001.22.2								
6327	Herato1807	3214091	3214275	+	0	NA	Intergenic	Intergenic	-42583	ID=evm.model.Herato1807.63-E1;Parent=evm.model.Herato1807.63								
6894	Herato0310	2965076	2965467	+	0	NA	Intergenic	Intergenic	-12686	ID=evm.model.Herato0310.62-E2;Parent=evm.model.Herato0310.62								
4902	Herato1202	14366147	14366328	+	0	NA	promoter-TSS (ID=evm.model.Herato1202.544-E7;Parent=evm.model.Herato1202.544)	-promoter-TSS (ID=evm.model.Herato1202.544-E7;Parent=evm.model.Herato1202.544)	-227	ID=evm.model.Herato1202.544.1-E7;Parent=evm.model.Herato1202.544.1								
1203	Herato1108	5939138	5939497	+	0	NA	Intergenic	Intergenic	-9550	ID=evm.model.Herato1108.249-E11;Parent=evm.model.Herato1108.249								
4261	Herato0101	18871316	18872877	+	0	NA	Intergenic	Intergenic	-11093	ID=evm.model.Herato0101.747-E1;Parent=evm.model.Herato0101.747								
4429	Herato1202	3199185	3199645	+	0	NA	Intergenic	Intergenic	-15468	ID=evm.model.Herato1202.112-E1;Parent=evm.model.Herato1202.112								
1354	Herato0701	10407424	10407870	+	0	NA	Intergenic	Intergenic	13358	ID=evm.model.Herato0701.433-E2;Parent=evm.model.Herato0701.433								
4066	Herato0503	921382	922061	+	0	NA	Intergenic	Intergenic	-4851	ID=evm.model.Herato0503.28-E12;Parent=evm.model.Herato0503.28								
8	Herato0508	537919	538579	+	0	NA	Intergenic	Intergenic	16462	ID=evm.model.Herato0508.26-E1;Parent=evm.model.Herato0508.26								
7479	Herato2101	10858866	10860010	+	0	NA	promoter-TSS (ID=evm.model.Herato2101.377-E7;Parent=evm.model.Herato2101.377)	-promoter-TSS (ID=evm.model.Herato2101.377-E7;Parent=evm.model.Herato2101.377)	-446	ID=evm.model.Herato2101.377-E7;Parent=evm.model.Herato2101.377								
2359	Herato1202	18914933	18915361	+	0	NA	promoter-TSS (ID=evm.model.Herato1202.764.1-E1;Parent=evm.model.Herato1202.764.1)	-promoter-TSS (ID=evm.model.Herato1202.764.1-E1;Parent=evm.model.Herato1202.764.1)	-682	ID=evm.model.Herato1202.764.1-E1;Parent=evm.model.Herato1202.764.1								
6375	Herato1411	1621490	1622332	+	0	NA	Intergenic	Intergenic	-1901	ID=evm.model.Herato1411.45-E4;Parent=evm.model.Herato1411.45								
7790	Herato1910	2234084	2235239	+	0	NA	TTS (ID=evm.model.Herato1910.132-E1;Parent=evm.model.Herato1910.132)	-TTS (ID=evm.model.Herato1910.132-E1;Parent=evm.model.Herato1910.132)	182	ID=evm.model.Herato1910.132.3-E2;Parent=evm.model.Herato1910.132.3								
4993	Herato1701	4419870	4420488	+	0	NA	Intergenic	Intergenic	22344	ID=evm.model.Herato1701.105-E1;Parent=evm.model.Herato1701.105								
8611	Herato1805	3444287	3444515	+	0	NA	Intergenic	Intergenic	-3986	ID=evm.model.Herato1805.100-E1;Parent=evm.model.Herato1805.100								
6631	Herato1505	1431125	1431467	+	0	NA	promoter-TSS (ID=evm.model.Herato1505.49-E1;Parent=evm.model.Herato1505.49)	-promoter-TSS (ID=evm.model.Herato1505.49-E1;Parent=evm.model.Herato1505.49)	-83	ID=evm.model.Herato1505.49-E1;Parent=evm.model.Herato1505.49								
8577	Herato0503	5237394	5238365	+	0	NA	Intergenic	Intergenic	-3887	ID=evm.model.Herato0503.170.1-E3;Parent=evm.model.Herato0503.170.1								
5215	Herato1701	9732441	9733560	+	0	NA	Intergenic	Intergenic	-17909	ID=evm.model.Herato1701.333-E1;Parent=evm.model.Herato1701.333								
5970	Herato0101	674653	674866	+	0	NA	Intergenic	Intergenic	2178	ID=evm.model.Herato0101.15-E2;Parent=evm.model.Herato0101.15								
4094	Herato1507	5263725	5264117	+	0	NA	Intergenic	Intergenic	-6135	ID=evm.model.Herato1507.181-E5;Parent=evm.model.Herato1507.181								
3540	Herato1007	2877704	2878175	+	0	NA	TTS (ID=evm.model.Herato1007.104-E11;Parent=evm.model.Herato1007.104)	-TTS (ID=evm.model.Herato1007.104-E11;Parent=evm.model.Herato1007.104)	863	ID=evm.model.Herato1007.104.1-E11;Parent=evm.model.Herato1007.104.1								
6421	Herato0405	1473514	1473776	+	0	NA	Intergenic	Intergenic	-29262	ID=evm.model.Herato0405.47-E1;Parent=evm.model.Herato0405.47								
4704	Herato2001	2519533	2519788	+	0	NA	Intergenic	Intergenic	3689	ID=evm.model.Herato2001.71-E1;Parent=evm.model.Herato2001.71								
2394	Herato0901	7287098	7287289	+	0	NA	Intergenic	Intergenic	-7416	ID=evm.model.Herato0901.241-E2;Parent=evm.model.Herato0901.241								
1266	Herato1108	6770016	6770408	+	0	NA	promoter-TSS (ID=evm.model.Herato1108.293-E4;Parent=evm.model.Herato1108.293)	-promoter-TSS (ID=evm.model.Herato1108.293-E4;Parent=evm.model.Herato1108.293)	-612	ID=evm.model.Herato1108.293.2-E4;Parent=evm.model.Herato1108.293.2								
6578	Herato1505	325232	326064	+	0	NA	Intergenic	Intergenic	10590	ID=evm.model.Herato1505.21.1-E1;Parent=evm.model.Herato1505.21.1								
8789	Herato1901	2906283	2906671	+	0	NA	Intergenic	Intergenic	3277	ID=evm.model.Herato1901.92-E1;Parent=evm.model.Herato1901.92								
3419	Herato1408	1916396	1916724	+	0	NA	Intergenic	Intergenic	5513	ID=evm.model.Herato1408.63-E2;Parent=evm.model.Herato1408.63								
3326	Herato1805	7355160	7356171	+	0	NA	Intergenic	Intergenic	-3986	ID=evm.model.Herato1805.219-E2;Parent=evm.model.Herato1805.219								
5433	Herato1301	6337909	6338105	+	0	NA	Intergenic	Intergenic	-6849	ID=evm.model.Herato1301.221-E2;Parent=evm.model.Herato1301.221								
4209	Herato1507	7909938	7910562	+	0	NA	Intergenic	Intergenic	-6440	ID=evm.model.Herato1507.277_evm.model.Herato1507.278-E25;Parent=evm.model.Herato1507.277_evm.model.Herato1507.278								
4784	Herato2001	4952475	4952852	+	0	NA	Intergenic	Intergenic	2750	ID=evm.model.Herato2001.170-E1;Parent=evm.model.Herato2001.170								
7514	Herato1605	3967015	3968145	+	0	NA	Intergenic	Intergenic	-19625	ID=evm.model.Herato1605.120-E6;Parent=evm.model.Herato1605.120								
39	Herato0508	1295855	1296160	+	0	NA	Intergenic	Intergenic	7646	ID=evm.model.Herato0508.60-E2;Parent=evm.model.Herato0508.60								
558	Herato0101	9320400	9321859	+	0	NA	Intergenic	Intergenic	-3211	ID=evm.model.Herato0101.282.1.1-E1;Parent=evm.model.Herato0101.282.1.1								
7854	Herato2001	12579780	12580062	+	0	NA	Intergenic	Intergenic	-2418	ID=evm.model.Herato2001.478.1.1-E1;Parent=evm.model.Herato2001.478.1.1								
8091	Herato0411	3822532	3823321	+	0	NA	exon (ID=evm.model.Herato0411.84-E12;Parent=evm.model.Herato0411.84, exon 1 of 1)	-exon (ID=evm.model.Herato0411.84-E12;Parent=evm.model.Herato0411.84, exon 1 of 1)	279	ID=evm.model.Herato0411.84.3-E10;Parent=evm.model.Herato0411.84.3								
7184	Herato2101	677920	678467	+	0	NA	Intergenic	Intergenic	-25228	ID=evm.model.Herato2101.29.2-E1;Parent=evm.model.Herato2101.29.2								
6101	Herato0204	775127	775320	+	0	NA	Intergenic	Intergenic	-124318	ID=evm.model.Herato0204.27.3-E1;Parent=evm.model.Herato0204.27.3								
4570	Herato1202	6223436	6223752	+	0	NA	TTS (ID=evm.model.Herato1202.256-E11;Parent=evm.model.Herato1202.256)	-TTS (ID=evm.model.Herato1202.256-E11;Parent=evm.model.Herato1202.256)	1266	ID=evm.model.Herato1202.256-E11;Parent=evm.model.Herato1202.256								
2350	Herato0101	14166754	14167054	+	0	NA	Intergenic	Intergenic	-15077	ID=evm.model.Herato0101.507-E1;Parent=evm.model.Herato0101.507								
2479	Herato0101	14517628	14518146	+	0	NA	Intergenic	Intergenic	29436	ID=evm.model.Herato0101.515-E3;Parent=evm.model.Herato0101.515								
1	Herato0508	466302	466464	+	0	NA	Intergenic	Intergenic	-1439	ID=evm.model.Herato0508.23_evm.model.Herato0508.25_evm.model.Herato0508.91.3-E3;Parent=evm.model.Herato0508.23_evm.model.Herato0508.25_evm.model.Herato0508.91.3								
506	Herato0101	1606454	1606916	+	0	NA	Intergenic	Intergenic	-2640	ID=evm.model.Herato0101.39.2-E3;Parent=evm.model.Herato0101.39.2								
5929	Herato1301	20175386	20176142	+	0	NA	Intergenic	Intergenic	-1113	ID=evm.model.Herato1301.690-E3;Parent=evm.model.Herato1301.690								
5554	Herato1801	2018362	2018688	+	0	NA	Intergenic	Intergenic	-9173	ID=evm.model.Herato1801.84-E1;Parent=evm.model.Herato1801.84								
4184	Herato0101	3305073	3305533	+	0	NA	TTS (ID=evm.model.Herato0101.109-E1;Parent=evm.model.Herato0101.109)	-TTS (ID=evm.model.Herato0101.109-E1;Parent=evm.model.Herato0101.109)	371	ID=evm.model.Herato0101.109-E2;Parent=evm.model.Herato0101.109								
7950	Herato2001	14589527	14590116	+	0	NA	Intergenic	Intergenic	9742	ID=evm.model.Herato2001.569-E2;Parent=evm.model.Herato2001.569								
8100	Herato2101	292915	293482	+	0	NA	Intergenic	Intergenic	-21606	ID=evm.model.Herato2101.19-E1;Parent=evm.model.Herato2101.19								
7583	Herato1904	2471823	2472139	+	0	NA	Intergenic	Intergenic	-2852	ID=evm.model.Herato1904.87.1-E4;Parent=evm.model.Herato1904.87.1								
8600	Herato1910	3107606	3107811	+	0	NA	Intergenic	Intergenic	3591	ID=evm.model.Herato1910.155-E5;Parent=evm.model.Herato1910.155								
2845	Herato0101	15571342	15571540	+	0	NA	Intergenic	Intergenic	-32913	ID=evm.model.Herato0101.572-E1;Parent=evm.model.Herato0101.572								
8537	Herato2001	7261244	7262124	+	0	NA	Intergenic	Intergenic	4783	ID=evm.model.Herato2001.279-E10;Parent=evm.model.Herato2001.279								
581	Herato1005	4153806	4154105	+	0	NA	Intergenic	Intergenic	-26841	ID=evm.model.Herato1005.189-E2;Parent=evm.model.Herato1005.189								
4676	Herato1605	1780026	1780249	+	0	NA	Intergenic	Intergenic	-2856	ID=evm.model.Herato1605.54-E3;Parent=evm.model.Herato1605.54								
4200	Herato1507	7789693	7790000	+	0	NA	promoter-TSS (ID=evm.model.Herato1507.274-E1;Parent=evm.model.Herato1507.274)	-promoter-TSS (ID=evm.model.Herato1507.274-E1;Parent=evm.model.Herato1507.274)	28	ID=evm.model.Herato1507.274-E1;Parent=evm.model.Herato1507.274								
678	Herato1007	1131885	1132133	+	0	NA	Intergenic	Intergenic	5132	ID=evm.model.Herato1007.44-E2;Parent=evm.model.Herato1007.44								
3862	Herato1505	1784625	1784881	+	0	NA	promoter-TSS (ID=evm.model.Herato1505.59-E14;Parent=evm.model.Herato1505.59)	-promoter-TSS (ID=evm.model.Herato1505.59-E14;Parent=evm.model.Herato1505.59)	132	ID=evm.model.Herato1505.59.2-E11;Parent=evm.model.Herato1505.59.2								
1517	Herato0701	14133855	14134478	+	0	NA	Intergenic	Intergenic	8832	ID=evm.model.Herato0701.641.1-E1;Parent=evm.model.Herato0701.641.1								
2808	Herato1001	4924652	4924821	+	0	NA	Intergenic	Intergenic	18572	ID=evm.model.Herato1001.166-E9;Parent=evm.model.Herato1001.166								
1975	Herato0821	96439	96734	+	0	NA	promoter-TSS (ID=evm.model.Herato0821.2-E4;Parent=evm.model.Herato0821.2)	-promoter-TSS (ID=evm.model.Herato0821.2-E4;Parent=evm.model.Herato0821.2)	-480	ID=evm.model.Herato0821.2-E4;Parent=evm.model.Herato0821.2								
1973	Herato0821	74598	75372	+	0	NA	Intergenic	Intergenic	8034	ID=evm.model.Herato0821.2-E2;Parent=evm.model.Herato0821.2								
8214	Herato1801	2099067	2099230	+	0	NA	Intergenic	Intergenic	-12221	ID=evm.model.Herato1801.88.1-E4;Parent=evm.model.Herato1801.88.1								
6797	Herato1507	3309998	3310256	+	0	NA	promoter-TSS (ID=evm.model.Herato1507.126-E4;Parent=evm.model.Herato1507.126)	-promoter-TSS (ID=evm.model.Herato1507.126-E4;Parent=evm.model.Herato1507.126)	-802	ID=evm.model.Herato1507.126-E4;Parent=evm.model.Herato1507.126								
2302	Herato1701	5925784	5926110	+	0	NA	Intergenic	Intergenic	15366	ID=evm.model.Herato1701.165-E1;Parent=evm.model.Herato1701.165								
4827	Herato2001	5726828	5727707	+	0	NA	Intergenic	Intergenic	13257	ID=evm.model.Herato2001.200-E3;Parent=evm.model.Herato2001.200								
3849	Herato1505	1421562	1421970	+	0	NA	Intergenic	Intergenic	-9613	ID=evm.model.Herato1505.49-E1;Parent=evm.model.Herato1505.49								
2745	Herato1001	2894803	2895656	+	0	NA	Intergenic	Intergenic	2865	ID=evm.model.Herato1001.106.3-E1;Parent=evm.model.Herato1001.106.3								
8776	Herato0301	313867	314141	+	0	NA	Intergenic	Intergenic	-41334	ID=evm.model.Herato0301.3-E1;Parent=evm.model.Herato0301.3								
8711	Herato0401	1365657	1365805	+	0	NA	Intergenic	Intergenic	-5153	ID=evm.model.Herato0401.25-E1;Parent=evm.model.Herato0401.25								
2400	Herato0901	7338483	7339156	+	0	NA	Intergenic	Intergenic	-9427	ID=evm.model.Herato0901.242-E1;Parent=evm.model.Herato0901.242								
2034	Herato0215	493247	493888	+	0	NA	Intergenic	Intergenic	-6220	ID=evm.model.Herato0215.16-E10;Parent=evm.model.Herato0215.16								
4405	Herato1910	1314431	1314971	+	0	NA	Intergenic	Intergenic	-7864	ID=evm.model.Herato1910.97-E1;Parent=evm.model.Herato1910.97								
2029	Herato1605	4952127	4952683	+	0	NA	Intergenic	Intergenic	-1488	ID=novel_model_203-E1;Parent=novel_model_203								
3552	Herato1007	3046200	3046512	+	0	NA	Intergenic	Intergenic	11349	ID=evm.model.Herato1007.107-E6;Parent=evm.model.Herato1007.107								
5671	Herato0411	5050956	5051307	+	0	NA	Intergenic	Intergenic	-6902	ID=evm.model.Herato0411.116.2.3-E1;Parent=evm.model.Herato0411.116.2.3								
8153	Herato2001	14830090	14830891	+	0	NA	Intergenic	Intergenic	-3948	ID=evm.model.Herato2001.581-E6;Parent=evm.model.Herato2001.581								
2723	Herato1301	7487249	7487598	+	0	NA	promoter-TSS (ID=evm.model.Herato1301.292-E1;Parent=evm.model.Herato1301.292)	-promoter-TSS (ID=evm.model.Herato1301.292-E1;Parent=evm.model.Herato1301.292)	-112	ID=evm.model.Herato1301.292-E1;Parent=evm.model.Herato1301.292								
4218	Herato1108	12102248	12102453	+	0	NA	Intergenic	Intergenic	19869	ID=evm.model.Herato1108.514-E1;Parent=evm.model.Herato1108.514								
775	Herato1007	3156632	3157564	+	0	NA	Intergenic	Intergenic	-13388	ID=evm.model.Herato1007.109-E1;Parent=evm.model.Herato1007.109								
5668	Herato1801	4557312	4557456	+	0	NA	Intergenic	Intergenic	25051	ID=evm.model.Herato1801.154-E31;Parent=evm.model.Herato1801.154								
20	Herato0508	805416	805660	+	0	NA	Intergenic	Intergenic	30517	ID=evm.model.Herato0508.43-E2;Parent=evm.model.Herato0508.43								
1983	Herato1202	10376035	10376268	+	0	NA	Intergenic	Intergenic	22476	ID=evm.model.Herato1202.410-E12;Parent=evm.model.Herato1202.410								
4304	Herato0101	19097123	19097459	+	0	NA	promoter-TSS (ID=evm.model.Herato0101.758-E4;Parent=evm.model.Herato0101.758)	-promoter-TSS (ID=evm.model.Herato0101.758-E4;Parent=evm.model.Herato0101.758)	-521	ID=evm.model.Herato0101.758.2-E3;Parent=evm.model.Herato0101.758.2								
4180	Herato1507	7504215	7504382	+	0	NA	Intergenic	Intergenic	-2308	ID=evm.model.Herato1507.262-E1;Parent=evm.model.Herato1507.262								
4139	Herato1108	10856046	10857136	+	0	NA	Intergenic	Intergenic	3587	ID=evm.model.Herato1108.469-E2;Parent=evm.model.Herato1108.469								
468	Herato0606	4849566	4850219	+	0	NA	Intergenic	Intergenic	-41290	ID=evm.model.Herato0606.149.2-E1;Parent=evm.model.Herato0606.149.2								
3030	Herato1003	4381898	4382370	+	0	NA	Intergenic	Intergenic	1640	ID=evm.model.Herato1003.134.1-E2;Parent=evm.model.Herato1003.134.1								
7247	Herato2101	2437083	2437639	+	0	NA	Intergenic	Intergenic	-2550	ID=evm.model.Herato2101.85.1-E3;Parent=evm.model.Herato2101.85.1								
78	Herato0601	813074	813214	+	0	NA	Intergenic	Intergenic	-16603	ID=evm.model.Herato0601.9-E1;Parent=evm.model.Herato0601.9								
6612	Herato0211	342846	343540	+	0	NA	promoter-TSS (ID=evm.model.Herato0211.12-E2;Parent=evm.model.Herato0211.12)	-promoter-TSS (ID=evm.model.Herato0211.12-E2;Parent=evm.model.Herato0211.12)	120	ID=evm.model.Herato0211.12-E1;Parent=evm.model.Herato0211.12								
5571	Herato0411	2300735	2300979	+	0	NA	Intergenic	Intergenic	132602	ID=evm.model.Herato0411.38-E8;Parent=evm.model.Herato0411.38								
413	Herato0606	4001351	4001664	+	0	NA	Intergenic	Intergenic	-62332	ID=evm.model.Herato0606.122-E1;Parent=evm.model.Herato0606.122								
