PeakID (cmd=annotatePeaks.pl development_5th_p05FC1_melpUnique_5thup.bed /work/rpapa/share/REF/Hmel2/Hmel2.fa -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_melpomene_melpomene_Hmel2.gff3 -annStats development_5th_p05FC1_melpUnique_5thup_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1785	Hmel207021	430595	430954	+	0	NA	Intergenic	Intergenic	21206	ID=HMEL021999g2.t1-E1;Parent=HMEL021999g2.t1								
4361	Hmel216011	617885	618136	+	0	NA	TTS (ID=HMEL033543g1.t1-E1;Parent=HMEL033543g1.t1)	-TTS (ID=HMEL033543g1.t1-E1;Parent=HMEL033543g1.t1)	352	ID=HMEL033543g1.t1-E1;Parent=HMEL033543g1.t1								
5521	Hmel220003	425903	426389	+	0	NA	Intergenic	Intergenic	-52410	ID=HMEL034981g1.t1-E1;Parent=HMEL034981g1.t1								
5499	Hmel219019	5464	5928	+	0	NA	Intergenic	Intergenic	1635	ID=HMEL034928g1.t1-E2;Parent=HMEL034928g1.t1								
1250	Hmel205028	251781	252197	+	0	NA	Intergenic	Intergenic	26168	ID=HMEL036892g1.t1-E2;Parent=HMEL036892g1.t1								
2507	Hmel210010	235927	236980	+	0	NA	Intergenic	Intergenic	-21838	ID=HMEL012513g1.t1-E1;Parent=HMEL012513g1.t1								
5810	Hmel220017	903411	903620	+	0	NA	promoter-TSS (ID=HMEL035367g1.t1-E5;Parent=HMEL035367g1.t1)	-promoter-TSS (ID=HMEL035367g1.t1-E5;Parent=HMEL035367g1.t1)	124	ID=HMEL035367g1.t1-E4;Parent=HMEL035367g1.t1								
4893	Hmel218005	558605	558892	+	0	NA	Intergenic	Intergenic	1184	ID=HMEL034261g1.t1-E7;Parent=HMEL034261g1.t1								
3957	Hmel214029	101017	101493	+	0	NA	promoter-TSS (ID=HmGr32_1-E3;Parent=HmGr32_1)	-promoter-TSS (ID=HmGr32_1-E3;Parent=HmGr32_1)	78	ID=HmGr32_1-E3;Parent=HmGr32_1								
1630	Hmel207002	3997025	3997715	+	0	NA	TTS (ID=HMEL037445g1.t1-E4;Parent=HMEL037445g1.t1)	-TTS (ID=HMEL037445g1.t1-E4;Parent=HMEL037445g1.t1)	856	ID=HMEL037445g1.t1-E4;Parent=HMEL037445g1.t1								
3497	Hmel213022	5882	6616	+	0	NA	promoter-TSS (ID=HMEL014213g1.t1-E6;Parent=HMEL014213g1.t1)	-promoter-TSS (ID=HMEL014213g1.t1-E6;Parent=HMEL014213g1.t1)	860	ID=HMEL014213g1.t1-E5;Parent=HMEL014213g1.t1								
4340	Hmel216010	287519	287990	+	0	NA	Intergenic	Intergenic	-1921	ID=HMEL033529g1.t1-E1;Parent=HMEL033529g1.t1								
3185	Hmel212006	407101	407280	+	0	NA	Intergenic	Intergenic	34236	ID=HMEL031536g1.t1-E2;Parent=HMEL031536g1.t1								
3109	Hmel212001	4636646	4637021	+	0	NA	promoter-TSS (ID=HMEL005535g1.t1-E1;Parent=HMEL005535g1.t1)	-promoter-TSS (ID=HMEL005535g1.t1-E1;Parent=HMEL005535g1.t1)	-445	ID=HMEL005535g1.t1-E1;Parent=HMEL005535g1.t1								
3919	Hmel214022	171747	172035	+	0	NA	Intergenic	Intergenic	5632	ID=HMEL032486g1.t1-E3;Parent=HMEL032486g1.t1								
728	Hmel203048	432162	432382	+	0	NA	Intergenic	Intergenic	5277	ID=HMEL036097g1.t1-E1;Parent=HMEL036097g1.t1								
1244	Hmel205028	339452	340489	+	0	NA	Intergenic	Intergenic	13718	ID=HMEL036894g1.t1-E2;Parent=HMEL036894g1.t1								
1638	Hmel207002	4406057	4406829	+	0	NA	Intergenic	Intergenic	-10310	ID=HMEL006767g1.t1-E1;Parent=HMEL006767g1.t1								
5060	Hmel218018	4059879	4060272	+	0	NA	Intergenic	Intergenic	10319	ID=HMEL034417g1.t1-E1;Parent=HMEL034417g1.t1								
3936	Hmel214024	840863	842307	+	0	NA	Intergenic	Intergenic	2153	ID=HMEL013410g1.t1-E2;Parent=HMEL013410g1.t1								
29	Hmel201002	2010507	2011115	+	0	NA	Intergenic	Intergenic	3302	ID=HMEL002971g1.t1-E1;Parent=HMEL002971g1.t1								
5831	Hmel220022	493926	494283	+	0	NA	Intergenic	Intergenic	3978	ID=HMEL035405g1.t1-E1;Parent=HMEL035405g1.t1								
350	Hmel201013	8573	9197	+	0	NA	NA	NA	NA	NA								
4087	Hmel215032	58177	58458	+	0	NA	Intergenic	Intergenic	-19617	ID=HMEL016290g1.t1-E1;Parent=HMEL016290g1.t1								
1969	Hmel208019	659133	659573	+	0	NA	Intergenic	Intergenic	-7457	ID=HMEL017967g1.t1-E1;Parent=HMEL017967g1.t1								
6233	Hmel221036	329834	330357	+	0	NA	Intergenic	Intergenic	-11851	ID=HMEL035756g1.t1-E1;Parent=HMEL035756g1.t1								
1810	Hmel207021	1271043	1271712	+	0	NA	Intergenic	Intergenic	-6862	ID=HMEL037693g1.t1-E1;Parent=HMEL037693g1.t1								
2203	Hmel209007	269231	269539	+	0	NA	Intergenic	Intergenic	-7289	ID=HMEL007489g1.t1-E4;Parent=HMEL007489g1.t1								
4358	Hmel216011	581225	581376	+	0	NA	Intergenic	Intergenic	25247	ID=HMEL033543g1.t1-E2;Parent=HMEL033543g1.t1								
2754	Hmel211002	247401	247953	+	0	NA	Intergenic	Intergenic	53120	ID=HMEL030985g1.t1-E9;Parent=HMEL030985g1.t1								
1546	Hmel206022	646522	647748	+	0	NA	Intergenic	Intergenic	-1822	ID=HMEL014436g1.t1-E2;Parent=HMEL014436g1.t1								
2994	Hmel212001	440182	440609	+	0	NA	Intergenic	Intergenic	-1764	ID=HMEL017978g2.t2-E3;Parent=HMEL017978g2.t2								
4003	Hmel215006	507407	508702	+	0	NA	Intergenic	Intergenic	-19553	ID=HMEL005802g1.t1-E2;Parent=HMEL005802g1.t1								
3256	Hmel212013	441305	441923	+	0	NA	promoter-TSS (ID=HMEL031632g1.t2-E9;Parent=HMEL031632g1.t2)	-promoter-TSS (ID=HMEL031632g1.t2-E9;Parent=HMEL031632g1.t2)	13	ID=HMEL031632g1.t2-E9;Parent=HMEL031632g1.t2								
311	Hmel201011	2489841	2490048	+	0	NA	Intergenic	Intergenic	1585	ID=HMEL033074g1.t1-E2;Parent=HMEL033074g1.t1								
4537	Hmel217001	1365673	1365895	+	0	NA	Intergenic	Intergenic	-8322	ID=HMEL009707g1.t1-E1;Parent=HMEL009707g1.t1								
4836	Hmel218003	1447524	1448152	+	0	NA	Intergenic	Intergenic	-10302	ID=HMEL034223g1.t1-E1;Parent=HMEL034223g1.t1								
3844	Hmel214008	1985035	1985663	+	0	NA	Intergenic	Intergenic	6624	ID=HMEL007604-RA-E1;Parent=HMEL007604-RA								
825	Hmel204001	106233	107076	+	0	NA	Intergenic	Intergenic	-2883	ID=HMEL036301g1.t1-E1;Parent=HMEL036301g1.t1								
917	Hmel204013	1229066	1229353	+	0	NA	promoter-TSS (ID=HMEL036411g1.t1-E4;Parent=HMEL036411g1.t1)	-promoter-TSS (ID=HMEL036411g1.t1-E4;Parent=HMEL036411g1.t1)	-400	ID=HMEL036411g1.t1-E4;Parent=HMEL036411g1.t1								
3431	Hmel213012	213877	214361	+	0	NA	Intergenic	Intergenic	25958	ID=HMEL031820g1.t1-E1;Parent=HMEL031820g1.t1								
6003	Hmel221012	1882910	1883255	+	0	NA	Intergenic	Intergenic	-3308	ID=HMEL008404g1.t1-E5;Parent=HMEL008404g1.t1								
4977	Hmel218018	249578	250009	+	0	NA	Intergenic	Intergenic	49986	ID=HMEL017493-RA-E1;Parent=HMEL017493-RA								
495	Hmel202006	3615391	3616000	+	0	NA	Intergenic	Intergenic	2278	ID=HMEL033347g1.t2-E2;Parent=HMEL033347g1.t2								
4501	Hmel216016	272776	273980	+	0	NA	promoter-TSS (ID=HMEL008076g1.t1-E2;Parent=HMEL008076g1.t1)	-promoter-TSS (ID=HMEL008076g1.t1-E2;Parent=HMEL008076g1.t1)	112	ID=HMEL008076g1.t1-E1;Parent=HMEL008076g1.t1								
3889	Hmel214019	589255	589433	+	0	NA	Intergenic	Intergenic	-1202	ID=HMEL014216g1.t1-E2;Parent=HMEL014216g1.t1								
3302	Hmel212013	2947692	2948134	+	0	NA	Intergenic	Intergenic	4028	ID=HMEL003531g1.t1-E1;Parent=HMEL003531g1.t1								
2086	Hmel208051	1700475	1700990	+	0	NA	Intergenic	Intergenic	2319	ID=HMEL038186g1.t1-E2;Parent=HMEL038186g1.t1								
1322	Hmel206007	238208	238570	+	0	NA	Intergenic	Intergenic	20936	ID=HMEL006756g1.t1-E2;Parent=HMEL006756g1.t1								
1816	Hmel207021	1640338	1640514	+	0	NA	Intergenic	Intergenic	-2242	ID=HMEL037706g1.t1-E3;Parent=HMEL037706g1.t1								
5804	Hmel220017	764233	764420	+	0	NA	Intergenic	Intergenic	51825	ID=HMEL035362g1.t1-E2;Parent=HMEL035362g1.t1								
5174	Hmel218019	219492	219853	+	0	NA	promoter-TSS (ID=HMEL034523g1.t1-E1;Parent=HMEL034523g1.t1)	-promoter-TSS (ID=HMEL034523g1.t1-E1;Parent=HMEL034523g1.t1)	-360	ID=HMEL034523g1.t1-E1;Parent=HMEL034523g1.t1								
2460	Hmel210004	7350879	7351156	+	0	NA	Intergenic	Intergenic	-1288	ID=HMEL004083g1.t1-E3;Parent=HMEL004083g1.t1								
4293	Hmel216007	129685	130579	+	0	NA	Intergenic	Intergenic	16782	ID=HMEL033479g1.t1-E1;Parent=HMEL033479g1.t1								
2699	Hmel210011	5678866	5679682	+	0	NA	Intergenic	Intergenic	8941	ID=HMEL009174g1.t1-E2;Parent=HMEL009174g1.t1								
5067	Hmel218018	4374387	4374920	+	0	NA	Intergenic	Intergenic	4191	ID=HMEL015557g1.t1-E3;Parent=HMEL015557g1.t1								
1259	Hmel206001	85737	86185	+	0	NA	Intergenic	Intergenic	-8414	ID=HMEL036906g1.t1-E1;Parent=HMEL036906g1.t1								
5464	Hmel219018	1199649	1200091	+	0	NA	Intergenic	Intergenic	-14641	ID=HMEL034910g1.t1-E1;Parent=HMEL034910g1.t1								
3824	Hmel214008	1100190	1101003	+	0	NA	Intergenic	Intergenic	4792	ID=HMEL032336g1.t1-E7;Parent=HMEL032336g1.t1								
3574	Hmel213039	44654	44922	+	0	NA	Intergenic	Intergenic	2899	ID=HMEL032021g1.t1-E2;Parent=HMEL032021g1.t1								
2976	Hmel211017	75208	76328	+	0	NA	Intergenic	Intergenic	8492	ID=HMEL031268g1.t1-E4;Parent=HMEL031268g1.t1								
5401	Hmel219014	1266098	1266634	+	0	NA	Intergenic	Intergenic	-1765	ID=HMEL034800g1.t1-E1;Parent=HMEL034800g1.t1								
3475	Hmel213020	616622	616854	+	0	NA	Intergenic	Intergenic	-5423	ID=HMEL010103g1.t1-E2;Parent=HMEL010103g1.t1								
4319	Hmel216009	659194	659756	+	0	NA	Intergenic	Intergenic	-1845	ID=HMEL033495g1.t1-E2;Parent=HMEL033495g1.t1								
5531	Hmel220003	627431	628503	+	0	NA	Intergenic	Intergenic	2672	ID=HMEL007253g1.t1-E2;Parent=HMEL007253g1.t1								
3421	Hmel213006	10900	11443	+	0	NA	Intergenic	Intergenic	-12511	ID=HMEL005061g1.t1-E1;Parent=HMEL005061g1.t1								
3238	Hmel212011	1276618	1277316	+	0	NA	Intergenic	Intergenic	-5392	ID=HMEL031615g1.t1-E5;Parent=HMEL031615g1.t1								
2274	Hmel209007	3501589	3502225	+	0	NA	promoter-TSS (ID=HMEL030453g1.t1-E1;Parent=HMEL030453g1.t1)	-promoter-TSS (ID=HMEL030453g1.t1-E1;Parent=HMEL030453g1.t1)	-786	ID=HMEL030453g1.t1-E1;Parent=HMEL030453g1.t1								
5938	Hmel221009	239669	239955	+	0	NA	TTS (ID=HMEL035522g1.t1-E1;Parent=HMEL035522g1.t1)	-TTS (ID=HMEL035522g1.t1-E1;Parent=HMEL035522g1.t1)	230	ID=HMEL035522g1.t1-E2;Parent=HMEL035522g1.t1								
2002	Hmel208022	49032	53336	+	0	NA	TTS (ID=HMEL037987g1.t1-E5;Parent=HMEL037987g1.t1)	-TTS (ID=HMEL037987g1.t1-E5;Parent=HMEL037987g1.t1)	594	ID=HMEL037988g1.t1-E1;Parent=HMEL037988g1.t1								
4902	Hmel218005	944555	945281	+	0	NA	promoter-TSS (ID=HMEL014949g1.t1-E1;Parent=HMEL014949g1.t1)	-promoter-TSS (ID=HMEL014949g1.t1-E1;Parent=HMEL014949g1.t1)	15	ID=HMEL014950g1.t1-E2;Parent=HMEL014950g1.t1								
4591	Hmel217004	931754	932006	+	0	NA	Intergenic	Intergenic	-3147	ID=HMEL007101g1.t1-E3;Parent=HMEL007101g1.t1								
1203	Hmel205022	421829	422130	+	0	NA	Intergenic	Intergenic	-2426	ID=HMEL036819g1.t1-E1;Parent=HMEL036819g1.t1								
5508	Hmel220001	90386	91997	+	0	NA	TTS (ID=HMEL034959g1.t1-E1;Parent=HMEL034959g1.t1)	-TTS (ID=HMEL034959g1.t1-E1;Parent=HMEL034959g1.t1)	251	ID=HMEL034959g1.t1-E1;Parent=HMEL034959g1.t1								
5873	Hmel221001	659378	660730	+	0	NA	Intergenic	Intergenic	8267	ID=HMEL011029g4.t1-E2;Parent=HMEL011029g4.t1								
4261	Hmel216001	516811	517281	+	0	NA	TTS (ID=HMEL032981g1.t1-E3;Parent=HMEL032981g1.t1)	-TTS (ID=HMEL032981g1.t1-E3;Parent=HMEL032981g1.t1)	608	ID=HMEL032981g1.t1-E3;Parent=HMEL032981g1.t1								
2088	Hmel208051	1708472	1709308	+	0	NA	Intergenic	Intergenic	-3762	ID=HMEL038186g1.t1-E1;Parent=HMEL038186g1.t1								
1068	Hmel205012	282839	283173	+	0	NA	promoter-TSS (ID=HMEL004058g3.t1-E4;Parent=HMEL004058g3.t1)	-promoter-TSS (ID=HMEL004058g3.t1-E4;Parent=HMEL004058g3.t1)	-720	ID=HMEL004058g3.t1-E4;Parent=HMEL004058g3.t1								
4429	Hmel216013	362465	363164	+	0	NA	Intergenic	Intergenic	2476	ID=HMEL033613g1.t1-E2;Parent=HMEL033613g1.t1								
486	Hmel202006	1597323	1597585	+	0	NA	promoter-TSS (ID=HMEL033287g1.t1-E6;Parent=HMEL033287g1.t1)	-promoter-TSS (ID=HMEL033287g1.t1-E6;Parent=HMEL033287g1.t1)	35	ID=HMEL033287g1.t1-E6;Parent=HMEL033287g1.t1								
2134	Hmel209004	66933	67312	+	0	NA	Intergenic	Intergenic	-1085	ID=HMEL008230g1.t1-E1;Parent=HMEL008230g1.t1								
1354	Hmel206009	658805	659045	+	0	NA	Intergenic	Intergenic	54251	ID=HMEL016072g1.t1-E11;Parent=HMEL016072g1.t1								
4066	Hmel215028	700490	701268	+	0	NA	TTS (ID=HMEL008879g1.t1-E1;Parent=HMEL008879g1.t1)	-TTS (ID=HMEL008879g1.t1-E1;Parent=HMEL008879g1.t1)	1134	ID=HMEL008879g1.t1-E1;Parent=HMEL008879g1.t1								
4213	Hmel215048	157501	157645	+	0	NA	promoter-TSS (ID=HMEL032962g1.t1-E3;Parent=HMEL032962g1.t1)	-promoter-TSS (ID=HMEL032962g1.t1-E3;Parent=HMEL032962g1.t1)	-512	ID=HMEL032962g1.t1-E3;Parent=HMEL032962g1.t1								
8	Hmel201002	1028122	1028907	+	0	NA	Intergenic	Intergenic	3570	ID=HMEL030026g1.t1-E2;Parent=HMEL030026g1.t1								
3239	Hmel212011	1279311	1279606	+	0	NA	Intergenic	Intergenic	-7883	ID=HMEL031615g1.t1-E5;Parent=HMEL031615g1.t1								
2359	Hmel210004	1080382	1081482	+	0	NA	promoter-TSS (ID=HMEL011109g1.t1-E5;Parent=HMEL011109g1.t1)	-promoter-TSS (ID=HMEL011109g1.t1-E5;Parent=HMEL011109g1.t1)	86	ID=HMEL011109g1.t1-E5;Parent=HMEL011109g1.t1								
5309	Hmel219003	6024510	6024725	+	0	NA	Intergenic	Intergenic	-2616	ID=HMEL004881g1.t1-E1;Parent=HMEL004881g1.t1								
2045	Hmel208048	335974	336248	+	0	NA	Intergenic	Intergenic	-24467	ID=HMEL038122g1.t1-E1;Parent=HMEL038122g1.t1								
686	Hmel203033	549245	549444	+	0	NA	Intergenic	Intergenic	-10040	ID=HMEL013806g1.t1-E1;Parent=HMEL013806g1.t1								
5310	Hmel219003	6036577	6036902	+	0	NA	promoter-TSS (ID=HMEL034674g1.t1-E1;Parent=HMEL034674g1.t1)	-promoter-TSS (ID=HMEL034674g1.t1-E1;Parent=HMEL034674g1.t1)	278	ID=HMEL034675g1.t1-E1;Parent=HMEL034675g1.t1								
3149	Hmel212001	6501020	6501869	+	0	NA	Intergenic	Intergenic	-3573	ID=HMEL005761g2.t2-E2;Parent=HMEL005761g2.t2								
943	Hmel204017	1508292	1508968	+	0	NA	Intergenic	Intergenic	-1091	ID=HMEL007430g1.t1-E6;Parent=HMEL007430g1.t1								
1887	Hmel207028	246554	246757	+	0	NA	promoter-TSS (ID=HMEL037753g1.t1-E1;Parent=HMEL037753g1.t1)	-promoter-TSS (ID=HMEL037753g1.t1-E1;Parent=HMEL037753g1.t1)	-379	ID=HMEL037753g1.t1-E1;Parent=HMEL037753g1.t1								
4258	Hmel216001	437496	437924	+	0	NA	Intergenic	Intergenic	-10464	ID=HMEL014019g1.t1-E1;Parent=HMEL014019g1.t1								
1585	Hmel207002	1518139	1518518	+	0	NA	TTS (ID=HMEL011232g1.t1-E1;Parent=HMEL011232g1.t1)	-TTS (ID=HMEL011232g1.t1-E1;Parent=HMEL011232g1.t1)	218	ID=HMEL011232g1.t1-E1;Parent=HMEL011232g1.t1								
4709	Hmel217018	933832	934794	+	0	NA	Intergenic	Intergenic	-8853	ID=HMEL033980g1.t1-E1;Parent=HMEL033980g1.t1								
4993	Hmel218018	885076	885445	+	0	NA	Intergenic	Intergenic	27228	ID=HMEL034357g1.t1-E1;Parent=HMEL034357g1.t1								
4474	Hmel216015	774779	775488	+	0	NA	TTS (ID=HMEL006754g1.t1-E1;Parent=HMEL006754g1.t1)	-TTS (ID=HMEL006754g1.t1-E1;Parent=HMEL006754g1.t1)	216	ID=HMEL006754g1.t1-E1;Parent=HMEL006754g1.t1								
2705	Hmel210011	5807238	5807837	+	0	NA	Intergenic	Intergenic	2561	ID=HMEL009165g1.t1-E4;Parent=HMEL009165g1.t1								
690	Hmel203035	22542	23289	+	0	NA	promoter-TSS (ID=HMEL036039g1.t1-E1;Parent=HMEL036039g1.t1)	-promoter-TSS (ID=HMEL036039g1.t1-E1;Parent=HMEL036039g1.t1)	-877	ID=HMEL036039g1.t1-E1;Parent=HMEL036039g1.t1								
5825	Hmel220022	464667	465793	+	0	NA	Intergenic	Intergenic	-17271	ID=HMEL035404g1.t1-E1;Parent=HMEL035404g1.t1								
61	Hmel201007	493901	494561	+	0	NA	Intergenic	Intergenic	-18720	ID=HMEL014541g1.t1-E1;Parent=HMEL014541g1.t1								
4475	Hmel216016	30276	31113	+	0	NA	Intergenic	Intergenic	1167	ID=HMEL007888g1.t1-E3;Parent=HMEL007888g1.t1								
5215	Hmel219003	1630582	1631377	+	0	NA	Intergenic	Intergenic	-8320	ID=HMEL008613g1.t1-E1;Parent=HMEL008613g1.t1								
5970	Hmel221012	874388	875482	+	0	NA	Intergenic	Intergenic	-1071	ID=HMEL016628-RA-E1;Parent=HMEL016628-RA								
4094	Hmel215034	52213	52622	+	0	NA	TTS (ID=HMEL032795g1.t1-E3;Parent=HMEL032795g1.t1)	-TTS (ID=HMEL032795g1.t1-E3;Parent=HMEL032795g1.t1)	1023	ID=HMEL032795g1.t1-E3;Parent=HMEL032795g1.t1								
3540	Hmel213027	344636	345510	+	0	NA	Intergenic	Intergenic	-21377	ID=HMEL031971g1.t1-E1;Parent=HMEL031971g1.t1								
4704	Hmel217018	847246	848052	+	0	NA	promoter-TSS (ID=HMEL005115g1.t1-E4;Parent=HMEL005115g1.t1)	-promoter-TSS (ID=HMEL005115g1.t1-E4;Parent=HMEL005115g1.t1)	-169	ID=HMEL005115g1.t1-E4;Parent=HMEL005115g1.t1								
2394	Hmel210004	4411529	4412018	+	0	NA	Intergenic	Intergenic	3176	ID=HMEL030676g1.t1-E2;Parent=HMEL030676g1.t1								
1266	Hmel206006	95527	96182	+	0	NA	Intergenic	Intergenic	8374	ID=HMEL036929g1.t1-E1;Parent=HMEL036929g1.t1								
6076	Hmel221030	14948	15921	+	0	NA	Intergenic	Intergenic	-11031	ID=HMEL035713g1.t1-E1;Parent=HMEL035713g1.t1								
5780	Hmel220014	202571	202991	+	0	NA	Intergenic	Intergenic	1260	ID=HMEL035305g1.t1-E2;Parent=HMEL035305g1.t1								
3419	Hmel213006	283	653	+	0	NA	Intergenic	Intergenic	-23214	ID=HMEL005061g1.t1-E1;Parent=HMEL005061g1.t1								
3326	Hmel212014	89696	90690	+	0	NA	Intergenic	Intergenic	-3393	ID=HMEL014802g3.t1-E1;Parent=HMEL014802g3.t1								
5433	Hmel219015	41235	41502	+	0	NA	promoter-TSS (ID=HMEL008749g1.t1-E1;Parent=HMEL008749g1.t1)	-promoter-TSS (ID=HMEL008749g1.t1-E1;Parent=HMEL008749g1.t1)	-719	ID=HMEL008749g1.t1-E1;Parent=HMEL008749g1.t1								
2654	Hmel210011	4502213	4502605	+	0	NA	Intergenic	Intergenic	26543	ID=HMEL030921g1.t1-E4;Parent=HMEL030921g1.t1								
4209	Hmel215048	130226	130928	+	0	NA	Intergenic	Intergenic	9252	ID=HMEL032960g1.t1-E1;Parent=HMEL032960g1.t1								
4144	Hmel215047	361489	362027	+	0	NA	Intergenic	Intergenic	15836	ID=HMEL032865g1.t1-E2;Parent=HMEL032865g1.t1								
4784	Hmel217020	1498426	1498800	+	0	NA	promoter-TSS (ID=HMEL014232g1.t1-E1;Parent=HMEL014232g1.t1)	-promoter-TSS (ID=HMEL014232g1.t1-E1;Parent=HMEL014232g1.t1)	-540	ID=HMEL014232g1.t1-E1;Parent=HMEL014232g1.t1								
3627	Hmel213051	61012	61377	+	0	NA	promoter-TSS (ID=HMEL032083g1.t1-E4;Parent=HMEL032083g1.t1)	-promoter-TSS (ID=HMEL032083g1.t1-E4;Parent=HMEL032083g1.t1)	-630	ID=HMEL032083g1.t1-E4;Parent=HMEL032083g1.t1								
39	Hmel201003	42854	43015	+	0	NA	Intergenic	Intergenic	-1794	ID=HMEL005989g1.t1-E11;Parent=HMEL005989g1.t1								
5907	Hmel221001	2057131	2057430	+	0	NA	Intergenic	Intergenic	-11191	ID=HMEL007285g1.t1-E1;Parent=HMEL007285g1.t1								
558	Hmel202006	4678485	4678904	+	0	NA	Intergenic	Intergenic	2208	ID=HMEL014053g1.t1-E4;Parent=HMEL014053g1.t1								
3200	Hmel212009	920731	921088	+	0	NA	promoter-TSS (ID=HMEL011919g1.t1-E2;Parent=HMEL011919g1.t1)	-promoter-TSS (ID=HMEL011919g1.t1-E2;Parent=HMEL011919g1.t1)	-771	ID=HMEL011919g1.t1-E2;Parent=HMEL011919g1.t1								
5443	Hmel219018	83537	83895	+	0	NA	Intergenic	Intergenic	-2697	ID=HMEL010756g1.t1-E1;Parent=HMEL010756g1.t1								
5503	Hmel219020	20294	20671	+	0	NA	promoter-TSS (ID=HMEL004491g1.t1-E1;Parent=HMEL004491g1.t1)	-promoter-TSS (ID=HMEL004491g1.t1-E1;Parent=HMEL004491g1.t1)	-9	ID=HMEL004491g1.t1-E1;Parent=HMEL004491g1.t1								
5536	Hmel220003	814286	814679	+	0	NA	Intergenic	Intergenic	-10153	ID=HMEL034989g1.t1-E1;Parent=HMEL034989g1.t1								
573	Hmel202006	5601022	5602108	+	0	NA	Intergenic	Intergenic	8616	ID=HMEL013268g2.t1-E13;Parent=HMEL013268g2.t1								
2710	Hmel210012	67503	68806	+	0	NA	Intergenic	Intergenic	7931	ID=HMEL030953g1.t1-E4;Parent=HMEL030953g1.t1								
1084	Hmel205012	839401	839884	+	0	NA	Intergenic	Intergenic	-5747	ID=HMEL036668g1.t1-E7;Parent=HMEL036668g1.t1								
6101	Hmel221036	533482	534319	+	0	NA	Intergenic	Intergenic	-15455	ID=HMEL012223g2.t1-E1;Parent=HMEL012223g2.t1								
4570	Hmel217004	676433	676795	+	0	NA	Intergenic	Intergenic	-19874	ID=HMEL006217g3.t1-E1;Parent=HMEL006217g3.t1								
5324	Hmel219003	7136153	7136784	+	0	NA	Intergenic	Intergenic	-11018	ID=HMEL034706g1.t1-E1;Parent=HMEL034706g1.t1								
