PeakID (cmd=annotatePeaks.pl development_5th_p05FC1_shared_5thdown_eratoCoords.bed /home/rpapa/sbelleghem/share/REF/H_erato_dem/Herato_final.fasta -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_erato_demophoon_v1.gff3 -annStats development_5th_p05FC1_shared_5thdown_eratoCoords_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
728	Herato1007	1729720	1729972	+	0	NA	Intergenic	Intergenic	3883	ID=evm.model.Herato1007.76-E1;Parent=evm.model.Herato1007.76								
1244	Herato1301	14640347	14641088	+	0	NA	Intergenic	Intergenic	-34072	ID=evm.model.Herato1301.554-E1;Parent=evm.model.Herato1301.554								
2154	Herato1908	1891516	1891853	+	0	NA	Intergenic	Intergenic	-14435	ID=evm.model.Herato1908.65-E1;Parent=evm.model.Herato1908.65								
1638	Herato1701	7987648	7987863	+	0	NA	Intergenic	Intergenic	-3194	ID=evm.model.Herato1701.242-E4;Parent=evm.model.Herato1701.242								
742	Herato1007	2454412	2454591	+	0	NA	Intergenic	Intergenic	102662	ID=novel_model_133-E1;Parent=novel_model_133								
29	Herato0601	3044146	3044621	+	0	NA	Intergenic	Intergenic	-82795	ID=evm.model.Herato0601.74-E1;Parent=evm.model.Herato0601.74								
350	Herato0101	1184535	1185196	+	0	NA	Intergenic	Intergenic	29446	ID=evm.model.Herato0101.20-E4;Parent=evm.model.Herato0101.20								
1969	Herato1807	3564470	3565669	+	0	NA	promoter-TSS (ID=evm.model.Herato1807.68-E1;Parent=evm.model.Herato1807.68)	-promoter-TSS (ID=evm.model.Herato1807.68-E1;Parent=evm.model.Herato1807.68)	-445	ID=evm.model.Herato1807.68-E1;Parent=evm.model.Herato1807.68								
1810	Herato1805	2077312	2077754	+	0	NA	Intergenic	Intergenic	-40973	ID=evm.model.Herato1805.82-E1;Parent=evm.model.Herato1805.82								
2203	Herato2001	1906281	1907865	+	0	NA	promoter-TSS (ID=evm.model.Herato2001.38-E2;Parent=evm.model.Herato2001.38)	-promoter-TSS (ID=evm.model.Herato2001.38-E2;Parent=evm.model.Herato2001.38)	3	ID=evm.model.Herato2001.38-E2;Parent=evm.model.Herato2001.38								
58	Herato0606	2457191	2458148	+	0	NA	Intergenic	Intergenic	23455	ID=evm.model.Herato0606.77-E1;Parent=evm.model.Herato0606.77								
153	Herato0701	1400939	1401279	+	0	NA	Intergenic	Intergenic	-1569	ID=evm.model.Herato0701.54-E2;Parent=evm.model.Herato0701.54								
2387	Herato2001	17265841	17266158	+	0	NA	Intergenic	Intergenic	-5241	ID=evm.model.Herato2001.663-E1;Parent=evm.model.Herato2001.663								
1546	Herato1605	1209480	1210644	+	0	NA	Intergenic	Intergenic	1235	ID=evm.model.Herato1605.171-E2;Parent=evm.model.Herato1605.171								
101	Herato0606	5489474	5489739	+	0	NA	Intergenic	Intergenic	2872	ID=evm.model.Herato0606.182.2-E2;Parent=evm.model.Herato0606.182.2								
340	Herato0101	11998846	11999422	+	0	NA	Intergenic	Intergenic	32590	ID=evm.model.Herato0101.380-E6;Parent=evm.model.Herato0101.380								
311	Herato0701	15301134	15302404	+	0	NA	Intergenic	Intergenic	1419	ID=evm.model.Herato0701.673-E2;Parent=evm.model.Herato0701.673								
825	Herato1108	7057194	7057510	+	0	NA	Intergenic	Intergenic	-2962	ID=evm.model.Herato1108.315-E2;Parent=evm.model.Herato1108.315								
917	Herato0101	19048832	19049925	+	0	NA	Intergenic	Intergenic	1867	ID=evm.model.Herato0101.757-E4;Parent=evm.model.Herato0101.757								
2425	Herato2101	8914443	8914598	+	0	NA	Intergenic	Intergenic	-2513	ID=evm.model.Herato2101.308-E1;Parent=evm.model.Herato2101.308								
495	Herato0901	5334990	5335229	+	0	NA	Intergenic	Intergenic	-64159	ID=evm.model.Herato0901.146-E1;Parent=evm.model.Herato0901.146								
1703	Herato1705	1144659	1145234	+	0	NA	Intergenic	Intergenic	-38243	ID=evm.model.Herato1705.13-E1;Parent=evm.model.Herato1705.13								
2086	Herato1904	5835936	5836469	+	0	NA	Intergenic	Intergenic	28226	ID=evm.model.Herato1904.211-E1;Parent=evm.model.Herato1904.211								
1322	Herato1301	21397057	21397515	+	0	NA	Intergenic	Intergenic	6859	ID=evm.model.Herato1301.727.2-E18;Parent=evm.model.Herato1301.727.2								
1816	Herato1805	2167884	2168562	+	0	NA	Intergenic	Intergenic	-1516	ID=evm.model.Herato1805.84-E4;Parent=evm.model.Herato1805.84								
2460	Herato0101	4019080	4020324	+	0	NA	Intergenic	Intergenic	-4118	ID=evm.model.Herato0101.119-E1;Parent=evm.model.Herato0101.119								
2510	Herato0310	5436251	5436691	+	0	NA	Intergenic	Intergenic	-7441	ID=evm.model.Herato0310.128-E1;Parent=evm.model.Herato0310.128								
1172	Herato1301	5967256	5967627	+	0	NA	Intergenic	Intergenic	10627	ID=evm.model.Herato1301.211.3-E1;Parent=evm.model.Herato1301.211.3								
2458	Herato0301	4529404	4529652	+	0	NA	Intergenic	Intergenic	-12307	ID=evm.model.Herato0301.112-E1;Parent=evm.model.Herato0301.112								
1259	Herato1301	17036164	17036586	+	0	NA	Intergenic	Intergenic	7398	ID=evm.model.Herato1301.603.1-E5;Parent=evm.model.Herato1301.603.1								
834	Herato1108	8065393	8065745	+	0	NA	Intergenic	Intergenic	-2239	ID=evm.model.Herato1108.357-E1;Parent=evm.model.Herato1108.357								
285	Herato0101	11278917	11280180	+	0	NA	promoter-TSS (ID=evm.model.Herato0101.325-E1;Parent=evm.model.Herato0101.325)	-promoter-TSS (ID=evm.model.Herato0101.325-E1;Parent=evm.model.Herato0101.325)	-389	ID=evm.model.Herato0101.325-E1;Parent=evm.model.Herato0101.325								
2441	Herato2101	11806887	11807622	+	0	NA	TTS (ID=evm.model.Herato2101.393-E7;Parent=evm.model.Herato2101.393)	-TTS (ID=evm.model.Herato2101.393-E7;Parent=evm.model.Herato2101.393)	197	ID=evm.model.Herato2101.393-E7;Parent=evm.model.Herato2101.393								
2414	Herato2101	7066305	7067026	+	0	NA	promoter-TSS (ID=evm.model.Herato2101.253-E14;Parent=evm.model.Herato2101.253)	-promoter-TSS (ID=evm.model.Herato2101.253-E14;Parent=evm.model.Herato2101.253)	-726	ID=evm.model.Herato2101.253-E14;Parent=evm.model.Herato2101.253								
1216	Herato1301	12419051	12419950	+	0	NA	promoter-TSS (ID=evm.model.Herato1301.486-E1;Parent=evm.model.Herato1301.486)	-promoter-TSS (ID=evm.model.Herato1301.486-E1;Parent=evm.model.Herato1301.486)	-275	ID=evm.model.Herato1301.486-E1;Parent=evm.model.Herato1301.486								
2285	Herato2001	8282219	8282857	+	0	NA	promoter-TSS (ID=evm.model.Herato2001.348.15-E1;Parent=evm.model.Herato2001.348.15)	-promoter-TSS (ID=evm.model.Herato2001.348.15-E1;Parent=evm.model.Herato2001.348.15)	-996	ID=evm.model.Herato2001.348.15-E1;Parent=evm.model.Herato2001.348.15								
2274	Herato2001	6798173	6799588	+	0	NA	Intergenic	Intergenic	-1330	ID=evm.model.Herato2001.251-E2;Parent=evm.model.Herato2001.251								
2194	Herato2001	1694566	1694772	+	0	NA	Intergenic	Intergenic	4719	ID=evm.model.Herato2001.35-E5;Parent=evm.model.Herato2001.35								
1135	Herato1301	2444953	2445256	+	0	NA	Intergenic	Intergenic	8530	ID=evm.model.Herato1301.60.1-E3;Parent=evm.model.Herato1301.60.1								
2002	Herato1903	313782	314039	+	0	NA	promoter-TSS (ID=evm.model.Herato1903.9-E4;Parent=evm.model.Herato1903.9)	-promoter-TSS (ID=evm.model.Herato1903.9-E4;Parent=evm.model.Herato1903.9)	-851	ID=evm.model.Herato1903.9-E4;Parent=evm.model.Herato1903.9								
1203	Herato1301	10907620	10907838	+	0	NA	TTS (ID=evm.model.Herato1301.435-E1;Parent=evm.model.Herato1301.435)	-TTS (ID=evm.model.Herato1301.435-E1;Parent=evm.model.Herato1301.435)	741	ID=evm.model.Herato1301.435-E1;Parent=evm.model.Herato1301.435								
96	Herato0606	5376366	5376692	+	0	NA	Intergenic	Intergenic	-4093	ID=evm.model.Herato0606.179-E1;Parent=evm.model.Herato0606.179								
2088	Herato1904	5847121	5847420	+	0	NA	Intergenic	Intergenic	17158	ID=evm.model.Herato1904.211-E1;Parent=evm.model.Herato1904.211								
1068	Herato1202	15630018	15630343	+	0	NA	Intergenic	Intergenic	-6329	ID=evm.model.Herato1202.605.1-E1;Parent=evm.model.Herato1202.605.1								
1667	Herato1701	9734295	9734457	+	0	NA	Intergenic	Intergenic	-16533	ID=evm.model.Herato1701.333-E1;Parent=evm.model.Herato1701.333								
2114	Herato1906	583015	583664	+	0	NA	TTS (ID=evm.model.Herato1906.21-E1;Parent=evm.model.Herato1906.21)	-TTS (ID=evm.model.Herato1906.21-E1;Parent=evm.model.Herato1906.21)	252	ID=evm.model.Herato1906.21-E1;Parent=evm.model.Herato1906.21								
486	Herato0101	13968614	13969377	+	0	NA	promoter-TSS (ID=evm.model.Herato0101.501-E5;Parent=evm.model.Herato0101.501)	-promoter-TSS (ID=evm.model.Herato0101.501-E5;Parent=evm.model.Herato0101.501)	-604	ID=evm.model.Herato0101.501-E5;Parent=evm.model.Herato0101.501								
2134	Herato1908	152378	152563	+	0	NA	promoter-TSS (ID=evm.model.Herato1908.6.1-E1;Parent=evm.model.Herato1908.6.1)	-promoter-TSS (ID=evm.model.Herato1908.6.1-E1;Parent=evm.model.Herato1908.6.1)	-981	ID=evm.model.Herato1908.6.1-E1;Parent=evm.model.Herato1908.6.1								
1354	Herato1408	2571716	2572113	+	0	NA	Intergenic	Intergenic	-3688	ID=evm.model.Herato1408.71-E2;Parent=evm.model.Herato1408.71								
569	Herato1001	3125437	3125655	+	0	NA	Intergenic	Intergenic	23650	ID=evm.model.Herato1001.113-E7;Parent=evm.model.Herato1001.113								
8	Herato0508	2526485	2527016	+	0	NA	Intergenic	Intergenic	-10369	ID=evm.model.Herato0508.88-E1;Parent=evm.model.Herato0508.88								
2359	Herato2001	13352552	13352841	+	0	NA	Intergenic	Intergenic	-31990	ID=evm.model.Herato2001.531.4-E1;Parent=evm.model.Herato2001.531.4								
2045	Herato1904	3135738	3136825	+	0	NA	Intergenic	Intergenic	5230	ID=evm.model.Herato1904.108-E1;Parent=evm.model.Herato1904.108								
1396	Herato0206	100967	101267	+	0	NA	Intergenic	Intergenic	-10188	ID=evm.model.Herato0206.4.2-E1;Parent=evm.model.Herato0206.4.2								
686	Herato1005	3074012	3074316	+	0	NA	promoter-TSS (ID=evm.model.Herato1005.156-E2;Parent=evm.model.Herato1005.156)	-promoter-TSS (ID=evm.model.Herato1005.156-E2;Parent=evm.model.Herato1005.156)	-32	ID=evm.model.Herato1005.156-E2;Parent=evm.model.Herato1005.156								
1760	Herato1801	4331216	4331545	+	0	NA	Intergenic	Intergenic	-8185	ID=evm.model.Herato1801.151-E3;Parent=evm.model.Herato1801.151								
2033	Herato1904	2582536	2584350	+	0	NA	Intergenic	Intergenic	-65475	ID=evm.model.Herato1904.87-E1;Parent=evm.model.Herato1904.87								
391	Herato0101	12788908	12789911	+	0	NA	Intergenic	Intergenic	-2698	ID=evm.model.Herato0101.433-E4;Parent=evm.model.Herato0101.433								
943	Herato1202	2280018	2280270	+	0	NA	Intergenic	Intergenic	2271	ID=evm.model.Herato1202.78.2-E2;Parent=evm.model.Herato1202.78.2								
2676	Herato0503	7906519	7906781	+	0	NA	Intergenic	Intergenic	52190	ID=evm.model.Herato0503.297-E3;Parent=evm.model.Herato0503.297								
1887	Herato1805	9132008	9132132	+	0	NA	Intergenic	Intergenic	1466	ID=evm.model.Herato1805.275-E1;Parent=evm.model.Herato1805.275								
1375	Herato1411	747530	748159	+	0	NA	TTS (ID=evm.model.Herato1411.20-E1;Parent=evm.model.Herato1411.20)	-TTS (ID=evm.model.Herato1411.20-E1;Parent=evm.model.Herato1411.20)	1069	ID=evm.model.Herato1411.20-E1;Parent=evm.model.Herato1411.20								
180	Herato0701	3936931	3937628	+	0	NA	Intergenic	Intergenic	11712	ID=evm.model.Herato0701.184-E2;Parent=evm.model.Herato0701.184								
1585	Herato1701	4160789	4160992	+	0	NA	Intergenic	Intergenic	12782	ID=evm.model.Herato1701.95.3-E1;Parent=evm.model.Herato1701.95.3								
1877	Herato1805	6950770	6951871	+	0	NA	promoter-TSS (ID=evm.model.Herato1805.195-E4;Parent=evm.model.Herato1805.195)	-promoter-TSS (ID=evm.model.Herato1805.195-E4;Parent=evm.model.Herato1805.195)	296	ID=evm.model.Herato1805.195-E3;Parent=evm.model.Herato1805.195								
246	Herato0701	8923023	8923640	+	0	NA	Intergenic	Intergenic	111828	ID=evm.model.Herato0701.375-E9;Parent=evm.model.Herato0701.375								
2227	Herato2001	3231701	3232653	+	0	NA	Intergenic	Intergenic	-7654	ID=evm.model.Herato2001.91-E1;Parent=evm.model.Herato2001.91								
690	Herato1005	3397269	3397488	+	0	NA	Intergenic	Intergenic	8014	ID=evm.model.Herato1005.171-E3;Parent=evm.model.Herato1005.171								
1168	Herato1301	5507003	5507834	+	0	NA	Intergenic	Intergenic	-2393	ID=evm.model.Herato1301.196-E3;Parent=evm.model.Herato1301.196								
61	Herato0606	3079428	3079642	+	0	NA	Intergenic	Intergenic	-1434	ID=evm.model.Herato0606.99-E1;Parent=evm.model.Herato0606.99								
536	Herato0901	10419390	10419671	+	0	NA	Intergenic	Intergenic	-2417	ID=evm.model.Herato0901.320.1-E2;Parent=evm.model.Herato0901.320.1								
1767	Herato1805	145235	145461	+	0	NA	Intergenic	Intergenic	11330	ID=evm.model.Herato1805.13-E3;Parent=evm.model.Herato1805.13								
1653	Herato1701	8775620	8776046	+	0	NA	Intergenic	Intergenic	4001	ID=evm.model.Herato1701.271.1-E3;Parent=evm.model.Herato1701.271.1								
2237	Herato2001	4004441	4004845	+	0	NA	Intergenic	Intergenic	-5917	ID=evm.model.Herato2001.131-E12;Parent=evm.model.Herato2001.131								
1688	Herato1703	1033429	1033618	+	0	NA	Intergenic	Intergenic	-4276	ID=evm.model.Herato1703.17-E2;Parent=evm.model.Herato1703.17								
2394	Herato2101	745852	746501	+	0	NA	Intergenic	Intergenic	-2528	ID=evm.model.Herato2101.30-E2;Parent=evm.model.Herato2101.30								
1266	Herato1301	17574380	17575388	+	0	NA	Intergenic	Intergenic	17577	ID=evm.model.Herato1301.619-E2;Parent=evm.model.Herato1301.619								
2654	Herato0503	5280409	5281247	+	0	NA	promoter-TSS (ID=evm.model.Herato0503.171-E3;Parent=evm.model.Herato0503.171)	-promoter-TSS (ID=evm.model.Herato0503.171-E3;Parent=evm.model.Herato0503.171)	-21	ID=evm.model.Herato0503.171-E3;Parent=evm.model.Herato0503.171								
1458	Herato1507	6386798	6388141	+	0	NA	promoter-TSS (ID=evm.model.Herato1507.229-E3;Parent=evm.model.Herato1507.229)	-promoter-TSS (ID=evm.model.Herato1507.229-E3;Parent=evm.model.Herato1507.229)	-538	ID=evm.model.Herato1507.229-E3;Parent=evm.model.Herato1507.229								
444	Herato0901	32427	32903	+	0	NA	promoter-TSS (ID=evm.model.Herato0901.2-E5;Parent=evm.model.Herato0901.2)	-promoter-TSS (ID=evm.model.Herato0901.2-E5;Parent=evm.model.Herato0901.2)	-813	ID=evm.model.Herato0901.2-E5;Parent=evm.model.Herato0901.2								
508	Herato0901	7348477	7349320	+	0	NA	promoter-TSS (ID=evm.model.Herato0901.242-E2;Parent=evm.model.Herato0901.242)	-promoter-TSS (ID=evm.model.Herato0901.242-E2;Parent=evm.model.Herato0901.242)	100	ID=evm.model.Herato0901.242-E2;Parent=evm.model.Herato0901.242								
1336	Herato0204	552292	552819	+	0	NA	Intergenic	Intergenic	8340	ID=evm.model.Herato0204.27.2-E3;Parent=evm.model.Herato0204.27.2								
39	Herato0101	8665453	8666100	+	0	NA	Intergenic	Intergenic	-9466	ID=evm.model.Herato0101.259-E2;Parent=evm.model.Herato0101.259								
1089	Herato0101	20888164	20888858	+	0	NA	Intergenic	Intergenic	20709	ID=evm.model.Herato0101.802-E4;Parent=evm.model.Herato0101.802								
558	Herato1001	848568	850168	+	0	NA	TTS (ID=evm.model.Herato1001.39-E2;Parent=evm.model.Herato1001.39)	-TTS (ID=evm.model.Herato1001.39-E2;Parent=evm.model.Herato1001.39)	1018	ID=evm.model.Herato1001.39-E2;Parent=evm.model.Herato1001.39								
12	Herato0601	968518	968711	+	0	NA	Intergenic	Intergenic	-62693	ID=evm.model.Herato0601.10-E1;Parent=evm.model.Herato0601.10								
1554	Herato1605	2152087	2153241	+	0	NA	Intergenic	Intergenic	7536	ID=evm.model.Herato1605.65-E2;Parent=evm.model.Herato1605.65								
2168	Herato1910	798939	799308	+	0	NA	Intergenic	Intergenic	13539	ID=evm.model.Herato1910.61.2-E1;Parent=evm.model.Herato1910.61.2								
573	Herato1001	3617859	3618221	+	0	NA	Intergenic	Intergenic	-24800	ID=evm.model.Herato1001.118-E2;Parent=evm.model.Herato1001.118								
1084	Herato1202	16860288	16861876	+	0	NA	Intergenic	Intergenic	-3775	ID=evm.model.Herato1202.680.1-E1;Parent=evm.model.Herato1202.680.1								
638	Herato1003	6944328	6944581	+	0	NA	Intergenic	Intergenic	-2462	ID=evm.model.Herato1003.247-E1;Parent=evm.model.Herato1003.247								
2350	Herato2001	12292717	12293004	+	0	NA	Intergenic	Intergenic	-5007	ID=evm.model.Herato2001.466.1-E1;Parent=evm.model.Herato2001.466.1								
875	Herato1108	11058189	11058536	+	0	NA	TTS (ID=evm.model.Herato1108.477-E4;Parent=evm.model.Herato1108.477)	-TTS (ID=evm.model.Herato1108.477-E4;Parent=evm.model.Herato1108.477)	957	ID=evm.model.Herato1108.477-E4;Parent=evm.model.Herato1108.477								
2479	Herato0310	1958030	1958354	+	0	NA	Intergenic	Intergenic	6760	ID=evm.model.Herato0310.44.1-E17;Parent=evm.model.Herato0310.44.1								
1522	Herato1603	2950421	2951755	+	0	NA	Intergenic	Intergenic	-11357	ID=evm.model.Herato1603.84-E2;Parent=evm.model.Herato1603.84								
1	Herato0508	532193	532727	+	0	NA	Intergenic	Intergenic	10673	ID=evm.model.Herato0508.26-E1;Parent=evm.model.Herato0508.26								
506	Herato0901	7290916	7291191	+	0	NA	Intergenic	Intergenic	3925	ID=evm.model.Herato0901.241-E1;Parent=evm.model.Herato0901.241								
136	Herato0609	1187338	1188760	+	0	NA	Intergenic	Intergenic	2934	ID=evm.model.Herato0609.92-E3;Parent=evm.model.Herato0609.92								
116	Herato0606	7428780	7429390	+	0	NA	promoter-TSS (ID=evm.model.Herato0606.255-E1;Parent=evm.model.Herato0606.255)	-promoter-TSS (ID=evm.model.Herato0606.255-E1;Parent=evm.model.Herato0606.255)	-364	ID=evm.model.Herato0606.255-E1;Parent=evm.model.Herato0606.255								
1197	Herato1301	9641950	9642399	+	0	NA	Intergenic	Intergenic	59130	ID=evm.model.Herato1301.385-E14;Parent=evm.model.Herato1301.385								
1580	Herato0211	642583	643275	+	0	NA	Intergenic	Intergenic	-5372	ID=evm.model.Herato0211.32-E21;Parent=evm.model.Herato0211.32								
2419	Herato2101	7939720	7940136	+	0	NA	TTS (ID=evm.model.Herato2101.280-E1;Parent=evm.model.Herato2101.280)	-TTS (ID=evm.model.Herato2101.280-E1;Parent=evm.model.Herato2101.280)	930	ID=evm.model.Herato2101.280-E1;Parent=evm.model.Herato2101.280								
2146	Herato1908	924135	924667	+	0	NA	Intergenic	Intergenic	-8384	ID=evm.model.Herato1908.29-E6;Parent=evm.model.Herato1908.29								
661	Herato1005	829244	829410	+	0	NA	promoter-TSS (ID=evm.model.Herato1005.54-E4;Parent=evm.model.Herato1005.54)	-promoter-TSS (ID=evm.model.Herato1005.54-E4;Parent=evm.model.Herato1005.54)	98	ID=evm.model.Herato1005.54-E4;Parent=evm.model.Herato1005.54								
2482	Herato0310	2076468	2077503	+	0	NA	Intergenic	Intergenic	-12065	ID=evm.model.Herato0310.46.4-E2;Parent=evm.model.Herato0310.46.4								
1935	Herato1807	2363546	2364869	+	0	NA	Intergenic	Intergenic	-2915	ID=evm.model.Herato1807.46.3-E1;Parent=evm.model.Herato1807.46.3								
2690	Herato0101	7874015	7874482	+	0	NA	promoter-TSS (ID=evm.model.Herato0101.238-E1;Parent=evm.model.Herato0101.238)	-promoter-TSS (ID=evm.model.Herato0101.238-E1;Parent=evm.model.Herato0101.238)	-710	ID=evm.model.Herato0101.238-E1;Parent=evm.model.Herato0101.238								
581	Herato0101	15439187	15440125	+	0	NA	Intergenic	Intergenic	-17478	ID=evm.model.Herato0101.567-E1;Parent=evm.model.Herato0101.567								
308	Herato0101	11669356	11669739	+	0	NA	Intergenic	Intergenic	3217	ID=evm.model.Herato0101.355-E15;Parent=evm.model.Herato0101.355								
678	Herato1005	2327132	2327686	+	0	NA	TTS (ID=evm.model.Herato1005.115-E1;Parent=evm.model.Herato1005.115)	-TTS (ID=evm.model.Herato1005.115-E1;Parent=evm.model.Herato1005.115)	871	ID=evm.model.Herato1005.115-E1;Parent=evm.model.Herato1005.115								
1517	Herato1603	2155885	2156218	+	0	NA	Intergenic	Intergenic	10461	ID=evm.model.Herato1603.62-E1;Parent=evm.model.Herato1603.62								
1975	Herato1807	4192417	4192604	+	0	NA	Intergenic	Intergenic	-3826	ID=evm.model.Herato1807.90.2-E4;Parent=evm.model.Herato1807.90.2								
1973	Herato1807	4182471	4183489	+	0	NA	Intergenic	Intergenic	-3252	ID=evm.model.Herato1807.90.2-E5;Parent=evm.model.Herato1807.90.2								
1991	Herato1901	2146976	2148226	+	0	NA	TTS (ID=evm.model.Herato1901.62-E2;Parent=evm.model.Herato1901.62)	-TTS (ID=evm.model.Herato1901.62-E2;Parent=evm.model.Herato1901.62)	833	ID=evm.model.Herato1901.62-E2;Parent=evm.model.Herato1901.62								
927	Herato1202	1840805	1841108	+	0	NA	Intergenic	Intergenic	-36179	ID=evm.model.Herato1202.63.8-E1;Parent=evm.model.Herato1202.63.8								
301	Herato0701	14507454	14507781	+	0	NA	Intergenic	Intergenic	-11455	ID=evm.model.Herato0701.664-E1;Parent=evm.model.Herato0701.664								
2302	Herato2001	9135762	9136054	+	0	NA	Intergenic	Intergenic	-76807	ID=evm.model.Herato2001.384-E1;Parent=evm.model.Herato2001.384								
51	Herato0606	1686316	1687349	+	0	NA	Intergenic	Intergenic	14994	ID=evm.model.Herato0606.54.2-E6;Parent=evm.model.Herato0606.54.2								
1758	Herato1801	4289131	4290066	+	0	NA	Intergenic	Intergenic	-2454	ID=evm.model.Herato1801.147-E2;Parent=evm.model.Herato1801.147								
1822	Herato1805	2522972	2523348	+	0	NA	Intergenic	Intergenic	-87960	ID=evm.model.Herato1805.86-E1;Parent=evm.model.Herato1805.86								
