PeakID (cmd=annotatePeaks.pl development_5th_p05FC1_shared_5thup_eratoCoords.bed /home/rpapa/sbelleghem/share/REF/H_erato_dem/Herato_final.fasta -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_erato_demophoon_v1.gff3 -annStats development_5th_p05FC1_shared_5thup_eratoCoords_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1785	Herato2001	8548566	8548792	+	0	NA	Intergenic	Intergenic	-7794	ID=evm.model.Herato2001.361-E1;Parent=evm.model.Herato2001.361								
1250	Herato1603	2551098	2551242	+	0	NA	Intergenic	Intergenic	5113	ID=evm.model.Herato1603.76-E6;Parent=evm.model.Herato1603.76								
1363	Herato1703	960629	961544	+	0	NA	Intergenic	Intergenic	-9417	ID=evm.model.Herato1703.16-E2;Parent=evm.model.Herato1703.16								
722	Herato0101	1813693	1814497	+	0	NA	Intergenic	Intergenic	8108	ID=evm.model.Herato0101.43.1-E3;Parent=evm.model.Herato0101.43.1								
1109	Herato0204	1089594	1090150	+	0	NA	Intergenic	Intergenic	-9796	ID=evm.model.Herato0204.31_evm.model.Herato0204.30-E1;Parent=evm.model.Herato0204.31_evm.model.Herato0204.30								
2067	Herato0101	7304474	7304730	+	0	NA	Intergenic	Intergenic	-10869	ID=evm.model.Herato0101.227-E2;Parent=evm.model.Herato0101.227								
1630	Herato1904	2703649	2704014	+	0	NA	Intergenic	Intergenic	-17548	ID=evm.model.Herato1904.88-E1;Parent=evm.model.Herato1904.88								
1597	Herato1901	2947366	2948458	+	0	NA	promoter-TSS (ID=evm.model.Herato1901.95-E3;Parent=evm.model.Herato1901.95)	-promoter-TSS (ID=evm.model.Herato1901.95-E3;Parent=evm.model.Herato1901.95)	-198	ID=evm.model.Herato1901.95-E3;Parent=evm.model.Herato1901.95								
728	Herato1108	11922249	11922715	+	0	NA	Intergenic	Intergenic	-12139	ID=evm.model.Herato1108.507-E3;Parent=evm.model.Herato1108.507								
1244	Herato1603	2286893	2287456	+	0	NA	Intergenic	Intergenic	16848	ID=evm.model.Herato1603.63-E4;Parent=evm.model.Herato1603.63								
1638	Herato1904	3345898	3346797	+	0	NA	Intergenic	Intergenic	59951	ID=evm.model.Herato1904.117-E3;Parent=evm.model.Herato1904.117								
742	Herato0101	18863621	18864227	+	0	NA	Intergenic	Intergenic	-19265	ID=evm.model.Herato0101.747-E1;Parent=evm.model.Herato0101.747								
29	Herato0601	3359716	3359984	+	0	NA	Intergenic	Intergenic	12076	ID=evm.model.Herato0601.79-E25;Parent=evm.model.Herato0601.79								
350	Herato0801	5353241	5353908	+	0	NA	exon (ID=evm.model.Herato0801.121.1-E1;Parent=evm.model.Herato0801.121.1, exon 1 of 1)	-exon (ID=evm.model.Herato0801.121.1-E1;Parent=evm.model.Herato0801.121.1, exon 1 of 1)	121	ID=evm.model.Herato0801.121.1-E1;Parent=evm.model.Herato0801.121.1								
1969	Herato0310	4552604	4552938	+	0	NA	Intergenic	Intergenic	11242	ID=evm.model.Herato0310.116-E2;Parent=evm.model.Herato0310.116								
1810	Herato2001	11595830	11596700	+	0	NA	Intergenic	Intergenic	32226	ID=evm.model.Herato2001.441-E4;Parent=evm.model.Herato2001.441								
58	Herato0101	8899354	8899765	+	0	NA	TTS (ID=evm.model.Herato0101.264-E2;Parent=evm.model.Herato0101.264)	-TTS (ID=evm.model.Herato0101.264-E2;Parent=evm.model.Herato0101.264)	976	ID=evm.model.Herato0101.264-E2;Parent=evm.model.Herato0101.264								
153	Herato0701	1968170	1968689	+	0	NA	Intergenic	Intergenic	-10218	ID=evm.model.Herato0701.104-E2;Parent=evm.model.Herato0701.104								
1546	Herato1807	1233222	1233528	+	0	NA	Intergenic	Intergenic	28183	ID=evm.model.Herato1807.23-E2;Parent=evm.model.Herato1807.23								
101	Herato0606	5469241	5469447	+	0	NA	Intergenic	Intergenic	1588	ID=evm.model.Herato0606.182.1-E1;Parent=evm.model.Herato0606.182.1								
340	Herato0101	12519945	12520390	+	0	NA	Intergenic	Intergenic	1760	ID=evm.model.Herato0101.415-E72;Parent=evm.model.Herato0101.415								
311	Herato0701	17937545	17938349	+	0	NA	Intergenic	Intergenic	32282	ID=evm.model.Herato0701.743-E3;Parent=evm.model.Herato0701.743								
825	Herato0101	20193294	20193686	+	0	NA	Intergenic	Intergenic	-1474	ID=evm.model.Herato0101.776-E4;Parent=evm.model.Herato0101.776								
917	Herato1202	19639322	19640645	+	0	NA	Intergenic	Intergenic	-10543	ID=evm.model.Herato1202.798-E5;Parent=evm.model.Herato1202.798								
495	Herato1003	5415230	5415911	+	0	NA	Intergenic	Intergenic	5320	ID=evm.model.Herato1003.175-E1;Parent=evm.model.Herato1003.175								
1703	Herato1910	3454114	3454716	+	0	NA	Intergenic	Intergenic	-18225	ID=evm.model.Herato1910.159.2-E3;Parent=evm.model.Herato1910.159.2								
2086	Herato0503	4340314	4341021	+	0	NA	Intergenic	Intergenic	35032	ID=evm.model.Herato0503.130-E12;Parent=evm.model.Herato0503.130								
1322	Herato1701	5918103	5918399	+	0	NA	Intergenic	Intergenic	7670	ID=evm.model.Herato1701.165-E1;Parent=evm.model.Herato1701.165								
1816	Herato2001	11763312	11763943	+	0	NA	promoter-TSS (ID=evm.model.Herato2001.443-E1;Parent=evm.model.Herato2001.443)	-promoter-TSS (ID=evm.model.Herato2001.443-E1;Parent=evm.model.Herato2001.443)	87	ID=evm.model.Herato2001.443-E1;Parent=evm.model.Herato2001.443								
1172	Herato1505	2913779	2915153	+	0	NA	Intergenic	Intergenic	-1338	ID=evm.model.Herato1505.124.1-E1;Parent=evm.model.Herato1505.124.1								
1259	Herato1603	2968510	2969349	+	0	NA	Intergenic	Intergenic	12884	ID=evm.model.Herato1603.84-E1;Parent=evm.model.Herato1603.84								
834	Herato1202	11277071	11277797	+	0	NA	TTS (ID=evm.model.Herato1202.448-E1;Parent=evm.model.Herato1202.448)	-TTS (ID=evm.model.Herato1202.448-E1;Parent=evm.model.Herato1202.448)	1540	ID=evm.model.Herato1202.448-E1;Parent=evm.model.Herato1202.448								
285	Herato0701	16125115	16125946	+	0	NA	promoter-TSS (ID=evm.model.Herato0701.693-E7;Parent=evm.model.Herato0701.693)	-promoter-TSS (ID=evm.model.Herato0701.693-E7;Parent=evm.model.Herato0701.693)	-571	ID=evm.model.Herato0701.693.1-E7;Parent=evm.model.Herato0701.693.1								
1216	Herato1507	8052849	8053070	+	0	NA	Intergenic	Intergenic	23868	ID=evm.model.Herato1507.285-E9;Parent=evm.model.Herato1507.285								
1135	Herato1411	3191407	3191874	+	0	NA	Intergenic	Intergenic	-3481	ID=evm.model.Herato1411.120-E3;Parent=evm.model.Herato1411.120								
2002	Herato0401	1867696	1868982	+	0	NA	Intergenic	Intergenic	6564	ID=evm.model.Herato0401.47-E7;Parent=evm.model.Herato0401.47								
1203	Herato1507	6985342	6985790	+	0	NA	Intergenic	Intergenic	-8056	ID=evm.model.Herato1507.248-E1;Parent=evm.model.Herato1507.248								
96	Herato0606	4351142	4351582	+	0	NA	promoter-TSS (ID=evm.model.Herato0606.132-E1;Parent=evm.model.Herato0606.132)	-promoter-TSS (ID=evm.model.Herato0606.132-E1;Parent=evm.model.Herato0606.132)	-172	ID=evm.model.Herato0606.132-E1;Parent=evm.model.Herato0606.132								
2088	Herato0503	4572301	4573231	+	0	NA	Intergenic	Intergenic	6617	ID=evm.model.Herato0503.132.2-E2;Parent=evm.model.Herato0503.132.2								
1068	Herato1301	19531239	19532367	+	0	NA	Intergenic	Intergenic	-129013	ID=evm.model.Herato1301.673-E1;Parent=evm.model.Herato1301.673								
1667	Herato1906	773177	773468	+	0	NA	Intergenic	Intergenic	-31162	ID=evm.model.Herato1906.26-E1;Parent=evm.model.Herato1906.26								
2114	Herato0503	8575960	8576184	+	0	NA	Intergenic	Intergenic	-55553	ID=evm.model.Herato0503.332-E1;Parent=evm.model.Herato0503.332								
486	Herato0101	15822320	15822725	+	0	NA	promoter-TSS (ID=evm.model.Herato0101.599-E9;Parent=evm.model.Herato0101.599)	-promoter-TSS (ID=evm.model.Herato0101.599-E9;Parent=evm.model.Herato0101.599)	-14	ID=evm.model.Herato0101.599-E9;Parent=evm.model.Herato0101.599								
1354	Herato1701	10630422	10630780	+	0	NA	promoter-TSS (ID=evm.model.Herato1701.366-E3;Parent=evm.model.Herato1701.366)	-promoter-TSS (ID=evm.model.Herato1701.366-E3;Parent=evm.model.Herato1701.366)	-622	ID=evm.model.Herato1701.366-E3;Parent=evm.model.Herato1701.366								
569	Herato0101	16776743	16778378	+	0	NA	promoter-TSS (ID=evm.model.Herato0101.645-E2;Parent=evm.model.Herato0101.645)	-promoter-TSS (ID=evm.model.Herato0101.645-E2;Parent=evm.model.Herato0101.645)	-149	ID=evm.model.Herato0101.645-E2;Parent=evm.model.Herato0101.645								
8	Herato0508	1953729	1954108	+	0	NA	exon (ID=evm.model.Herato0508.75-E3;Parent=evm.model.Herato0508.75, exon 1 of 1)	-exon (ID=evm.model.Herato0508.75-E3;Parent=evm.model.Herato0508.75, exon 1 of 1)	563	ID=evm.model.Herato0508.75-E3;Parent=evm.model.Herato0508.75								
2045	Herato0411	5695955	5696327	+	0	NA	Intergenic	Intergenic	-3373	ID=evm.model.Herato0411.138-E2;Parent=evm.model.Herato0411.138								
1396	Herato1801	2759841	2760847	+	0	NA	Intergenic	Intergenic	-9567	ID=evm.model.Herato1801.96-E1;Parent=evm.model.Herato1801.96								
686	Herato1108	6934448	6934869	+	0	NA	promoter-TSS (ID=evm.model.Herato1108.305-E2;Parent=evm.model.Herato1108.305)	-promoter-TSS (ID=evm.model.Herato1108.305-E2;Parent=evm.model.Herato1108.305)	56	ID=evm.model.Herato1108.305-E2;Parent=evm.model.Herato1108.305								
1760	Herato2001	5038758	5039282	+	0	NA	Intergenic	Intergenic	4352	ID=evm.model.Herato2001.171-E2;Parent=evm.model.Herato2001.171								
2033	Herato0101	6313156	6313893	+	0	NA	Intergenic	Intergenic	4719	ID=evm.model.Herato0101.183-E1;Parent=evm.model.Herato0101.183								
391	Herato0901	484239	484781	+	0	NA	TTS (ID=evm.model.Herato0901.21-E2;Parent=evm.model.Herato0901.21)	-TTS (ID=evm.model.Herato0901.21-E2;Parent=evm.model.Herato0901.21)	1513	ID=evm.model.Herato0901.21-E2;Parent=evm.model.Herato0901.21								
943	Herato1301	1490694	1491244	+	0	NA	promoter-TSS (ID=evm.model.Herato1301.37-E5;Parent=evm.model.Herato1301.37)	-promoter-TSS (ID=evm.model.Herato1301.37-E5;Parent=evm.model.Herato1301.37)	-88	ID=evm.model.Herato1301.37-E5;Parent=evm.model.Herato1301.37								
1887	Herato2101	7568608	7568807	+	0	NA	promoter-TSS (ID=evm.model.Herato2101.267-E27;Parent=evm.model.Herato2101.267)	-promoter-TSS (ID=evm.model.Herato2101.267-E27;Parent=evm.model.Herato2101.267)	102	ID=evm.model.Herato2101.267.7-E26;Parent=evm.model.Herato2101.267.7								
1375	Herato1703	1761905	1762216	+	0	NA	promoter-TSS (ID=evm.model.Herato1703.30.2-E1;Parent=evm.model.Herato1703.30.2)	-promoter-TSS (ID=evm.model.Herato1703.30.2-E1;Parent=evm.model.Herato1703.30.2)	-84	ID=evm.model.Herato1703.30.2-E1;Parent=evm.model.Herato1703.30.2								
180	Herato0701	2764858	2766233	+	0	NA	Intergenic	Intergenic	-2961	ID=evm.model.Herato0701.154-E3;Parent=evm.model.Herato0701.154								
1585	Herato1807	3860578	3861270	+	0	NA	Intergenic	Intergenic	4375	ID=evm.model.Herato1807.79.1-E3;Parent=evm.model.Herato1807.79.1								
1877	Herato2101	5057298	5057748	+	0	NA	Intergenic	Intergenic	-7287	ID=evm.model.Herato2101.171-E2;Parent=evm.model.Herato2101.171								
246	Herato0701	12316987	12317860	+	0	NA	promoter-TSS (ID=evm.model.Herato0701.572-E2;Parent=evm.model.Herato0701.572)	-promoter-TSS (ID=evm.model.Herato0701.572-E2;Parent=evm.model.Herato0701.572)	78	ID=evm.model.Herato0701.572-E2;Parent=evm.model.Herato0701.572								
690	Herato1108	7347593	7348041	+	0	NA	promoter-TSS (ID=evm.model.Herato1108.333-E4;Parent=evm.model.Herato1108.333)	-promoter-TSS (ID=evm.model.Herato1108.333-E4;Parent=evm.model.Herato1108.333)	-495	ID=evm.model.Herato1108.333.1-E4;Parent=evm.model.Herato1108.333.1								
1168	Herato1505	2239075	2239877	+	0	NA	Intergenic	Intergenic	66883	ID=evm.model.Herato1505.86-E14;Parent=evm.model.Herato1505.86								
61	Herato0606	2161146	2161594	+	0	NA	Intergenic	Intergenic	8976	ID=evm.model.Herato0606.66-E1;Parent=evm.model.Herato0606.66								
536	Herato0101	16439168	16439901	+	0	NA	Intergenic	Intergenic	-2442	ID=evm.model.Herato0101.639-E2;Parent=evm.model.Herato0101.639								
1767	Herato2001	5289709	5290061	+	0	NA	Intergenic	Intergenic	-1580	ID=evm.model.Herato2001.177-E6;Parent=evm.model.Herato2001.177								
1653	Herato1904	5827003	5827704	+	0	NA	Intergenic	Intergenic	37075	ID=evm.model.Herato1904.211-E1;Parent=evm.model.Herato1904.211								
1688	Herato1908	2354014	2354264	+	0	NA	Intergenic	Intergenic	-2726	ID=evm.model.Herato1908.81-E2;Parent=evm.model.Herato1908.81								
1266	Herato1603	3802743	3803761	+	0	NA	Intergenic	Intergenic	2611	ID=evm.model.Herato1603.117-E4;Parent=evm.model.Herato1603.117								
1458	Herato1805	2715133	2715813	+	0	NA	Intergenic	Intergenic	67212	ID=novel_model_238_novel_model_241-E2;Parent=novel_model_238_novel_model_241								
444	Herato0901	9303721	9304345	+	0	NA	Intergenic	Intergenic	-22227	ID=evm.model.Herato0901.298_evm.model.Herato0901.299-E6;Parent=evm.model.Herato0901.298_evm.model.Herato0901.299								
508	Herato1003	6113333	6113979	+	0	NA	Intergenic	Intergenic	-7156	ID=evm.model.Herato1003.199.3-E5;Parent=evm.model.Herato1003.199.3								
1336	Herato1701	6674776	6675541	+	0	NA	Intergenic	Intergenic	17548	ID=evm.model.Herato1701.192.3-E3;Parent=evm.model.Herato1701.192.3								
39	Herato0101	8739025	8739489	+	0	NA	Intergenic	Intergenic	-2487	ID=evm.model.Herato0101.261-E1;Parent=evm.model.Herato0101.261								
1089	Herato0204	540521	540744	+	0	NA	Intergenic	Intergenic	20263	ID=evm.model.Herato0204.27.2-E3;Parent=evm.model.Herato0204.27.2								
558	Herato1005	4557709	4558113	+	0	NA	Intergenic	Intergenic	1678	ID=evm.model.Herato1005.219-E1;Parent=evm.model.Herato1005.219								
12	Herato0601	935334	935742	+	0	NA	Intergenic	Intergenic	-29617	ID=evm.model.Herato0601.10-E1;Parent=evm.model.Herato0601.10								
1554	Herato0214	728342	728563	+	0	NA	Intergenic	Intergenic	16878	ID=evm.model.Herato0214.43_evm.model.Herato0214.44_evm.model.Herato0214.46-E21;Parent=evm.model.Herato0214.43_evm.model.Herato0214.44_evm.model.Herato0214.46								
573	Herato1007	765595	766896	+	0	NA	promoter-TSS (ID=evm.model.Herato1007.23-E1;Parent=evm.model.Herato1007.23)	-promoter-TSS (ID=evm.model.Herato1007.23-E1;Parent=evm.model.Herato1007.23)	-215	ID=evm.model.Herato1007.23-E1;Parent=evm.model.Herato1007.23								
1084	Herato1301	21363103	21364154	+	0	NA	Intergenic	Intergenic	-11199	ID=evm.model.Herato1301.727.2-E1;Parent=evm.model.Herato1301.727.2								
638	Herato1102	429049	429767	+	0	NA	Intergenic	Intergenic	3695	ID=evm.model.Herato1102.11-E7;Parent=evm.model.Herato1102.11								
875	Herato1202	15130476	15131026	+	0	NA	Intergenic	Intergenic	-76999	ID=evm.model.Herato1202.577-E1;Parent=evm.model.Herato1202.577								
1522	Herato1805	9898606	9899899	+	0	NA	Intergenic	Intergenic	-13831	ID=evm.model.Herato1805.291-E1;Parent=evm.model.Herato1805.291								
1	Herato0508	502769	503149	+	0	NA	Intergenic	Intergenic	-3469	ID=evm.model.Herato0508.23_evm.model.Herato0508.25_evm.model.Herato0508.91.1-E1;Parent=evm.model.Herato0508.23_evm.model.Herato0508.25_evm.model.Herato0508.91.1								
506	Herato1003	6046854	6047165	+	0	NA	Intergenic	Intergenic	8308	ID=evm.model.Herato1003.199-E1;Parent=evm.model.Herato1003.199								
136	Herato0101	10134785	10135557	+	0	NA	TTS (ID=evm.model.Herato0101.291-E1;Parent=evm.model.Herato0101.291)	-TTS (ID=evm.model.Herato0101.291-E1;Parent=evm.model.Herato0101.291)	944	ID=evm.model.Herato0101.291.6-E1;Parent=evm.model.Herato0101.291.6								
116	Herato0606	8568692	8569009	+	0	NA	Intergenic	Intergenic	5195	ID=evm.model.Herato0606.268-E1;Parent=evm.model.Herato0606.268								
1197	Herato1507	5100044	5101607	+	0	NA	Intergenic	Intergenic	-3425	ID=evm.model.Herato1507.175.1-E1;Parent=evm.model.Herato1507.175.1								
1580	Herato1807	3326808	3327003	+	0	NA	TTS (ID=evm.model.Herato1807.64-E1;Parent=evm.model.Herato1807.64)	-TTS (ID=evm.model.Herato1807.64-E1;Parent=evm.model.Herato1807.64)	1106	ID=evm.model.Herato1807.64-E1;Parent=evm.model.Herato1807.64								
661	Herato1108	4145071	4145345	+	0	NA	Intergenic	Intergenic	26478	ID=evm.model.Herato1108.155-E8;Parent=evm.model.Herato1108.155								
1935	Herato0301	3350032	3350603	+	0	NA	Intergenic	Intergenic	6123	ID=evm.model.Herato0301.89-E4;Parent=evm.model.Herato0301.89								
581	Herato1007	1086488	1086688	+	0	NA	Intergenic	Intergenic	16526	ID=evm.model.Herato1007.44-E6;Parent=evm.model.Herato1007.44								
308	Herato0701	17879240	17879507	+	0	NA	Intergenic	Intergenic	41286	ID=evm.model.Herato0701.741-E25;Parent=evm.model.Herato0701.741								
678	Herato1108	5394864	5395231	+	0	NA	Intergenic	Intergenic	-5181	ID=evm.model.Herato1108.235.1-E2;Parent=evm.model.Herato1108.235.1								
1517	Herato1805	8993461	8994207	+	0	NA	Intergenic	Intergenic	-2473	ID=evm.model.Herato1805.266.1-E1;Parent=evm.model.Herato1805.266.1								
1975	Herato0310	5186591	5187802	+	0	NA	Intergenic	Intergenic	6952	ID=evm.model.Herato0310.126-E4;Parent=evm.model.Herato0310.126								
1973	Herato0310	5160023	5160464	+	0	NA	Intergenic	Intergenic	-16333	ID=evm.model.Herato0310.126-E1;Parent=evm.model.Herato0310.126								
1991	Herato0310	6546598	6546936	+	0	NA	Intergenic	Intergenic	107434	ID=evm.model.Herato0310.168-E2;Parent=evm.model.Herato0310.168								
927	Herato1202	19766396	19766804	+	0	NA	Intergenic	Intergenic	-22542	ID=evm.model.Herato1202.799-E1;Parent=evm.model.Herato1202.799								
301	Herato0701	16516713	16517154	+	0	NA	Intergenic	Intergenic	3696	ID=evm.model.Herato0701.702-E3;Parent=evm.model.Herato0701.702								
51	Herato0606	1689263	1690620	+	0	NA	Intergenic	Intergenic	11885	ID=evm.model.Herato0606.54.2-E6;Parent=evm.model.Herato0606.54.2								
1758	Herato2001	4999735	5000730	+	0	NA	Intergenic	Intergenic	-15078	ID=evm.model.Herato2001.171-E1;Parent=evm.model.Herato2001.171								
1822	Herato2001	12737866	12739183	+	0	NA	promoter-TSS (ID=evm.model.Herato2001.483-E13;Parent=evm.model.Herato2001.483)	-promoter-TSS (ID=evm.model.Herato2001.483-E13;Parent=evm.model.Herato2001.483)	-857	ID=evm.model.Herato2001.483.2-E12;Parent=evm.model.Herato2001.483.2								
456	Herato0904	434694	435308	+	0	NA	promoter-TSS (ID=evm.model.Herato0904.24-E1;Parent=evm.model.Herato0904.24)	-promoter-TSS (ID=evm.model.Herato0904.24-E1;Parent=evm.model.Herato0904.24)	-603	ID=evm.model.Herato0904.24-E1;Parent=evm.model.Herato0904.24								
652	Herato1108	2968999	2969465	+	0	NA	Intergenic	Intergenic	3118	ID=evm.model.Herato1108.91-E10;Parent=evm.model.Herato1108.91								
1033	Herato1301	14470425	14470852	+	0	NA	Intergenic	Intergenic	1200	ID=evm.model.Herato1301.545-E3;Parent=evm.model.Herato1301.545								
2034	Herato0411	4418796	4419042	+	0	NA	Intergenic	Intergenic	23046	ID=evm.model.Herato0411.101-E2;Parent=evm.model.Herato0411.101								
1539	Herato1807	686571	686801	+	0	NA	Intergenic	Intergenic	-3346	ID=evm.model.Herato1807.12-E2;Parent=evm.model.Herato1807.12								
2029	Herato0101	6195144	6196438	+	0	NA	Intergenic	Intergenic	51198	ID=evm.model.Herato0101.179-E3;Parent=evm.model.Herato0101.179								
796	Herato1202	3766766	3767228	+	0	NA	promoter-TSS (ID=evm.model.Herato1202.130-E1;Parent=evm.model.Herato1202.130)	-promoter-TSS (ID=evm.model.Herato1202.130-E1;Parent=evm.model.Herato1202.130)	-629	ID=evm.model.Herato1202.130-E1;Parent=evm.model.Herato1202.130								
366	Herato0101	13248521	13249184	+	0	NA	Intergenic	Intergenic	4806	ID=novel_model_4-E1;Parent=novel_model_4								
844	Herato1202	12774922	12775215	+	0	NA	Intergenic	Intergenic	54376	ID=evm.model.Herato1202.477-E6;Parent=evm.model.Herato1202.477								
1541	Herato1807	839744	841730	+	0	NA	Intergenic	Intergenic	7408	ID=evm.model.Herato1807.14.1-E1;Parent=evm.model.Herato1807.14.1								
272	Herato0701	14601868	14602401	+	0	NA	Intergenic	Intergenic	15304	ID=evm.model.Herato0701.665-E1;Parent=evm.model.Herato0701.665								
775	Herato1202	2255695	2256715	+	0	NA	promoter-TSS (ID=evm.model.Herato1202.79-E2;Parent=evm.model.Herato1202.79)	-promoter-TSS (ID=evm.model.Herato1202.79-E2;Parent=evm.model.Herato1202.79)	-269	ID=evm.model.Herato1202.79-E2;Parent=evm.model.Herato1202.79								
2108	Herato0503	7763196	7763581	+	0	NA	Intergenic	Intergenic	-8081	ID=evm.model.Herato0503.294-E1;Parent=evm.model.Herato0503.294								
20	Herato0601	1305223	1305706	+	0	NA	Intergenic	Intergenic	-14611	ID=evm.model.Herato0601.15-E2;Parent=evm.model.Herato0601.15								
888	Herato1202	16486363	16486817	+	0	NA	Intergenic	Intergenic	16227	ID=evm.model.Herato1202.656-E1;Parent=evm.model.Herato1202.656								
1983	Herato0310	5486705	5487042	+	0	NA	Intergenic	Intergenic	3193	ID=evm.model.Herato0310.128-E3;Parent=evm.model.Herato0310.128								
1011	Herato1301	12115966	12116227	+	0	NA	Intergenic	Intergenic	-29078	ID=evm.model.Herato1301.479-E2;Parent=evm.model.Herato1301.479								
1754	Herato2001	3655243	3656307	+	0	NA	Intergenic	Intergenic	2248	ID=evm.model.Herato2001.113-E2;Parent=evm.model.Herato2001.113								
1627	Herato1904	2567349	2567923	+	0	NA	Intergenic	Intergenic	-49668	ID=evm.model.Herato1904.87-E1;Parent=evm.model.Herato1904.87								
1161	Herato1505	1091450	1092148	+	0	NA	Intergenic	Intergenic	-3664	ID=evm.model.Herato1505.43.1-E1;Parent=evm.model.Herato1505.43.1								
468	Herato1001	2503075	2503275	+	0	NA	Intergenic	Intergenic	-4198	ID=evm.model.Herato1001.94-E1;Parent=evm.model.Herato1001.94								
2093	Herato0503	5128566	5129334	+	0	NA	promoter-TSS (ID=evm.model.Herato0503.163-E2;Parent=evm.model.Herato0503.163)	-promoter-TSS (ID=evm.model.Herato0503.163-E2;Parent=evm.model.Herato0503.163)	-931	ID=evm.model.Herato0503.163-E2;Parent=evm.model.Herato0503.163								
1019	Herato1301	13755846	13756905	+	0	NA	Intergenic	Intergenic	-24857	ID=evm.model.Herato1301.530-E2;Parent=evm.model.Herato1301.530								
700	Herato0101	1785046	1786068	+	0	NA	promoter-TSS (ID=evm.model.Herato0101.43-E6;Parent=evm.model.Herato0101.43)	-promoter-TSS (ID=evm.model.Herato0101.43-E6;Parent=evm.model.Herato0101.43)	-876	ID=evm.model.Herato0101.43-E6;Parent=evm.model.Herato0101.43								
1927	Herato0301	3214751	3215002	+	0	NA	TTS (ID=evm.model.Herato0301.83-E2;Parent=evm.model.Herato0301.83)	-TTS (ID=evm.model.Herato0301.83-E2;Parent=evm.model.Herato0301.83)	655	ID=evm.model.Herato0301.83-E2;Parent=evm.model.Herato0301.83								
78	Herato0606	3502311	3503785	+	0	NA	Intergenic	Intergenic	-14191	ID=evm.model.Herato0606.106-E1;Parent=evm.model.Herato0606.106								
1380	Herato1705	2362625	2362874	+	0	NA	Intergenic	Intergenic	-1678	ID=evm.model.Herato1705.75-E3;Parent=evm.model.Herato1705.75								
990	Herato1301	7309846	7310645	+	0	NA	Intergenic	Intergenic	-1415	ID=evm.model.Herato1301.277-E1;Parent=evm.model.Herato1301.277								
413	Herato0901	3239840	3240591	+	0	NA	Intergenic	Intergenic	-138201	ID=evm.model.Herato0901.89-E1;Parent=evm.model.Herato0901.89								
