PeakID (cmd=annotatePeaks.pl development_5th_p05FC1_shared_5thup_melpCoords.bed /work/rpapa/share/REF/Hmel2/Hmel2.fa -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_melpomene_melpomene_Hmel2.gff3 -annStats development_5th_p05FC1_shared_5thup_melpCoords_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
775	Hmel212001	2040564	2041163	+	0	NA	Intergenic	Intergenic	-1262	ID=HMEL016808g1.t1-E2;Parent=HMEL016808g1.t1								
2108	Hmel205020	169282	169653	+	0	NA	Intergenic	Intergenic	-2321	ID=HMEL036785g1.t1-E1;Parent=HMEL036785g1.t1								
20	Hmel206006	577365	577857	+	0	NA	Intergenic	Intergenic	-2902	ID=HMEL036938g1.t1-E1;Parent=HMEL036938g1.t1								
888	Hmel212013	684818	685233	+	0	NA	Intergenic	Intergenic	14859	ID=HMEL011957g2.t1-E1;Parent=HMEL011957g2.t1								
1983	Hmel203067	715799	716204	+	0	NA	TTS (ID=HMEL025000-RA-E2;Parent=HMEL025000-RA)	-TTS (ID=HMEL025000-RA-E2;Parent=HMEL025000-RA)	3029	ID=HMEL025000-RA-E2;Parent=HMEL025000-RA								
1011	Hmel213044	647411	647826	+	0	NA	Intergenic	Intergenic	30090	ID=HMEL017299g1.t1-E1;Parent=HMEL017299g1.t1								
1754	Hmel220003	2589440	2590503	+	0	NA	Intergenic	Intergenic	4364	ID=HMEL012544g1.t1-E7;Parent=HMEL012544g1.t1								
1627	Hmel219003	4571595	4572032	+	0	NA	Intergenic	Intergenic	-56796	ID=HMEL013143g1.t1-E1;Parent=HMEL013143g1.t1								
1161	Hmel215006	570664	571596	+	0	NA	Intergenic	Intergenic	-5526	ID=HMEL005803g2.t1-E4;Parent=HMEL005803g2.t1								
468	Hmel210004	369885	370076	+	0	NA	Intergenic	Intergenic	-5243	ID=HMEL007551g1.t1-E1;Parent=HMEL007551g1.t1								
2093	Hmel205013	96776	97221	+	0	NA	promoter-TSS (ID=HMEL008926g1.t1-E2;Parent=HMEL008926g1.t1)	-promoter-TSS (ID=HMEL008926g1.t1-E2;Parent=HMEL008926g1.t1)	-724	ID=HMEL008926g1.t1-E2;Parent=HMEL008926g1.t1								
1019	Hmel213049	281849	282411	+	0	NA	Intergenic	Intergenic	-13523	ID=HMEL032065g1.t1-E1;Parent=HMEL032065g1.t1								
700	Hmel201002	1314917	1316112	+	0	NA	Intergenic	Intergenic	-1034	ID=HMEL011296g1.t1-E5;Parent=HMEL011296g1.t1								
1927	Hmel203030	83464	83736	+	0	NA	promoter-TSS (ID=HMEL021775g1.t1-E3;Parent=HMEL021775g1.t1)	-promoter-TSS (ID=HMEL021775g1.t1-E3;Parent=HMEL021775g1.t1)	-835	ID=HMEL021775g1.t1-E3;Parent=HMEL021775g1.t1								
78	Hmel206009	2243278	2244820	+	0	NA	Intergenic	Intergenic	4797	ID=HMEL012825g3.t1-E11;Parent=HMEL012825g3.t1								
1380	Hmel217020	136128	136337	+	0	NA	promoter-TSS (ID=HMEL008107g1.t1-E1;Parent=HMEL008107g1.t1)	-promoter-TSS (ID=HMEL008107g1.t1-E1;Parent=HMEL008107g1.t1)	-2	ID=HMEL008107g1.t1-E1;Parent=HMEL008107g1.t1								
990	Hmel213025	40209	40782	+	0	NA	Intergenic	Intergenic	1538	ID=HMEL031923g1.t1-E4;Parent=HMEL031923g1.t1								
413	Hmel209005	495403	496297	+	0	NA	Intergenic	Intergenic	-2268	ID=HMEL030327g1.t1-E2;Parent=HMEL030327g1.t1								
294	Hmel207021	2041697	2042539	+	0	NA	Intergenic	Intergenic	-5625	ID=HMEL037715g1.t1-E1;Parent=HMEL037715g1.t1								
1614	Hmel219003	3095125	3095486	+	0	NA	Intergenic	Intergenic	12519	ID=HMEL006176g1.t1-E3;Parent=HMEL006176g1.t1								
1442	Hmel218013	11569	11987	+	0	NA	Intergenic	Intergenic	-6401	ID=HMEL034338g1.t1-E1;Parent=HMEL034338g1.t1								
764	Hmel212001	1637296	1637794	+	0	NA	Intergenic	Intergenic	-1803	ID=HMEL007966g1.t1-E1;Parent=HMEL007966g1.t1								
349	Hmel208021	115823	116205	+	0	NA	Intergenic	Intergenic	-18030	ID=HMEL009110-RA-E1;Parent=HMEL009110-RA								
1743	Hmel220003	1636586	1637039	+	0	NA	Intergenic	Intergenic	-4763	ID=HMEL035002g1.t1-E1;Parent=HMEL035002g1.t1								
2075	Hmel205012	550237	551415	+	0	NA	Intergenic	Intergenic	-8155	ID=HMEL007212g1.t1-E1;Parent=HMEL007212g1.t1								
