PeakID (cmd=annotatePeaks.pl development_D1_p05FC1_melpUnique_D1down.bed /work/rpapa/share/REF/Hmel2/Hmel2.fa -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_melpomene_melpomene_Hmel2.gff3 -annStats development_D1_p05FC1_melpUnique_D1down_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1244	Hmel210011	1723469	1723599	+	0	NA	Intergenic	Intergenic	-2029	ID=HMEL006705g1.t1-E1;Parent=HMEL006705g1.t1								
2154	Hmel216011	2433467	2433765	+	0	NA	Intergenic	Intergenic	-7013	ID=HMEL002805g1.t1-E1;Parent=HMEL002805g1.t1								
1638	Hmel213004	1439707	1440233	+	0	NA	Intergenic	Intergenic	-16659	ID=HMEL013358g2.t1-E1;Parent=HMEL013358g2.t1								
742	Hmel206012	1504741	1505952	+	0	NA	Intergenic	Intergenic	-3112	ID=HMEL004535g1.t1-E1;Parent=HMEL004535g1.t1								
29	Hmel201005	863214	863577	+	0	NA	Intergenic	Intergenic	10530	ID=HMEL030076g1.t1-E2;Parent=HMEL030076g1.t1								
350	Hmel203048	442269	442749	+	0	NA	Intergenic	Intergenic	-9815	ID=HMEL036098g1.t1-E1;Parent=HMEL036098g1.t1								
1969	Hmel215008	200534	200909	+	0	NA	promoter-TSS (ID=HMEL013484g1.t1-E3;Parent=HMEL013484g1.t1)	-promoter-TSS (ID=HMEL013484g1.t1-E3;Parent=HMEL013484g1.t1)	176	ID=HMEL013484g1.t1-E2;Parent=HMEL013484g1.t1								
1810	Hmel213067	278536	279336	+	0	NA	TTS (ID=HMEL003058-RA-E8;Parent=HMEL003058-RA)	-TTS (ID=HMEL003058-RA-E8;Parent=HMEL003058-RA)	1219	ID=HMEL003058-RA-E8;Parent=HMEL003058-RA								
2203	Hmel216016	250484	251030	+	0	NA	Intergenic	Intergenic	2457	ID=HMEL008072g1.t1-E1;Parent=HMEL008072g1.t1								
58	Hmel201008	39935	40903	+	0	NA	Intergenic	Intergenic	-7555	ID=HMEL002949g1.t1-E1;Parent=HMEL002949g1.t1								
153	Hmel201019	493213	494041	+	0	NA	Intergenic	Intergenic	-16338	ID=HMEL033110g1.t1-E1;Parent=HMEL033110g1.t1								
2754	Hmel220011	121729	122030	+	0	NA	Intergenic	Intergenic	5327	ID=HMEL035267g1.t1-E3;Parent=HMEL035267g1.t1								
2387	Hmel218011	130916	133062	+	0	NA	promoter-TSS (ID=HMEL034328g1.t1-E1;Parent=HMEL034328g1.t1)	-promoter-TSS (ID=HMEL034328g1.t1-E1;Parent=HMEL034328g1.t1)	-123	ID=HMEL034328g1.t1-E1;Parent=HMEL034328g1.t1								
1546	Hmel212011	725572	725815	+	0	NA	Intergenic	Intergenic	-14181	ID=HMEL012680g1.t3-E1;Parent=HMEL012680g1.t3								
101	Hmel201009	4647349	4647791	+	0	NA	promoter-TSS (ID=HMEL002217g1.t1-E1;Parent=HMEL002217g1.t1)	-promoter-TSS (ID=HMEL002217g1.t1-E1;Parent=HMEL002217g1.t1)	-54	ID=HMEL002217g1.t1-E1;Parent=HMEL002217g1.t1								
340	Hmel203057	28230	28742	+	0	NA	Intergenic	Intergenic	4907	ID=HMEL036126g1.t1-E2;Parent=HMEL036126g1.t1								
311	Hmel203033	151241	151622	+	0	NA	Intergenic	Intergenic	-1542	ID=HMEL021515g1.t1-E1;Parent=HMEL021515g1.t1								
825	Hmel207008	426619	427531	+	0	NA	TTS (ID=HMEL017666g1.t1-E2;Parent=HMEL017666g1.t1)	-TTS (ID=HMEL017666g1.t1-E2;Parent=HMEL017666g1.t1)	150	ID=HMEL017666g1.t1-E3;Parent=HMEL017666g1.t1								
917	Hmel207030	61723	62743	+	0	NA	TTS (ID=HMEL005305g4.t1-E4;Parent=HMEL005305g4.t1)	-TTS (ID=HMEL005305g4.t1-E4;Parent=HMEL005305g4.t1)	155	ID=HMEL037765g1.t1-E2;Parent=HMEL037765g1.t1								
2425	Hmel218018	4482144	4482820	+	0	NA	Intergenic	Intergenic	-9194	ID=HMEL015554g1.t1-E1;Parent=HMEL015554g1.t1								
495	Hmel205005	404709	404908	+	0	NA	promoter-TSS (ID=HMEL016019g1.t1-E6;Parent=HMEL016019g1.t1)	-promoter-TSS (ID=HMEL016019g1.t1-E6;Parent=HMEL016019g1.t1)	-7	ID=HMEL016019g1.t1-E6;Parent=HMEL016019g1.t1								
1703	Hmel213025	356554	356877	+	0	NA	TTS (ID=HMEL016921g2.t1-E1;Parent=HMEL016921g2.t1)	-TTS (ID=HMEL016921g2.t1-E1;Parent=HMEL016921g2.t1)	1197	ID=HMEL016921g2.t1-E1;Parent=HMEL016921g2.t1								
2086	Hmel216009	156284	156501	+	0	NA	Intergenic	Intergenic	9960	ID=HMEL010213g1.t1-E9;Parent=HMEL010213g1.t1								
1322	Hmel211002	46911	48619	+	0	NA	Intergenic	Intergenic	-20732	ID=HMEL015339g1.t1-E1;Parent=HMEL015339g1.t1								
1816	Hmel213069	398363	398572	+	0	NA	Intergenic	Intergenic	27208	ID=HMEL004784g1.t1-E5;Parent=HMEL004784g1.t1								
2460	Hmel218018	7973552	7974073	+	0	NA	Intergenic	Intergenic	-4399	ID=HMEL016594g1.t1-E1;Parent=HMEL016594g1.t1								
2510	Hmel219003	1892627	1894357	+	0	NA	Intergenic	Intergenic	1780	ID=HMEL010667g1.t1-E3;Parent=HMEL010667g1.t1								
1172	Hmel210004	5582246	5582465	+	0	NA	Intergenic	Intergenic	11334	ID=HMEL010482g1.t1-E1;Parent=HMEL010482g1.t1								
2699	Hmel220005	627473	627721	+	0	NA	Intergenic	Intergenic	-3099	ID=HMEL035057g1.t1-E1;Parent=HMEL035057g1.t1								
2458	Hmel218018	7879800	7880748	+	0	NA	Intergenic	Intergenic	1339	ID=HMEL034483g1.t1-E1;Parent=HMEL034483g1.t1								
1259	Hmel210011	2783818	2784095	+	0	NA	Intergenic	Intergenic	-17427	ID=HMEL015947g1.t1-E1;Parent=HMEL015947g1.t1								
834	Hmel207011	82107	83148	+	0	NA	Intergenic	Intergenic	-3131	ID=HMEL037555g1.t2-E1;Parent=HMEL037555g1.t2								
285	Hmel203001	8731	9184	+	0	NA	Intergenic	Intergenic	3040	ID=HMEL035936g1.t1-E1;Parent=HMEL035936g1.t1								
2441	Hmel218018	6429423	6429676	+	0	NA	Intergenic	Intergenic	-6381	ID=HMEL016325g1.t2-E1;Parent=HMEL016325g1.t2								
2414	Hmel218018	2549570	2549743	+	0	NA	Intergenic	Intergenic	-9293	ID=HMEL034392g1.t1-E1;Parent=HMEL034392g1.t1								
1216	Hmel210010	27824	28031	+	0	NA	Intergenic	Intergenic	3630	ID=HMEL012498g1.t1-E1;Parent=HMEL012498g1.t1								
2285	Hmel217018	148518	148670	+	0	NA	TTS (ID=HMEL033952g1.t1-E2;Parent=HMEL033952g1.t1)	-TTS (ID=HMEL033952g1.t1-E2;Parent=HMEL033952g1.t1)	787	ID=HMEL033952g1.t1-E2;Parent=HMEL033952g1.t1								
2274	Hmel217005	113200	113623	+	0	NA	Intergenic	Intergenic	1588	ID=HMEL033882g1.t1-E2;Parent=HMEL033882g1.t1								
2194	Hmel216016	83444	83638	+	0	NA	promoter-TSS (ID=HMEL007883g1.t1-E1;Parent=HMEL007883g1.t1)	-promoter-TSS (ID=HMEL007883g1.t1-E1;Parent=HMEL007883g1.t1)	4	ID=HMEL021619g1.t1-E1;Parent=HMEL021619g1.t1								
1135	Hmel210001	1228848	1229453	+	0	NA	TTS (ID=HMEL030598g1.t1-E1;Parent=HMEL030598g1.t1)	-TTS (ID=HMEL030598g1.t1-E1;Parent=HMEL030598g1.t1)	992	ID=HMEL030598g1.t1-E1;Parent=HMEL030598g1.t1								
2002	Hmel215044	256902	257167	+	0	NA	promoter-TSS (ID=HMEL032833g1.t1-E1;Parent=HMEL032833g1.t1)	-promoter-TSS (ID=HMEL032833g1.t1-E1;Parent=HMEL032833g1.t1)	17	ID=HMEL032833g1.t1-E1;Parent=HMEL032833g1.t1								
2864	Hmel211012	304630	304963	+	0	NA	Intergenic	Intergenic	-5853	ID=HMEL031208g1.t1-E1;Parent=HMEL031208g1.t1								
1203	Hmel210009	120730	120911	+	0	NA	TTS (ID=HMEL005927g3.t1-E2;Parent=HMEL005927g3.t1)	-TTS (ID=HMEL005927g3.t1-E2;Parent=HMEL005927g3.t1)	1083	ID=HMEL005927g3.t1-E2;Parent=HMEL005927g3.t1								
96	Hmel201009	4010838	4011428	+	0	NA	Intergenic	Intergenic	13168	ID=HMEL030236g1.t1-E18;Parent=HMEL030236g1.t1								
2088	Hmel216009	442863	442995	+	0	NA	Intergenic	Intergenic	22442	ID=HMEL033488g1.t1-E2;Parent=HMEL033488g1.t1								
1068	Hmel209007	1046373	1046624	+	0	NA	Intergenic	Intergenic	4846	ID=HMEL014631g1.t1-E22;Parent=HMEL014631g1.t1								
1667	Hmel213016	42527	42985	+	0	NA	promoter-TSS (ID=HMEL031847g1.t1-E4;Parent=HMEL031847g1.t1)	-promoter-TSS (ID=HMEL031847g1.t1-E4;Parent=HMEL031847g1.t1)	-933	ID=HMEL031847g1.t2-E4;Parent=HMEL031847g1.t2								
2114	Hmel216009	1148394	1149021	+	0	NA	Intergenic	Intergenic	-2050	ID=HMEL033512g1.t1-E1;Parent=HMEL033512g1.t1								
486	Hmel205001	377782	378225	+	0	NA	Intergenic	Intergenic	-8089	ID=HMEL036596g1.t1-E1;Parent=HMEL036596g1.t1								
2134	Hmel216011	795761	795978	+	0	NA	Intergenic	Intergenic	-4398	ID=HMEL011147g1.t1-E1;Parent=HMEL011147g1.t1								
1354	Hmel211004	858205	858862	+	0	NA	Intergenic	Intergenic	5150	ID=HMEL015285g1.t1-E1;Parent=HMEL015285g1.t1								
569	Hmel205015	104430	104831	+	0	NA	Intergenic	Intergenic	13150	ID=HMEL036711g1.t1-E1;Parent=HMEL036711g1.t1								
8	Hmel201002	1307573	1309106	+	0	NA	Intergenic	Intergenic	5277	ID=HMEL011296g1.t1-E6;Parent=HMEL011296g1.t1								
2359	Hmel218004	380725	381112	+	0	NA	Intergenic	Intergenic	5592	ID=HMEL034244g1.t1-E2;Parent=HMEL034244g1.t1								
2045	Hmel216001	857224	857688	+	0	NA	Intergenic	Intergenic	-5813	ID=HMEL014293g1.t1-E1;Parent=HMEL014293g1.t1								
1396	Hmel211009	358542	358802	+	0	NA	TTS (ID=HMEL006560g1.t1-E3;Parent=HMEL006560g1.t1)	-TTS (ID=HMEL006560g1.t1-E3;Parent=HMEL006560g1.t1)	948	ID=HMEL006560g1.t1-E3;Parent=HMEL006560g1.t1								
686	Hmel206009	1549252	1549827	+	0	NA	Intergenic	Intergenic	-6240	ID=HMEL016779g1.t1-E1;Parent=HMEL016779g1.t1								
1760	Hmel213046	22726	24427	+	0	NA	Intergenic	Intergenic	1692	ID=HMEL013798g1.t1-E12;Parent=HMEL013798g1.t1								
2033	Hmel215047	1687245	1687606	+	0	NA	Intergenic	Intergenic	-28401	ID=HMEL002528g1.t1-E1;Parent=HMEL002528g1.t1								
391	Hmel204001	39860	40215	+	0	NA	promoter-TSS (ID=HMEL036294g1.t1-E1;Parent=HMEL036294g1.t1)	-promoter-TSS (ID=HMEL036294g1.t1-E1;Parent=HMEL036294g1.t1)	-844	ID=HMEL036294g1.t1-E1;Parent=HMEL036294g1.t1								
943	Hmel208014	184797	185429	+	0	NA	promoter-TSS (ID=HMEL037852g1.t1-E1;Parent=HMEL037852g1.t1)	-promoter-TSS (ID=HMEL037852g1.t1-E1;Parent=HMEL037852g1.t1)	-488	ID=HMEL037852g1.t1-E1;Parent=HMEL037852g1.t1								
2676	Hmel220003	1327764	1328163	+	0	NA	Intergenic	Intergenic	1782	ID=HMEL017019g1.t1-E1;Parent=HMEL017019g1.t1								
1887	Hmel214019	689273	689531	+	0	NA	Intergenic	Intergenic	-13804	ID=HMEL017822g1.t1-E1;Parent=HMEL017822g1.t1								
1375	Hmel211004	3225314	3225631	+	0	NA	Intergenic	Intergenic	-1052	ID=HMEL006237g1.t1-E1;Parent=HMEL006237g1.t1								
180	Hmel202004	923607	923918	+	0	NA	Intergenic	Intergenic	5451	ID=HMEL007051g1.t1-E1;Parent=HMEL007051g1.t1								
1585	Hmel212013	1647257	1648088	+	0	NA	Intergenic	Intergenic	-6658	ID=HMEL007091g1.t1-E1;Parent=HMEL007091g1.t1								
1877	Hmel214012	173472	173660	+	0	NA	Intergenic	Intergenic	-8008	ID=HMEL032415g1.t1-E1;Parent=HMEL032415g1.t1								
246	Hmel202006	5049340	5049523	+	0	NA	Intergenic	Intergenic	7124	ID=HMEL033380g1.t1-E1;Parent=HMEL033380g1.t1								
2705	Hmel220005	807724	808345	+	0	NA	Intergenic	Intergenic	-1343	ID=HMEL035063g1.t1-E3;Parent=HMEL035063g1.t1								
2227	Hmel217001	2743610	2744980	+	0	NA	TTS (ID=HMEL008956g1.t1-E4;Parent=HMEL008956g1.t1)	-TTS (ID=HMEL008956g1.t1-E4;Parent=HMEL008956g1.t1)	679	ID=HMEL008956g1.t1-E5;Parent=HMEL008956g1.t1								
690	Hmel206009	1905656	1907330	+	0	NA	promoter-TSS (ID=HMEL016760g2.t1-E4;Parent=HMEL016760g2.t1)	-promoter-TSS (ID=HMEL016760g2.t1-E4;Parent=HMEL016760g2.t1)	325	ID=HMEL016760g2.t1-E3;Parent=HMEL016760g2.t1								
1168	Hmel210004	4644064	4644229	+	0	NA	promoter-TSS (ID=HMEL018072g1.t1-E1;Parent=HMEL018072g1.t1)	-promoter-TSS (ID=HMEL018072g1.t1-E1;Parent=HMEL018072g1.t1)	-899	ID=HMEL018072g1.t1-E1;Parent=HMEL018072g1.t1								
61	Hmel201008	61761	62112	+	0	NA	Intergenic	Intergenic	-29072	ID=HMEL002949g1.t1-E1;Parent=HMEL002949g1.t1								
536	Hmel205012	909994	910969	+	0	NA	Intergenic	Intergenic	-1441	ID=HMEL036672g1.t1-E2;Parent=HMEL036672g1.t1								
1767	Hmel213049	160342	161490	+	0	NA	Intergenic	Intergenic	-2139	ID=HMEL017093g2.t1-E1;Parent=HMEL017093g2.t1								
1653	Hmel213008	4929	5425	+	0	NA	NA	NA	NA	NA								
2237	Hmel217004	674960	675133	+	0	NA	Intergenic	Intergenic	-18306	ID=HMEL006217g3.t1-E1;Parent=HMEL006217g3.t1								
1688	Hmel213022	1343	2366	+	0	NA	promoter-TSS (ID=HMEL014213g1.t1-E13;Parent=HMEL014213g1.t1)	-promoter-TSS (ID=HMEL014213g1.t1-E13;Parent=HMEL014213g1.t1)	-66	ID=HMEL014213g1.t1-E13;Parent=HMEL014213g1.t1								
2394	Hmel218014	85478	85714	+	0	NA	Intergenic	Intergenic	23280	ID=HMEL034341g1.t1-E2;Parent=HMEL034341g1.t1								
1266	Hmel210011	3407030	3407172	+	0	NA	Intergenic	Intergenic	7963	ID=HMEL015990g1.t1-E5;Parent=HMEL015990g1.t1								
2654	Hmel220003	751155	751584	+	0	NA	Intergenic	Intergenic	11278	ID=HMEL034987g1.t1-E2;Parent=HMEL034987g1.t1								
1458	Hmel212001	1739709	1739906	+	0	NA	Intergenic	Intergenic	-4569	ID=HMEL005670g1.t1-E2;Parent=HMEL005670g1.t1								
444	Hmel204017	1135821	1136119	+	0	NA	TTS (ID=HMEL007450g2.t1-E4;Parent=HMEL007450g2.t1)	-TTS (ID=HMEL007450g2.t1-E4;Parent=HMEL007450g2.t1)	735	ID=HMEL007450g2.t1-E4;Parent=HMEL007450g2.t1								
508	Hmel205005	797402	798331	+	0	NA	Intergenic	Intergenic	-1691	ID=HMEL016265g1.t1-E4;Parent=HMEL016265g1.t1								
1336	Hmel211002	860171	860372	+	0	NA	promoter-TSS (ID=HMEL030991g1.t1-E6;Parent=HMEL030991g1.t1)	-promoter-TSS (ID=HMEL030991g1.t1-E6;Parent=HMEL030991g1.t1)	-129	ID=HMEL030991g1.t1-E6;Parent=HMEL030991g1.t1								
39	Hmel201007	649073	649230	+	0	NA	Intergenic	Intergenic	-2463	ID=HMEL014531g1.t1-E1;Parent=HMEL014531g1.t1								
1089	Hmel209007	2865257	2865616	+	0	NA	Intergenic	Intergenic	7461	ID=HMEL008869g1.t1-E7;Parent=HMEL008869g1.t1								
558	Hmel205013	233710	234267	+	0	NA	Intergenic	Intergenic	-11457	ID=HMEL008938g1.t1-E2;Parent=HMEL008938g1.t1								
12	Hmel201002	1600528	1600879	+	0	NA	Intergenic	Intergenic	-4280	ID=HMEL030033g1.t1-E1;Parent=HMEL030033g1.t1								
1554	Hmel212011	1545761	1545969	+	0	NA	Intergenic	Intergenic	-2095	ID=HMEL012933g1.t1-E1;Parent=HMEL012933g1.t1								
2168	Hmel216013	130816	131211	+	0	NA	Intergenic	Intergenic	4304	ID=HMEL017525g1.t1-E5;Parent=HMEL017525g1.t1								
573	Hmel205015	158213	158447	+	0	NA	Intergenic	Intergenic	8136	ID=HMEL002495g1.t1-E1;Parent=HMEL002495g1.t1								
2710	Hmel220005	1170163	1170434	+	0	NA	Intergenic	Intergenic	-1470	ID=HMEL035072g1.t1-E1;Parent=HMEL035072g1.t1								
1084	Hmel209007	2617107	2618826	+	0	NA	Intergenic	Intergenic	17184	ID=HMEL008855g1.t1-E1;Parent=HMEL008855g1.t1								
638	Hmel206006	734253	734413	+	0	NA	Intergenic	Intergenic	-1287	ID=HMEL036939g1.t1-E1;Parent=HMEL036939g1.t1								
2350	Hmel218004	8398	8599	+	0	NA	Intergenic	Intergenic	-43880	ID=HMEL014190g1.t1-E1;Parent=HMEL014190g1.t1								
875	Hmel207021	1463807	1464126	+	0	NA	Intergenic	Intergenic	11512	ID=HMEL037701g1.t1-E1;Parent=HMEL037701g1.t1								
2479	Hmel219002	55938	56489	+	0	NA	promoter-TSS (ID=HMEL003233g1.t1-E4;Parent=HMEL003233g1.t1)	-promoter-TSS (ID=HMEL003233g1.t1-E4;Parent=HMEL003233g1.t1)	583	ID=HMEL003233g1.t1-E3;Parent=HMEL003233g1.t1								
1522	Hmel212004	1610730	1610913	+	0	NA	Intergenic	Intergenic	14495	ID=HMEL012589g1.t2-E16;Parent=HMEL012589g1.t2								
1	Hmel201002	583001	583438	+	0	NA	Intergenic	Intergenic	42440	ID=HMEL030020g1.t1-E2;Parent=HMEL030020g1.t1								
506	Hmel205005	694862	695855	+	0	NA	Intergenic	Intergenic	1638	ID=HMEL016273g1.t3-E2;Parent=HMEL016273g1.t3								
136	Hmel201011	2617313	2617828	+	0	NA	Intergenic	Intergenic	5814	ID=HMEL033077g1.t1-E2;Parent=HMEL033077g1.t1								
116	Hmel201011	1122312	1123007	+	0	NA	Intergenic	Intergenic	-7819	ID=HMEL002506g1.t1-E1;Parent=HMEL002506g1.t1								
1197	Hmel210005	796570	797148	+	0	NA	promoter-TSS (ID=HMEL008542g2.t1-E3;Parent=HMEL008542g2.t1)	-promoter-TSS (ID=HMEL008542g2.t1-E3;Parent=HMEL008542g2.t1)	-120	ID=HMEL008542g2.t1-E3;Parent=HMEL008542g2.t1								
1580	Hmel212013	1443819	1444989	+	0	NA	Intergenic	Intergenic	-7199	ID=HMEL015319g1.t1-E1;Parent=HMEL015319g1.t1								
2419	Hmel218018	2654400	2655095	+	0	NA	Intergenic	Intergenic	-4770	ID=HMEL004132g1.t1-E1;Parent=HMEL004132g1.t1								
2146	Hmel216011	1791485	1791856	+	0	NA	TTS (ID=HMEL010244g1.t1-E9;Parent=HMEL010244g1.t1)	-TTS (ID=HMEL010244g1.t1-E9;Parent=HMEL010244g1.t1)	166	ID=HMEL010244g1.t1-E9;Parent=HMEL010244g1.t1								
661	Hmel206009	190764	190915	+	0	NA	promoter-TSS (ID=HMEL008900g1.t1-E7;Parent=HMEL008900g1.t1)	-promoter-TSS (ID=HMEL008900g1.t1-E7;Parent=HMEL008900g1.t1)	64	ID=HMEL008900g1.t1-E7;Parent=HMEL008900g1.t1								
2845	Hmel205029	36764	37643	+	0	NA	Intergenic	Intergenic	-1710	ID=HMEL036900g1.t1-E1;Parent=HMEL036900g1.t1								
2482	Hmel219002	10538	12347	+	0	NA	TTS (ID=HMEL003577g1.t1-E1;Parent=HMEL003577g1.t1)	-TTS (ID=HMEL003577g1.t1-E1;Parent=HMEL003577g1.t1)	763	ID=HMEL003577g1.t1-E1;Parent=HMEL003577g1.t1								
2719	Hmel220005	2936304	2936921	+	0	NA	promoter-TSS (ID=HMEL035164g1.t1-E4;Parent=HMEL035164g1.t1)	-promoter-TSS (ID=HMEL035164g1.t1-E4;Parent=HMEL035164g1.t1)	-294	ID=HMEL035164g1.t1-E4;Parent=HMEL035164g1.t1								
1935	Hmel214029	1440019	1440529	+	0	NA	Intergenic	Intergenic	3697	ID=HMEL032633g1.t1-E2;Parent=HMEL032633g1.t1								
2690	Hmel220004	18179	18403	+	0	NA	Intergenic	Intergenic	-2759	ID=HMEL035036g1.t1-E1;Parent=HMEL035036g1.t1								
581	Hmel205017	264082	264999	+	0	NA	Intergenic	Intergenic	-7193	ID=HMEL036736g1.t1-E1;Parent=HMEL036736g1.t1								
2727	Hmel220005	4270920	4272835	+	0	NA	Intergenic	Intergenic	-3803	ID=HMEL035202g1.t1-E1;Parent=HMEL035202g1.t1								
308	Hmel203033	126807	127751	+	0	NA	Intergenic	Intergenic	13007	ID=HMEL036031g1.t1-E2;Parent=HMEL036031g1.t1								
678	Hmel206009	1167066	1167790	+	0	NA	Intergenic	Intergenic	-14312	ID=HMEL002924g1.t1-E1;Parent=HMEL002924g1.t1								
1517	Hmel212004	582229	582523	+	0	NA	Intergenic	Intergenic	8518	ID=HMEL017123g1.t1-E1;Parent=HMEL017123g1.t1								
2808	Hmel221012	358563	358917	+	0	NA	Intergenic	Intergenic	4281	ID=HMEL035551g1.t1-E1;Parent=HMEL035551g1.t1								
1975	Hmel215028	743580	744281	+	0	NA	promoter-TSS (ID=HMEL032750g1.t1-E4;Parent=HMEL032750g1.t1)	-promoter-TSS (ID=HMEL032750g1.t1-E4;Parent=HMEL032750g1.t1)	-652	ID=HMEL032750g1.t1-E4;Parent=HMEL032750g1.t1								
1973	Hmel215028	636914	637356	+	0	NA	TTS (ID=HMEL032747g1.t1-E6;Parent=HMEL032747g1.t1)	-TTS (ID=HMEL032747g1.t1-E6;Parent=HMEL032747g1.t1)	874	ID=HMEL032747g1.t1-E6;Parent=HMEL032747g1.t1								
1991	Hmel215034	368399	370067	+	0	NA	Intergenic	Intergenic	-3593	ID=HMEL016735g1.t1-E1;Parent=HMEL016735g1.t1								
927	Hmel208003	127698	128229	+	0	NA	Intergenic	Intergenic	-9077	ID=HMEL037804g1.t1-E1;Parent=HMEL037804g1.t1								
301	Hmel203030	260496	261540	+	0	NA	Intergenic	Intergenic	-1464	ID=HMEL036018g1.t1-E1;Parent=HMEL036018g1.t1								
