PeakID (cmd=annotatePeaks.pl development_D2_p05FC1_shared_D2up_melpCoords.bed /work/rpapa/share/REF/Hmel2/Hmel2.fa -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_melpomene_melpomene_Hmel2.gff3 -annStats development_D2_p05FC1_shared_D2up_melpCoords_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
437	Hmel213065	316833	317234	+	0	NA	promoter-TSS (ID=HMEL032142g1.t1-E1;Parent=HMEL032142g1.t1)	-promoter-TSS (ID=HMEL032142g1.t1-E1;Parent=HMEL032142g1.t1)	-178	ID=HMEL032142g1.t1-E1;Parent=HMEL032142g1.t1								
463	Hmel214008	2433	3240	+	0	NA	Intergenic	Intergenic	-1117	ID=HMEL032306g1.t1-E1;Parent=HMEL032306g1.t1								
194	Hmel209007	519953	520237	+	0	NA	Intergenic	Intergenic	-10548	ID=HMEL030374g1.t1-E1;Parent=HMEL030374g1.t1								
517	Hmel215031	92033	92443	+	0	NA	promoter-TSS (ID=HMEL032786g1.t1-E4;Parent=HMEL032786g1.t1)	-promoter-TSS (ID=HMEL032786g1.t1-E4;Parent=HMEL032786g1.t1)	865	ID=HMEL032786g1.t1-E3;Parent=HMEL032786g1.t1								
458	Hmel213071	68932	69445	+	0	NA	Intergenic	Intergenic	24190	ID=HMEL004684g1.t1-E1;Parent=HMEL004684g1.t1								
451	Hmel213069	293818	294004	+	0	NA	Intergenic	Intergenic	-5770	ID=HMEL007866g1.t2-E1;Parent=HMEL007866g1.t2								
220	Hmel210001	403657	404011	+	0	NA	Intergenic	Intergenic	-11029	ID=HMEL013662g1.t1-E1;Parent=HMEL013662g1.t1								
454	Hmel213069	569114	569328	+	0	NA	promoter-TSS (ID=HMEL012808g1.t1-E1;Parent=HMEL012808g1.t1)	-promoter-TSS (ID=HMEL012808g1.t1-E1;Parent=HMEL012808g1.t1)	-67	ID=HMEL012808g1.t1-E1;Parent=HMEL012808g1.t1								
846	Hmel220017	826027	827306	+	0	NA	promoter-TSS (ID=HMEL035363g1.t1-E1;Parent=HMEL035363g1.t1)	-promoter-TSS (ID=HMEL035363g1.t1-E1;Parent=HMEL035363g1.t1)	-676	ID=HMEL035363g1.t1-E1;Parent=HMEL035363g1.t1								
722	Hmel219003	1807771	1808778	+	0	NA	promoter-TSS (ID=HMEL010660g1.t1-E4;Parent=HMEL010660g1.t1)	-promoter-TSS (ID=HMEL010660g1.t1-E4;Parent=HMEL010660g1.t1)	-37	ID=HMEL010660g1.t1-E4;Parent=HMEL010660g1.t1								
634	Hmel201002	2281250	2281975	+	0	NA	promoter-TSS (ID=HMEL014990g1.t1-E1;Parent=HMEL014990g1.t1)	-promoter-TSS (ID=HMEL014990g1.t1-E1;Parent=HMEL014990g1.t1)	-235	ID=HMEL014990g1.t1-E1;Parent=HMEL014990g1.t1								
31	Hmel206009	2349155	2349508	+	0	NA	Intergenic	Intergenic	-9035	ID=HMEL005363g1.t1-E1;Parent=HMEL005363g1.t1								
578	Hmel216012	203826	205203	+	0	NA	promoter-TSS (ID=HMEL011492g2.t1-E1;Parent=HMEL011492g2.t1)	-promoter-TSS (ID=HMEL011492g2.t1-E1;Parent=HMEL011492g2.t1)	-300	ID=HMEL011492g2.t1-E1;Parent=HMEL011492g2.t1								
934	Hmel205005	572570	572812	+	0	NA	Intergenic	Intergenic	34513	ID=HMEL016028g1.t1-E1;Parent=HMEL016028g1.t1								
695	Hmel218018	6334184	6334733	+	0	NA	Intergenic	Intergenic	-56321	ID=HMEL034459g1.t1-E1;Parent=HMEL034459g1.t1								
728	Hmel219003	1927089	1927430	+	0	NA	Intergenic	Intergenic	-4857	ID=HMEL010668g2.t1-E1;Parent=HMEL010668g2.t1								
948	Hmel205012	1022086	1022637	+	0	NA	Intergenic	Intergenic	-3067	ID=HMEL017894g4.t1-E1;Parent=HMEL017894g4.t1								
742	Hmel219003	5148267	5148442	+	0	NA	Intergenic	Intergenic	-1190	ID=HMEL016896g1.t1-E3;Parent=HMEL016896g1.t1								
378	Hmel212013	1349374	1349655	+	0	NA	Intergenic	Intergenic	2074	ID=HMEL031670g1.t1-E6;Parent=HMEL031670g1.t1								
325	Hmel211012	977949	978126	+	0	NA	Intergenic	Intergenic	6832	ID=HMEL015096g1.t1-E1;Parent=HMEL015096g1.t1								
29	Hmel206009	2202690	2203049	+	0	NA	Intergenic	Intergenic	-6357	ID=HMEL012825g1.t1-E1;Parent=HMEL012825g1.t1								
889	Hmel203067	1029373	1029608	+	0	NA	Intergenic	Intergenic	-11352	ID=HMEL025032-RA-E1;Parent=HMEL025032-RA								
572	Hmel216011	2269506	2269944	+	0	NA	TTS (ID=HMEL002785g1.t1-E2;Parent=HMEL002785g1.t1)	-TTS (ID=HMEL002785g1.t1-E2;Parent=HMEL002785g1.t1)	2309	ID=HMEL002785g1.t1-E2;Parent=HMEL002785g1.t1								
350	Hmel212001	5863619	5864116	+	0	NA	promoter-TSS (ID=HMEL031454g1.t1-E1;Parent=HMEL031454g1.t1)	-promoter-TSS (ID=HMEL031454g1.t1-E1;Parent=HMEL031454g1.t1)	-427	ID=HMEL031454g1.t1-E1;Parent=HMEL031454g1.t1								
968	Hmel205020	333993	334393	+	0	NA	Intergenic	Intergenic	5049	ID=HMEL036792g1.t1-E2;Parent=HMEL036792g1.t1								
675	Hmel218018	652755	653087	+	0	NA	Intergenic	Intergenic	31865	ID=HMEL016239g1.t1-E5;Parent=HMEL016239g1.t1								
540	Hmel216009	448415	448567	+	0	NA	Intergenic	Intergenic	16880	ID=HMEL033488g1.t1-E2;Parent=HMEL033488g1.t1								
226	Hmel210004	158580	158879	+	0	NA	Intergenic	Intergenic	2392	ID=HMEL007370g1.t1-E9;Parent=HMEL007370g1.t1								
58	Hmel206022	605680	606160	+	0	NA	Intergenic	Intergenic	-13535	ID=HMEL014433g1.t1-E1;Parent=HMEL014433g1.t1								
684	Hmel218018	2520292	2520716	+	0	NA	Intergenic	Intergenic	-17962	ID=HMEL017830g1.t1-E1;Parent=HMEL017830g1.t1								
211	Hmel201009	5266805	5268111	+	0	NA	promoter-TSS (ID=HMEL011658g2.t1-E1;Parent=HMEL011658g2.t1)	-promoter-TSS (ID=HMEL011658g2.t1-E1;Parent=HMEL011658g2.t1)	29	ID=HMEL011658g2.t1-E1;Parent=HMEL011658g2.t1								
153	Hmel201009	3981519	3982043	+	0	NA	Intergenic	Intergenic	-6784	ID=HMEL012447g1.t1-E1;Parent=HMEL012447g1.t1								
15	Hmel206009	584113	584426	+	0	NA	Intergenic	Intergenic	19721	ID=HMEL037007g1.t1-E1;Parent=HMEL037007g1.t1								
527	Hmel215047	1098358	1098823	+	0	NA	promoter-TSS (ID=HMEL032889g1.t1-E1;Parent=HMEL032889g1.t1)	-promoter-TSS (ID=HMEL032889g1.t1-E1;Parent=HMEL032889g1.t1)	-226	ID=HMEL032889g1.t1-E1;Parent=HMEL032889g1.t1								
431	Hmel213062	714966	716204	+	0	NA	Intergenic	Intergenic	31458	ID=HMEL032117g1.t1-E2;Parent=HMEL032117g1.t1								
861	Hmel203033	130556	130848	+	0	NA	Intergenic	Intergenic	16430	ID=HMEL036031g1.t1-E2;Parent=HMEL036031g1.t1								
382	Hmel212013	1716677	1716959	+	0	NA	Intergenic	Intergenic	-2062	ID=HMEL007090g2.t1-E1;Parent=HMEL007090g2.t1								
337	Hmel212001	2559456	2559733	+	0	NA	Intergenic	Intergenic	-8211	ID=HMEL016829g1.t1-E1;Parent=HMEL016829g1.t1								
101	Hmel207008	203181	203555	+	0	NA	TTS (ID=HMEL037519g1.t1-E2;Parent=HMEL037519g1.t1)	-TTS (ID=HMEL037519g1.t1-E2;Parent=HMEL037519g1.t1)	888	ID=HMEL037519g1.t1-E2;Parent=HMEL037519g1.t1								
340	Hmel212001	2794523	2794662	+	0	NA	Intergenic	Intergenic	-14560	ID=HMEL016849g1.t1-E1;Parent=HMEL016849g1.t1								
76	Hmel207002	4137221	4137896	+	0	NA	promoter-TSS (ID=HMEL013747g1.t1-E5;Parent=HMEL013747g1.t1)	-promoter-TSS (ID=HMEL013747g1.t1-E5;Parent=HMEL013747g1.t1)	-234	ID=HMEL013747g1.t1-E5;Parent=HMEL013747g1.t1								
311	Hmel211004	3869757	3870088	+	0	NA	Intergenic	Intergenic	-2202	ID=HMEL031136g1.t3-E1;Parent=HMEL031136g1.t3								
62	Hmel207002	1068175	1068720	+	0	NA	Intergenic	Intergenic	-5043	ID=HMEL011193g1.t1-E1;Parent=HMEL011193g1.t1								
833	Hmel220011	101097	101504	+	0	NA	Intergenic	Intergenic	-11992	ID=HMEL035267g1.t1-E1;Parent=HMEL035267g1.t1								
571	Hmel216011	2265900	2267307	+	0	NA	exon (ID=HMEL002784g1.t1-E1;Parent=HMEL002784g1.t1, exon 1 of 1)	-exon (ID=HMEL002784g1.t1-E1;Parent=HMEL002784g1.t1, exon 1 of 1)	113	ID=HMEL002784g1.t1-E1;Parent=HMEL002784g1.t1								
139	Hmel201009	3384203	3384780	+	0	NA	promoter-TSS (ID=HMEL030215g1.t1-E1;Parent=HMEL030215g1.t1)	-promoter-TSS (ID=HMEL030215g1.t1-E1;Parent=HMEL030215g1.t1)	162	ID=HMEL030216g1.t1-E1;Parent=HMEL030216g1.t1								
825	Hmel220005	5432198	5432346	+	0	NA	Intergenic	Intergenic	-4199	ID=HMEL035237g1.t1-E1;Parent=HMEL035237g1.t1								
389	Hmel213004	473738	474358	+	0	NA	Intergenic	Intergenic	-4553	ID=HMEL031771g1.t2-E4;Parent=HMEL031771g1.t2								
129	Hmel207023	527335	527860	+	0	NA	Intergenic	Intergenic	1731	ID=HMEL037743g1.t1-E2;Parent=HMEL037743g1.t1								
917	Hmel204017	76687	77153	+	0	NA	Intergenic	Intergenic	-5158	ID=HMEL036415g1.t2-E1;Parent=HMEL036415g1.t2								
926	Hmel204017	2749503	2749973	+	0	NA	Intergenic	Intergenic	19874	ID=HMEL009923g2.t1-E2;Parent=HMEL009923g2.t1								
548	Hmel216009	854992	855976	+	0	NA	Intergenic	Intergenic	57606	ID=HMEL033499g1.t1-E2;Parent=HMEL033499g1.t1								
495	Hmel214029	157464	158079	+	0	NA	Intergenic	Intergenic	-15608	ID=HMEL011060g1.t1-E1;Parent=HMEL011060g1.t1								
859	Hmel203030	251589	251854	+	0	NA	Intergenic	Intergenic	2891	ID=HMEL036018g1.t1-E3;Parent=HMEL036018g1.t1								
739	Hmel219003	3986957	3987179	+	0	NA	promoter-TSS (ID=HMEL013178g1.t1-E3;Parent=HMEL013178g1.t1)	-promoter-TSS (ID=HMEL013178g1.t1-E3;Parent=HMEL013178g1.t1)	-286	ID=HMEL013178g1.t1-E3;Parent=HMEL013178g1.t1								
876	Hmel203045	477305	477662	+	0	NA	Intergenic	Intergenic	9432	ID=HMEL002459g1.t1-E2;Parent=HMEL002459g1.t1								
966	Hmel205017	650462	650912	+	0	NA	Intergenic	Intergenic	8425	ID=HMEL036755g1.t1-E1;Parent=HMEL036755g1.t1								
662	Hmel201002	2339741	2339976	+	0	NA	Intergenic	Intergenic	13408	ID=HMEL014985g1.t1-E1;Parent=HMEL014985g1.t1								
418	Hmel213044	833280	834287	+	0	NA	Intergenic	Intergenic	2498	ID=HMEL032043g1.t1-E5;Parent=HMEL032043g1.t1								
933	Hmel205005	274630	274829	+	0	NA	Intergenic	Intergenic	-2747	ID=HMEL016010g6.t1-E1;Parent=HMEL016010g6.t1								
783	Hmel219014	2146719	2146951	+	0	NA	Intergenic	Intergenic	3194	ID=HMEL014650g1.t1-E1;Parent=HMEL014650g1.t1								
758	Hmel219005	778916	779397	+	0	NA	Intergenic	Intergenic	-76307	ID=HMEL034720g1.t1-E1;Parent=HMEL034720g1.t1								
236	Hmel210004	4461555	4461821	+	0	NA	Intergenic	Intergenic	-21714	ID=HMEL018082g1.t1-E1;Parent=HMEL018082g1.t1								
706	Hmel218018	8407769	8407951	+	0	NA	promoter-TSS (ID=HMEL034491g1.t1-E1;Parent=HMEL034491g1.t1)	-promoter-TSS (ID=HMEL034491g1.t1-E1;Parent=HMEL034491g1.t1)	-639	ID=HMEL034491g1.t1-E1;Parent=HMEL034491g1.t1								
218	Hmel209007	5045997	5046358	+	0	NA	Intergenic	Intergenic	-4805	ID=HMEL014901g1.t1-E3;Parent=HMEL014901g1.t1								
168	Hmel201009	4282507	4282676	+	0	NA	Intergenic	Intergenic	-4027	ID=HMEL030242g1.t1-E1;Parent=HMEL030242g1.t1								
135	Hmel208008	560883	561157	+	0	NA	Intergenic	Intergenic	-12048	ID=HMEL037832g1.t1-E2;Parent=HMEL037832g1.t1								
14	Hmel206009	58353	58708	+	0	NA	Intergenic	Intergenic	-10470	ID=HMEL003609g1.t1-E2;Parent=HMEL003609g1.t1								
348	Hmel212001	5599994	5600271	+	0	NA	Intergenic	Intergenic	2768	ID=HMEL031445g1.t1-E6;Parent=HMEL031445g1.t1								
145	Hmel208021	543853	544712	+	0	NA	Intergenic	Intergenic	1177	ID=HMEL003447g1.t1-E1;Parent=HMEL003447g1.t1								
789	Hmel202006	5473063	5473427	+	0	NA	Intergenic	Intergenic	-8874	ID=HMEL013275g1.t1-E1;Parent=HMEL013275g1.t1								
49	Hmel206012	470497	470874	+	0	NA	TTS (ID=HMEL015997g1.t1-E5;Parent=HMEL015997g1.t1)	-TTS (ID=HMEL015997g1.t1-E5;Parent=HMEL015997g1.t1)	105	ID=HMEL015997g1.t1-E6;Parent=HMEL015997g1.t1								
834	Hmel220011	452807	453524	+	0	NA	Intergenic	Intergenic	-7486	ID=HMEL035285g1.t1-E1;Parent=HMEL035285g1.t1								
178	Hmel209001	1146669	1147170	+	0	NA	promoter-TSS (ID=HMEL007020g1.t1-E1;Parent=HMEL007020g1.t1)	-promoter-TSS (ID=HMEL007020g1.t1-E1;Parent=HMEL007020g1.t1)	-611	ID=HMEL007020g1.t1-E1;Parent=HMEL007020g1.t1								
285	Hmel210011	3520432	3520729	+	0	NA	Intergenic	Intergenic	11953	ID=HMEL030899g1.t1-E3;Parent=HMEL030899g1.t1								
772	Hmel219014	486763	487591	+	0	NA	TTS (ID=HMEL012859g3.t1-E1;Parent=HMEL012859g3.t1)	-TTS (ID=HMEL012859g3.t1-E1;Parent=HMEL012859g3.t1)	1336	ID=HMEL012859g3.t1-E1;Parent=HMEL012859g3.t1								
124	Hmel201009	3000842	3001508	+	0	NA	Intergenic	Intergenic	1754	ID=HMEL017200g2.t1-E2;Parent=HMEL017200g2.t1								
627	Hmel217018	599751	600553	+	0	NA	Intergenic	Intergenic	-10186	ID=HMEL033970g1.t1-E1;Parent=HMEL033970g1.t1								
234	Hmel210004	3594141	3594713	+	0	NA	Intergenic	Intergenic	-4393	ID=HMEL011840g1.t1-E1;Parent=HMEL011840g1.t1								
594	Hmel217004	110299	110481	+	0	NA	TTS (ID=HMEL033767g1.t1-E1;Parent=HMEL033767g1.t1)	-TTS (ID=HMEL033767g1.t1-E1;Parent=HMEL033767g1.t1)	204	ID=HMEL033767g1.t1-E1;Parent=HMEL033767g1.t1								
715	Hmel218018	9207796	9208097	+	0	NA	Intergenic	Intergenic	18703	ID=HMEL034512g1.t2-E5;Parent=HMEL034512g1.t2								
23	Hmel201009	742050	742496	+	0	NA	promoter-TSS (ID=HMEL013292g1.t1-E6;Parent=HMEL013292g1.t1)	-promoter-TSS (ID=HMEL013292g1.t1-E6;Parent=HMEL013292g1.t1)	-72	ID=HMEL013292g1.t1-E6;Parent=HMEL013292g1.t1								
388	Hmel212014	192046	192353	+	0	NA	promoter-TSS (ID=HMEL007291g1.t1-E11;Parent=HMEL007291g1.t1)	-promoter-TSS (ID=HMEL007291g1.t1-E11;Parent=HMEL007291g1.t1)	89	ID=HMEL007291g1.t1-E11;Parent=HMEL007291g1.t1								
364	Hmel212011	662483	663179	+	0	NA	promoter-TSS (ID=HMEL031605g1.t1-E7;Parent=HMEL031605g1.t1)	-promoter-TSS (ID=HMEL031605g1.t1-E7;Parent=HMEL031605g1.t1)	-48	ID=HMEL031605g1.t1-E7;Parent=HMEL031605g1.t1								
96	Hmel207002	6497777	6498718	+	0	NA	Intergenic	Intergenic	8149	ID=HMEL037499g1.t1-E1;Parent=HMEL037499g1.t1								
653	Hmel218007	1289616	1290254	+	0	NA	Intergenic	Intergenic	-3762	ID=HMEL015332g1.t1-E1;Parent=HMEL015332g1.t1								
950	Hmel205012	1090304	1090771	+	0	NA	Intergenic	Intergenic	41903	ID=HMEL017894g4.t1-E10;Parent=HMEL017894g4.t1								
486	Hmel214020	81630	81878	+	0	NA	promoter-TSS (ID=HMEL017307g1.t1-E2;Parent=HMEL017307g1.t1)	-promoter-TSS (ID=HMEL017307g1.t1-E2;Parent=HMEL017307g1.t1)	68	ID=HMEL017307g1.t1-E2;Parent=HMEL017307g1.t1								
509	Hmel215006	1216175	1216717	+	0	NA	promoter-TSS (ID=HMEL000025-RA-E1;Parent=HMEL000025-RA)	-promoter-TSS (ID=HMEL000025-RA-E1;Parent=HMEL000025-RA)	-339	ID=HMEL000025-RA-E1;Parent=HMEL000025-RA								
160	Hmel208046	301047	301388	+	0	NA	Intergenic	Intergenic	-7226	ID=HMEL038104g1.t1-E1;Parent=HMEL038104g1.t1								
569	Hmel216011	2219154	2219937	+	0	NA	promoter-TSS (ID=HMEL004389g1.t1-E1;Parent=HMEL004389g1.t1)	-promoter-TSS (ID=HMEL004389g1.t1-E1;Parent=HMEL004389g1.t1)	-250	ID=HMEL004389g1.t1-E1;Parent=HMEL004389g1.t1								
367	Hmel212011	773165	773494	+	0	NA	Intergenic	Intergenic	-5712	ID=HMEL031609g1.t1-E1;Parent=HMEL031609g1.t1								
8	Hmel206006	387145	387384	+	0	NA	Intergenic	Intergenic	-40599	ID=HMEL012148g1.t1-E1;Parent=HMEL012148g1.t1								
716	Hmel218018	9211391	9211841	+	0	NA	Intergenic	Intergenic	15033	ID=HMEL034512g1.t2-E5;Parent=HMEL034512g1.t2								
98	Hmel207002	6542097	6542350	+	0	NA	Intergenic	Intergenic	38471	ID=HMEL037500g1.t1-E9;Parent=HMEL037500g1.t1								
940	Hmel205005	726602	727716	+	0	NA	promoter-TSS (ID=HMEL016273g2.t1-E1;Parent=HMEL016273g2.t1)	-promoter-TSS (ID=HMEL016273g2.t1-E1;Parent=HMEL016273g2.t1)	-227	ID=HMEL016273g2.t1-E1;Parent=HMEL016273g2.t1								
43	Hmel206009	4132997	4133479	+	0	NA	TTS (ID=HMEL037073g1.t1-E2;Parent=HMEL037073g1.t1)	-TTS (ID=HMEL037073g1.t1-E2;Parent=HMEL037073g1.t1)	795	ID=HMEL037073g1.t4-E2;Parent=HMEL037073g1.t4								
686	Hmel218018	2699130	2699512	+	0	NA	TTS (ID=HMEL004134g1.t1-E1;Parent=HMEL004134g1.t1)	-TTS (ID=HMEL004134g1.t1-E1;Parent=HMEL004134g1.t1)	645	ID=HMEL004134g1.t1-E1;Parent=HMEL004134g1.t1								
485	Hmel214020	55627	56155	+	0	NA	Intergenic	Intergenic	-20646	ID=HMEL032474g1.t1-E1;Parent=HMEL032474g1.t1								
391	Hmel213004	807623	809263	+	0	NA	Intergenic	Intergenic	-14197	ID=HMEL031774g1.t1-E1;Parent=HMEL031774g1.t1								
778	Hmel219014	1186961	1187346	+	0	NA	promoter-TSS (ID=HMEL034797g1.t1-E1;Parent=HMEL034797g1.t1)	-promoter-TSS (ID=HMEL034797g1.t1-E1;Parent=HMEL034797g1.t1)	-751	ID=HMEL034797g1.t1-E1;Parent=HMEL034797g1.t1								
743	Hmel219003	5225427	5225830	+	0	NA	Intergenic	Intergenic	-6520	ID=HMEL034658g1.t1-E1;Parent=HMEL034658g1.t1								
685	Hmel218018	2574071	2574214	+	0	NA	Intergenic	Intergenic	-33779	ID=HMEL034392g1.t1-E1;Parent=HMEL034392g1.t1								
21	Hmel206009	1503923	1504583	+	0	NA	Intergenic	Intergenic	16817	ID=HMEL016780g2.t1-E1;Parent=HMEL016780g2.t1								
523	Hmel215047	856277	856529	+	0	NA	Intergenic	Intergenic	-1640	ID=HMEL032879g1.t1-E1;Parent=HMEL032879g1.t1								
720	Hmel219003	1777140	1777786	+	0	NA	Intergenic	Intergenic	8244	ID=HMEL010655g1.t1-E3;Parent=HMEL010655g1.t1								
943	Hmel205012	62649	63334	+	0	NA	Intergenic	Intergenic	8277	ID=HMEL036657g1.t1-E1;Parent=HMEL036657g1.t1								
288	Hmel210011	3894086	3894504	+	0	NA	Intergenic	Intergenic	-2490	ID=HMEL030904g1.t1-E1;Parent=HMEL030904g1.t1								
193	Hmel209007	489719	490170	+	0	NA	Intergenic	Intergenic	9354	ID=HMEL030373g1.t1-E3;Parent=HMEL030373g1.t1								
460	Hmel213071	268471	269459	+	0	NA	Intergenic	Intergenic	-2930	ID=HMEL004857g2.t1-E1;Parent=HMEL004857g2.t1								
119	Hmel207021	1453257	1453737	+	0	NA	TTS (ID=HMEL037701g1.t1-E1;Parent=HMEL037701g1.t1)	-TTS (ID=HMEL037701g1.t1-E1;Parent=HMEL037701g1.t1)	1043	ID=HMEL037701g1.t1-E1;Parent=HMEL037701g1.t1								
723	Hmel219003	1819354	1820112	+	0	NA	promoter-TSS (ID=HMEL010660g1.t1-E1;Parent=HMEL010660g1.t1)	-promoter-TSS (ID=HMEL010660g1.t1-E1;Parent=HMEL010660g1.t1)	-36	ID=HMEL010660g1.t1-E1;Parent=HMEL010660g1.t1								
586	Hmel216015	726057	727217	+	0	NA	Intergenic	Intergenic	-1044	ID=HMEL021054g1.t1-E2;Parent=HMEL021054g1.t1								
453	Hmel202004	157378	158091	+	0	NA	Intergenic	Intergenic	-5198	ID=HMEL014154g1.t1-E1;Parent=HMEL014154g1.t1								
324	Hmel211012	974774	975682	+	0	NA	Intergenic	Intergenic	4023	ID=HMEL015096g1.t1-E1;Parent=HMEL015096g1.t1								
180	Hmel209001	1234734	1235284	+	0	NA	Intergenic	Intergenic	-44845	ID=HMEL007609g1.t1-E1;Parent=HMEL007609g1.t1								
244	Hmel210005	607768	608387	+	0	NA	promoter-TSS (ID=HMEL014095g1.t1-E2;Parent=HMEL014095g1.t1)	-promoter-TSS (ID=HMEL014095g1.t1-E2;Parent=HMEL014095g1.t1)	283	ID=HMEL014095g1.t1-E1;Parent=HMEL014095g1.t1								
637	Hmel218003	1249350	1249813	+	0	NA	Intergenic	Intergenic	-7698	ID=HMEL003289g1.t1-E1;Parent=HMEL003289g1.t1								
351	Hmel212001	6157174	6157833	+	0	NA	promoter-TSS (ID=HMEL016384g1.t1-E2;Parent=HMEL016384g1.t1)	-promoter-TSS (ID=HMEL016384g1.t1-E2;Parent=HMEL016384g1.t1)	-217	ID=HMEL016384g1.t1-E2;Parent=HMEL016384g1.t1								
410	Hmel213020	1096397	1097063	+	0	NA	Intergenic	Intergenic	1387	ID=HMEL022201g1.t1-E6;Parent=HMEL022201g1.t1								
595	Hmel217004	123386	124354	+	0	NA	Intergenic	Intergenic	-7358	ID=HMEL033768g1.t1-E1;Parent=HMEL033768g1.t1								
246	Hmel201002	1158271	1159002	+	0	NA	Intergenic	Intergenic	5631	ID=HMEL030029g1.t1-E2;Parent=HMEL030029g1.t1								
690	Hmel202006	2152656	2153123	+	0	NA	Intergenic	Intergenic	-7730	ID=HMEL014363g1.t1-E1;Parent=HMEL014363g1.t1								
488	Hmel214021	190752	191050	+	0	NA	Intergenic	Intergenic	6274	ID=HMEL022460g1.t1-E6;Parent=HMEL022460g1.t1								
