PeakID (cmd=annotatePeaks.pl development_D1_p05FC1_melpUnique_D1up.bed /work/rpapa/share/REF/Hmel2/Hmel2.fa -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_melpomene_melpomene_Hmel2.gff3 -annStats development_D1_p05FC1_melpUnique_D1up_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1667	Hmel218018	750151	751151	+	0	NA	Intergenic	Intergenic	-5408	ID=HMEL016237g1.t1-E1;Parent=HMEL016237g1.t1								
2114	Hmel221019	16436	17587	+	0	NA	Intergenic	Intergenic	-8886	ID=HMEL010547g1.t1-E1;Parent=HMEL010547g1.t1								
486	Hmel207002	3569161	3570232	+	0	NA	promoter-TSS (ID=HMEL008445g1.t1-E10;Parent=HMEL008445g1.t1)	-promoter-TSS (ID=HMEL008445g1.t1-E10;Parent=HMEL008445g1.t1)	-816	ID=HMEL008445g1.t1-E10;Parent=HMEL008445g1.t1								
2134	Hmel221029	22381	23144	+	0	NA	Intergenic	Intergenic	-11859	ID=HMEL002860g1.t1-E1;Parent=HMEL002860g1.t1								
1354	Hmel214022	274608	274856	+	0	NA	Intergenic	Intergenic	-15957	ID=HMEL032489g1.t1-E2;Parent=HMEL032489g1.t1								
569	Hmel207021	1238778	1239060	+	0	NA	Intergenic	Intergenic	-12432	ID=HMEL037692g1.t1-E1;Parent=HMEL037692g1.t1								
8	Hmel201002	1264165	1265148	+	0	NA	Intergenic	Intergenic	2606	ID=HMEL030030g1.t1-E2;Parent=HMEL030030g1.t1								
2045	Hmel221012	902628	903194	+	0	NA	Intergenic	Intergenic	1903	ID=HMEL035571g1.t1-E2;Parent=HMEL035571g1.t1								
1396	Hmel215032	117749	118358	+	0	NA	Intergenic	Intergenic	-10205	ID=HMEL016291g1.t1-E1;Parent=HMEL016291g1.t1								
686	Hmel209006	436723	437336	+	0	NA	Intergenic	Intergenic	10659	ID=HMEL030349g1.t1-E2;Parent=HMEL030349g1.t1								
1760	Hmel218018	8183107	8184251	+	0	NA	Intergenic	Intergenic	-10870	ID=HMEL034488g1.t1-E1;Parent=HMEL034488g1.t1								
2033	Hmel221012	451506	452616	+	0	NA	Intergenic	Intergenic	-7641	ID=HMEL007773g2.t1-E1;Parent=HMEL007773g2.t1								
391	Hmel206009	2598405	2598543	+	0	NA	Intergenic	Intergenic	-35148	ID=HMEL005355g1.t1-E1;Parent=HMEL005355g1.t1								
943	Hmel211004	4179806	4179976	+	0	NA	TTS (ID=HMEL014689g1.t1-E16;Parent=HMEL014689g1.t1)	-TTS (ID=HMEL014689g1.t1-E16;Parent=HMEL014689g1.t1)	829	ID=HMEL014689g1.t2-E16;Parent=HMEL014689g1.t2								
1887	Hmel220003	1575207	1576110	+	0	NA	Intergenic	Intergenic	6539	ID=HMEL034999g1.t1-E1;Parent=HMEL034999g1.t1								
1375	Hmel215006	1299152	1299511	+	0	NA	Intergenic	Intergenic	25170	ID=HMEL000025-RC-E1;Parent=HMEL000025-RC								
180	Hmel203009	89998	90131	+	0	NA	Intergenic	Intergenic	-11413	ID=HMEL035976g1.t1-E1;Parent=HMEL035976g1.t1								
1585	Hmel217020	1886520	1887133	+	0	NA	promoter-TSS (ID=HMEL005231g1.t1-E10;Parent=HMEL005231g1.t1)	-promoter-TSS (ID=HMEL005231g1.t1-E10;Parent=HMEL005231g1.t1)	-110	ID=HMEL005231g1.t1-E9;Parent=HMEL005231g1.t1								
1877	Hmel220003	945439	946227	+	0	NA	Intergenic	Intergenic	2578	ID=HMEL017007g1.t1-E3;Parent=HMEL017007g1.t1								
246	Hmel204013	1102250	1102520	+	0	NA	TTS (ID=HMEL036407g1.t1-E1;Parent=HMEL036407g1.t1)	-TTS (ID=HMEL036407g1.t1-E1;Parent=HMEL036407g1.t1)	1540	ID=HMEL036407g1.t1-E1;Parent=HMEL036407g1.t1								
690	Hmel209006	182647	183476	+	0	NA	Intergenic	Intergenic	-2209	ID=HMEL030346g1.t1-E1;Parent=HMEL030346g1.t1								
1168	Hmel213012	280957	281322	+	0	NA	Intergenic	Intergenic	-2078	ID=HMEL017997g1.t2-E3;Parent=HMEL017997g1.t2								
61	Hmel201009	3140006	3140364	+	0	NA	Intergenic	Intergenic	-8203	ID=HMEL030207g1.t1-E1;Parent=HMEL030207g1.t1								
536	Hmel207008	683382	683624	+	0	NA	Intergenic	Intergenic	-3628	ID=HMEL021710g1.t1-E3;Parent=HMEL021710g1.t1								
1767	Hmel218018	8555965	8557045	+	0	NA	Intergenic	Intergenic	-15861	ID=HMEL034495g1.t1-E1;Parent=HMEL034495g1.t1								
1653	Hmel218015	35784	36743	+	0	NA	Intergenic	Intergenic	-5993	ID=HMEL034345g1.t1-E1;Parent=HMEL034345g1.t1								
1688	Hmel218018	2098051	2098326	+	0	NA	Intergenic	Intergenic	-16869	ID=HMEL016189g1.t1-E1;Parent=HMEL016189g1.t1								
1266	Hmel213065	27662	27887	+	0	NA	Intergenic	Intergenic	13258	ID=HMEL032135g1.t1-E2;Parent=HMEL032135g1.t1								
1458	Hmel216009	158082	159169	+	0	NA	Intergenic	Intergenic	7727	ID=HMEL010213g1.t1-E9;Parent=HMEL010213g1.t1								
444	Hmel207001	20548	20855	+	0	NA	Intergenic	Intergenic	8151	ID=HMEL037335g1.t1-E1;Parent=HMEL037335g1.t1								
508	Hmel207002	6062537	6063408	+	0	NA	Intergenic	Intergenic	-12341	ID=HMEL017796g2.t1-E1;Parent=HMEL017796g2.t1								
1336	Hmel214012	164891	165125	+	0	NA	promoter-TSS (ID=HMEL032415g1.t1-E2;Parent=HMEL032415g1.t1)	-promoter-TSS (ID=HMEL032415g1.t1-E2;Parent=HMEL032415g1.t1)	550	ID=HMEL032415g1.t1-E1;Parent=HMEL032415g1.t1								
39	Hmel201007	830547	831628	+	0	NA	Intergenic	Intergenic	16138	ID=HMEL030097g1.t1-E1;Parent=HMEL030097g1.t1								
1089	Hmel212006	494127	494298	+	0	NA	Intergenic	Intergenic	-3591	ID=HMEL031539g1.t1-E1;Parent=HMEL031539g1.t1								
558	Hmel207017	68137	68693	+	0	NA	Intergenic	Intergenic	3088	ID=HMEL037646g1.t1-E2;Parent=HMEL037646g1.t1								
12	Hmel201002	1507234	1507380	+	0	NA	Intergenic	Intergenic	6310	ID=HMEL011289g3.t1-E1;Parent=HMEL011289g3.t1								
1554	Hmel217018	104926	105624	+	0	NA	promoter-TSS (ID=HMEL033951g1.t1-E1;Parent=HMEL033951g1.t1)	-promoter-TSS (ID=HMEL033951g1.t1-E1;Parent=HMEL033951g1.t1)	507	ID=HMEL033950g1.t1-E1;Parent=HMEL033950g1.t1								
2168	Hmel221046	58564	60074	+	0	NA	promoter-TSS (ID=HMEL013041g1.t1-E1;Parent=HMEL013041g1.t1)	-promoter-TSS (ID=HMEL013041g1.t1-E1;Parent=HMEL013041g1.t1)	-796	ID=HMEL013041g1.t1-E1;Parent=HMEL013041g1.t1								
573	Hmel207021	2268321	2268700	+	0	NA	Intergenic	Intergenic	-7487	ID=HMEL037717g1.t1-E1;Parent=HMEL037717g1.t1								
1084	Hmel212006	294060	294658	+	0	NA	TTS (ID=HMEL002726g2.t1-E2;Parent=HMEL002726g2.t1)	-TTS (ID=HMEL002726g2.t1-E2;Parent=HMEL002726g2.t1)	335	ID=HMEL002726g2.t1-E3;Parent=HMEL002726g2.t1								
638	Hmel208046	190172	191357	+	0	NA	Intergenic	Intergenic	-3083	ID=HMEL038099g1.t1-E3;Parent=HMEL038099g1.t1								
875	Hmel210011	4603544	4604034	+	0	NA	promoter-TSS (ID=HMEL030922g1.t1-E2;Parent=HMEL030922g1.t1)	-promoter-TSS (ID=HMEL030922g1.t1-E2;Parent=HMEL030922g1.t1)	-34	ID=HMEL030922g1.t1-E2;Parent=HMEL030922g1.t1								
1522	Hmel217004	1226639	1227677	+	0	NA	Intergenic	Intergenic	-34532	ID=HMEL006591g1.t1-E1;Parent=HMEL006591g1.t1								
1	Hmel201002	128913	129602	+	0	NA	Intergenic	Intergenic	15986	ID=HMEL030012g1.t1-E4;Parent=HMEL030012g1.t1								
506	Hmel207002	5984576	5984784	+	0	NA	Intergenic	Intergenic	-1847	ID=HMEL037490g1.t1-E5;Parent=HMEL037490g1.t1								
136	Hmel202006	3595595	3596375	+	0	NA	Intergenic	Intergenic	5688	ID=HMEL033346g1.t1-E1;Parent=HMEL033346g1.t1								
116	Hmel201019	444925	445193	+	0	NA	Intergenic	Intergenic	6931	ID=HMEL033109g1.t1-E1;Parent=HMEL033109g1.t1								
1197	Hmel213025	508427	508798	+	0	NA	Intergenic	Intergenic	-7165	ID=HMEL031952g1.t1-E1;Parent=HMEL031952g1.t1								
1580	Hmel217020	380717	381209	+	0	NA	Intergenic	Intergenic	5320	ID=HMEL034055g1.t1-E2;Parent=HMEL034055g1.t1								
2146	Hmel221036	638427	639166	+	0	NA	promoter-TSS (ID=HMEL012219g4.t1-E4;Parent=HMEL012219g4.t1)	-promoter-TSS (ID=HMEL012219g4.t1-E4;Parent=HMEL012219g4.t1)	136	ID=HMEL012219g4.t1-E3;Parent=HMEL012219g4.t1								
661	Hmel209001	1315186	1315553	+	0	NA	Intergenic	Intergenic	-1018	ID=HMEL007613-RA-E1;Parent=HMEL007613-RA								
1935	Hmel220006	41345	41837	+	0	NA	Intergenic	Intergenic	10546	ID=HMEL035243g1.t1-E17;Parent=HMEL035243g1.t1								
581	Hmel207028	316887	318118	+	0	NA	Intergenic	Intergenic	-19101	ID=HMEL037758g1.t1-E1;Parent=HMEL037758g1.t1								
308	Hmel205012	343679	343914	+	0	NA	Intergenic	Intergenic	4539	ID=HMEL007225g1.t1-E3;Parent=HMEL007225g1.t1								
678	Hmel209005	875298	876556	+	0	NA	Intergenic	Intergenic	29238	ID=HMEL030335g1.t1-E2;Parent=HMEL030335g1.t1								
1517	Hmel217004	1139801	1140695	+	0	NA	Intergenic	Intergenic	-20668	ID=HMEL006590g1.t1-E1;Parent=HMEL006590g1.t1								
1975	Hmel221001	388643	389528	+	0	NA	Intergenic	Intergenic	13550	ID=HMEL011041g1.t1-E1;Parent=HMEL011041g1.t1								
1973	Hmel221001	20350	20934	+	0	NA	promoter-TSS (ID=HMEL009541-RA-E4;Parent=HMEL009541-RA)	-promoter-TSS (ID=HMEL009541-RA-E4;Parent=HMEL009541-RA)	-710	ID=HMEL009541-RA-E4;Parent=HMEL009541-RA								
1991	Hmel221001	2212588	2213365	+	0	NA	Intergenic	Intergenic	4039	ID=HMEL035467g1.t1-E2;Parent=HMEL035467g1.t1								
927	Hmel211004	2369608	2370142	+	0	NA	Intergenic	Intergenic	8485	ID=HMEL004307g1.t1-E13;Parent=HMEL004307g1.t1								
301	Hmel205008	155354	155679	+	0	NA	Intergenic	Intergenic	-13556	ID=HMEL036631g1.t1-E1;Parent=HMEL036631g1.t1								
51	Hmel201009	1562466	1563100	+	0	NA	Intergenic	Intergenic	-3422	ID=HMEL030150g1.t1-E1;Parent=HMEL030150g1.t1								
1758	Hmel218018	8155935	8156663	+	0	NA	Intergenic	Intergenic	12282	ID=HMEL034487g1.t1-E1;Parent=HMEL034487g1.t1								
1822	Hmel219009	38005	39452	+	0	NA	TTS (ID=HMEL034729g1.t1-E1;Parent=HMEL034729g1.t1)	-TTS (ID=HMEL034729g1.t1-E1;Parent=HMEL034729g1.t1)	1078	ID=HMEL034729g1.t1-E1;Parent=HMEL034729g1.t1								
456	Hmel207002	677024	678268	+	0	NA	Intergenic	Intergenic	15911	ID=HMEL009525g1.t1-E3;Parent=HMEL009525g1.t1								
652	Hmel208051	1389735	1389886	+	0	NA	Intergenic	Intergenic	2403	ID=HMEL038171g1.t1-E4;Parent=HMEL038171g1.t1								
1033	Hmel212001	2038261	2038861	+	0	NA	TTS (ID=HMEL016808g1.t1-E2;Parent=HMEL016808g1.t1)	-TTS (ID=HMEL016808g1.t1-E2;Parent=HMEL016808g1.t1)	706	ID=HMEL016808g1.t1-E3;Parent=HMEL016808g1.t1								
2034	Hmel221012	457455	457957	+	0	NA	Intergenic	Intergenic	-1996	ID=HMEL007773g2.t1-E1;Parent=HMEL007773g2.t1								
1539	Hmel217004	3256338	3257271	+	0	NA	Intergenic	Intergenic	-4598	ID=HMEL004818g1.t1-E2;Parent=HMEL004818g1.t1								
2029	Hmel221012	336203	336708	+	0	NA	Intergenic	Intergenic	7214	ID=HMEL012080g1.t1-E1;Parent=HMEL012080g1.t1								
796	Hmel210004	7007819	7009119	+	0	NA	Intergenic	Intergenic	-1138	ID=HMEL004071g1.t1-E3;Parent=HMEL004071g1.t1								
366	Hmel206006	1886259	1886616	+	0	NA	Intergenic	Intergenic	-7330	ID=HMEL036960g1.t1-E1;Parent=HMEL036960g1.t1								
844	Hmel210010	319770	320032	+	0	NA	Intergenic	Intergenic	-1679	ID=HMEL030825g1.t1-E1;Parent=HMEL030825g1.t1								
1541	Hmel217004	3336571	3336920	+	0	NA	Intergenic	Intergenic	1498	ID=HMEL033838g1.t1-E1;Parent=HMEL033838g1.t1								
272	Hmel204021	32020	32651	+	0	NA	promoter-TSS (ID=HMEL016307g1.t1-E3;Parent=HMEL016307g1.t1)	-promoter-TSS (ID=HMEL016307g1.t1-E3;Parent=HMEL016307g1.t1)	-469	ID=HMEL016307g1.t1-E3;Parent=HMEL016307g1.t1								
775	Hmel210004	5934621	5934817	+	0	NA	Intergenic	Intergenic	8440	ID=HMEL009013g1.t2-E1;Parent=HMEL009013g1.t2								
2108	Hmel221017	3076	3221	+	0	NA	promoter-TSS (ID=HMEL007802g1.t1-E6;Parent=HMEL007802g1.t1)	-promoter-TSS (ID=HMEL007802g1.t1-E6;Parent=HMEL007802g1.t1)	-361	ID=HMEL007802g1.t1-E6;Parent=HMEL007802g1.t1								
20	Hmel201002	2215277	2215712	+	0	NA	Intergenic	Intergenic	-2872	ID=HMEL030053g1.t1-E1;Parent=HMEL030053g1.t1								
888	Hmel211001	43530	44075	+	0	NA	Intergenic	Intergenic	-3461	ID=HMEL015344g1.t1-E1;Parent=HMEL015344g1.t1								
1983	Hmel221001	1206014	1206538	+	0	NA	promoter-TSS (ID=HMEL013529g1.t1-E1;Parent=HMEL013529g1.t1)	-promoter-TSS (ID=HMEL013529g1.t1-E1;Parent=HMEL013529g1.t1)	-951	ID=HMEL013529g1.t1-E1;Parent=HMEL013529g1.t1								
1011	Hmel211017	9455	10170	+	0	NA	Intergenic	Intergenic	17494	ID=HMEL010010g1.t1-E3;Parent=HMEL010010g1.t1								
1754	Hmel218018	7817466	7817637	+	0	NA	Intergenic	Intergenic	-24008	ID=HMEL016588g4.t1-E1;Parent=HMEL016588g4.t1								
1627	Hmel218007	163436	163719	+	0	NA	TTS (ID=HMEL010976g1.t1-E1;Parent=HMEL010976g1.t1)	-TTS (ID=HMEL010976g1.t1-E1;Parent=HMEL010976g1.t1)	434	ID=HMEL010976g1.t1-E1;Parent=HMEL010976g1.t1								
1161	Hmel213006	10204	10572	+	0	NA	Intergenic	Intergenic	-13294	ID=HMEL005061g1.t1-E1;Parent=HMEL005061g1.t1								
468	Hmel207002	2101285	2101425	+	0	NA	Intergenic	Intergenic	13807	ID=HMEL037395g1.t3-E3;Parent=HMEL037395g1.t3								
2093	Hmel221015	316611	317036	+	0	NA	promoter-TSS (ID=HMEL035652g1.t1-E1;Parent=HMEL035652g1.t1)	-promoter-TSS (ID=HMEL035652g1.t1-E1;Parent=HMEL035652g1.t1)	-442	ID=HMEL035652g1.t1-E1;Parent=HMEL035652g1.t1								
1019	Hmel211016	124087	124335	+	0	NA	Intergenic	Intergenic	5995	ID=HMEL031259g1.t1-E1;Parent=HMEL031259g1.t1								
700	Hmel209007	275965	276829	+	0	NA	promoter-TSS (ID=HMEL007489g1.t1-E4;Parent=HMEL007489g1.t1)	-promoter-TSS (ID=HMEL007489g1.t1-E4;Parent=HMEL007489g1.t1)	-277	ID=HMEL007489g1.t1-E4;Parent=HMEL007489g1.t1								
1927	Hmel220005	5009277	5009811	+	0	NA	Intergenic	Intergenic	3907	ID=HMEL035222g1.t1-E8;Parent=HMEL035222g1.t1								
78	Hmel201009	5005072	5006195	+	0	NA	TTS (ID=HMEL030260g1.t1-E1;Parent=HMEL030260g1.t1)	-TTS (ID=HMEL030260g1.t1-E1;Parent=HMEL030260g1.t1)	1899	ID=HMEL030260g1.t2-E1;Parent=HMEL030260g1.t2								
1380	Hmel215006	1497432	1498842	+	0	NA	Intergenic	Intergenic	-6451	ID=HMEL000036-RA-E4;Parent=HMEL000036-RA								
990	Hmel211014	284505	284949	+	0	NA	Intergenic	Intergenic	2539	ID=HMEL031242g1.t1-E1;Parent=HMEL031242g1.t1								
413	Hmel206012	1095826	1095995	+	0	NA	Intergenic	Intergenic	-5936	ID=HMEL015565g1.t1-E4;Parent=HMEL015565g1.t1								
294	Hmel205005	636285	637377	+	0	NA	promoter-TSS (ID=HMEL016032g1.t1-E1;Parent=HMEL016032g1.t1)	-promoter-TSS (ID=HMEL016032g1.t1-E1;Parent=HMEL016032g1.t1)	-489	ID=HMEL016032g1.t1-E1;Parent=HMEL016032g1.t1								
1614	Hmel218005	224174	224640	+	0	NA	Intergenic	Intergenic	3080	ID=HMEL034250g1.t1-E1;Parent=HMEL034250g1.t1								
1442	Hmel215048	213749	213944	+	0	NA	promoter-TSS (ID=HMEL032964g1.t1-E1;Parent=HMEL032964g1.t1)	-promoter-TSS (ID=HMEL032964g1.t1-E1;Parent=HMEL032964g1.t1)	-649	ID=HMEL032964g1.t1-E1;Parent=HMEL032964g1.t1								
764	Hmel210004	2533926	2534301	+	0	NA	Intergenic	Intergenic	3028	ID=HMEL030641g1.t1-E1;Parent=HMEL030641g1.t1								
