PeakID (cmd=annotatePeaks.pl development_5th_p05FC1_melpUnique_5thdown.bed /work/rpapa/share/REF/Hmel2/Hmel2.fa -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_melpomene_melpomene_Hmel2.gff3 -annStats development_5th_p05FC1_melpUnique_5thdown_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
917	Hmel205013	32419	33017	+	0	NA	TTS (ID=HMEL036677g1.t1-E2;Parent=HMEL036677g1.t1)	-TTS (ID=HMEL036677g1.t1-E2;Parent=HMEL036677g1.t1)	708	ID=HMEL036677g1.t1-E2;Parent=HMEL036677g1.t1								
3431	Hmel214022	61529	62048	+	0	NA	Intergenic	Intergenic	-3416	ID=HMEL032482g1.t1-E1;Parent=HMEL032482g1.t1								
4977	Hmel220005	4936358	4936551	+	0	NA	Intergenic	Intergenic	4317	ID=HMEL035220g1.t1-E6;Parent=HMEL035220g1.t1								
495	Hmel203014	21748	22199	+	0	NA	Intergenic	Intergenic	1520	ID=HMEL036004g1.t1-E6;Parent=HMEL036004g1.t1								
4501	Hmel218018	9071513	9071936	+	0	NA	Intergenic	Intergenic	5239	ID=HMEL034506g1.t1-E2;Parent=HMEL034506g1.t1								
3889	Hmel217001	393197	393876	+	0	NA	promoter-TSS (ID=HMEL033706g1.t1-E1;Parent=HMEL033706g1.t1)	-promoter-TSS (ID=HMEL033706g1.t1-E1;Parent=HMEL033706g1.t1)	-881	ID=HMEL033706g1.t1-E1;Parent=HMEL033706g1.t1								
3302	Hmel213071	100095	101518	+	0	NA	Intergenic	Intergenic	-7428	ID=HMEL004684g1.t1-E1;Parent=HMEL004684g1.t1								
2086	Hmel210004	6513497	6513887	+	0	NA	promoter-TSS (ID=HMEL030727g1.t1-E2;Parent=HMEL030727g1.t1)	-promoter-TSS (ID=HMEL030727g1.t1-E2;Parent=HMEL030727g1.t1)	123	ID=HMEL030727g1.t1-E1;Parent=HMEL030727g1.t1								
1322	Hmel207002	2082307	2082630	+	0	NA	Intergenic	Intergenic	-24306	ID=HMEL037395g1.t2-E4;Parent=HMEL037395g1.t2								
1816	Hmel209005	816939	817222	+	0	NA	Intergenic	Intergenic	5191	ID=HMEL030332g1.t1-E2;Parent=HMEL030332g1.t1								
5174	Hmel221012	1892202	1892548	+	0	NA	TTS (ID=HMEL008404g1.t1-E2;Parent=HMEL008404g1.t1)	-TTS (ID=HMEL008404g1.t1-E2;Parent=HMEL008404g1.t1)	1060	ID=HMEL008404g1.t1-E2;Parent=HMEL008404g1.t1								
2460	Hmel211012	1303144	1304595	+	0	NA	Intergenic	Intergenic	-6464	ID=HMEL012818g1.t2-E1;Parent=HMEL012818g1.t2								
4293	Hmel218018	813496	814133	+	0	NA	Intergenic	Intergenic	-4528	ID=HMEL034356g1.t1-E1;Parent=HMEL034356g1.t1								
2699	Hmel212004	1272473	1272629	+	0	NA	exon (ID=HMEL012617g2.t1-E2;Parent=HMEL012617g2.t1, exon 1 of 1)	-exon (ID=HMEL012617g2.t1-E2;Parent=HMEL012617g2.t1, exon 1 of 1)	711	ID=HMEL012617g2.t1-E2;Parent=HMEL012617g2.t1								
5067	Hmel220014	221337	221628	+	0	NA	Intergenic	Intergenic	9178	ID=HMEL035306g1.t1-E3;Parent=HMEL035306g1.t1								
1259	Hmel206021	141857	142102	+	0	NA	promoter-TSS (ID=HMEL037282g1.t1-E4;Parent=HMEL037282g1.t1)	-promoter-TSS (ID=HMEL037282g1.t1-E4;Parent=HMEL037282g1.t1)	50	ID=HMEL037282g1.t1-E4;Parent=HMEL037282g1.t1								
3824	Hmel216011	1990710	1991563	+	0	NA	Intergenic	Intergenic	10894	ID=HMEL033573g1.t1-E2;Parent=HMEL033573g1.t1								
3574	Hmel215034	509645	509893	+	0	NA	Intergenic	Intergenic	-3363	ID=HMEL032805g1.t1-E1;Parent=HMEL032805g1.t1								
2976	Hmel213025	461669	462317	+	0	NA	Intergenic	Intergenic	6480	ID=HMEL031951g1.t1-E2;Parent=HMEL031951g1.t1								
3475	Hmel214029	236037	236647	+	0	NA	promoter-TSS (ID=HMEL032590g1.t1-E2;Parent=HMEL032590g1.t1)	-promoter-TSS (ID=HMEL032590g1.t1-E2;Parent=HMEL032590g1.t1)	-175	ID=HMEL032590g1.t1-E2;Parent=HMEL032590g1.t1								
4319	Hmel218018	1895149	1895427	+	0	NA	Intergenic	Intergenic	14428	ID=HMEL016195g1.t1-E7;Parent=HMEL016195g1.t1								
3421	Hmel214019	900493	901009	+	0	NA	Intergenic	Intergenic	-3499	ID=HMEL032470g1.t1-E3;Parent=HMEL032470g1.t1								
3238	Hmel213065	965489	966743	+	0	NA	Intergenic	Intergenic	3788	ID=HMEL032159g1.t1-E1;Parent=HMEL032159g1.t1								
2274	Hmel210011	4513956	4514137	+	0	NA	Intergenic	Intergenic	14906	ID=HMEL030921g1.t1-E4;Parent=HMEL030921g1.t1								
2002	Hmel210004	1448231	1448538	+	0	NA	Intergenic	Intergenic	4314	ID=HMEL030629g1.t1-E16;Parent=HMEL030629g1.t1								
4902	Hmel220005	1147854	1148040	+	0	NA	promoter-TSS (ID=HMEL016161g1.t1-E3;Parent=HMEL016161g1.t1)	-promoter-TSS (ID=HMEL016161g1.t1-E3;Parent=HMEL016161g1.t1)	96	ID=HMEL016161g1.t2-E4;Parent=HMEL016161g1.t2								
4591	Hmel219003	4679399	4680024	+	0	NA	Intergenic	Intergenic	23275	ID=HMEL034652g1.t1-E3;Parent=HMEL034652g1.t1								
1203	Hmel206012	1342470	1342606	+	0	NA	Intergenic	Intergenic	-18862	ID=HMEL037130g1.t1-E1;Parent=HMEL037130g1.t1								
4261	Hmel218018	192890	193054	+	0	NA	Intergenic	Intergenic	1574	ID=HMEL034351g1.t1-E1;Parent=HMEL034351g1.t1								
2088	Hmel210004	6634626	6635284	+	0	NA	Intergenic	Intergenic	11039	ID=HMEL009654g1.t1-E2;Parent=HMEL009654g1.t1								
1068	Hmel206006	2123350	2123664	+	0	NA	Intergenic	Intergenic	1558	ID=HMEL016514g1.t1-E26;Parent=HMEL016514g1.t1								
4429	Hmel218018	6664818	6665269	+	0	NA	Intergenic	Intergenic	3760	ID=HMEL016316g1.t1-E2;Parent=HMEL016316g1.t1								
486	Hmel202006	6076925	6077682	+	0	NA	Intergenic	Intergenic	10270	ID=HMEL004565g1.t1-E2;Parent=HMEL004565g1.t1								
2134	Hmel210005	788568	788712	+	0	NA	TTS (ID=HMEL008542g1.t1-E2;Parent=HMEL008542g1.t1)	-TTS (ID=HMEL008542g1.t1-E2;Parent=HMEL008542g1.t1)	665	ID=HMEL008542g1.t1-E2;Parent=HMEL008542g1.t1								
1354	Hmel207002	3220049	3220318	+	0	NA	TTS (ID=HMEL009342g1.t1-E1;Parent=HMEL009342g1.t1)	-TTS (ID=HMEL009342g1.t1-E1;Parent=HMEL009342g1.t1)	1726	ID=HMEL009342g1.t1-E1;Parent=HMEL009342g1.t1								
4066	Hmel217019	60267	60563	+	0	NA	Intergenic	Intergenic	-2980	ID=HMEL034026g1.t1-E2;Parent=HMEL034026g1.t1								
4213	Hmel218007	471106	471824	+	0	NA	Intergenic	Intergenic	19676	ID=HMEL034296g1.t2-E3;Parent=HMEL034296g1.t2								
8	Hmel201002	450268	451197	+	0	NA	Intergenic	Intergenic	2346	ID=HMEL030018g1.t1-E2;Parent=HMEL030018g1.t1								
3239	Hmel213065	969718	970174	+	0	NA	Intergenic	Intergenic	-6501	ID=HMEL032159g1.t1-E2;Parent=HMEL032159g1.t1								
2359	Hmel211004	2232013	2232442	+	0	NA	Intergenic	Intergenic	1239	ID=HMEL031085g1.t1-E4;Parent=HMEL031085g1.t1								
5309	Hmel215030	287	675	+	0	NA	Intergenic	Intergenic	-13193	ID=HMEL007010g1.t1-E1;Parent=HMEL007010g1.t1								
2045	Hmel210004	3934070	3934593	+	0	NA	Intergenic	Intergenic	-1402	ID=HMEL006888g1.t1-E1;Parent=HMEL006888g1.t1								
686	Hmel204003	465365	466113	+	0	NA	Intergenic	Intergenic	-76260	ID=HMEL036357g1.t1-E1;Parent=HMEL036357g1.t1								
5310	Hmel215032	120016	120315	+	0	NA	Intergenic	Intergenic	-12317	ID=HMEL016291g1.t1-E1;Parent=HMEL016291g1.t1								
3149	Hmel213054	182060	182434	+	0	NA	Intergenic	Intergenic	15124	ID=HMEL007986g1.t1-E2;Parent=HMEL007986g1.t1								
943	Hmel205015	146581	146848	+	0	NA	Intergenic	Intergenic	-3480	ID=HMEL002495g1.t1-E1;Parent=HMEL002495g1.t1								
1887	Hmel209007	2474409	2474622	+	0	NA	Intergenic	Intergenic	2540	ID=HMEL030423g1.t1-E1;Parent=HMEL030423g1.t1								
4258	Hmel218018	107104	107357	+	0	NA	Intergenic	Intergenic	62588	ID=HMEL017500-RA-E1;Parent=HMEL017500-RA								
1585	Hmel207030	91228	92480	+	0	NA	promoter-TSS (ID=HMEL005308g1.t1-E2;Parent=HMEL005308g1.t1)	-promoter-TSS (ID=HMEL005308g1.t1-E2;Parent=HMEL005308g1.t1)	67	ID=HMEL005308g1.t1-E2;Parent=HMEL005308g1.t1								
4709	Hmel219012	188152	188346	+	0	NA	promoter-TSS (ID=HMEL034764g1.t1-E11;Parent=HMEL034764g1.t1)	-promoter-TSS (ID=HMEL034764g1.t1-E11;Parent=HMEL034764g1.t1)	121	ID=HMEL034764g1.t2-E10;Parent=HMEL034764g1.t2								
4993	Hmel220005	5555110	5555953	+	0	NA	Intergenic	Intergenic	-4719	ID=HMEL035241g1.t1-E1;Parent=HMEL035241g1.t1								
4474	Hmel218018	8158020	8158346	+	0	NA	Intergenic	Intergenic	10398	ID=HMEL034487g1.t1-E1;Parent=HMEL034487g1.t1								
2705	Hmel212004	1610730	1610913	+	0	NA	Intergenic	Intergenic	14495	ID=HMEL012589g1.t2-E16;Parent=HMEL012589g1.t2								
690	Hmel204003	497952	498143	+	0	NA	Intergenic	Intergenic	-43952	ID=HMEL036357g1.t1-E1;Parent=HMEL036357g1.t1								
61	Hmel201003	58332	58555	+	0	NA	Intergenic	Intergenic	2322	ID=HMEL005989g1.t1-E4;Parent=HMEL005989g1.t1								
4475	Hmel218018	8162274	8162632	+	0	NA	Intergenic	Intergenic	6128	ID=HMEL034487g1.t1-E1;Parent=HMEL034487g1.t1								
5215	Hmel221018	43197	43426	+	0	NA	Intergenic	Intergenic	-3446	ID=HMEL010377-RA-E3;Parent=HMEL010377-RA								
4094	Hmel218003	335008	336316	+	0	NA	Intergenic	Intergenic	10705	ID=HMEL034204g1.t1-E1;Parent=HMEL034204g1.t1								
3540	Hmel215025	58374	59135	+	0	NA	promoter-TSS (ID=HMEL032727g1.t1-E1;Parent=HMEL032727g1.t1)	-promoter-TSS (ID=HMEL032727g1.t1-E1;Parent=HMEL032727g1.t1)	-139	ID=HMEL032727g1.t1-E1;Parent=HMEL032727g1.t1								
4704	Hmel219012	116641	117716	+	0	NA	Intergenic	Intergenic	8565	ID=HMEL006580g2.t1-E1;Parent=HMEL006580g2.t1								
2394	Hmel211008	7225	7465	+	0	NA	Intergenic	Intergenic	2795	ID=HMEL031151g1.t1-E1;Parent=HMEL031151g1.t1								
1266	Hmel206022	723655	724282	+	0	NA	promoter-TSS (ID=HMEL037324g1.t1-E2;Parent=HMEL037324g1.t1)	-promoter-TSS (ID=HMEL037324g1.t1-E2;Parent=HMEL037324g1.t1)	-64	ID=HMEL037324g1.t1-E2;Parent=HMEL037324g1.t1								
3419	Hmel214019	759160	759327	+	0	NA	promoter-TSS (ID=HMEL032463g1.t1-E9;Parent=HMEL032463g1.t1)	-promoter-TSS (ID=HMEL032463g1.t1-E9;Parent=HMEL032463g1.t1)	617	ID=HMEL032463g1.t1-E8;Parent=HMEL032463g1.t1								
3326	Hmel213071	1343340	1343567	+	0	NA	Intergenic	Intergenic	-10626	ID=HMEL010563g1.t1-E1;Parent=HMEL010563g1.t1								
2654	Hmel212001	4191688	4192222	+	0	NA	Intergenic	Intergenic	-27131	ID=HMEL016567g1.t1-E1;Parent=HMEL016567g1.t1								
4209	Hmel218007	531568	531947	+	0	NA	Intergenic	Intergenic	-5411	ID=HMEL034298g1.t1-E1;Parent=HMEL034298g1.t1								
4144	Hmel218003	1518635	1518933	+	0	NA	Intergenic	Intergenic	18550	ID=HMEL003382g2.t1-E1;Parent=HMEL003382g2.t1								
4784	Hmel219018	573950	574977	+	0	NA	Intergenic	Intergenic	-2589	ID=HMEL034885g1.t1-E2;Parent=HMEL034885g1.t1								
3627	Hmel215047	1516927	1517599	+	0	NA	TTS (ID=HMEL032909g1.t1-E6;Parent=HMEL032909g1.t1)	-TTS (ID=HMEL032909g1.t1-E6;Parent=HMEL032909g1.t1)	369	ID=HMEL032909g1.t1-E6;Parent=HMEL032909g1.t1								
39	Hmel201002	2206570	2206856	+	0	NA	Intergenic	Intergenic	-11653	ID=HMEL030053g1.t1-E1;Parent=HMEL030053g1.t1								
558	Hmel203045	712716	713385	+	0	NA	Intergenic	Intergenic	-9979	ID=HMEL036076g1.t2-E2;Parent=HMEL036076g1.t2								
3200	Hmel213062	959501	959720	+	0	NA	Intergenic	Intergenic	-12011	ID=HMEL032123g1.t1-E2;Parent=HMEL032123g1.t1								
573	Hmel203059	7746	8032	+	0	NA	Intergenic	Intergenic	7661	ID=HMEL036128g1.t1-E1;Parent=HMEL036128g1.t1								
2710	Hmel212006	79138	80041	+	0	NA	promoter-TSS (ID=HMEL002715g1.t1-E1;Parent=HMEL002715g1.t1)	-promoter-TSS (ID=HMEL002715g1.t1-E1;Parent=HMEL002715g1.t1)	-557	ID=HMEL002715g1.t1-E1;Parent=HMEL002715g1.t1								
1084	Hmel206007	75603	75879	+	0	NA	promoter-TSS (ID=HMEL011869g3.t1-E3;Parent=HMEL011869g3.t1)	-promoter-TSS (ID=HMEL011869g3.t1-E3;Parent=HMEL011869g3.t1)	150	ID=HMEL011869g3.t1-E2;Parent=HMEL011869g3.t1								
4570	Hmel219003	3985242	3986663	+	0	NA	Intergenic	Intergenic	-1402	ID=HMEL013178g1.t1-E3;Parent=HMEL013178g1.t1								
5324	Hmel218007	1554037	1554197	+	0	NA	Intergenic	Intergenic	23242	ID=HMEL034320g1.t1-E11;Parent=HMEL034320g1.t1								
3446	Hmel214024	312454	312760	+	0	NA	promoter-TSS (ID=HMEL032511g1.t1-E5;Parent=HMEL032511g1.t1)	-promoter-TSS (ID=HMEL032511g1.t1-E5;Parent=HMEL032511g1.t1)	-484	ID=HMEL032511g1.t1-E5;Parent=HMEL032511g1.t1								
638	Hmel203069	2303196	2303436	+	0	NA	Intergenic	Intergenic	-4725	ID=HMEL004018g1.t1-E1;Parent=HMEL004018g1.t1								
2350	Hmel211004	1463952	1464545	+	0	NA	promoter-TSS (ID=HMEL015193g1.t1-E11;Parent=HMEL015193g1.t1)	-promoter-TSS (ID=HMEL015193g1.t1-E11;Parent=HMEL015193g1.t1)	93	ID=HMEL015193g1.t1-E11;Parent=HMEL015193g1.t1								
2479	Hmel211014	249736	250800	+	0	NA	Intergenic	Intergenic	-35259	ID=HMEL011834g1.t1-E1;Parent=HMEL011834g1.t1								
1	Hmel201002	100408	102524	+	0	NA	Intergenic	Intergenic	-8753	ID=HMEL030012g1.t1-E1;Parent=HMEL030012g1.t1								
3218	Hmel213065	196894	197043	+	0	NA	Intergenic	Intergenic	3823	ID=HMEL032140g1.t1-E2;Parent=HMEL032140g1.t1								
506	Hmel203011	11711	12305	+	0	NA	promoter-TSS (ID=HMEL015572g1.t1-E1;Parent=HMEL015572g1.t1)	-promoter-TSS (ID=HMEL015572g1.t1-E1;Parent=HMEL015572g1.t1)	-437	ID=HMEL015572g1.t1-E1;Parent=HMEL015572g1.t1								
4184	Hmel218005	552004	552357	+	0	NA	promoter-TSS (ID=HMEL034260g1.t1-E1;Parent=HMEL034260g1.t1)	-promoter-TSS (ID=HMEL034260g1.t1-E1;Parent=HMEL034260g1.t1)	-649	ID=HMEL034260g1.t1-E1;Parent=HMEL034260g1.t1								
2937	Hmel213020	171246	171689	+	0	NA	Intergenic	Intergenic	2353	ID=HMEL031877g1.t1-E4;Parent=HMEL031877g1.t1								
661	Hmel204001	1115337	1116340	+	0	NA	TTS (ID=HMEL017418g1.t1-E3;Parent=HMEL017418g1.t1)	-TTS (ID=HMEL017418g1.t1-E3;Parent=HMEL017418g1.t1)	545	ID=HMEL017418g1.t1-E3;Parent=HMEL017418g1.t1								
3157	Hmel213062	317823	319434	+	0	NA	Intergenic	Intergenic	-2598	ID=HMEL012885g1.t1-E2;Parent=HMEL012885g1.t1								
2845	Hmel212013	3364329	3364978	+	0	NA	Intergenic	Intergenic	-4221	ID=HMEL012330g1.t1-E2;Parent=HMEL012330g1.t1								
2482	Hmel211014	272830	273854	+	0	NA	Intergenic	Intergenic	13924	ID=HMEL031242g1.t1-E1;Parent=HMEL031242g1.t1								
2719	Hmel212006	403875	404027	+	0	NA	Intergenic	Intergenic	-34188	ID=HMEL031535g1.t1-E1;Parent=HMEL031535g1.t1								
1935	Hmel209007	4867688	4867905	+	0	NA	Intergenic	Intergenic	-2263	ID=HMEL009672g1.t1-E1;Parent=HMEL009672g1.t1								
2690	Hmel212004	254639	255461	+	0	NA	Intergenic	Intergenic	1339	ID=HMEL018011g1.t1-E1;Parent=HMEL018011g1.t1								
581	Hmel203048	432749	433810	+	0	NA	Intergenic	Intergenic	6284	ID=HMEL036097g1.t1-E1;Parent=HMEL036097g1.t1								
2727	Hmel212009	334925	335073	+	0	NA	promoter-TSS (ID=HMEL003639g1.t1-E5;Parent=HMEL003639g1.t1)	-promoter-TSS (ID=HMEL003639g1.t1-E5;Parent=HMEL003639g1.t1)	-439	ID=HMEL003639g1.t1-E5;Parent=HMEL003639g1.t1								
4046	Hmel217018	1531946	1533085	+	0	NA	Intergenic	Intergenic	-1136	ID=HMEL033990g1.t1-E1;Parent=HMEL033990g1.t1								
4676	Hmel219005	967326	967803	+	0	NA	Intergenic	Intergenic	2362	ID=HMEL034723g1.t1-E5;Parent=HMEL034723g1.t1								
4200	Hmel218007	163436	163719	+	0	NA	TTS (ID=HMEL010976g1.t1-E1;Parent=HMEL010976g1.t1)	-TTS (ID=HMEL010976g1.t1-E1;Parent=HMEL010976g1.t1)	434	ID=HMEL010976g1.t1-E1;Parent=HMEL010976g1.t1								
4567	Hmel219003	3687577	3688365	+	0	NA	Intergenic	Intergenic	-4027	ID=HMEL034635g1.t1-E1;Parent=HMEL034635g1.t1								
678	Hmel204001	2022103	2022407	+	0	NA	Intergenic	Intergenic	-11217	ID=HMEL016525g1.t1-E1;Parent=HMEL016525g1.t1								
