PeakID (cmd=annotatePeaks.pl development_D1_p05FC1_eratoUnique_D1down.bed /home/rpapa/sbelleghem/share/REF/H_erato_dem/Herato_final.fasta -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_erato_demophoon_v1.gff3 -annStats development_D1_p05FC1_eratoUnique_D1down_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
2994	Herato1202	3698253	3698595	+	0	NA	Intergenic	Intergenic	1929	ID=evm.model.Herato1202.124-E3;Parent=evm.model.Herato1202.124								
4003	Herato1805	8594117	8594333	+	0	NA	Intergenic	Intergenic	1927	ID=evm.model.Herato1805.255-E1;Parent=evm.model.Herato1805.255								
3256	Herato2001	7403131	7403287	+	0	NA	exon (ID=evm.model.Herato2001.292.1-E1;Parent=evm.model.Herato2001.292.1, exon 1 of 1)	-exon (ID=evm.model.Herato2001.292.1-E1;Parent=evm.model.Herato2001.292.1, exon 1 of 1)	225	ID=evm.model.Herato2001.292.1-E1;Parent=evm.model.Herato2001.292.1								
311	Herato0606	4692684	4692948	+	0	NA	Intergenic	Intergenic	-47167	ID=evm.model.Herato0606.148-E1;Parent=evm.model.Herato0606.148								
4537	Herato0310	2965076	2965467	+	0	NA	Intergenic	Intergenic	-12686	ID=evm.model.Herato0310.62-E2;Parent=evm.model.Herato0310.62								
4836	Herato0501	302022	302286	+	0	NA	Intergenic	Intergenic	-14196	ID=evm.model.Herato0501.14-E1;Parent=evm.model.Herato0501.14								
3844	Herato0501	37409	39007	+	0	NA	promoter-TSS (ID=evm.model.Herato0501.6-E1;Parent=evm.model.Herato0501.6)	-promoter-TSS (ID=evm.model.Herato0501.6-E1;Parent=evm.model.Herato0501.6)	6	ID=evm.model.Herato0501.7-E2;Parent=evm.model.Herato0501.7								
825	Herato0101	11051245	11051556	+	0	NA	Intergenic	Intergenic	-5285	ID=evm.model.Herato0101.317-E1;Parent=evm.model.Herato0101.317								
917	Herato0701	11383484	11383716	+	0	NA	TTS (ID=evm.model.Herato0701.487-E3;Parent=evm.model.Herato0701.487)	-TTS (ID=evm.model.Herato0701.487-E3;Parent=evm.model.Herato0701.487)	445	ID=evm.model.Herato0701.487-E4;Parent=evm.model.Herato0701.487								
3431	Herato0503	4413634	4414349	+	0	NA	Intergenic	Intergenic	108356	ID=evm.model.Herato0503.130-E12;Parent=evm.model.Herato0503.130								
4977	Herato1904	3941148	3942406	+	0	NA	Intergenic	Intergenic	-6630	ID=evm.model.Herato1904.139.3-E3;Parent=evm.model.Herato1904.139.3								
495	Herato0606	10485188	10485819	+	0	NA	Intergenic	Intergenic	-18672	ID=evm.model.Herato0606.336-E1;Parent=evm.model.Herato0606.336								
4501	Herato0503	940330	940605	+	0	NA	Intergenic	Intergenic	2350	ID=evm.model.Herato0503.28.1-E3;Parent=evm.model.Herato0503.28.1								
3889	Herato1805	4074597	4074763	+	0	NA	Intergenic	Intergenic	1703	ID=evm.model.Herato1805.106-E1;Parent=evm.model.Herato1805.106								
3302	Herato0301	4579425	4580101	+	0	NA	promoter-TSS (ID=evm.model.Herato0301.113-E7;Parent=evm.model.Herato0301.113)	-promoter-TSS (ID=evm.model.Herato0301.113-E7;Parent=evm.model.Herato0301.113)	-126	ID=evm.model.Herato0301.113-E7;Parent=evm.model.Herato0301.113								
2086	Herato1805	4629558	4629878	+	0	NA	Intergenic	Intergenic	32200	ID=evm.model.Herato1805.119-E3;Parent=evm.model.Herato1805.119								
1322	Herato0821	953989	954558	+	0	NA	Intergenic	Intergenic	-30557	ID=evm.model.Herato0821.45-E1;Parent=evm.model.Herato0821.45								
1816	Herato1001	2057810	2058941	+	0	NA	Intergenic	Intergenic	4074	ID=evm.model.Herato1001.73-E10;Parent=evm.model.Herato1001.73								
5804	Herato0401	64697	65054	+	0	NA	promoter-TSS (ID=evm.model.Herato0401.4-E1;Parent=evm.model.Herato0401.4)	-promoter-TSS (ID=evm.model.Herato0401.4-E1;Parent=evm.model.Herato0401.4)	-826	ID=evm.model.Herato0401.4-E1;Parent=evm.model.Herato0401.4								
5174	Herato2001	5102685	5102993	+	0	NA	Intergenic	Intergenic	4466	ID=evm.model.Herato2001.171-E4;Parent=evm.model.Herato2001.171								
2460	Herato1108	77558	77975	+	0	NA	Intergenic	Intergenic	26490	ID=evm.model.Herato1108.2.1-E10;Parent=evm.model.Herato1108.2.1								
4293	Herato1901	2967502	2967709	+	0	NA	Intergenic	Intergenic	-3853	ID=evm.model.Herato1901.97-E1;Parent=evm.model.Herato1901.97								
2699	Herato1108	9038612	9038859	+	0	NA	Intergenic	Intergenic	-1253	ID=evm.model.Herato1108.386-E1;Parent=evm.model.Herato1108.386								
5067	Herato0301	4616792	4617421	+	0	NA	Intergenic	Intergenic	13316	ID=evm.model.Herato0301.113-E1;Parent=evm.model.Herato0301.113								
1259	Herato0801	6724813	6725420	+	0	NA	Intergenic	Intergenic	-8884	ID=evm.model.Herato0801.196-E1;Parent=evm.model.Herato0801.196								
5464	Herato1908	2176310	2176462	+	0	NA	Intergenic	Intergenic	-4816	ID=evm.model.Herato1908.111-E1;Parent=evm.model.Herato1908.111								
3824	Herato1805	2477260	2477472	+	0	NA	Intergenic	Intergenic	-133754	ID=evm.model.Herato1805.86-E1;Parent=evm.model.Herato1805.86								
3574	Herato1301	4114429	4114963	+	0	NA	Intergenic	Intergenic	34697	ID=evm.model.Herato1301.112-E34;Parent=evm.model.Herato1301.112								
2976	Herato1202	3242204	3242640	+	0	NA	Intergenic	Intergenic	2621	ID=evm.model.Herato1202.113.1-E4;Parent=evm.model.Herato1202.113.1								
5401	Herato0403	678197	678674	+	0	NA	Intergenic	Intergenic	3591	ID=evm.model.Herato0403.10-E1;Parent=evm.model.Herato0403.10								
3475	Herato1701	11109871	11110111	+	0	NA	Intergenic	Intergenic	30907	ID=evm.model.Herato1701.385-E11;Parent=evm.model.Herato1701.385								
4319	Herato1505	280706	281187	+	0	NA	Intergenic	Intergenic	-5121	ID=evm.model.Herato1505.18-E5;Parent=evm.model.Herato1505.18								
5531	Herato0411	4036320	4036755	+	0	NA	Intergenic	Intergenic	-67080	ID=evm.model.Herato0411.91-E1;Parent=evm.model.Herato0411.91								
3421	Herato1701	7552464	7552751	+	0	NA	Intergenic	Intergenic	8770	ID=evm.model.Herato1701.220-E5;Parent=evm.model.Herato1701.220								
3238	Herato1202	13639397	13639559	+	0	NA	TTS (ID=evm.model.Herato1202.528-E3;Parent=evm.model.Herato1202.528)	-TTS (ID=evm.model.Herato1202.528-E3;Parent=evm.model.Herato1202.528)	115	ID=evm.model.Herato1202.528.4-E3;Parent=evm.model.Herato1202.528.4								
2274	Herato1408	2794718	2794931	+	0	NA	Intergenic	Intergenic	-7847	ID=evm.model.Herato1408.80-E2;Parent=evm.model.Herato1408.80								
2002	Herato0101	2273696	2273844	+	0	NA	promoter-TSS (ID=evm.model.Herato0101.64-E2;Parent=evm.model.Herato0101.64)	-promoter-TSS (ID=evm.model.Herato0101.64-E2;Parent=evm.model.Herato0101.64)	-359	ID=evm.model.Herato0101.64-E2;Parent=evm.model.Herato0101.64								
4902	Herato1901	2611536	2611769	+	0	NA	Intergenic	Intergenic	-1726	ID=evm.model.Herato1901.83.2-E1;Parent=evm.model.Herato1901.83.2								
4591	Herato0503	4273044	4273572	+	0	NA	Intergenic	Intergenic	-2619	ID=evm.model.Herato0503.131-E1;Parent=evm.model.Herato0503.131								
1203	Herato0801	3451487	3451843	+	0	NA	Intergenic	Intergenic	1822	ID=evm.model.Herato0801.71-E1;Parent=evm.model.Herato0801.71								
5508	Herato1807	1257169	1257332	+	0	NA	Intergenic	Intergenic	9480	ID=evm.model.Herato1807.24-E3;Parent=evm.model.Herato1807.24								
4261	Herato1901	1460254	1460593	+	0	NA	Intergenic	Intergenic	-2501	ID=evm.model.Herato1901.35-E2;Parent=evm.model.Herato1901.35								
2088	Herato1301	20590863	20591029	+	0	NA	promoter-TSS (ID=evm.model.Herato1301.700-E1;Parent=evm.model.Herato1301.700)	-promoter-TSS (ID=evm.model.Herato1301.700-E1;Parent=evm.model.Herato1301.700)	-348	ID=evm.model.Herato1301.700-E1;Parent=evm.model.Herato1301.700								
1068	Herato1202	452102	452305	+	0	NA	Intergenic	Intergenic	7939	ID=evm.model.Herato1202.25-E7;Parent=evm.model.Herato1202.25								
4429	Herato1507	937847	938301	+	0	NA	Intergenic	Intergenic	106733	ID=evm.model.Herato1507.36-E6;Parent=evm.model.Herato1507.36								
486	Herato1007	1601848	1602028	+	0	NA	Intergenic	Intergenic	-8040	ID=evm.model.Herato1007.73-E1;Parent=evm.model.Herato1007.73								
2134	Herato1005	1063424	1064181	+	0	NA	promoter-TSS (ID=evm.model.Herato1005.68-E5;Parent=evm.model.Herato1005.68)	-promoter-TSS (ID=evm.model.Herato1005.68-E5;Parent=evm.model.Herato1005.68)	-633	ID=evm.model.Herato1005.68-E5;Parent=evm.model.Herato1005.68								
1354	Herato1202	12376537	12376825	+	0	NA	Intergenic	Intergenic	-6271	ID=evm.model.Herato1202.471-E1;Parent=evm.model.Herato1202.471								
4066	Herato1408	2960891	2961892	+	0	NA	Intergenic	Intergenic	2352	ID=evm.model.Herato1408.85-E1;Parent=evm.model.Herato1408.85								
4213	Herato1603	3381716	3382133	+	0	NA	Intergenic	Intergenic	-13969	ID=evm.model.Herato1603.89-E6;Parent=evm.model.Herato1603.89								
8	Herato0508	514425	515119	+	0	NA	Intergenic	Intergenic	-7015	ID=evm.model.Herato0508.26-E1;Parent=evm.model.Herato0508.26								
3239	Herato1202	13659322	13659984	+	0	NA	Intergenic	Intergenic	-1950	ID=evm.model.Herato1202.530-E1;Parent=evm.model.Herato1202.530								
2359	Herato1411	625775	626353	+	0	NA	Intergenic	Intergenic	-12082	ID=evm.model.Herato1411.17-E4;Parent=evm.model.Herato1411.17								
5309	Herato0503	985362	985574	+	0	NA	Intergenic	Intergenic	-4812	ID=evm.model.Herato0503.28.1-E1;Parent=evm.model.Herato0503.28.1								
2045	Herato1003	5416018	5416502	+	0	NA	Intergenic	Intergenic	4630	ID=evm.model.Herato1003.175-E1;Parent=evm.model.Herato1003.175								
686	Herato0701	5686149	5686469	+	0	NA	Intergenic	Intergenic	-5070	ID=evm.model.Herato0701.263-E1;Parent=evm.model.Herato0701.263								
5310	Herato2001	5346232	5346782	+	0	NA	Intergenic	Intergenic	-1823	ID=evm.model.Herato2001.184-E3;Parent=evm.model.Herato2001.184								
3149	Herato1605	2427141	2427504	+	0	NA	Intergenic	Intergenic	-13039	ID=evm.model.Herato1605.84-E1;Parent=evm.model.Herato1605.84								
943	Herato0701	12164041	12164379	+	0	NA	Intergenic	Intergenic	2648	ID=evm.model.Herato0701.552-E10;Parent=evm.model.Herato0701.552								
1887	Herato2101	8955535	8955783	+	0	NA	Intergenic	Intergenic	-43652	ID=evm.model.Herato2101.308-E1;Parent=evm.model.Herato2101.308								
4258	Herato1605	1244385	1245336	+	0	NA	Intergenic	Intergenic	3799	ID=evm.model.Herato1605.172-E4;Parent=evm.model.Herato1605.172								
1585	Herato1202	18775546	18776121	+	0	NA	Intergenic	Intergenic	-14204	ID=evm.model.Herato1202.758-E2;Parent=evm.model.Herato1202.758								
4709	Herato2001	19265241	19265815	+	0	NA	Intergenic	Intergenic	29839	ID=evm.model.Herato2001.742-E30;Parent=evm.model.Herato2001.742								
4993	Herato1701	918064	918710	+	0	NA	Intergenic	Intergenic	-45883	ID=evm.model.Herato1701.34-E1;Parent=evm.model.Herato1701.34								
4474	Herato2101	8176657	8176802	+	0	NA	Intergenic	Intergenic	-2922	ID=evm.model.Herato2101.288.2-E1;Parent=evm.model.Herato2101.288.2								
2705	Herato0101	2537085	2537434	+	0	NA	Intergenic	Intergenic	-91470	ID=evm.model.Herato0101.68.1-E1;Parent=evm.model.Herato0101.68.1								
690	Herato1108	3351802	3352366	+	0	NA	Intergenic	Intergenic	-1439	ID=evm.model.Herato1108.114-E2;Parent=evm.model.Herato1108.114								
61	Herato0601	813074	813214	+	0	NA	Intergenic	Intergenic	-16603	ID=evm.model.Herato0601.9-E1;Parent=evm.model.Herato0601.9								
4475	Herato0215	903344	903649	+	0	NA	Intergenic	Intergenic	2095	ID=evm.model.Herato0215.32.4-E2;Parent=evm.model.Herato0215.32.4								
5215	Herato2101	4093567	4094009	+	0	NA	Intergenic	Intergenic	8341	ID=evm.model.Herato2101.132-E1;Parent=evm.model.Herato2101.132								
4094	Herato1408	4116862	4117123	+	0	NA	Intergenic	Intergenic	-8308	ID=evm.model.Herato1408.151-E1;Parent=evm.model.Herato1408.151								
3540	Herato1705	128810	129198	+	0	NA	Intergenic	Intergenic	51531	ID=evm.model.Herato1705.4-E2;Parent=evm.model.Herato1705.4								
4704	Herato0215	1767924	1768193	+	0	NA	Intergenic	Intergenic	10948	ID=evm.model.Herato0215.60.2-E2;Parent=evm.model.Herato0215.60.2								
2394	Herato1807	4078491	4078893	+	0	NA	Intergenic	Intergenic	-9038	ID=evm.model.Herato1807.86-E1;Parent=evm.model.Herato1807.86								
1266	Herato1605	1183367	1183792	+	0	NA	Intergenic	Intergenic	4842	ID=evm.model.Herato1605.39-E3;Parent=evm.model.Herato1605.39								
5780	Herato0503	8626004	8626253	+	0	NA	Intergenic	Intergenic	-105609	ID=evm.model.Herato0503.332-E1;Parent=evm.model.Herato0503.332								
3419	Herato1905	189939	190118	+	0	NA	promoter-TSS (ID=evm.model.Herato1905.10-E1;Parent=evm.model.Herato1905.10)	-promoter-TSS (ID=evm.model.Herato1905.10-E1;Parent=evm.model.Herato1905.10)	195	ID=evm.model.Herato1905.11-E2;Parent=evm.model.Herato1905.11								
3326	Herato2001	9779085	9779297	+	0	NA	Intergenic	Intergenic	-56694	ID=evm.model.Herato2001.394-E1;Parent=evm.model.Herato2001.394								
5433	Herato2001	606035	606727	+	0	NA	Intergenic	Intergenic	12549	ID=evm.model.Herato2001.16-E1;Parent=evm.model.Herato2001.16								
2654	Herato1108	7327707	7328257	+	0	NA	Intergenic	Intergenic	6846	ID=evm.model.Herato1108.333.1-E1;Parent=evm.model.Herato1108.333.1								
4209	Herato2101	4864305	4864554	+	0	NA	Intergenic	Intergenic	14404	ID=evm.model.Herato2101.159-E2;Parent=evm.model.Herato2101.159								
4144	Herato1410	93799	94172	+	0	NA	Intergenic	Intergenic	6084	ID=evm.model.Herato1410.1-E14;Parent=evm.model.Herato1410.1								
4784	Herato2001	13783968	13784464	+	0	NA	promoter-TSS (ID=evm.model.Herato2001.549-E4;Parent=evm.model.Herato2001.549)	-promoter-TSS (ID=evm.model.Herato2001.549-E4;Parent=evm.model.Herato2001.549)	-503	ID=evm.model.Herato2001.549-E4;Parent=evm.model.Herato2001.549								
3627	Herato1708	2320387	2320710	+	0	NA	promoter-TSS (ID=evm.model.Herato1708.135-E6;Parent=evm.model.Herato1708.135)	-promoter-TSS (ID=evm.model.Herato1708.135-E6;Parent=evm.model.Herato1708.135)	7	ID=evm.model.Herato1708.135.1-E6;Parent=evm.model.Herato1708.135.1								
39	Herato0508	1821425	1821594	+	0	NA	Intergenic	Intergenic	-10774	ID=evm.model.Herato0508.67.2-E2;Parent=evm.model.Herato0508.67.2								
558	Herato0701	438824	438964	+	0	NA	Intergenic	Intergenic	2250	ID=evm.model.Herato0701.14.5-E1;Parent=evm.model.Herato0701.14.5								
3200	Herato2001	5168191	5168351	+	0	NA	Intergenic	Intergenic	4412	ID=evm.model.Herato2001.174.2-E1;Parent=evm.model.Herato2001.174.2								
5443	Herato0501	30250	30793	+	0	NA	Intergenic	Intergenic	-3082	ID=evm.model.Herato0501.5-E1;Parent=evm.model.Herato0501.5								
5503	Herato0301	3390249	3390825	+	0	NA	Intergenic	Intergenic	4637	ID=evm.model.Herato0301.89-E3;Parent=evm.model.Herato0301.89								
5536	Herato2101	1149564	1149934	+	0	NA	Intergenic	Intergenic	-2518	ID=evm.model.Herato2101.44-E3;Parent=evm.model.Herato2101.44								
573	Herato0701	784464	784777	+	0	NA	promoter-TSS (ID=evm.model.Herato0701.29-E1;Parent=evm.model.Herato0701.29)	-promoter-TSS (ID=evm.model.Herato0701.29-E1;Parent=evm.model.Herato0701.29)	-894	ID=evm.model.Herato0701.29-E1;Parent=evm.model.Herato0701.29								
2710	Herato1108	9296080	9296662	+	0	NA	TTS (ID=evm.model.Herato1108.400-E3;Parent=evm.model.Herato1108.400)	-TTS (ID=evm.model.Herato1108.400-E3;Parent=evm.model.Herato1108.400)	610	ID=evm.model.Herato1108.400.1-E3;Parent=evm.model.Herato1108.400.1								
1084	Herato0701	17448699	17449180	+	0	NA	promoter-TSS (ID=evm.model.Herato0701.734.3-E1;Parent=evm.model.Herato0701.734.3)	-promoter-TSS (ID=evm.model.Herato0701.734.3-E1;Parent=evm.model.Herato0701.734.3)	-22	ID=evm.model.Herato0701.734.3-E1;Parent=evm.model.Herato0701.734.3								
4570	Herato0503	3923946	3924530	+	0	NA	Intergenic	Intergenic	-4611	ID=evm.model.Herato0503.128.3-E2;Parent=evm.model.Herato0503.128.3								
5324	Herato2001	19418003	19418823	+	0	NA	Intergenic	Intergenic	-9239	ID=evm.model.Herato2001.747-E1;Parent=evm.model.Herato2001.747								
3446	Herato1701	9042636	9043051	+	0	NA	promoter-TSS (ID=evm.model.Herato1701.282-E1;Parent=evm.model.Herato1701.282)	-promoter-TSS (ID=evm.model.Herato1701.282-E1;Parent=evm.model.Herato1701.282)	-533	ID=evm.model.Herato1701.282-E1;Parent=evm.model.Herato1701.282								
638	Herato0701	3628881	3629832	+	0	NA	TTS (ID=evm.model.Herato0701.174-E1;Parent=evm.model.Herato0701.174)	-TTS (ID=evm.model.Herato0701.174-E1;Parent=evm.model.Herato0701.174)	742	ID=evm.model.Herato0701.174-E2;Parent=evm.model.Herato0701.174								
2350	Herato1411	464039	464540	+	0	NA	Intergenic	Intergenic	-1597	ID=evm.model.Herato1411.7.3-E2;Parent=evm.model.Herato1411.7.3								
2479	Herato1901	2944872	2945401	+	0	NA	Intergenic	Intergenic	2578	ID=evm.model.Herato1901.95-E3;Parent=evm.model.Herato1901.95								
1	Herato1301	9846061	9846277	+	0	NA	Intergenic	Intergenic	-3753	ID=evm.model.Herato1301.390-E1;Parent=evm.model.Herato1301.390								
3218	Herato1202	12920302	12920569	+	0	NA	Intergenic	Intergenic	32039	ID=evm.model.Herato1202.478_evm.model.Herato1202.479-E10;Parent=evm.model.Herato1202.478_evm.model.Herato1202.479								
506	Herato0606	10958380	10958535	+	0	NA	Intergenic	Intergenic	-1152	ID=evm.model.Herato0606.367.3-E2;Parent=evm.model.Herato0606.367.3								
5554	Herato0503	5233669	5233978	+	0	NA	promoter-TSS (ID=evm.model.Herato0503.170-E5;Parent=evm.model.Herato0503.170)	-promoter-TSS (ID=evm.model.Herato0503.170-E5;Parent=evm.model.Herato0503.170)	169	ID=evm.model.Herato0503.170-E4;Parent=evm.model.Herato0503.170								
4184	Herato1411	1488497	1488826	+	0	NA	Intergenic	Intergenic	-1742	ID=evm.model.Herato1411.42-E1;Parent=evm.model.Herato1411.42								
2937	Herato1202	2460253	2460608	+	0	NA	Intergenic	Intergenic	-6845	ID=evm.model.Herato1202.85-E1;Parent=evm.model.Herato1202.85								
661	Herato0701	4541961	4542164	+	0	NA	Intergenic	Intergenic	27417	ID=evm.model.Herato0701.218-E6;Parent=evm.model.Herato0701.218								
