PeakID (cmd=annotatePeaks.pl development_D2_p05FC1_shared_D2up_eratoCoords.bed /home/rpapa/sbelleghem/share/REF/H_erato_dem/Herato_final.fasta -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_erato_demophoon_v1.gff3 -annStats development_D2_p05FC1_shared_D2up_eratoCoords_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
861	Herato0301	4106936	4107466	+	0	NA	promoter-TSS (ID=evm.model.Herato0301.103.2-E1;Parent=evm.model.Herato0301.103.2)	-promoter-TSS (ID=evm.model.Herato0301.103.2-E1;Parent=evm.model.Herato0301.103.2)	131	ID=evm.model.Herato0301.103.1-E1;Parent=evm.model.Herato0301.103.1								
382	Herato1202	17803518	17803979	+	0	NA	Intergenic	Intergenic	-3881	ID=evm.model.Herato1202.729-E2;Parent=evm.model.Herato1202.729								
337	Herato1202	2942349	2943248	+	0	NA	Intergenic	Intergenic	-2734	ID=evm.model.Herato1202.98-E2;Parent=evm.model.Herato1202.98								
101	Herato0701	9730301	9730565	+	0	NA	Intergenic	Intergenic	11692	ID=evm.model.Herato0701.400-E10;Parent=evm.model.Herato0701.400								
340	Herato1202	3232799	3232995	+	0	NA	Intergenic	Intergenic	12146	ID=evm.model.Herato1202.113.1-E4;Parent=evm.model.Herato1202.113.1								
76	Herato0701	5795722	5796266	+	0	NA	promoter-TSS (ID=evm.model.Herato0701.268-E5;Parent=evm.model.Herato0701.268)	-promoter-TSS (ID=evm.model.Herato0701.268-E5;Parent=evm.model.Herato0701.268)	-180	ID=evm.model.Herato0701.268-E5;Parent=evm.model.Herato0701.268								
311	Herato1108	7894386	7894753	+	0	NA	Intergenic	Intergenic	-1775	ID=evm.model.Herato1108.344.1.2-E1;Parent=evm.model.Herato1108.344.1.2								
62	Herato0701	1764331	1764850	+	0	NA	promoter-TSS (ID=evm.model.Herato0701.96-E1;Parent=evm.model.Herato0701.96)	-promoter-TSS (ID=evm.model.Herato0701.96-E1;Parent=evm.model.Herato0701.96)	-251	ID=evm.model.Herato0701.96-E1;Parent=evm.model.Herato0701.96								
833	Herato2001	12691876	12692177	+	0	NA	Intergenic	Intergenic	7070	ID=evm.model.Herato2001.483.6-E1;Parent=evm.model.Herato2001.483.6								
571	Herato1605	108645	110273	+	0	NA	promoter-TSS (ID=evm.model.Herato1605.6-E2;Parent=evm.model.Herato1605.6)	-promoter-TSS (ID=evm.model.Herato1605.6-E2;Parent=evm.model.Herato1605.6)	-21	ID=evm.model.Herato1605.6-E2;Parent=evm.model.Herato1605.6								
139	Herato0101	12324497	12325120	+	0	NA	promoter-TSS (ID=evm.model.Herato0101.401_evm.model.Herato0101.403-E3;Parent=evm.model.Herato0101.401_evm.model.Herato0101.403)	-promoter-TSS (ID=evm.model.Herato0101.401_evm.model.Herato0101.403-E3;Parent=evm.model.Herato0101.401_evm.model.Herato0101.403)	-464	ID=evm.model.Herato0101.401_evm.model.Herato0101.403-E3;Parent=evm.model.Herato0101.401_evm.model.Herato0101.403								
825	Herato2001	11299536	11299715	+	0	NA	promoter-TSS (ID=evm.model.Herato2001.431-E5;Parent=evm.model.Herato2001.431)	-promoter-TSS (ID=evm.model.Herato2001.431-E5;Parent=evm.model.Herato2001.431)	-525	ID=evm.model.Herato2001.431.1-E3;Parent=evm.model.Herato2001.431.1								
389	Herato1301	1208781	1209428	+	0	NA	Intergenic	Intergenic	-4949	ID=evm.model.Herato1301.35.2-E3;Parent=evm.model.Herato1301.35.2								
129	Herato0701	17974276	17974945	+	0	NA	Intergenic	Intergenic	-4381	ID=evm.model.Herato0701.743-E3;Parent=evm.model.Herato0701.743								
917	Herato0411	1378279	1378644	+	0	NA	Intergenic	Intergenic	-10321	ID=evm.model.Herato0411.29-E4;Parent=evm.model.Herato0411.29								
926	Herato0411	5188712	5189212	+	0	NA	Intergenic	Intergenic	-5214	ID=evm.model.Herato0411.118-E1;Parent=evm.model.Herato0411.118								
548	Herato1601	5378683	5380053	+	0	NA	Intergenic	Intergenic	-60404	ID=evm.model.Herato1601.115-E1;Parent=evm.model.Herato1601.115								
495	Herato1411	4743811	4744723	+	0	NA	Intergenic	Intergenic	16087	ID=evm.model.Herato1411.182-E1;Parent=evm.model.Herato1411.182								
859	Herato0301	3388673	3388907	+	0	NA	Intergenic	Intergenic	6384	ID=evm.model.Herato0301.89-E3;Parent=evm.model.Herato0301.89								
739	Herato1904	1661762	1662006	+	0	NA	promoter-TSS (ID=evm.model.Herato1904.60-E3;Parent=evm.model.Herato1904.60)	-promoter-TSS (ID=evm.model.Herato1904.60-E3;Parent=evm.model.Herato1904.60)	-750	ID=evm.model.Herato1904.60-E3;Parent=evm.model.Herato1904.60								
876	Herato0310	1756191	1756881	+	0	NA	Intergenic	Intergenic	18006	ID=evm.model.Herato0310.41_evm.model.Herato0310.42-E2;Parent=evm.model.Herato0310.41_evm.model.Herato0310.42								
966	Herato0503	7384546	7384981	+	0	NA	promoter-TSS (ID=evm.model.Herato0503.263-E2;Parent=evm.model.Herato0503.263)	-promoter-TSS (ID=evm.model.Herato0503.263-E2;Parent=evm.model.Herato0503.263)	-54	ID=evm.model.Herato0503.263-E2;Parent=evm.model.Herato0503.263								
662	Herato0101	3047002	3047417	+	0	NA	Intergenic	Intergenic	4545	ID=evm.model.Herato0101.101-E1;Parent=evm.model.Herato0101.101								
418	Herato1301	12419051	12419950	+	0	NA	promoter-TSS (ID=evm.model.Herato1301.486-E1;Parent=evm.model.Herato1301.486)	-promoter-TSS (ID=evm.model.Herato1301.486-E1;Parent=evm.model.Herato1301.486)	-275	ID=evm.model.Herato1301.486-E1;Parent=evm.model.Herato1301.486								
933	Herato0503	349858	350080	+	0	NA	Intergenic	Intergenic	-2876	ID=evm.model.Herato0503.9-E1;Parent=evm.model.Herato0503.9								
783	Herato1908	2604461	2604613	+	0	NA	Intergenic	Intergenic	3142	ID=evm.model.Herato1908.102-E1;Parent=evm.model.Herato1908.102								
758	Herato1904	7439821	7440294	+	0	NA	Intergenic	Intergenic	-62601	ID=evm.model.Herato1904.264-E1;Parent=evm.model.Herato1904.264								
236	Herato1003	2208086	2208814	+	0	NA	TTS (ID=evm.model.Herato1003.68-E4;Parent=evm.model.Herato1003.68)	-TTS (ID=evm.model.Herato1003.68-E4;Parent=evm.model.Herato1003.68)	575	ID=evm.model.Herato1003.68-E4;Parent=evm.model.Herato1003.68								
706	Herato1807	3278197	3278478	+	0	NA	Intergenic	Intergenic	16575	ID=evm.model.Herato1807.63-E5;Parent=evm.model.Herato1807.63								
218	Herato0904	120263	121175	+	0	NA	Intergenic	Intergenic	-8566	ID=evm.model.Herato0904.15-E3;Parent=evm.model.Herato0904.15								
168	Herato0101	13475569	13475752	+	0	NA	promoter-TSS (ID=evm.model.Herato0101.469-E1;Parent=evm.model.Herato0101.469)	-promoter-TSS (ID=evm.model.Herato0101.469-E1;Parent=evm.model.Herato0101.469)	-454	ID=evm.model.Herato0101.469-E1;Parent=evm.model.Herato0101.469								
135	Herato0801	1407704	1407987	+	0	NA	Intergenic	Intergenic	6839	ID=evm.model.Herato0801.22-E4;Parent=evm.model.Herato0801.22								
14	Herato0606	625302	625483	+	0	NA	Intergenic	Intergenic	-9861	ID=evm.model.Herato0606.19-E1;Parent=evm.model.Herato0606.19								
348	Herato1202	6891311	6891475	+	0	NA	Intergenic	Intergenic	-18731	ID=evm.model.Herato1202.273-E1;Parent=evm.model.Herato1202.273								
145	Herato0801	5816299	5817223	+	0	NA	Intergenic	Intergenic	1117	ID=evm.model.Herato0801.157-E3;Parent=evm.model.Herato0801.157								
789	Herato0215	2268332	2268519	+	0	NA	Intergenic	Intergenic	-8897	ID=evm.model.Herato0215.81-E1;Parent=evm.model.Herato0215.81								
49	Herato0606	7348678	7349536	+	0	NA	promoter-TSS (ID=evm.model.Herato0606.252-E7;Parent=evm.model.Herato0606.252)	-promoter-TSS (ID=evm.model.Herato0606.252-E7;Parent=evm.model.Herato0606.252)	96	ID=evm.model.Herato0606.252.1-E7;Parent=evm.model.Herato0606.252.1								
834	Herato2001	13122590	13123140	+	0	NA	Intergenic	Intergenic	-9750	ID=evm.model.Herato2001.529.2-E1;Parent=evm.model.Herato2001.529.2								
178	Herato0901	1644156	1644568	+	0	NA	Intergenic	Intergenic	-5896	ID=evm.model.Herato0901.59-E2;Parent=evm.model.Herato0901.59								
285	Herato1007	1911405	1911646	+	0	NA	Intergenic	Intergenic	-2706	ID=evm.model.Herato1007.83-E1;Parent=evm.model.Herato1007.83								
772	Herato1908	291485	292260	+	0	NA	Intergenic	Intergenic	8097	ID=evm.model.Herato1908.15.1-E1;Parent=evm.model.Herato1908.15.1								
124	Herato0101	11821727	11822241	+	0	NA	Intergenic	Intergenic	2084	ID=evm.model.Herato0101.368-E2;Parent=evm.model.Herato0101.368								
627	Herato1703	1087515	1088607	+	0	NA	Intergenic	Intergenic	-10797	ID=evm.model.Herato1703.48-E1;Parent=evm.model.Herato1703.48								
234	Herato1003	973996	974331	+	0	NA	Intergenic	Intergenic	-4894	ID=evm.model.Herato1003.24-E1;Parent=evm.model.Herato1003.24								
594	Herato1701	4146085	4146229	+	0	NA	Intergenic	Intergenic	-1951	ID=evm.model.Herato1701.95.3-E1;Parent=evm.model.Herato1701.95.3								
715	Herato1807	4251422	4251749	+	0	NA	Intergenic	Intergenic	1713	ID=evm.model.Herato1807.90-E1;Parent=evm.model.Herato1807.90								
23	Herato0101	9001716	9002371	+	0	NA	promoter-TSS (ID=evm.model.Herato0101.269-E6;Parent=evm.model.Herato0101.269)	-promoter-TSS (ID=evm.model.Herato0101.269-E6;Parent=evm.model.Herato0101.269)	-166	ID=evm.model.Herato0101.269.1-E5;Parent=evm.model.Herato0101.269.1								
388	Herato1202	20226442	20227096	+	0	NA	Intergenic	Intergenic	4354	ID=evm.model.Herato1202.819.2-E12;Parent=evm.model.Herato1202.819.2								
364	Herato1202	14576659	14577206	+	0	NA	promoter-TSS (ID=evm.model.Herato1202.563-E6;Parent=evm.model.Herato1202.563)	-promoter-TSS (ID=evm.model.Herato1202.563-E6;Parent=evm.model.Herato1202.563)	152	ID=evm.model.Herato1202.563-E5;Parent=evm.model.Herato1202.563								
96	Herato0701	8923023	8923640	+	0	NA	Intergenic	Intergenic	111828	ID=evm.model.Herato0701.375-E9;Parent=evm.model.Herato0701.375								
653	Herato1805	863362	864037	+	0	NA	Intergenic	Intergenic	-3886	ID=evm.model.Herato1805.54-E1;Parent=evm.model.Herato1805.54								
950	Herato0503	4352088	4353312	+	0	NA	Intergenic	Intergenic	47065	ID=evm.model.Herato0503.130-E12;Parent=evm.model.Herato0503.130								
486	Herato1411	842543	842703	+	0	NA	promoter-TSS (ID=evm.model.Herato1411.23-E3;Parent=evm.model.Herato1411.23)	-promoter-TSS (ID=evm.model.Herato1411.23-E3;Parent=evm.model.Herato1411.23)	105	ID=evm.model.Herato1411.23-E2;Parent=evm.model.Herato1411.23								
509	Herato1505	2088269	2088845	+	0	NA	promoter-TSS (ID=evm.model.Herato1505.85-E1;Parent=evm.model.Herato1505.85)	-promoter-TSS (ID=evm.model.Herato1505.85-E1;Parent=evm.model.Herato1505.85)	-716	ID=evm.model.Herato1505.85-E1;Parent=evm.model.Herato1505.85								
160	Herato0821	391119	391448	+	0	NA	Intergenic	Intergenic	1820	ID=evm.model.Herato0821.22-E1;Parent=evm.model.Herato0821.22								
569	Herato1605	56878	57565	+	0	NA	promoter-TSS (ID=evm.model.Herato1605.3-E1;Parent=evm.model.Herato1605.3)	-promoter-TSS (ID=evm.model.Herato1605.3-E1;Parent=evm.model.Herato1605.3)	-104	ID=evm.model.Herato1605.3-E1;Parent=evm.model.Herato1605.3								
367	Herato1202	14693259	14693545	+	0	NA	Intergenic	Intergenic	-7613	ID=evm.model.Herato1202.567.2.3-E1;Parent=evm.model.Herato1202.567.2.3								
8	Herato0601	1070127	1070465	+	0	NA	Intergenic	Intergenic	-48795	ID=evm.model.Herato0601.11-E1;Parent=evm.model.Herato0601.11								
716	Herato1807	4255365	4255819	+	0	NA	Intergenic	Intergenic	-2294	ID=evm.model.Herato1807.90.2-E1;Parent=evm.model.Herato1807.90.2								
98	Herato0701	8969005	8969281	+	0	NA	Intergenic	Intergenic	66016	ID=evm.model.Herato0701.375-E9;Parent=evm.model.Herato0701.375								
940	Herato0503	1007788	1008768	+	0	NA	promoter-TSS (ID=evm.model.Herato0503.28-E1;Parent=evm.model.Herato0503.28)	-promoter-TSS (ID=evm.model.Herato0503.28-E1;Parent=evm.model.Herato0503.28)	1	ID=evm.model.Herato0503.28-E1;Parent=evm.model.Herato0503.28								
43	Herato0606	5887700	5888094	+	0	NA	TTS (ID=evm.model.Herato0606.202.1-E1;Parent=evm.model.Herato0606.202.1)	-TTS (ID=evm.model.Herato0606.202.1-E1;Parent=evm.model.Herato0606.202.1)	1314	ID=evm.model.Herato0606.202.3-E1;Parent=evm.model.Herato0606.202.3								
686	Herato1805	5951195	5951662	+	0	NA	Intergenic	Intergenic	1118	ID=evm.model.Herato1805.159-E1;Parent=evm.model.Herato1805.159								
485	Herato1411	800889	801493	+	0	NA	Intergenic	Intergenic	-5097	ID=evm.model.Herato1411.21-E1;Parent=evm.model.Herato1411.21								
391	Herato1301	1628079	1629344	+	0	NA	Intergenic	Intergenic	-15202	ID=evm.model.Herato1301.38-E1;Parent=evm.model.Herato1301.38								
778	Herato1908	1399188	1399659	+	0	NA	promoter-TSS (ID=evm.model.Herato1908.44-E5;Parent=evm.model.Herato1908.44)	-promoter-TSS (ID=evm.model.Herato1908.44-E5;Parent=evm.model.Herato1908.44)	-942	ID=evm.model.Herato1908.44-E5;Parent=evm.model.Herato1908.44								
743	Herato1904	3384822	3385533	+	0	NA	Intergenic	Intergenic	-23535	ID=evm.model.Herato1904.118-E1;Parent=evm.model.Herato1904.118								
685	Herato1805	5800176	5800371	+	0	NA	Intergenic	Intergenic	82879	ID=evm.model.Herato1805.157-E2;Parent=evm.model.Herato1805.157								
21	Herato0606	2457191	2458148	+	0	NA	Intergenic	Intergenic	23455	ID=evm.model.Herato0606.77-E1;Parent=evm.model.Herato0606.77								
523	Herato1507	7569860	7570177	+	0	NA	Intergenic	Intergenic	-2070	ID=evm.model.Herato1507.265-E4;Parent=evm.model.Herato1507.265								
720	Herato1901	2805329	2806015	+	0	NA	Intergenic	Intergenic	9525	ID=evm.model.Herato1901.88-E4;Parent=evm.model.Herato1901.88								
943	Herato0503	2983760	2984539	+	0	NA	TTS (ID=evm.model.Herato0503.114-E1;Parent=evm.model.Herato0503.114)	-TTS (ID=evm.model.Herato0503.114-E1;Parent=evm.model.Herato0503.114)	643	ID=evm.model.Herato0503.114-E1;Parent=evm.model.Herato0503.114								
288	Herato1007	2372538	2372920	+	0	NA	Intergenic	Intergenic	20890	ID=novel_model_133-E1;Parent=novel_model_133								
193	Herato0901	5282148	5282589	+	0	NA	Intergenic	Intergenic	23995	ID=evm.model.Herato0901.145-E5;Parent=evm.model.Herato0901.145								
460	Herato1301	22051490	22052506	+	0	NA	Intergenic	Intergenic	-3105	ID=evm.model.Herato1301.745-E3;Parent=evm.model.Herato1301.745								
119	Herato0701	15594421	15594902	+	0	NA	promoter-TSS (ID=evm.model.Herato0701.679-E4;Parent=evm.model.Herato0701.679)	-promoter-TSS (ID=evm.model.Herato0701.679-E4;Parent=evm.model.Herato0701.679)	-303	ID=evm.model.Herato0701.679-E4;Parent=evm.model.Herato0701.679								
723	Herato1901	2857968	2858662	+	0	NA	exon (ID=evm.model.Herato1901.90-E1;Parent=evm.model.Herato1901.90, exon 1 of 1)	-exon (ID=evm.model.Herato1901.90-E1;Parent=evm.model.Herato1901.90, exon 1 of 1)	141	ID=evm.model.Herato1901.90-E1;Parent=evm.model.Herato1901.90								
586	Herato1605	3984819	3986604	+	0	NA	Intergenic	Intergenic	-1494	ID=evm.model.Herato1605.120-E6;Parent=evm.model.Herato1605.120								
