PeakID (cmd=annotatePeaks.pl development_D1_p05FC1_shared_D1up_eratoCoords.bed /home/rpapa/sbelleghem/share/REF/H_erato_dem/Herato_final.fasta -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_erato_demophoon_v1.gff3 -annStats development_D1_p05FC1_shared_D1up_eratoCoords_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
580	Herato0101	3052174	3052865	+	0	NA	promoter-TSS (ID=evm.model.Herato0101.101-E1;Parent=evm.model.Herato0101.101)	-promoter-TSS (ID=evm.model.Herato0101.101-E1;Parent=evm.model.Herato0101.101)	-765	ID=evm.model.Herato0101.101-E1;Parent=evm.model.Herato0101.101								
798	Herato2101	11828509	11828963	+	0	NA	Intergenic	Intergenic	4200	ID=evm.model.Herato2101.394-E2;Parent=evm.model.Herato2101.394								
805	Herato0301	3689167	3689568	+	0	NA	Intergenic	Intergenic	2744	ID=evm.model.Herato0301.97.1-E1;Parent=evm.model.Herato0301.97.1								
84	Herato0701	10225318	10225736	+	0	NA	promoter-TSS (ID=evm.model.Herato0701.419-E5;Parent=evm.model.Herato0701.419)	-promoter-TSS (ID=evm.model.Herato0701.419-E5;Parent=evm.model.Herato0701.419)	-121	ID=evm.model.Herato0701.419-E5;Parent=evm.model.Herato0701.419								
512	Herato1701	5470029	5470509	+	0	NA	TTS (ID=evm.model.Herato1701.147-E1;Parent=evm.model.Herato1701.147)	-TTS (ID=evm.model.Herato1701.147-E1;Parent=evm.model.Herato1701.147)	1298	ID=evm.model.Herato1701.147-E1;Parent=evm.model.Herato1701.147								
437	Herato1505	1832311	1833321	+	0	NA	exon (ID=evm.model.Herato1505.63-E2;Parent=evm.model.Herato1505.63, exon 1 of 1)	-exon (ID=evm.model.Herato1505.63-E2;Parent=evm.model.Herato1505.63, exon 1 of 1)	381	ID=evm.model.Herato1505.63-E2;Parent=evm.model.Herato1505.63								
463	Herato1507	7052225	7054121	+	0	NA	Intergenic	Intergenic	38014	ID=evm.model.Herato1507.248-E2;Parent=evm.model.Herato1507.248								
194	Herato1005	2613426	2614581	+	0	NA	Intergenic	Intergenic	-6674	ID=evm.model.Herato1005.129-E3;Parent=evm.model.Herato1005.129								
517	Herato1701	5494468	5494891	+	0	NA	Intergenic	Intergenic	-23112	ID=evm.model.Herato1701.147-E1;Parent=evm.model.Herato1701.147								
458	Herato1507	5196458	5197647	+	0	NA	Intergenic	Intergenic	7621	ID=evm.model.Herato1507.177-E2;Parent=evm.model.Herato1507.177								
451	Herato1505	3166163	3166882	+	0	NA	Intergenic	Intergenic	1946	ID=evm.model.Herato1505.137-E4;Parent=evm.model.Herato1505.137								
220	Herato1007	3397758	3398559	+	0	NA	Intergenic	Intergenic	5123	ID=evm.model.Herato1007.127-E1;Parent=evm.model.Herato1007.127								
454	Herato1507	3526956	3529377	+	0	NA	exon (ID=evm.model.Herato1507.130-E4;Parent=evm.model.Herato1507.130, exon 1 of 1)	-exon (ID=evm.model.Herato1507.130-E4;Parent=evm.model.Herato1507.130, exon 1 of 1)	2102	ID=evm.model.Herato1507.130-E4;Parent=evm.model.Herato1507.130								
846	Herato0411	1212056	1212506	+	0	NA	Intergenic	Intergenic	-3382	ID=evm.model.Herato0411.25-E2;Parent=evm.model.Herato0411.25								
722	Herato2001	6540317	6540668	+	0	NA	Intergenic	Intergenic	17496	ID=evm.model.Herato2001.239-E3;Parent=evm.model.Herato2001.239								
634	Herato0214	854536	855076	+	0	NA	promoter-TSS (ID=evm.model.Herato0214.47-E3;Parent=evm.model.Herato0214.47)	-promoter-TSS (ID=evm.model.Herato0214.47-E3;Parent=evm.model.Herato0214.47)	-930	ID=evm.model.Herato0214.47-E3;Parent=evm.model.Herato0214.47								
31	Herato0606	8297180	8297512	+	0	NA	Intergenic	Intergenic	-1254	ID=evm.model.Herato0606.267.1-E1;Parent=evm.model.Herato0606.267.1								
578	Herato1805	2125118	2126770	+	0	NA	TTS (ID=evm.model.Herato1805.82-E7;Parent=evm.model.Herato1805.82)	-TTS (ID=evm.model.Herato1805.82-E7;Parent=evm.model.Herato1805.82)	433	ID=evm.model.Herato1805.82-E7;Parent=evm.model.Herato1805.82								
695	Herato0215	1722556	1723827	+	0	NA	Intergenic	Intergenic	-21015	ID=evm.model.Herato0215.59-E1;Parent=evm.model.Herato0215.59								
728	Herato2001	7381928	7382220	+	0	NA	Intergenic	Intergenic	-3416	ID=evm.model.Herato2001.291.2-E1;Parent=evm.model.Herato2001.291.2								
742	Herato2001	10529386	10529712	+	0	NA	Intergenic	Intergenic	8623	ID=evm.model.Herato2001.414-E9;Parent=evm.model.Herato2001.414								
378	Herato1301	14022368	14023460	+	0	NA	Intergenic	Intergenic	157923	ID=evm.model.Herato1301.535-E11;Parent=evm.model.Herato1301.535								
325	Herato1202	13180365	13180829	+	0	NA	Intergenic	Intergenic	-3163	ID=evm.model.Herato1202.496-E1;Parent=evm.model.Herato1202.496								
29	Herato0101	9403949	9404486	+	0	NA	Intergenic	Intergenic	4202	ID=evm.model.Herato0101.284-E3;Parent=evm.model.Herato0101.284								
572	Herato1805	953378	954194	+	0	NA	Intergenic	Intergenic	23525	ID=evm.model.Herato1805.55-E5;Parent=evm.model.Herato1805.55								
350	Herato1301	1058113	1058623	+	0	NA	Intergenic	Intergenic	-26680	ID=evm.model.Herato1301.33-E2;Parent=evm.model.Herato1301.33								
675	Herato1904	6711579	6711772	+	0	NA	Intergenic	Intergenic	-2330	ID=evm.model.Herato1904.242-E1;Parent=evm.model.Herato1904.242								
540	Herato1701	10520976	10521993	+	0	NA	promoter-TSS (ID=evm.model.Herato1701.359-E10;Parent=evm.model.Herato1701.359)	-promoter-TSS (ID=evm.model.Herato1701.359-E10;Parent=evm.model.Herato1701.359)	-41	ID=evm.model.Herato1701.359-E10;Parent=evm.model.Herato1701.359								
226	Herato1108	2788457	2788612	+	0	NA	Intergenic	Intergenic	-8782	ID=evm.model.Herato1108.81-E1;Parent=evm.model.Herato1108.81								
58	Herato0701	4715232	4715417	+	0	NA	Intergenic	Intergenic	-8924	ID=evm.model.Herato0701.221_evm.model.Herato0701.222-E1;Parent=evm.model.Herato0701.221_evm.model.Herato0701.222								
684	Herato1906	880249	880658	+	0	NA	Intergenic	Intergenic	3298	ID=evm.model.Herato1906.27-E2;Parent=evm.model.Herato1906.27								
211	Herato1007	2460428	2460938	+	0	NA	Intergenic	Intergenic	108844	ID=novel_model_133-E1;Parent=novel_model_133								
153	Herato1001	2418842	2419985	+	0	NA	Intergenic	Intergenic	1642	ID=evm.model.Herato1001.88.2-E4;Parent=evm.model.Herato1001.88.2								
15	Herato0606	2887952	2888495	+	0	NA	Intergenic	Intergenic	-11027	ID=evm.model.Herato0606.89-E4;Parent=evm.model.Herato0606.89								
527	Herato1701	6890740	6891346	+	0	NA	Intergenic	Intergenic	-13205	ID=evm.model.Herato1701.201-E1;Parent=evm.model.Herato1701.201								
431	Herato1411	2388784	2389893	+	0	NA	promoter-TSS (ID=evm.model.Herato1411.79-E9;Parent=evm.model.Herato1411.79)	-promoter-TSS (ID=evm.model.Herato1411.79-E9;Parent=evm.model.Herato1411.79)	-35	ID=evm.model.Herato1411.79-E9;Parent=evm.model.Herato1411.79								
861	Herato0503	2978816	2979550	+	0	NA	Intergenic	Intergenic	2425	ID=evm.model.Herato0503.114-E3;Parent=evm.model.Herato0503.114								
382	Herato1301	14291458	14291997	+	0	NA	Intergenic	Intergenic	10672	ID=evm.model.Herato1301.536-E1;Parent=evm.model.Herato1301.536								
337	Herato1202	16826607	16829470	+	0	NA	promoter-TSS (ID=evm.model.Herato1202.679-E2;Parent=evm.model.Herato1202.679)	-promoter-TSS (ID=evm.model.Herato1202.679-E2;Parent=evm.model.Herato1202.679)	-25	ID=evm.model.Herato1202.679-E2;Parent=evm.model.Herato1202.679								
101	Herato0701	16267387	16268028	+	0	NA	Intergenic	Intergenic	74818	ID=evm.model.Herato0701.699-E5;Parent=evm.model.Herato0701.699								
340	Herato1202	16860288	16861876	+	0	NA	Intergenic	Intergenic	-3775	ID=evm.model.Herato1202.680.1-E1;Parent=evm.model.Herato1202.680.1								
76	Herato0701	8890968	8892019	+	0	NA	Intergenic	Intergenic	-139190	ID=evm.model.Herato0701.374.1-E1;Parent=evm.model.Herato0701.374.1								
311	Herato1202	9646872	9647205	+	0	NA	promoter-TSS (ID=evm.model.Herato1202.400-E2;Parent=evm.model.Herato1202.400)	-promoter-TSS (ID=evm.model.Herato1202.400-E2;Parent=evm.model.Herato1202.400)	-663	ID=evm.model.Herato1202.400-E2;Parent=evm.model.Herato1202.400								
62	Herato0701	7626895	7627541	+	0	NA	Intergenic	Intergenic	-2650	ID=evm.model.Herato0701.346-E3;Parent=evm.model.Herato0701.346								
833	Herato0401	1641423	1642209	+	0	NA	Intergenic	Intergenic	6843	ID=evm.model.Herato0401.41-E7;Parent=evm.model.Herato0401.41								
571	Herato1805	937791	938112	+	0	NA	Intergenic	Intergenic	39360	ID=evm.model.Herato1805.55-E5;Parent=evm.model.Herato1805.55								
139	Herato0901	2233671	2233959	+	0	NA	Intergenic	Intergenic	56106	ID=evm.model.Herato0901.75-E2;Parent=evm.model.Herato0901.75								
825	Herato0310	9339280	9340076	+	0	NA	Intergenic	Intergenic	1533	ID=evm.model.Herato0310.285.2-E1;Parent=evm.model.Herato0310.285.2								
389	Herato1301	14717548	14717825	+	0	NA	Intergenic	Intergenic	-4960	ID=evm.model.Herato1301.555-E1;Parent=evm.model.Herato1301.555								
129	Herato0101	13358278	13359550	+	0	NA	Intergenic	Intergenic	-2104	ID=novel_model_8-E1;Parent=novel_model_8								
548	Herato1708	753499	754187	+	0	NA	Intergenic	Intergenic	-2752	ID=evm.model.Herato1708.47-E3;Parent=evm.model.Herato1708.47								
495	Herato0211	130438	130575	+	0	NA	Intergenic	Intergenic	2396	ID=evm.model.Herato0211.1.2-E1;Parent=evm.model.Herato0211.1.2								
859	Herato0101	7175704	7176301	+	0	NA	Intergenic	Intergenic	1718	ID=evm.model.Herato0101.220-E1;Parent=evm.model.Herato0101.220								
739	Herato2001	9710630	9711003	+	0	NA	Intergenic	Intergenic	-41568	ID=evm.model.Herato2001.392-E1;Parent=evm.model.Herato2001.392								
876	Herato0503	8549227	8549536	+	0	NA	Intergenic	Intergenic	-28862	ID=evm.model.Herato0503.332-E1;Parent=evm.model.Herato0503.332								
662	Herato1904	4831106	4831425	+	0	NA	Intergenic	Intergenic	6688	ID=evm.model.Herato1904.167-E5;Parent=evm.model.Herato1904.167								
418	Herato1408	610267	611002	+	0	NA	Intergenic	Intergenic	-48271	ID=evm.model.Herato1408.26-E1;Parent=evm.model.Herato1408.26								
783	Herato2101	8947826	8948192	+	0	NA	Intergenic	Intergenic	-36002	ID=evm.model.Herato2101.308-E1;Parent=evm.model.Herato2101.308								
758	Herato2101	622934	623487	+	0	NA	Intergenic	Intergenic	3550	ID=evm.model.Herato2101.29.2-E16;Parent=evm.model.Herato2101.29.2								
236	Herato1108	4732737	4733012	+	0	NA	Intergenic	Intergenic	-22068	ID=evm.model.Herato1108.182.1-E1;Parent=evm.model.Herato1108.182.1								
706	Herato2001	2216609	2216765	+	0	NA	promoter-TSS (ID=evm.model.Herato2001.57-E17;Parent=evm.model.Herato2001.57)	-promoter-TSS (ID=evm.model.Herato2001.57-E17;Parent=evm.model.Herato2001.57)	46	ID=evm.model.Herato2001.57-E17;Parent=evm.model.Herato2001.57								
218	Herato0101	17078137	17078794	+	0	NA	Intergenic	Intergenic	-14319	ID=evm.model.Herato0101.660-E1;Parent=evm.model.Herato0101.660								
168	Herato1003	3586834	3587544	+	0	NA	Intergenic	Intergenic	-2529	ID=evm.model.Herato1003.108-E1;Parent=evm.model.Herato1003.108								
135	Herato0901	336343	336852	+	0	NA	Intergenic	Intergenic	5042	ID=evm.model.Herato0901.20-E2;Parent=evm.model.Herato0901.20								
14	Herato0606	1620100	1620497	+	0	NA	Intergenic	Intergenic	-13587	ID=evm.model.Herato0606.52-E1;Parent=evm.model.Herato0606.52								
348	Herato1202	20077931	20078358	+	0	NA	Intergenic	Intergenic	-2774	ID=evm.model.Herato1202.812.1-E1;Parent=evm.model.Herato1202.812.1								
145	Herato0101	14437446	14437866	+	0	NA	Intergenic	Intergenic	-52760	ID=evm.model.Herato0101.514-E1;Parent=evm.model.Herato0101.514								
789	Herato2101	10969263	10969638	+	0	NA	Intergenic	Intergenic	2557	ID=evm.model.Herato2101.382-E4;Parent=evm.model.Herato2101.382								
49	Herato0701	2779075	2780172	+	0	NA	promoter-TSS (ID=evm.model.Herato0701.154-E6;Parent=evm.model.Herato0701.154)	-promoter-TSS (ID=evm.model.Herato0701.154-E6;Parent=evm.model.Herato0701.154)	-212	ID=evm.model.Herato0701.154-E6;Parent=evm.model.Herato0701.154								
834	Herato0401	1642816	1643636	+	0	NA	Intergenic	Intergenic	8253	ID=evm.model.Herato0401.41-E7;Parent=evm.model.Herato0401.41								
178	Herato1003	6922533	6923016	+	0	NA	Intergenic	Intergenic	10637	ID=evm.model.Herato1003.246-E1;Parent=evm.model.Herato1003.246								
285	Herato1202	2109718	2110563	+	0	NA	promoter-TSS (ID=evm.model.Herato1202.72-E6;Parent=evm.model.Herato1202.72)	-promoter-TSS (ID=evm.model.Herato1202.72-E6;Parent=evm.model.Herato1202.72)	76	ID=evm.model.Herato1202.72-E6;Parent=evm.model.Herato1202.72								
772	Herato2101	6194635	6195679	+	0	NA	Intergenic	Intergenic	13760	ID=evm.model.Herato2101.214-E1;Parent=evm.model.Herato2101.214								
124	Herato0821	44835	45311	+	0	NA	Intergenic	Intergenic	6870	ID=evm.model.Herato0821.2-E1;Parent=evm.model.Herato0821.2								
627	Herato1807	2529025	2529275	+	0	NA	Intergenic	Intergenic	5264	ID=evm.model.Herato1807.48.1.1-E1;Parent=evm.model.Herato1807.48.1.1								
234	Herato1108	4629153	4629691	+	0	NA	Intergenic	Intergenic	-8043	ID=evm.model.Herato1108.179-E2;Parent=evm.model.Herato1108.179								
594	Herato1805	3946431	3946660	+	0	NA	Intergenic	Intergenic	-41227	ID=evm.model.Herato1805.105-E1;Parent=evm.model.Herato1805.105								
715	Herato2001	5133228	5134093	+	0	NA	Intergenic	Intergenic	2421	ID=evm.model.Herato2001.173-E4;Parent=evm.model.Herato2001.173								
23	Herato0606	5448738	5449273	+	0	NA	promoter-TSS (ID=evm.model.Herato0606.182-E4;Parent=evm.model.Herato0606.182)	-promoter-TSS (ID=evm.model.Herato0606.182-E4;Parent=evm.model.Herato0606.182)	34	ID=evm.model.Herato0606.182.5-E4;Parent=evm.model.Herato0606.182.5								
388	Herato1301	14688057	14688436	+	0	NA	Intergenic	Intergenic	-3671	ID=evm.model.Herato1301.554-E2;Parent=evm.model.Herato1301.554								
364	Herato1301	5445088	5445378	+	0	NA	TTS (ID=evm.model.Herato1301.194-E1;Parent=evm.model.Herato1301.194)	-TTS (ID=evm.model.Herato1301.194-E1;Parent=evm.model.Herato1301.194)	634	ID=evm.model.Herato1301.194-E1;Parent=evm.model.Herato1301.194								
96	Herato0701	14528290	14528547	+	0	NA	Intergenic	Intergenic	21414	ID=evm.model.Herato0701.664.1-E2;Parent=evm.model.Herato0701.664.1								
653	Herato1904	2456295	2456794	+	0	NA	Intergenic	Intergenic	5376	ID=evm.model.Herato1904.87-E6;Parent=evm.model.Herato1904.87								
486	Herato1603	3899467	3900116	+	0	NA	Intergenic	Intergenic	16830	ID=evm.model.Herato1603.118.1-E2;Parent=evm.model.Herato1603.118.1								
509	Herato1701	4160789	4160992	+	0	NA	Intergenic	Intergenic	12782	ID=evm.model.Herato1701.95.3-E1;Parent=evm.model.Herato1701.95.3								
160	Herato0101	15431083	15432253	+	0	NA	Intergenic	Intergenic	-9490	ID=evm.model.Herato0101.567-E1;Parent=evm.model.Herato0101.567								
569	Herato1805	370802	371161	+	0	NA	promoter-TSS (ID=evm.model.Herato1805.21-E19;Parent=evm.model.Herato1805.21)	-promoter-TSS (ID=evm.model.Herato1805.21-E19;Parent=evm.model.Herato1805.21)	-335	ID=evm.model.Herato1805.21-E19;Parent=evm.model.Herato1805.21								
367	Herato1301	6339071	6339870	+	0	NA	Intergenic	Intergenic	-5386	ID=evm.model.Herato1301.221-E2;Parent=evm.model.Herato1301.221								
8	Herato0601	3094131	3094741	+	0	NA	Intergenic	Intergenic	-32742	ID=evm.model.Herato0601.74-E1;Parent=evm.model.Herato0601.74								
716	Herato2001	5135721	5136380	+	0	NA	Intergenic	Intergenic	4811	ID=evm.model.Herato2001.173-E4;Parent=evm.model.Herato2001.173								
98	Herato0701	16055122	16055400	+	0	NA	Intergenic	Intergenic	-59766	ID=evm.model.Herato0701.693-E1;Parent=evm.model.Herato0701.693								
43	Herato0701	1184406	1184766	+	0	NA	Intergenic	Intergenic	-4714	ID=evm.model.Herato0701.41-E4;Parent=evm.model.Herato0701.41								
686	Herato1906	1250294	1250742	+	0	NA	Intergenic	Intergenic	4698	ID=evm.model.Herato1906.33-E1;Parent=evm.model.Herato1906.33								
485	Herato1603	3677060	3677726	+	0	NA	Intergenic	Intergenic	2583	ID=evm.model.Herato1603.104-E1;Parent=evm.model.Herato1603.104								
391	Herato1301	17143702	17144593	+	0	NA	Intergenic	Intergenic	-4004	ID=evm.model.Herato1301.610-E2;Parent=evm.model.Herato1301.610								
778	Herato2101	8043267	8044560	+	0	NA	Intergenic	Intergenic	-4070	ID=evm.model.Herato2101.281-E3;Parent=evm.model.Herato2101.281								
743	Herato2001	10708879	10709230	+	0	NA	Intergenic	Intergenic	-19051	ID=evm.model.Herato2001.419-E1;Parent=evm.model.Herato2001.419								
685	Herato1906	1064738	1065631	+	0	NA	Intergenic	Intergenic	17217	ID=evm.model.Herato1906.29-E1;Parent=evm.model.Herato1906.29								
21	Herato0606	4971125	4971395	+	0	NA	promoter-TSS (ID=evm.model.Herato0606.150-E5;Parent=evm.model.Herato0606.150)	-promoter-TSS (ID=evm.model.Herato0606.150-E5;Parent=evm.model.Herato0606.150)	-404	ID=evm.model.Herato0606.150.1-E5;Parent=evm.model.Herato0606.150.1								
523	Herato1701	6194257	6194718	+	0	NA	Intergenic	Intergenic	3919	ID=evm.model.Herato1701.174-E1;Parent=evm.model.Herato1701.174								
720	Herato2001	6430280	6430582	+	0	NA	Intergenic	Intergenic	2788	ID=evm.model.Herato2001.235-E10;Parent=evm.model.Herato2001.235								
288	Herato1202	3108762	3109172	+	0	NA	Intergenic	Intergenic	1431	ID=evm.model.Herato1202.103-E6;Parent=evm.model.Herato1202.103								
193	Herato1005	2590536	2591430	+	0	NA	Intergenic	Intergenic	1972	ID=evm.model.Herato1005.129-E7;Parent=evm.model.Herato1005.129								
460	Herato1507	5363219	5365089	+	0	NA	promoter-TSS (ID=evm.model.Herato1507.186-E2;Parent=evm.model.Herato1507.186)	-promoter-TSS (ID=evm.model.Herato1507.186-E2;Parent=evm.model.Herato1507.186)	-813	ID=evm.model.Herato1507.186-E2;Parent=evm.model.Herato1507.186								
119	Herato0101	12729276	12730164	+	0	NA	Intergenic	Intergenic	-1010	ID=evm.model.Herato0101.431.1-E1;Parent=evm.model.Herato0101.431.1								
723	Herato2001	6591498	6591943	+	0	NA	Intergenic	Intergenic	-3164	ID=evm.model.Herato2001.240-E1;Parent=evm.model.Herato2001.240								
586	Herato1805	3377311	3378561	+	0	NA	Intergenic	Intergenic	43818	ID=evm.model.Herato1805.99-E1;Parent=evm.model.Herato1805.99								
453	Herato1507	3505199	3505543	+	0	NA	promoter-TSS (ID=evm.model.Herato1507.130-E1;Parent=evm.model.Herato1507.130)	-promoter-TSS (ID=evm.model.Herato1507.130-E1;Parent=evm.model.Herato1507.130)	-23	ID=evm.model.Herato1507.130-E1;Parent=evm.model.Herato1507.130								
324	Herato0101	20427670	20428577	+	0	NA	Intergenic	Intergenic	-28622	ID=evm.model.Herato0101.781-E1;Parent=evm.model.Herato0101.781								
180	Herato1005	135160	136409	+	0	NA	promoter-TSS (ID=evm.model.Herato1005.13-E6;Parent=evm.model.Herato1005.13)	-promoter-TSS (ID=evm.model.Herato1005.13-E6;Parent=evm.model.Herato1005.13)	-573	ID=evm.model.Herato1005.13-E6;Parent=evm.model.Herato1005.13								
244	Herato1108	8006524	8006754	+	0	NA	Intergenic	Intergenic	-3516	ID=evm.model.Herato1108.355-E1;Parent=evm.model.Herato1108.355								
637	Herato1807	4356419	4357822	+	0	NA	promoter-TSS (ID=evm.model.Herato1807.92-E1;Parent=evm.model.Herato1807.92)	-promoter-TSS (ID=evm.model.Herato1807.92-E1;Parent=evm.model.Herato1807.92)	1	ID=evm.model.Herato1807.92-E1;Parent=evm.model.Herato1807.92								
351	Herato1301	1165929	1166902	+	0	NA	promoter-TSS (ID=evm.model.Herato1301.34-E1;Parent=evm.model.Herato1301.34)	-promoter-TSS (ID=evm.model.Herato1301.34-E1;Parent=evm.model.Herato1301.34)	80	ID=evm.model.Herato1301.34-E1;Parent=evm.model.Herato1301.34								
410	Herato1301	21234393	21234577	+	0	NA	Intergenic	Intergenic	-4642	ID=evm.model.Herato1301.724-E1;Parent=evm.model.Herato1301.724								
595	Herato1805	4040859	4041178	+	0	NA	Intergenic	Intergenic	-31959	ID=evm.model.Herato1805.106.1-E1;Parent=evm.model.Herato1805.106.1								
246	Herato0101	18363879	18364712	+	0	NA	Intergenic	Intergenic	8383	ID=evm.model.Herato0101.727-E3;Parent=evm.model.Herato0101.727								
690	Herato1908	1676123	1676643	+	0	NA	Intergenic	Intergenic	-3748	ID=evm.model.Herato1908.54.18-E2;Parent=evm.model.Herato1908.54.18								
488	Herato1605	620615	621170	+	0	NA	Intergenic	Intergenic	-17614	ID=evm.model.Herato1605.30-E1;Parent=evm.model.Herato1605.30								
61	Herato0701	6863034	6863412	+	0	NA	Intergenic	Intergenic	10795	ID=evm.model.Herato0701.307-E4;Parent=evm.model.Herato0701.307								
752	Herato2001	12710195	12710805	+	0	NA	Intergenic	Intergenic	2401	ID=evm.model.Herato2001.483-E7;Parent=evm.model.Herato2001.483								
835	Herato0401	1647758	1648238	+	0	NA	Intergenic	Intergenic	13025	ID=evm.model.Herato0401.41-E7;Parent=evm.model.Herato0401.41								
430	Herato1411	2385737	2386110	+	0	NA	Intergenic	Intergenic	-2815	ID=evm.model.Herato1411.79.1-E8;Parent=evm.model.Herato1411.79.1								
447	Herato1505	2452959	2455205	+	0	NA	promoter-TSS (ID=evm.model.Herato1505.95-E5;Parent=evm.model.Herato1505.95)	-promoter-TSS (ID=evm.model.Herato1505.95-E5;Parent=evm.model.Herato1505.95)	-613	ID=evm.model.Herato1505.95-E5;Parent=evm.model.Herato1505.95								
536	Herato1701	9725936	9726553	+	0	NA	Intergenic	Intergenic	14670	ID=evm.model.Herato1701.332-E5;Parent=evm.model.Herato1701.332								
379	Herato1301	14078095	14078864	+	0	NA	Intergenic	Intergenic	-202576	ID=evm.model.Herato1301.536-E1;Parent=evm.model.Herato1301.536								
415	Herato0204	525081	526432	+	0	NA	Intergenic	Intergenic	-11205	ID=evm.model.Herato0204.27-E4;Parent=evm.model.Herato0204.27								
113	Herato0801	4169754	4170109	+	0	NA	Intergenic	Intergenic	-2180	ID=evm.model.Herato0801.87-E2;Parent=evm.model.Herato0801.87								
152	Herato0901	12189808	12190107	+	0	NA	Intergenic	Intergenic	-7387	ID=evm.model.Herato0901.372-E1;Parent=evm.model.Herato0901.372								
189	Herato1005	1262603	1263425	+	0	NA	promoter-TSS (ID=evm.model.Herato1005.76-E2;Parent=evm.model.Herato1005.76)	-promoter-TSS (ID=evm.model.Herato1005.76-E2;Parent=evm.model.Herato1005.76)	-370	ID=evm.model.Herato1005.76.1-E2;Parent=evm.model.Herato1005.76.1								
452	Herato1505	3545877	3546293	+	0	NA	Intergenic	Intergenic	-39565	ID=evm.model.Herato1505.156-E1;Parent=evm.model.Herato1505.156								
342	Herato1202	18752737	18753068	+	0	NA	Intergenic	Intergenic	15613	ID=evm.model.Herato1202.758-E1;Parent=evm.model.Herato1202.758								
862	Herato0503	3499791	3500234	+	0	NA	Intergenic	Intergenic	23086	ID=evm.model.Herato0503.117-E2;Parent=evm.model.Herato0503.117								
579	Herato1805	2131179	2131435	+	0	NA	Intergenic	Intergenic	3376	ID=evm.model.Herato1805.82-E9;Parent=evm.model.Herato1805.82								
295	Herato1202	3813548	3813983	+	0	NA	Intergenic	Intergenic	-1404	ID=evm.model.Herato1202.136.1-E1;Parent=evm.model.Herato1202.136.1								
480	Herato1603	2375681	2377061	+	0	NA	Intergenic	Intergenic	5599	ID=evm.model.Herato1603.65-E1;Parent=evm.model.Herato1603.65								
341	Herato0101	20895579	20896285	+	0	NA	Intergenic	Intergenic	13288	ID=evm.model.Herato0101.802-E4;Parent=evm.model.Herato0101.802								
