PeakID (cmd=annotatePeaks.pl development_D1_p05FC1_shared_D1down_eratoCoords.bed /home/rpapa/sbelleghem/share/REF/H_erato_dem/Herato_final.fasta -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_erato_demophoon_v1.gff3 -annStats development_D1_p05FC1_shared_D1down_eratoCoords_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
594	Herato1301	13316959	13318230	+	0	NA	promoter-TSS (ID=evm.model.Herato1301.507-E1;Parent=evm.model.Herato1301.507)	-promoter-TSS (ID=evm.model.Herato1301.507-E1;Parent=evm.model.Herato1301.507)	-48	ID=evm.model.Herato1301.507-E1;Parent=evm.model.Herato1301.507								
1216	Herato0411	5078846	5079746	+	0	NA	promoter-TSS (ID=evm.model.Herato0411.116.1-E6;Parent=evm.model.Herato0411.116.1)	-promoter-TSS (ID=evm.model.Herato0411.116.1-E6;Parent=evm.model.Herato0411.116.1)	-175	ID=evm.model.Herato0411.116.2.1-E7;Parent=evm.model.Herato0411.116.2.1								
1135	Herato2101	14258579	14259386	+	0	NA	promoter-TSS (ID=evm.model.Herato2101.461-E2;Parent=evm.model.Herato2101.461)	-promoter-TSS (ID=evm.model.Herato2101.461-E2;Parent=evm.model.Herato2101.461)	-87	ID=evm.model.Herato2101.461.1-E2;Parent=evm.model.Herato2101.461.1								
1203	Herato0411	1087395	1088780	+	0	NA	Intergenic	Intergenic	-5339	ID=evm.model.Herato0411.19-E4;Parent=evm.model.Herato0411.19								
96	Herato0701	2661564	2662633	+	0	NA	Intergenic	Intergenic	-13288	ID=evm.model.Herato0701.151_evm.model.Herato0701.150-E1;Parent=evm.model.Herato0701.151_evm.model.Herato0701.150								
1068	Herato2001	6439667	6440305	+	0	NA	Intergenic	Intergenic	12343	ID=evm.model.Herato2001.235-E10;Parent=evm.model.Herato2001.235								
486	Herato1202	7219906	7220394	+	0	NA	Intergenic	Intergenic	2195	ID=evm.model.Herato1202.286-E3;Parent=evm.model.Herato1202.286								
160	Herato0701	16205576	16206021	+	0	NA	Intergenic	Intergenic	12909	ID=evm.model.Herato0701.699-E5;Parent=evm.model.Herato0701.699								
569	Herato1301	4216986	4217228	+	0	NA	promoter-TSS (ID=evm.model.Herato1301.115-E4;Parent=evm.model.Herato1301.115)	-promoter-TSS (ID=evm.model.Herato1301.115-E4;Parent=evm.model.Herato1301.115)	-859	ID=evm.model.Herato1301.115-E4;Parent=evm.model.Herato1301.115								
8	Herato0508	2310111	2310727	+	0	NA	Intergenic	Intergenic	72112	ID=evm.model.Herato0508.85-E3;Parent=evm.model.Herato0508.85								
98	Herato0701	3209992	3210373	+	0	NA	Intergenic	Intergenic	3490	ID=evm.model.Herato0701.167-E3;Parent=evm.model.Herato0701.167								
1048	Herato2001	3582752	3584054	+	0	NA	promoter-TSS (ID=evm.model.Herato2001.106-E1;Parent=evm.model.Herato2001.106)	-promoter-TSS (ID=evm.model.Herato2001.106-E1;Parent=evm.model.Herato2001.106)	-140	ID=evm.model.Herato2001.106-E1;Parent=evm.model.Herato2001.106								
1000	Herato1906	889979	890628	+	0	NA	Intergenic	Intergenic	-6552	ID=evm.model.Herato1906.27-E2;Parent=evm.model.Herato1906.27								
1061	Herato2001	5179750	5180266	+	0	NA	Intergenic	Intergenic	-3348	ID=evm.model.Herato2001.174.2-E2;Parent=evm.model.Herato2001.174.2								
43	Herato0606	3697470	3699299	+	0	NA	Intergenic	Intergenic	-2463	ID=evm.model.Herato0606.112-E3;Parent=evm.model.Herato0606.112								
686	Herato1505	1469423	1470012	+	0	NA	Intergenic	Intergenic	4061	ID=evm.model.Herato1505.49.1-E1;Parent=evm.model.Herato1505.49.1								
391	Herato1108	1106724	1107595	+	0	NA	Intergenic	Intergenic	-1223	ID=evm.model.Herato1108.26-E1;Parent=evm.model.Herato1108.26								
943	Herato1901	2929272	2929584	+	0	NA	Intergenic	Intergenic	-4386	ID=evm.model.Herato1901.94-E1;Parent=evm.model.Herato1901.94								
288	Herato1003	4260499	4261317	+	0	NA	Intergenic	Intergenic	13576	ID=evm.model.Herato1003.128-E1;Parent=evm.model.Herato1003.128								
193	Herato0801	5816299	5817223	+	0	NA	Intergenic	Intergenic	1117	ID=evm.model.Herato0801.157-E3;Parent=evm.model.Herato0801.157								
119	Herato0701	8805657	8805828	+	0	NA	Intergenic	Intergenic	-53439	ID=evm.model.Herato0701.374.1-E1;Parent=evm.model.Herato0701.374.1								
586	Herato1301	11518878	11519210	+	0	NA	Intergenic	Intergenic	-24838	ID=evm.model.Herato1301.458-E3;Parent=evm.model.Herato1301.458								
180	Herato0801	114869	115182	+	0	NA	Intergenic	Intergenic	23204	ID=evm.model.Herato0801.5-E4;Parent=evm.model.Herato0801.5								
410	Herato1108	5370882	5371579	+	0	NA	Intergenic	Intergenic	2661	ID=evm.model.Herato1108.237-E4;Parent=evm.model.Herato1108.237								
246	Herato0101	14464491	14465264	+	0	NA	Intergenic	Intergenic	-79981	ID=evm.model.Herato0101.514-E1;Parent=evm.model.Herato0101.514								
999	Herato1906	868569	868925	+	0	NA	Intergenic	Intergenic	15004	ID=evm.model.Herato1906.27-E2;Parent=evm.model.Herato1906.27								
690	Herato1507	369634	371596	+	0	NA	Intergenic	Intergenic	-13119	ID=evm.model.Herato1507.18-E2;Parent=evm.model.Herato1507.18								
1168	Herato0310	3725297	3725608	+	0	NA	Intergenic	Intergenic	6510	ID=evm.model.Herato0310.90-E1;Parent=evm.model.Herato0310.90								
61	Herato0606	6343255	6343686	+	0	NA	Intergenic	Intergenic	-6091	ID=evm.model.Herato0606.218-E3;Parent=evm.model.Herato0606.218								
1180	Herato0310	7441867	7442284	+	0	NA	Intergenic	Intergenic	-7503	ID=evm.model.Herato0310.191-E3;Parent=evm.model.Herato0310.191								
1185	Herato0310	9329084	9329352	+	0	NA	Intergenic	Intergenic	-8911	ID=evm.model.Herato0310.285.2-E2;Parent=evm.model.Herato0310.285.2								
430	Herato1108	9988667	9989159	+	0	NA	Intergenic	Intergenic	1435	ID=evm.model.Herato1108.448.1-E4;Parent=evm.model.Herato1108.448.1								
447	Herato1108	11930271	11930637	+	0	NA	Intergenic	Intergenic	-4167	ID=evm.model.Herato1108.507-E3;Parent=evm.model.Herato1108.507								
536	Herato0101	2065068	2065796	+	0	NA	Intergenic	Intergenic	9009	ID=evm.model.Herato0101.51_evm.model.Herato0101.50-E2;Parent=evm.model.Herato0101.51_evm.model.Herato0101.50								
1130	Herato2101	10251254	10251924	+	0	NA	Intergenic	Intergenic	5346	ID=evm.model.Herato2101.352-E1;Parent=evm.model.Herato2101.352								
415	Herato1108	6196873	6197650	+	0	NA	Intergenic	Intergenic	-1054	ID=evm.model.Herato1108.263-E2;Parent=evm.model.Herato1108.263								
1266	Herato0503	7945921	7946382	+	0	NA	Intergenic	Intergenic	-61766	ID=evm.model.Herato0503.298-E1;Parent=evm.model.Herato0503.298								
189	Herato0801	4397288	4397998	+	0	NA	Intergenic	Intergenic	-8732	ID=evm.model.Herato0801.93-E2;Parent=evm.model.Herato0801.93								
480	Herato1202	4393461	4393920	+	0	NA	Intergenic	Intergenic	22253	ID=evm.model.Herato1202.156-E1;Parent=evm.model.Herato1202.156								
1153	Herato0301	4631162	4631855	+	0	NA	Intergenic	Intergenic	-1086	ID=evm.model.Herato0301.113-E1;Parent=evm.model.Herato0301.113								
438	Herato1108	10171021	10172245	+	0	NA	promoter-TSS (ID=evm.model.Herato1108.452-E2;Parent=evm.model.Herato1108.452)	-promoter-TSS (ID=evm.model.Herato1108.452-E2;Parent=evm.model.Herato1108.452)	-37	ID=evm.model.Herato1108.452.1-E1;Parent=evm.model.Herato1108.452.1								
107	Herato0701	7042081	7044049	+	0	NA	Intergenic	Intergenic	-4639	ID=evm.model.Herato0701.314-E5;Parent=evm.model.Herato0701.314								
87	Herato0701	2513188	2514174	+	0	NA	promoter-TSS (ID=evm.model.Herato0701.148-E7;Parent=evm.model.Herato0701.148)	-promoter-TSS (ID=evm.model.Herato0701.148-E7;Parent=evm.model.Herato0701.148)	-225	ID=evm.model.Herato0701.148.5-E7;Parent=evm.model.Herato0701.148.5								
1022	Herato1910	3485504	3485773	+	0	NA	Intergenic	Intergenic	12998	ID=evm.model.Herato1910.159-E4;Parent=evm.model.Herato1910.159								
444	Herato1108	11864061	11865432	+	0	NA	promoter-TSS (ID=evm.model.Herato1108.506-E4;Parent=evm.model.Herato1108.506)	-promoter-TSS (ID=evm.model.Herato1108.506-E4;Parent=evm.model.Herato1108.506)	-294	ID=evm.model.Herato1108.506.1-E4;Parent=evm.model.Herato1108.506.1								
508	Herato0101	20452697	20453779	+	0	NA	Intergenic	Intergenic	-3507	ID=evm.model.Herato0101.781-E1;Parent=evm.model.Herato0101.781								
953	Herato1901	3079129	3079529	+	0	NA	Intergenic	Intergenic	2858	ID=evm.model.Herato1901.104-E4;Parent=evm.model.Herato1901.104								
221	Herato0901	1720806	1721272	+	0	NA	Intergenic	Intergenic	-23599	ID=evm.model.Herato0901.62-E3;Parent=evm.model.Herato0901.62								
39	Herato0606	3416750	3417330	+	0	NA	TTS (ID=evm.model.Herato0606.104-E4;Parent=evm.model.Herato0606.104)	-TTS (ID=evm.model.Herato0606.104-E4;Parent=evm.model.Herato0606.104)	132	ID=evm.model.Herato0606.104.2-E4;Parent=evm.model.Herato0606.104.2								
1089	Herato2001	10501226	10501632	+	0	NA	Intergenic	Intergenic	-9611	ID=evm.model.Herato2001.411-E1;Parent=evm.model.Herato2001.411								
558	Herato1301	2491407	2491687	+	0	NA	Intergenic	Intergenic	-3802	ID=evm.model.Herato1301.61-E3;Parent=evm.model.Herato1301.61								
417	Herato1108	7094772	7095344	+	0	NA	Intergenic	Intergenic	-7354	ID=evm.model.Herato1108.316.6-E2;Parent=evm.model.Herato1108.316.6								
12	Herato0101	8387024	8387976	+	0	NA	Intergenic	Intergenic	35872	ID=evm.model.Herato0101.251-E7;Parent=evm.model.Herato0101.251								
784	Herato1701	3697309	3698093	+	0	NA	Intergenic	Intergenic	-13709	ID=evm.model.Herato1701.89-E1;Parent=evm.model.Herato1701.89								
260	Herato0901	11792996	11793697	+	0	NA	Intergenic	Intergenic	-1006	ID=evm.model.Herato0901.358-E2;Parent=evm.model.Herato0901.358								
573	Herato1301	6004197	6006298	+	0	NA	Intergenic	Intergenic	2709	ID=evm.model.Herato1301.212-E22;Parent=evm.model.Herato1301.212								
1084	Herato2001	9544257	9544970	+	0	NA	Intergenic	Intergenic	45051	ID=evm.model.Herato2001.384-E13;Parent=evm.model.Herato2001.384								
1144	Herato0301	4106936	4107466	+	0	NA	promoter-TSS (ID=evm.model.Herato0301.103.2-E1;Parent=evm.model.Herato0301.103.2)	-promoter-TSS (ID=evm.model.Herato0301.103.2-E1;Parent=evm.model.Herato0301.103.2)	131	ID=evm.model.Herato0301.103.1-E1;Parent=evm.model.Herato0301.103.1								
762	Herato1605	673793	674012	+	0	NA	Intergenic	Intergenic	2841	ID=evm.model.Herato1605.30-E7;Parent=evm.model.Herato1605.30								
638	Herato1408	2711697	2712202	+	0	NA	Intergenic	Intergenic	3804	ID=evm.model.Herato1408.74-E4;Parent=evm.model.Herato1408.74								
734	Herato0209	970337	970892	+	0	NA	promoter-TSS (ID=evm.model.Herato0209.64-E1;Parent=evm.model.Herato0209.64)	-promoter-TSS (ID=evm.model.Herato0209.64-E1;Parent=evm.model.Herato0209.64)	17	ID=evm.model.Herato0209.64-E1;Parent=evm.model.Herato0209.64								
875	Herato1805	2940595	2941198	+	0	NA	Intergenic	Intergenic	30251	ID=evm.model.Herato1805.88-E39;Parent=evm.model.Herato1805.88								
1	Herato0101	7956892	7957840	+	0	NA	Intergenic	Intergenic	1534	ID=evm.model.Herato0101.239-E12;Parent=evm.model.Herato0101.239								
506	Herato1202	12231582	12232322	+	0	NA	promoter-TSS (ID=evm.model.Herato1202.469-E8;Parent=evm.model.Herato1202.469)	-promoter-TSS (ID=evm.model.Herato1202.469-E8;Parent=evm.model.Herato1202.469)	148	ID=evm.model.Herato1202.469-E7;Parent=evm.model.Herato1202.469								
136	Herato0701	10945378	10945672	+	0	NA	TTS (ID=evm.model.Herato0701.468-E8;Parent=evm.model.Herato0701.468)	-TTS (ID=evm.model.Herato0701.468-E8;Parent=evm.model.Herato0701.468)	736	ID=evm.model.Herato0701.468-E8;Parent=evm.model.Herato0701.468								
116	Herato0701	8746913	8747670	+	0	NA	Intergenic	Intergenic	2610	ID=evm.model.Herato0701.374.1-E2;Parent=evm.model.Herato0701.374.1								
1197	Herato0403	817321	817999	+	0	NA	Intergenic	Intergenic	-15562	ID=evm.model.Herato0403.11-E1;Parent=evm.model.Herato0403.11								
144	Herato0701	13812033	13812607	+	0	NA	Intergenic	Intergenic	-1391	ID=evm.model.Herato0701.628-E1;Parent=evm.model.Herato0701.628								
661	Herato1411	3013675	3014348	+	0	NA	Intergenic	Intergenic	5299	ID=evm.model.Herato1411.112-E5;Parent=evm.model.Herato1411.112								
381	Herato1102	363034	363723	+	0	NA	Intergenic	Intergenic	-1037	ID=evm.model.Herato1102.10.2-E1;Parent=evm.model.Herato1102.10.2								
581	Herato1301	7607128	7607511	+	0	NA	TTS (ID=evm.model.Herato1301.307-E3;Parent=evm.model.Herato1301.307)	-TTS (ID=evm.model.Herato1301.307-E3;Parent=evm.model.Herato1301.307)	1638	ID=evm.model.Herato1301.307-E3;Parent=evm.model.Herato1301.307								
308	Herato1005	841851	842278	+	0	NA	Intergenic	Intergenic	2060	ID=evm.model.Herato1005.55-E2;Parent=evm.model.Herato1005.55								
906	Herato1807	997807	998687	+	0	NA	Intergenic	Intergenic	17561	ID=evm.model.Herato1807.18-E1;Parent=evm.model.Herato1807.18								
177	Herato0801	38095	38696	+	0	NA	Intergenic	Intergenic	6819	ID=evm.model.Herato0801.2-E3;Parent=evm.model.Herato0801.2								
678	Herato1505	406119	406774	+	0	NA	Intergenic	Intergenic	6995	ID=evm.model.Herato1505.22.2-E1;Parent=evm.model.Herato1505.22.2								
373	Herato1007	4166207	4167172	+	0	NA	Intergenic	Intergenic	5016	ID=evm.model.Herato1007.171-E7;Parent=evm.model.Herato1007.171								
773	Herato1605	2541201	2541957	+	0	NA	promoter-TSS (ID=evm.model.Herato1605.89-E2;Parent=evm.model.Herato1605.89)	-promoter-TSS (ID=evm.model.Herato1605.89-E2;Parent=evm.model.Herato1605.89)	82	ID=evm.model.Herato1605.89-E2;Parent=evm.model.Herato1605.89								
