PeakID (cmd=annotatePeaks.pl development_D2_p05FC1_melpUnique_D2down.bed /work/rpapa/share/REF/Hmel2/Hmel2.fa -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_melpomene_melpomene_Hmel2.gff3 -annStats development_D2_p05FC1_melpUnique_D2down_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1244	Hmel211012	401022	401452	+	0	NA	Intergenic	Intergenic	-8715	ID=HMEL031210g1.t1-E7;Parent=HMEL031210g1.t1								
2154	Hmel218018	4941581	4942366	+	0	NA	Intergenic	Intergenic	7947	ID=HMEL034439g1.t3-E33;Parent=HMEL034439g1.t3								
1638	Hmel213067	621235	622227	+	0	NA	Intergenic	Intergenic	52971	ID=HMEL032193g1.t1-E1;Parent=HMEL032193g1.t1								
742	Hmel207023	500463	500936	+	0	NA	Intergenic	Intergenic	-12156	ID=HMEL037742g1.t1-E1;Parent=HMEL037742g1.t1								
29	Hmel201005	372806	373583	+	0	NA	Intergenic	Intergenic	5101	ID=HMEL030070g1.t1-E2;Parent=HMEL030070g1.t1								
350	Hmel204017	1500489	1500765	+	0	NA	Intergenic	Intergenic	1904	ID=HMEL007430g3.t1-E1;Parent=HMEL007430g3.t1								
1969	Hmel217004	2548244	2548540	+	0	NA	Intergenic	Intergenic	12488	ID=HMEL033816g1.t1-E2;Parent=HMEL033816g1.t1								
1810	Hmel215047	1415492	1415817	+	0	NA	Intergenic	Intergenic	-16426	ID=HMEL032905g1.t1-E1;Parent=HMEL032905g1.t1								
2203	Hmel218019	304583	305297	+	0	NA	Intergenic	Intergenic	1412	ID=HMEL002964g1.t1-E59;Parent=HMEL002964g1.t1								
58	Hmel201009	370293	370552	+	0	NA	Intergenic	Intergenic	1591	ID=HMEL030124g1.t1-E3;Parent=HMEL030124g1.t1								
153	Hmel201019	52828	53275	+	0	NA	Intergenic	Intergenic	11072	ID=HMEL033099g1.t1-E1;Parent=HMEL033099g1.t1								
2932	Hmel221001	1992827	1993646	+	0	NA	Intergenic	Intergenic	-2130	ID=HMEL007279g1.t1-E1;Parent=HMEL007279g1.t1								
2754	Hmel221015	262875	263498	+	0	NA	Intergenic	Intergenic	-7395	ID=HMEL035650g1.t1-E2;Parent=HMEL035650g1.t1								
2387	Hmel220005	3127928	3128341	+	0	NA	Intergenic	Intergenic	-4355	ID=HMEL022278g1.t1-E1;Parent=HMEL022278g1.t1								
1546	Hmel213038	8961	9143	+	0	NA	Intergenic	Intergenic	-14574	ID=HMEL032018g1.t1-E1;Parent=HMEL032018g1.t1								
101	Hmel201009	5162986	5163382	+	0	NA	Intergenic	Intergenic	-3069	ID=HMEL030268g1.t1-E1;Parent=HMEL030268g1.t1								
340	Hmel204013	1293957	1295588	+	0	NA	Intergenic	Intergenic	-8675	ID=HMEL036412g1.t1-E1;Parent=HMEL036412g1.t1								
311	Hmel204001	684627	685019	+	0	NA	Intergenic	Intergenic	7258	ID=HMEL036318g1.t1-E2;Parent=HMEL036318g1.t1								
825	Hmel209005	436250	438437	+	0	NA	Intergenic	Intergenic	-40156	ID=HMEL030326g1.t1-E1;Parent=HMEL030326g1.t1								
917	Hmel210001	411272	411844	+	0	NA	Intergenic	Intergenic	-3305	ID=HMEL013662g1.t1-E1;Parent=HMEL013662g1.t1								
2425	Hmel220011	121729	122030	+	0	NA	Intergenic	Intergenic	5327	ID=HMEL035267g1.t1-E3;Parent=HMEL035267g1.t1								
495	Hmel206008	53666	54073	+	0	NA	Intergenic	Intergenic	-6579	ID=HMEL004152g1.t1-E1;Parent=HMEL004152g1.t1								
1703	Hmel214019	578904	579415	+	0	NA	Intergenic	Intergenic	-1365	ID=HMEL014216g1.t1-E5;Parent=HMEL014216g1.t1								
2086	Hmel218007	175098	175392	+	0	NA	Intergenic	Intergenic	2914	ID=HMEL010973g1.t1-E2;Parent=HMEL010973g1.t1								
1322	Hmel212001	1957975	1959414	+	0	NA	Intergenic	Intergenic	-13766	ID=HMEL016805g1.t1-E1;Parent=HMEL016805g1.t1								
1816	Hmel215048	263810	264106	+	0	NA	Intergenic	Intergenic	-3416	ID=HMEL013736g1.t1-E2;Parent=HMEL013736g1.t1								
2460	Hmel221001	42555	42859	+	0	NA	exon (ID=HMEL009540g1.t1-E1;Parent=HMEL009540g1.t1, exon 1 of 1)	-exon (ID=HMEL009540g1.t1-E1;Parent=HMEL009540g1.t1, exon 1 of 1)	136	ID=HMEL009540g1.t1-E1;Parent=HMEL009540g1.t1								
2510	Hmel221001	1926563	1927023	+	0	NA	Intergenic	Intergenic	-2342	ID=HMEL007274g1.t1-E1;Parent=HMEL007274g1.t1								
1172	Hmel211004	1379388	1379735	+	0	NA	promoter-TSS (ID=HMEL031057g1.t1-E2;Parent=HMEL031057g1.t1)	-promoter-TSS (ID=HMEL031057g1.t1-E2;Parent=HMEL031057g1.t1)	-461	ID=HMEL031057g1.t1-E2;Parent=HMEL031057g1.t1								
2699	Hmel221012	2808647	2809156	+	0	NA	Intergenic	Intergenic	-7607	ID=HMEL035614g1.t1-E1;Parent=HMEL035614g1.t1								
2458	Hmel221001	16093	17096	+	0	NA	promoter-TSS (ID=HMEL009541-RA-E2;Parent=HMEL009541-RA)	-promoter-TSS (ID=HMEL009541-RA-E2;Parent=HMEL009541-RA)	-28	ID=HMEL009541-RA-E2;Parent=HMEL009541-RA								
1259	Hmel211012	1204558	1204685	+	0	NA	Intergenic	Intergenic	9076	ID=HMEL031229g1.t1-E2;Parent=HMEL031229g1.t1								
834	Hmel209005	906385	906693	+	0	NA	Intergenic	Intergenic	-1374	ID=HMEL030335g1.t1-E2;Parent=HMEL030335g1.t1								
285	Hmel203048	432162	432382	+	0	NA	Intergenic	Intergenic	5277	ID=HMEL036097g1.t1-E1;Parent=HMEL036097g1.t1								
2441	Hmel220014	767845	768281	+	0	NA	TTS (ID=HMEL035323g1.t1-E9;Parent=HMEL035323g1.t1)	-TTS (ID=HMEL035323g1.t1-E9;Parent=HMEL035323g1.t1)	1223	ID=HMEL035323g1.t1-E9;Parent=HMEL035323g1.t1								
2414	Hmel220009	8038	8942	+	0	NA	TTS (ID=HMEL002238g3.t1-E5;Parent=HMEL002238g3.t1)	-TTS (ID=HMEL002238g3.t1-E5;Parent=HMEL002238g3.t1)	169	ID=HMEL002238g3.t1-E6;Parent=HMEL002238g3.t1								
1216	Hmel211004	4138465	4138683	+	0	NA	Intergenic	Intergenic	-12354	ID=HMEL014689g1.t2-E1;Parent=HMEL014689g1.t2								
2285	Hmel219014	1221556	1222328	+	0	NA	Intergenic	Intergenic	1960	ID=HMEL010460g1.t1-E2;Parent=HMEL010460g1.t1								
2274	Hmel219012	116641	117716	+	0	NA	Intergenic	Intergenic	8565	ID=HMEL006580g2.t1-E1;Parent=HMEL006580g2.t1								
2194	Hmel218018	8209606	8209927	+	0	NA	Intergenic	Intergenic	11862	ID=HMEL034489g1.t1-E3;Parent=HMEL034489g1.t1								
1135	Hmel211004	109365	109642	+	0	NA	promoter-TSS (ID=HMEL031014g1.t1-E4;Parent=HMEL031014g1.t1)	-promoter-TSS (ID=HMEL031014g1.t1-E4;Parent=HMEL031014g1.t1)	-732	ID=HMEL031014g1.t1-E4;Parent=HMEL031014g1.t1								
2002	Hmel217018	592321	592581	+	0	NA	Intergenic	Intergenic	-2485	ID=HMEL033970g1.t1-E1;Parent=HMEL033970g1.t1								
2864	Hmel221045	66171	67566	+	0	NA	Intergenic	Intergenic	-7978	ID=HMEL035807g1.t1-E1;Parent=HMEL035807g1.t1								
1203	Hmel211004	3577077	3577766	+	0	NA	promoter-TSS (ID=HMEL006268g1.t1-E6;Parent=HMEL006268g1.t1)	-promoter-TSS (ID=HMEL006268g1.t1-E6;Parent=HMEL006268g1.t1)	-334	ID=HMEL006268g1.t1-E6;Parent=HMEL006268g1.t1								
96	Hmel201009	4528780	4529648	+	0	NA	Intergenic	Intergenic	-13754	ID=HMEL030250g1.t1-E1;Parent=HMEL030250g1.t1								
2088	Hmel218007	251411	251604	+	0	NA	Intergenic	Intergenic	1994	ID=HMEL010966g1.t1-E7;Parent=HMEL010966g1.t1								
1068	Hmel210011	3911790	3913437	+	0	NA	Intergenic	Intergenic	16902	ID=HMEL030905g1.t1-E2;Parent=HMEL030905g1.t1								
1667	Hmel213072	10196	10875	+	0	NA	promoter-TSS (ID=HMEL012659g1.t1-E3;Parent=HMEL012659g1.t1)	-promoter-TSS (ID=HMEL012659g1.t1-E3;Parent=HMEL012659g1.t1)	-709	ID=HMEL012659g1.t1-E3;Parent=HMEL012659g1.t1								
2114	Hmel218018	161207	162091	+	0	NA	Intergenic	Intergenic	-29749	ID=HMEL034351g1.t1-E1;Parent=HMEL034351g1.t1								
486	Hmel206006	793258	793406	+	0	NA	Intergenic	Intergenic	-1825	ID=HMEL036941g1.t1-E1;Parent=HMEL036941g1.t1								
2134	Hmel218018	2523757	2524156	+	0	NA	Intergenic	Intergenic	15658	ID=HMEL034392g1.t1-E2;Parent=HMEL034392g1.t1								
1354	Hmel212001	4652479	4653716	+	0	NA	Intergenic	Intergenic	4382	ID=HMEL005534g1.t1-E1;Parent=HMEL005534g1.t1								
569	Hmel206012	1504741	1505952	+	0	NA	Intergenic	Intergenic	-3112	ID=HMEL004535g1.t1-E1;Parent=HMEL004535g1.t1								
8	Hmel201002	1292303	1292721	+	0	NA	Intergenic	Intergenic	-8361	ID=HMEL011296g1.t1-E7;Parent=HMEL011296g1.t1								
2359	Hmel220005	644178	645038	+	0	NA	Intergenic	Intergenic	-16890	ID=HMEL012263g1.t1-E1;Parent=HMEL012263g1.t1								
2045	Hmel218003	1362902	1363163	+	0	NA	Intergenic	Intergenic	-1583	ID=HMEL003383g1.t2-E1;Parent=HMEL003383g1.t2								
1396	Hmel212011	183492	183704	+	0	NA	Intergenic	Intergenic	-6072	ID=HMEL031589g1.t1-E1;Parent=HMEL031589g1.t1								
686	Hmel207015	47696	50368	+	0	NA	Intergenic	Intergenic	-58885	ID=HMEL037636g1.t1-E1;Parent=HMEL037636g1.t1								
1760	Hmel215028	636914	637356	+	0	NA	TTS (ID=HMEL032747g1.t1-E6;Parent=HMEL032747g1.t1)	-TTS (ID=HMEL032747g1.t1-E6;Parent=HMEL032747g1.t1)	874	ID=HMEL032747g1.t1-E6;Parent=HMEL032747g1.t1								
2033	Hmel218003	168451	169105	+	0	NA	Intergenic	Intergenic	-2980	ID=HMEL034201g1.t1-E2;Parent=HMEL034201g1.t1								
391	Hmel205006	17738	18000	+	0	NA	Intergenic	Intergenic	-1103	ID=HMEL008221g1.t1-E1;Parent=HMEL008221g1.t1								
943	Hmel210004	4580698	4581031	+	0	NA	TTS (ID=HMEL018076g1.t1-E5;Parent=HMEL018076g1.t1)	-TTS (ID=HMEL018076g1.t1-E5;Parent=HMEL018076g1.t1)	1079	ID=HMEL018076g1.t1-E5;Parent=HMEL018076g1.t1								
2676	Hmel221012	1927771	1929700	+	0	NA	Intergenic	Intergenic	11795	ID=HMEL035595g1.t1-E2;Parent=HMEL035595g1.t1								
1887	Hmel216011	2543369	2543759	+	0	NA	Intergenic	Intergenic	-15271	ID=HMEL033588g1.t1-E1;Parent=HMEL033588g1.t1								
2907	Hmel210011	2922739	2923140	+	0	NA	Intergenic	Intergenic	15199	ID=HMEL030883g1.t1-E3;Parent=HMEL030883g1.t1								
1375	Hmel212005	31258	31663	+	0	NA	Intergenic	Intergenic	-3985	ID=HMEL004608g2.t1-E1;Parent=HMEL004608g2.t1								
180	Hmel202004	1289834	1290050	+	0	NA	Intergenic	Intergenic	-2418	ID=HMEL033212g1.t1-E1;Parent=HMEL033212g1.t1								
1585	Hmel213051	249823	250722	+	0	NA	Intergenic	Intergenic	-5102	ID=HMEL015898g1.t1-E2;Parent=HMEL015898g1.t1								
2939	Hmel221019	35117	36059	+	0	NA	TTS (ID=HMEL010547g1.t1-E5;Parent=HMEL010547g1.t1)	-TTS (ID=HMEL010547g1.t1-E5;Parent=HMEL010547g1.t1)	497	ID=HMEL010547g1.t1-E6;Parent=HMEL010547g1.t1								
1877	Hmel216011	1655503	1656008	+	0	NA	exon (ID=HMEL033562g1.t1-E1;Parent=HMEL033562g1.t1, exon 1 of 1)	-exon (ID=HMEL033562g1.t1-E1;Parent=HMEL033562g1.t1, exon 1 of 1)	122	ID=HMEL033562g1.t1-E1;Parent=HMEL033562g1.t1								
246	Hmel203009	89998	90131	+	0	NA	Intergenic	Intergenic	-11413	ID=HMEL035976g1.t1-E1;Parent=HMEL035976g1.t1								
2705	Hmel221012	2869484	2869779	+	0	NA	Intergenic	Intergenic	6019	ID=HMEL035615g1.t1-E2;Parent=HMEL035615g1.t1								
2227	Hmel219003	3089106	3089524	+	0	NA	Intergenic	Intergenic	-10432	ID=HMEL006175g1.t1-E1;Parent=HMEL006175g1.t1								
690	Hmel207015	102663	103057	+	0	NA	Intergenic	Intergenic	-5057	ID=HMEL037636g1.t1-E1;Parent=HMEL037636g1.t1								
1168	Hmel211004	1267035	1268000	+	0	NA	promoter-TSS (ID=HMEL003314g2.t1-E8;Parent=HMEL003314g2.t1)	-promoter-TSS (ID=HMEL003314g2.t1-E8;Parent=HMEL003314g2.t1)	409	ID=HMEL003314g2.t1-E7;Parent=HMEL003314g2.t1								
61	Hmel201009	548667	549762	+	0	NA	Intergenic	Intergenic	-28858	ID=HMEL003948g1.t2-E1;Parent=HMEL003948g1.t2								
536	Hmel206009	2572540	2574475	+	0	NA	Intergenic	Intergenic	-10181	ID=HMEL005355g1.t1-E1;Parent=HMEL005355g1.t1								
1767	Hmel215037	19541	20043	+	0	NA	TTS (ID=HMEL032820g1.t1-E2;Parent=HMEL032820g1.t1)	-TTS (ID=HMEL032820g1.t1-E2;Parent=HMEL032820g1.t1)	235	ID=HMEL032820g1.t1-E2;Parent=HMEL032820g1.t1								
1653	Hmel213069	955673	956065	+	0	NA	Intergenic	Intergenic	-22738	ID=HMEL032231g1.t1-E1;Parent=HMEL032231g1.t1								
2237	Hmel219003	3959000	3959461	+	0	NA	Intergenic	Intergenic	-13798	ID=HMEL013179g1.t1-E1;Parent=HMEL013179g1.t1								
1688	Hmel214008	1769482	1770012	+	0	NA	Intergenic	Intergenic	7962	ID=HMEL020042g1.t1-E1;Parent=HMEL020042g1.t1								
2394	Hmel220005	4299771	4299965	+	0	NA	Intergenic	Intergenic	2349	ID=HMEL035204g1.t1-E3;Parent=HMEL035204g1.t1								
1266	Hmel211014	268023	268205	+	0	NA	Intergenic	Intergenic	19152	ID=HMEL031242g1.t1-E1;Parent=HMEL031242g1.t1								
2654	Hmel221012	1317466	1317727	+	0	NA	TTS (ID=HMEL006374g2.t1-E19;Parent=HMEL006374g2.t1)	-TTS (ID=HMEL006374g2.t1-E19;Parent=HMEL006374g2.t1)	137	ID=HMEL006374g2.t1-E20;Parent=HMEL006374g2.t1								
1458	Hmel213004	501392	501966	+	0	NA	Intergenic	Intergenic	18295	ID=HMEL031771g1.t1-E11;Parent=HMEL031771g1.t1								
444	Hmel205016	5775	6168	+	0	NA	Intergenic	Intergenic	-2334	ID=HMEL036712g1.t1-E1;Parent=HMEL036712g1.t1								
508	Hmel206009	775961	776488	+	0	NA	Intergenic	Intergenic	-30585	ID=HMEL017101g1.t1-E1;Parent=HMEL017101g1.t1								
1336	Hmel212001	2783550	2784380	+	0	NA	Intergenic	Intergenic	-3933	ID=HMEL016849g1.t1-E1;Parent=HMEL016849g1.t1								
39	Hmel201007	383449	384246	+	0	NA	Intergenic	Intergenic	-4994	ID=HMEL030094g1.t1-E1;Parent=HMEL030094g1.t1								
1089	Hmel210011	5051902	5052351	+	0	NA	Intergenic	Intergenic	56883	ID=HMEL030932g1.t1-E1;Parent=HMEL030932g1.t1								
558	Hmel206009	4331962	4332254	+	0	NA	promoter-TSS (ID=HMEL037084g1.t1-E13;Parent=HMEL037084g1.t1)	-promoter-TSS (ID=HMEL037084g1.t1-E13;Parent=HMEL037084g1.t1)	163	ID=HMEL037084g1.t1-E12;Parent=HMEL037084g1.t1								
12	Hmel201002	1307573	1309106	+	0	NA	Intergenic	Intergenic	5277	ID=HMEL011296g1.t1-E6;Parent=HMEL011296g1.t1								
1554	Hmel213044	443848	444256	+	0	NA	Intergenic	Intergenic	2883	ID=HMEL016755g1.t1-E2;Parent=HMEL016755g1.t1								
2168	Hmel218018	6449552	6449991	+	0	NA	promoter-TSS (ID=HMEL016325g1.t1-E3;Parent=HMEL016325g1.t1)	-promoter-TSS (ID=HMEL016325g1.t1-E3;Parent=HMEL016325g1.t1)	-968	ID=HMEL016325g1.t1-E3;Parent=HMEL016325g1.t1								
573	Hmel206018	29344	29759	+	0	NA	NA	NA	NA	NA								
2710	Hmel221012	3022433	3022789	+	0	NA	promoter-TSS (ID=HMEL007232g1.t1-E3;Parent=HMEL007232g1.t1)	-promoter-TSS (ID=HMEL007232g1.t1-E3;Parent=HMEL007232g1.t1)	88	ID=HMEL007232g1.t2-E3;Parent=HMEL007232g1.t2								
1084	Hmel210011	4766054	4768000	+	0	NA	Intergenic	Intergenic	1730	ID=HMEL030926g1.t1-E2;Parent=HMEL030926g1.t1								
638	Hmel207002	6346371	6346949	+	0	NA	Intergenic	Intergenic	8277	ID=HMEL037497g1.t1-E1;Parent=HMEL037497g1.t1								
2350	Hmel220005	24835	25549	+	0	NA	promoter-TSS (ID=HMEL007718g2.t1-E5;Parent=HMEL007718g2.t1)	-promoter-TSS (ID=HMEL007718g2.t1-E5;Parent=HMEL007718g2.t1)	1	ID=HMEL007718g2.t1-E5;Parent=HMEL007718g2.t1								
875	Hmel209007	1074526	1074802	+	0	NA	Intergenic	Intergenic	2547	ID=HMEL014632g1.t1-E10;Parent=HMEL014632g1.t1								
2479	Hmel221001	1995000	1995769	+	0	NA	promoter-TSS (ID=HMEL007279g1.t1-E1;Parent=HMEL007279g1.t1)	-promoter-TSS (ID=HMEL007279g1.t1-E1;Parent=HMEL007279g1.t1)	18	ID=HMEL007279g1.t1-E1;Parent=HMEL007279g1.t1								
1522	Hmel213025	44906	45274	+	0	NA	TTS (ID=HMEL007003g1.t1-E3;Parent=HMEL007003g1.t1)	-TTS (ID=HMEL007003g1.t1-E3;Parent=HMEL007003g1.t1)	474	ID=HMEL007003g1.t1-E4;Parent=HMEL007003g1.t1								
1	Hmel201002	583001	583438	+	0	NA	Intergenic	Intergenic	42440	ID=HMEL030020g1.t1-E2;Parent=HMEL030020g1.t1								
506	Hmel206007	93622	94215	+	0	NA	Intergenic	Intergenic	-4200	ID=HMEL011868g1.t2-E2;Parent=HMEL011868g1.t2								
136	Hmel201011	2489841	2490048	+	0	NA	Intergenic	Intergenic	1585	ID=HMEL033074g1.t1-E2;Parent=HMEL033074g1.t1								
116	Hmel201011	1326468	1326661	+	0	NA	promoter-TSS (ID=HMEL011374g2.t1-E6;Parent=HMEL011374g2.t1)	-promoter-TSS (ID=HMEL011374g2.t1-E6;Parent=HMEL011374g2.t1)	-243	ID=HMEL011374g2.t1-E6;Parent=HMEL011374g2.t1								
1197	Hmel211004	3092419	3092611	+	0	NA	Intergenic	Intergenic	-4361	ID=HMEL006228g1.t1-E1;Parent=HMEL006228g1.t1								
1580	Hmel213051	61012	61377	+	0	NA	promoter-TSS (ID=HMEL032083g1.t1-E4;Parent=HMEL032083g1.t1)	-promoter-TSS (ID=HMEL032083g1.t1-E4;Parent=HMEL032083g1.t1)	-630	ID=HMEL032083g1.t1-E4;Parent=HMEL032083g1.t1								
2937	Hmel221017	656	1444	+	0	NA	Intergenic	Intergenic	1737	ID=HMEL007802g1.t1-E6;Parent=HMEL007802g1.t1								
2419	Hmel220009	486667	487008	+	0	NA	Intergenic	Intergenic	-6055	ID=HMEL035259g1.t1-E1;Parent=HMEL035259g1.t1								
2146	Hmel218018	3964667	3964883	+	0	NA	Intergenic	Intergenic	-16130	ID=HMEL006056g1.t1-E1;Parent=HMEL006056g1.t1								
661	Hmel207008	418380	418591	+	0	NA	Intergenic	Intergenic	-3391	ID=HMEL017666g1.t1-E1;Parent=HMEL017666g1.t1								
2845	Hmel221039	32725	33329	+	0	NA	Intergenic	Intergenic	11545	ID=HMEL035783g1.t1-E1;Parent=HMEL035783g1.t1								
2482	Hmel221001	637736	638071	+	0	NA	promoter-TSS (ID=HMEL011029g2.t1-E1;Parent=HMEL011029g2.t1)	-promoter-TSS (ID=HMEL011029g2.t1-E1;Parent=HMEL011029g2.t1)	19	ID=HMEL011029g2.t2-E1;Parent=HMEL011029g2.t2								
2719	Hmel221012	3149233	3149726	+	0	NA	Intergenic	Intergenic	12684	ID=HMEL035625g1.t1-E1;Parent=HMEL035625g1.t1								
1935	Hmel217001	2609331	2609958	+	0	NA	Intergenic	Intergenic	3109	ID=HMEL033752g1.t1-E1;Parent=HMEL033752g1.t1								
2690	Hmel221012	2694227	2694442	+	0	NA	Intergenic	Intergenic	-16689	ID=HMEL035612g1.t1-E1;Parent=HMEL035612g1.t1								
581	Hmel206019	1862008	1863621	+	0	NA	Intergenic	Intergenic	-5118	ID=HMEL037252g1.t1-E1;Parent=HMEL037252g1.t1								
2727	Hmel221012	3201604	3201776	+	0	NA	promoter-TSS (ID=HMEL013867g2.t1-E15;Parent=HMEL013867g2.t1)	-promoter-TSS (ID=HMEL013867g2.t1-E15;Parent=HMEL013867g2.t1)	-472	ID=HMEL013867g2.t3-E15;Parent=HMEL013867g2.t3								
308	Hmel203069	2745808	2746478	+	0	NA	TTS (ID=HMEL036280g1.t1-E1;Parent=HMEL036280g1.t1)	-TTS (ID=HMEL036280g1.t1-E1;Parent=HMEL036280g1.t1)	176	ID=HMEL036280g1.t1-E1;Parent=HMEL036280g1.t1								
678	Hmel207014	60692	61409	+	0	NA	Intergenic	Intergenic	3497	ID=HMEL006306g1.t1-E10;Parent=HMEL006306g1.t1								
1517	Hmel213022	18520	18767	+	0	NA	TTS (ID=HMEL014213g1.t1-E1;Parent=HMEL014213g1.t1)	-TTS (ID=HMEL014213g1.t1-E1;Parent=HMEL014213g1.t1)	519	ID=HMEL014213g1.t1-E1;Parent=HMEL014213g1.t1								
2808	Hmel221028	117572	118408	+	0	NA	Intergenic	Intergenic	-17287	ID=HMEL007714g1.t1-E1;Parent=HMEL007714g1.t1								
