PeakID (cmd=annotatePeaks.pl development_D1_p05FC1_eratoUnique_D1up.bed /home/rpapa/sbelleghem/share/REF/H_erato_dem/Herato_final.fasta -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_erato_demophoon_v1.gff3 -annStats development_D1_p05FC1_eratoUnique_D1up_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
2203	Herato1202	18348934	18349278	+	0	NA	Intergenic	Intergenic	-17617	ID=evm.model.Herato1202.746-E1;Parent=evm.model.Herato1202.746								
58	Herato0601	2487234	2487407	+	0	NA	promoter-TSS (ID=evm.model.Herato0601.53-E2;Parent=evm.model.Herato0601.53)	-promoter-TSS (ID=evm.model.Herato0601.53-E2;Parent=evm.model.Herato0601.53)	-285	ID=evm.model.Herato0601.53-E2;Parent=evm.model.Herato0601.53								
153	Herato1005	426168	426339	+	0	NA	Intergenic	Intergenic	-8859	ID=evm.model.Herato1005.31-E1;Parent=evm.model.Herato1005.31								
2932	Herato2001	8703428	8703762	+	0	NA	Intergenic	Intergenic	-4431	ID=evm.model.Herato2001.368-E1;Parent=evm.model.Herato2001.368								
2754	Herato0101	5482858	5483096	+	0	NA	promoter-TSS (ID=evm.model.Herato0101.145-E28;Parent=evm.model.Herato0101.145)	-promoter-TSS (ID=evm.model.Herato0101.145-E28;Parent=evm.model.Herato0101.145)	-12	ID=evm.model.Herato0101.145-E28;Parent=evm.model.Herato0101.145								
2387	Herato2101	5477561	5478067	+	0	NA	Intergenic	Intergenic	2592	ID=evm.model.Herato2101.189-E3;Parent=evm.model.Herato2101.189								
1546	Herato1408	3963804	3964103	+	0	NA	TTS (ID=evm.model.Herato1408.147-E8;Parent=evm.model.Herato1408.147)	-TTS (ID=evm.model.Herato1408.147-E8;Parent=evm.model.Herato1408.147)	225	ID=evm.model.Herato1408.147-E8;Parent=evm.model.Herato1408.147								
101	Herato1301	18838533	18838995	+	0	NA	Intergenic	Intergenic	-8223	ID=evm.model.Herato1301.649-E1;Parent=evm.model.Herato1301.649								
2994	Herato1507	6473933	6474255	+	0	NA	Intergenic	Intergenic	14332	ID=evm.model.Herato1507.230-E2;Parent=evm.model.Herato1507.230								
340	Herato0701	1630535	1630822	+	0	NA	TTS (ID=evm.model.Herato0701.85-E4;Parent=evm.model.Herato0701.85)	-TTS (ID=evm.model.Herato0701.85-E4;Parent=evm.model.Herato0701.85)	326	ID=evm.model.Herato0701.85-E4;Parent=evm.model.Herato0701.85								
3256	Herato2001	2343392	2344383	+	0	NA	Intergenic	Intergenic	21188	ID=evm.model.Herato2001.61-E16;Parent=evm.model.Herato2001.61								
311	Herato0701	448502	449061	+	0	NA	Intergenic	Intergenic	-7637	ID=evm.model.Herato0701.14.6-E1;Parent=evm.model.Herato0701.14.6								
3655	Herato2001	4053247	4053913	+	0	NA	Intergenic	Intergenic	4834	ID=evm.model.Herato2001.133-E6;Parent=evm.model.Herato2001.133								
825	Herato0801	5656444	5656771	+	0	NA	promoter-TSS (ID=evm.model.Herato0801.143-E6;Parent=evm.model.Herato0801.143)	-promoter-TSS (ID=evm.model.Herato0801.143-E6;Parent=evm.model.Herato0801.143)	-909	ID=evm.model.Herato0801.143.2-E5;Parent=evm.model.Herato0801.143.2								
917	Herato1202	12555157	12555632	+	0	NA	Intergenic	Intergenic	16855	ID=evm.model.Herato1202.472-E18;Parent=evm.model.Herato1202.472								
3431	Herato0401	1895634	1896436	+	0	NA	Intergenic	Intergenic	-5066	ID=evm.model.Herato0401.48-E1;Parent=evm.model.Herato0401.48								
2425	Herato1801	2760918	2761553	+	0	NA	Intergenic	Intergenic	-10458	ID=evm.model.Herato1801.96-E1;Parent=evm.model.Herato1801.96								
3536	Herato0401	1688973	1689134	+	0	NA	Intergenic	Intergenic	23421	ID=evm.model.Herato0401.42-E2;Parent=evm.model.Herato0401.42								
495	Herato0701	8633979	8634222	+	0	NA	Intergenic	Intergenic	115801	ID=evm.model.Herato0701.374.1-E2;Parent=evm.model.Herato0701.374.1								
1703	Herato0419	725056	725299	+	0	NA	Intergenic	Intergenic	-1935	ID=evm.model.Herato0419.23-E2;Parent=evm.model.Herato0419.23								
3302	Herato1605	4462304	4462790	+	0	NA	Intergenic	Intergenic	-2139	ID=evm.model.Herato1605.136-E1;Parent=evm.model.Herato1605.136								
2086	Herato1301	14381408	14382155	+	0	NA	Intergenic	Intergenic	-15661	ID=evm.model.Herato1301.538-E1;Parent=evm.model.Herato1301.538								
1322	Herato1003	3552400	3553313	+	0	NA	Intergenic	Intergenic	8595	ID=evm.model.Herato1003.106-E25;Parent=evm.model.Herato1003.106								
1816	Herato1507	8072926	8073147	+	0	NA	Intergenic	Intergenic	-13536	ID=evm.model.Herato1507.286-E1;Parent=evm.model.Herato1507.286								
3571	Herato0101	6974633	6975295	+	0	NA	Intergenic	Intergenic	2258	ID=evm.model.Herato0101.214-E2;Parent=evm.model.Herato0101.214								
2460	Herato1301	13935143	13935445	+	0	NA	Intergenic	Intergenic	70303	ID=evm.model.Herato1301.535-E11;Parent=evm.model.Herato1301.535								
2510	Herato1805	1842179	1842773	+	0	NA	Intergenic	Intergenic	4420	ID=evm.model.Herato1805.76-E5;Parent=evm.model.Herato1805.76								
1172	Herato1001	448274	449664	+	0	NA	Intergenic	Intergenic	-5232	ID=evm.model.Herato1001.21-E1;Parent=evm.model.Herato1001.21								
2699	Herato0204	1068377	1069097	+	0	NA	Intergenic	Intergenic	-30931	ID=evm.model.Herato0204.31_evm.model.Herato0204.30-E1;Parent=evm.model.Herato0204.31_evm.model.Herato0204.30								
2458	Herato1801	4499263	4499470	+	0	NA	Intergenic	Intergenic	5753	ID=evm.model.Herato1801.152-E4;Parent=evm.model.Herato1801.152								
1259	Herato1001	5309557	5310523	+	0	NA	Intergenic	Intergenic	-3387	ID=evm.model.Herato1001.171-E2;Parent=evm.model.Herato1001.171								
834	Herato0101	12768426	12768806	+	0	NA	Intergenic	Intergenic	-2238	ID=evm.model.Herato0101.434-E1;Parent=evm.model.Herato0101.434								
285	Herato0606	12014660	12015086	+	0	NA	promoter-TSS (ID=evm.model.Herato0606.441-E5;Parent=evm.model.Herato0606.441)	-promoter-TSS (ID=evm.model.Herato0606.441-E5;Parent=evm.model.Herato0606.441)	-778	ID=evm.model.Herato0606.441-E5;Parent=evm.model.Herato0606.441								
3574	Herato2101	8000409	8000594	+	0	NA	Intergenic	Intergenic	19545	ID=evm.model.Herato2101.281-E6;Parent=evm.model.Herato2101.281								
2976	Herato2001	10712608	10713381	+	0	NA	Intergenic	Intergenic	-22991	ID=evm.model.Herato2001.419-E1;Parent=evm.model.Herato2001.419								
2441	Herato1301	13136463	13136861	+	0	NA	promoter-TSS (ID=evm.model.Herato1301.499-E3;Parent=evm.model.Herato1301.499)	-promoter-TSS (ID=evm.model.Herato1301.499-E3;Parent=evm.model.Herato1301.499)	-137	ID=evm.model.Herato1301.499-E3;Parent=evm.model.Herato1301.499								
3475	Herato0406	22467	23013	+	0	NA	Intergenic	Intergenic	4095	ID=evm.model.Herato0406.2-E1;Parent=evm.model.Herato0406.2								
2414	Herato1301	10863416	10864086	+	0	NA	Intergenic	Intergenic	3052	ID=evm.model.Herato1301.431-E6;Parent=evm.model.Herato1301.431								
1216	Herato1001	2263765	2263964	+	0	NA	Intergenic	Intergenic	14687	ID=evm.model.Herato1001.80-E9;Parent=evm.model.Herato1001.80								
3421	Herato0411	5001727	5002291	+	0	NA	promoter-TSS (ID=evm.model.Herato0411.110-E2;Parent=evm.model.Herato0411.110)	-promoter-TSS (ID=evm.model.Herato0411.110-E2;Parent=evm.model.Herato0411.110)	-664	ID=evm.model.Herato0411.110.1-E2;Parent=evm.model.Herato0411.110.1								
3238	Herato2101	7971422	7971927	+	0	NA	Intergenic	Intergenic	-30816	ID=evm.model.Herato2101.280-E1;Parent=evm.model.Herato2101.280								
2285	Herato0101	21470611	21471364	+	0	NA	Intergenic	Intergenic	5303	ID=evm.model.Herato0101.831-E8;Parent=evm.model.Herato0101.831								
2274	Herato1701	11355935	11356585	+	0	NA	TTS (ID=evm.model.Herato1701.400-E14;Parent=evm.model.Herato1701.400)	-TTS (ID=evm.model.Herato1701.400-E14;Parent=evm.model.Herato1701.400)	857	ID=evm.model.Herato1701.400-E14;Parent=evm.model.Herato1701.400								
2194	Herato1202	17470780	17471225	+	0	NA	Intergenic	Intergenic	3990	ID=evm.model.Herato1202.713-E2;Parent=evm.model.Herato1202.713								
3092	Herato1601	4202494	4202779	+	0	NA	Intergenic	Intergenic	-113133	ID=evm.model.Herato1601.83-E1;Parent=evm.model.Herato1601.83								
1135	Herato1007	1114511	1115004	+	0	NA	Intergenic	Intergenic	-5008	ID=evm.model.Herato1007.44-E3;Parent=evm.model.Herato1007.44								
2002	Herato2001	1278325	1278503	+	0	NA	Intergenic	Intergenic	2938	ID=evm.model.Herato2001.22-E1;Parent=evm.model.Herato2001.22								
2864	Herato2001	4984521	4985043	+	0	NA	Intergenic	Intergenic	-29369	ID=evm.model.Herato2001.170-E1;Parent=evm.model.Herato2001.170								
1203	Herato0101	15099039	15099494	+	0	NA	Intergenic	Intergenic	-20430	ID=evm.model.Herato0101.540-E2;Parent=evm.model.Herato0101.540								
96	Herato0101	8810511	8810927	+	0	NA	Intergenic	Intergenic	11434	ID=evm.model.Herato0101.262-E3;Parent=evm.model.Herato0101.262								
2088	Herato2001	5150038	5150215	+	0	NA	Intergenic	Intergenic	-10237	ID=evm.model.Herato2001.171-E5;Parent=evm.model.Herato2001.171								
1068	Herato0901	6645021	6645307	+	0	NA	TTS (ID=evm.model.Herato0901.228-E5;Parent=evm.model.Herato0901.228)	-TTS (ID=evm.model.Herato0901.228-E5;Parent=evm.model.Herato0901.228)	1021	ID=evm.model.Herato0901.228-E5;Parent=evm.model.Herato0901.228								
1667	Herato1411	6921886	6922085	+	0	NA	Intergenic	Intergenic	-3817	ID=evm.model.Herato1411.255-E1;Parent=evm.model.Herato1411.255								
2114	Herato0101	20570648	20571058	+	0	NA	Intergenic	Intergenic	-2820	ID=evm.model.Herato0101.787-E1;Parent=evm.model.Herato0101.787								
486	Herato0701	8488937	8489338	+	0	NA	Intergenic	Intergenic	-4870	ID=evm.model.Herato0701.373-E5;Parent=evm.model.Herato0701.373								
2134	Herato1202	15067026	15068040	+	0	NA	Intergenic	Intergenic	-13781	ID=evm.model.Herato1202.577-E1;Parent=evm.model.Herato1202.577								
1354	Herato1003	5224743	5225380	+	0	NA	Intergenic	Intergenic	-6939	ID=evm.model.Herato1003.170-E3;Parent=evm.model.Herato1003.170								
569	Herato0701	12023861	12024447	+	0	NA	TTS (ID=evm.model.Herato0701.543-E2;Parent=evm.model.Herato0701.543)	-TTS (ID=evm.model.Herato0701.543-E2;Parent=evm.model.Herato0701.543)	1036	ID=evm.model.Herato0701.543-E2;Parent=evm.model.Herato0701.543								
8	Herato1001	4614658	4614990	+	0	NA	Intergenic	Intergenic	10270	ID=evm.model.Herato1001.159-E5;Parent=evm.model.Herato1001.159								
3239	Herato0101	4108173	4108431	+	0	NA	Intergenic	Intergenic	13228	ID=evm.model.Herato0101.121-E1;Parent=evm.model.Herato0101.121								
2359	Herato1301	6614208	6615090	+	0	NA	promoter-TSS (ID=evm.model.Herato1301.238-E18;Parent=evm.model.Herato1301.238)	-promoter-TSS (ID=evm.model.Herato1301.238-E18;Parent=evm.model.Herato1301.238)	-345	ID=evm.model.Herato1301.238-E18;Parent=evm.model.Herato1301.238								
3111	Herato2101	10180561	10181116	+	0	NA	Intergenic	Intergenic	-7362	ID=evm.model.Herato2101.350.1-E4;Parent=evm.model.Herato2101.350.1								
2045	Herato1202	9633097	9633707	+	0	NA	Intergenic	Intergenic	-14299	ID=evm.model.Herato1202.400-E2;Parent=evm.model.Herato1202.400								
1396	Herato1805	3939638	3940459	+	0	NA	Intergenic	Intergenic	-47724	ID=evm.model.Herato1805.105-E1;Parent=evm.model.Herato1805.105								
686	Herato0101	11945356	11946256	+	0	NA	Intergenic	Intergenic	12181	ID=evm.model.Herato0101.380-E2;Parent=evm.model.Herato0101.380								
3149	Herato1708	166228	166617	+	0	NA	Intergenic	Intergenic	7643	ID=evm.model.Herato1708.11-E1;Parent=evm.model.Herato1708.11								
1760	Herato0503	793129	793613	+	0	NA	Intergenic	Intergenic	15865	ID=evm.model.Herato0503.23-E1;Parent=evm.model.Herato0503.23								
2033	Herato1202	9330961	9331125	+	0	NA	Intergenic	Intergenic	-5851	ID=evm.model.Herato1202.381-E2;Parent=evm.model.Herato1202.381								
391	Herato0701	3638461	3638913	+	0	NA	Intergenic	Intergenic	3421	ID=evm.model.Herato0701.174-E3;Parent=evm.model.Herato0701.174								
943	Herato1202	14269066	14269510	+	0	NA	Intergenic	Intergenic	6856	ID=evm.model.Herato1202.541.1-E5;Parent=evm.model.Herato1202.541.1								
2676	Herato0310	8803928	8804139	+	0	NA	Intergenic	Intergenic	1383	ID=evm.model.Herato0310.241.2-E7;Parent=evm.model.Herato0310.241.2								
1887	Herato1601	4582415	4582868	+	0	NA	Intergenic	Intergenic	4896	ID=evm.model.Herato1601.96.1-E2;Parent=evm.model.Herato1601.96.1								
2907	Herato1904	2630973	2631365	+	0	NA	Intergenic	Intergenic	-90210	ID=evm.model.Herato1904.88-E1;Parent=evm.model.Herato1904.88								
1375	Herato1003	5754536	5754886	+	0	NA	Intergenic	Intergenic	1435	ID=evm.model.Herato1003.190-E2;Parent=evm.model.Herato1003.190								
180	Herato0606	4981186	4981384	+	0	NA	Intergenic	Intergenic	2522	ID=evm.model.Herato0606.150.3-E12;Parent=evm.model.Herato0606.150.3								
1585	Herato1007	3502760	3502946	+	0	NA	TTS (ID=evm.model.Herato1007.130-E3;Parent=evm.model.Herato1007.130)	-TTS (ID=evm.model.Herato1007.130-E3;Parent=evm.model.Herato1007.130)	609	ID=evm.model.Herato1007.130-E3;Parent=evm.model.Herato1007.130								
2939	Herato1904	4886993	4887198	+	0	NA	Intergenic	Intergenic	6922	ID=evm.model.Herato1904.167-E1;Parent=evm.model.Herato1904.167								
1877	Herato1910	313853	314631	+	0	NA	Intergenic	Intergenic	-1069	ID=evm.model.Herato1910.36-E1;Parent=evm.model.Herato1910.36								
246	Herato0606	8695094	8695402	+	0	NA	Intergenic	Intergenic	-1623	ID=evm.model.Herato0606.270-E9;Parent=evm.model.Herato0606.270								
2705	Herato1408	3940495	3940769	+	0	NA	Intergenic	Intergenic	9833	ID=evm.model.Herato1408.146-E6;Parent=evm.model.Herato1408.146								
2227	Herato1202	19505220	19505710	+	0	NA	Intergenic	Intergenic	8598	ID=evm.model.Herato1202.790-E1;Parent=evm.model.Herato1202.790								
690	Herato0101	1159774	1160895	+	0	NA	Intergenic	Intergenic	45371	ID=evm.model.Herato0101.19-E28;Parent=evm.model.Herato0101.19								
3241	Herato0211	16758	17363	+	0	NA	Intergenic	Intergenic	55372	ID=evm.model.Herato0211.1-E7;Parent=evm.model.Herato0211.1								
1168	Herato0904	423091	423857	+	0	NA	Intergenic	Intergenic	-3958	ID=evm.model.Herato0904.24-E2;Parent=evm.model.Herato0904.24								
61	Herato0601	2905231	2905857	+	0	NA	Intergenic	Intergenic	-3717	ID=evm.model.Herato0601.69-E1;Parent=evm.model.Herato0601.69								
536	Herato1108	8011381	8011553	+	0	NA	Intergenic	Intergenic	-8344	ID=evm.model.Herato1108.355-E1;Parent=evm.model.Herato1108.355								
1767	Herato1904	6251927	6252244	+	0	NA	Intergenic	Intergenic	-3577	ID=evm.model.Herato1904.227.1-E3;Parent=evm.model.Herato1904.227.1								
1653	Herato1411	5912369	5912857	+	0	NA	Intergenic	Intergenic	-14515	ID=evm.model.Herato1411.212-E1;Parent=evm.model.Herato1411.212								
3540	Herato0401	1781290	1781776	+	0	NA	Intergenic	Intergenic	-9710	ID=evm.model.Herato0401.43-E1;Parent=evm.model.Herato0401.43								
2237	Herato1202	19888616	19889267	+	0	NA	Intergenic	Intergenic	7982	ID=evm.model.Herato1202.803-E15;Parent=evm.model.Herato1202.803								
1688	Herato1202	12140332	12140644	+	0	NA	Intergenic	Intergenic	73510	ID=evm.model.Herato1202.468-E4;Parent=evm.model.Herato1202.468								
2394	Herato1801	969244	969847	+	0	NA	Intergenic	Intergenic	10755	ID=evm.model.Herato1801.48-E13;Parent=evm.model.Herato1801.48								
1266	Herato1301	12092574	12093043	+	0	NA	Intergenic	Intergenic	-5790	ID=evm.model.Herato1301.479-E2;Parent=evm.model.Herato1301.479								
3419	Herato0310	3353451	3353681	+	0	NA	Intergenic	Intergenic	-7764	ID=evm.model.Herato0310.68.1-E3;Parent=evm.model.Herato0310.68.1								
3326	Herato1904	1900795	1901167	+	0	NA	promoter-TSS (ID=evm.model.Herato1904.73-E6;Parent=evm.model.Herato1904.73)	-promoter-TSS (ID=evm.model.Herato1904.73-E6;Parent=evm.model.Herato1904.73)	246	ID=evm.model.Herato1904.73-E5;Parent=evm.model.Herato1904.73								
2654	Herato1805	8732501	8732909	+	0	NA	Intergenic	Intergenic	-12154	ID=evm.model.Herato1805.260-E1;Parent=evm.model.Herato1805.260								
3311	Herato2001	12496265	12496530	+	0	NA	Intergenic	Intergenic	12447	ID=evm.model.Herato2001.473-E3;Parent=evm.model.Herato2001.473								
2958	Herato1904	5714461	5714846	+	0	NA	Intergenic	Intergenic	9265	ID=evm.model.Herato1904.210-E2;Parent=evm.model.Herato1904.210								
1458	Herato1301	22898483	22899380	+	0	NA	Intergenic	Intergenic	93122	ID=evm.model.Herato1301.769-E9;Parent=evm.model.Herato1301.769								
444	Herato0701	6466654	6467434	+	0	NA	Intergenic	Intergenic	24586	ID=evm.model.Herato0701.284-E1;Parent=evm.model.Herato0701.284								
508	Herato0701	8939833	8940242	+	0	NA	Intergenic	Intergenic	95122	ID=evm.model.Herato0701.375-E9;Parent=evm.model.Herato0701.375								
3627	Herato0310	400969	401249	+	0	NA	Intergenic	Intergenic	-1254	ID=evm.model.Herato0310.10-E8;Parent=evm.model.Herato0310.10								
1336	Herato1003	4512935	4513098	+	0	NA	Intergenic	Intergenic	-13832	ID=evm.model.Herato1003.143-E2;Parent=evm.model.Herato1003.143								
39	Herato0601	1302059	1302284	+	0	NA	Intergenic	Intergenic	-17904	ID=evm.model.Herato0601.15-E2;Parent=evm.model.Herato0601.15								
3260	Herato1801	3062165	3062586	+	0	NA	promoter-TSS (ID=evm.model.Herato1801.110-E8;Parent=evm.model.Herato1801.110)	-promoter-TSS (ID=evm.model.Herato1801.110-E8;Parent=evm.model.Herato1801.110)	-323	ID=evm.model.Herato1801.110-E8;Parent=evm.model.Herato1801.110								
1089	Herato1202	20255966	20256482	+	0	NA	Intergenic	Intergenic	-9420	ID=evm.model.Herato1202.819-E2;Parent=evm.model.Herato1202.819								
558	Herato1108	9187320	9187867	+	0	NA	Intergenic	Intergenic	-2615	ID=evm.model.Herato1108.395.1-E2;Parent=evm.model.Herato1108.395.1								
12	Herato0508	1283728	1284207	+	0	NA	Intergenic	Intergenic	19686	ID=evm.model.Herato0508.60-E2;Parent=evm.model.Herato0508.60								
3200	Herato0301	3140448	3141001	+	0	NA	Intergenic	Intergenic	4448	ID=evm.model.Herato0301.81.3-E1;Parent=evm.model.Herato0301.81.3								
3036	Herato1603	2334213	2334928	+	0	NA	Intergenic	Intergenic	-21170	ID=evm.model.Herato1603.64-E1;Parent=evm.model.Herato1603.64								
1554	Herato1007	2512938	2513359	+	0	NA	Intergenic	Intergenic	-56756	ID=evm.model.Herato1007.91-E1;Parent=evm.model.Herato1007.91								
2168	Herato1701	4930446	4930888	+	0	NA	Intergenic	Intergenic	-32235	ID=evm.model.Herato1701.112-E1;Parent=evm.model.Herato1701.112								
