PeakID (cmd=annotatePeaks.pl development_D2_p05FC1_eratoUnique_D2up.bed /home/rpapa/sbelleghem/share/REF/H_erato_dem/Herato_final.fasta -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_erato_demophoon_v1.gff3 -annStats development_D2_p05FC1_eratoUnique_D2up_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
3109	Herato1507	4878887	4879809	+	0	NA	TTS (ID=evm.model.Herato1507.164-E2;Parent=evm.model.Herato1507.164)	-TTS (ID=evm.model.Herato1507.164-E2;Parent=evm.model.Herato1507.164)	318	ID=evm.model.Herato1507.164-E2;Parent=evm.model.Herato1507.164								
3919	Herato1202	19191971	19192188	+	0	NA	Intergenic	Intergenic	1425	ID=evm.model.Herato1202.776-E5;Parent=evm.model.Herato1202.776								
728	Herato0101	10303490	10304322	+	0	NA	Intergenic	Intergenic	1860	ID=evm.model.Herato0101.299-E1;Parent=evm.model.Herato0101.299								
1244	Herato0701	16763077	16763295	+	0	NA	promoter-TSS (ID=evm.model.Herato0701.715-E4;Parent=evm.model.Herato0701.715)	-promoter-TSS (ID=evm.model.Herato0701.715-E4;Parent=evm.model.Herato0701.715)	30	ID=evm.model.Herato0701.715-E4;Parent=evm.model.Herato0701.715								
1638	Herato0901	1643460	1643950	+	0	NA	Intergenic	Intergenic	-6553	ID=evm.model.Herato0901.59-E2;Parent=evm.model.Herato0901.59								
5060	Herato0411	6363824	6364481	+	0	NA	Intergenic	Intergenic	-13670	ID=evm.model.Herato0411.154-E2;Parent=evm.model.Herato0411.154								
3936	Herato2001	13115508	13115740	+	0	NA	Intergenic	Intergenic	-3796	ID=evm.model.Herato2001.528-E1;Parent=evm.model.Herato2001.528								
29	Herato0508	1275953	1276500	+	0	NA	Intergenic	Intergenic	-26157	ID=evm.model.Herato0508.94-E1;Parent=evm.model.Herato0508.94								
5831	Herato1701	5020469	5020824	+	0	NA	Intergenic	Intergenic	25050	ID=evm.model.Herato1701.113-E3;Parent=evm.model.Herato1701.113								
6541	Herato2001	821380	821806	+	0	NA	Intergenic	Intergenic	-111129	ID=evm.model.Herato2001.18.1.1-E1;Parent=evm.model.Herato2001.18.1.1								
350	Herato1005	1070307	1071577	+	0	NA	TTS (ID=evm.model.Herato1005.69.2-E1;Parent=evm.model.Herato1005.69.2)	-TTS (ID=evm.model.Herato1005.69.2-E1;Parent=evm.model.Herato1005.69.2)	485	ID=evm.model.Herato1005.69.2-E1;Parent=evm.model.Herato1005.69.2								
4087	Herato1301	3451520	3451856	+	0	NA	Intergenic	Intergenic	-27932	ID=evm.model.Herato1301.96.2-E1;Parent=evm.model.Herato1301.96.2								
1969	Herato1408	4270806	4272183	+	0	NA	Intergenic	Intergenic	4248	ID=evm.model.Herato1408.153-E4;Parent=evm.model.Herato1408.153								
6233	Herato2101	6924158	6924331	+	0	NA	Intergenic	Intergenic	-3777	ID=evm.model.Herato2101.246-E1;Parent=evm.model.Herato2101.246								
1810	Herato0901	6753033	6753338	+	0	NA	Intergenic	Intergenic	30042	ID=evm.model.Herato0901.233-E5;Parent=evm.model.Herato0901.233								
2203	Herato1301	13747830	13748903	+	0	NA	Intergenic	Intergenic	-16848	ID=evm.model.Herato1301.530-E2;Parent=evm.model.Herato1301.530								
6358	Herato1901	2471609	2472497	+	0	NA	promoter-TSS (ID=evm.model.Herato1901.77-E1;Parent=evm.model.Herato1901.77)	-promoter-TSS (ID=evm.model.Herato1901.77-E1;Parent=evm.model.Herato1901.77)	-301	ID=evm.model.Herato1901.77-E1;Parent=evm.model.Herato1901.77								
4358	Herato1805	517197	517563	+	0	NA	Intergenic	Intergenic	3214	ID=evm.model.Herato1805.29.1-E1;Parent=evm.model.Herato1805.29.1								
2754	Herato1007	4837922	4838258	+	0	NA	Intergenic	Intergenic	-10554	ID=evm.model.Herato1007.194.1-E4;Parent=evm.model.Herato1007.194.1								
1546	Herato0821	2775145	2775752	+	0	NA	TTS (ID=evm.model.Herato0821.105-E10;Parent=evm.model.Herato0821.105)	-TTS (ID=evm.model.Herato0821.105-E10;Parent=evm.model.Herato0821.105)	281	ID=evm.model.Herato0821.105-E10;Parent=evm.model.Herato0821.105								
2994	Herato1505	3305379	3305617	+	0	NA	Intergenic	Intergenic	-7585	ID=evm.model.Herato1505.142.2-E3;Parent=evm.model.Herato1505.142.2								
6587	Herato2101	11569472	11570279	+	0	NA	Intergenic	Intergenic	-3913	ID=evm.model.Herato2101.388-E5;Parent=evm.model.Herato2101.388								
4003	Herato1703	314093	314510	+	0	NA	Intergenic	Intergenic	38228	ID=evm.model.Herato1703.2.1-E8;Parent=evm.model.Herato1703.2.1								
3256	Herato1108	13299073	13300005	+	0	NA	Intergenic	Intergenic	-11560	ID=evm.model.Herato1108.567-E1;Parent=evm.model.Herato1108.567								
311	Herato1005	346417	346747	+	0	NA	Intergenic	Intergenic	-1480	ID=evm.model.Herato1005.30-E5;Parent=evm.model.Herato1005.30								
4537	Herato1301	20953561	20953694	+	0	NA	Intergenic	Intergenic	-14939	ID=evm.model.Herato1301.715-E1;Parent=evm.model.Herato1301.715								
4836	Herato0214	912693	913158	+	0	NA	promoter-TSS (ID=evm.model.Herato0214.50-E1;Parent=evm.model.Herato0214.50)	-promoter-TSS (ID=evm.model.Herato0214.50-E1;Parent=evm.model.Herato0214.50)	-913	ID=evm.model.Herato0214.50-E1;Parent=evm.model.Herato0214.50								
3844	Herato1202	17130816	17131228	+	0	NA	TTS (ID=evm.model.Herato1202.698-E9;Parent=evm.model.Herato1202.698)	-TTS (ID=evm.model.Herato1202.698-E9;Parent=evm.model.Herato1202.698)	664	ID=evm.model.Herato1202.698-E9;Parent=evm.model.Herato1202.698								
825	Herato1108	2599661	2599823	+	0	NA	Intergenic	Intergenic	-5457	ID=evm.model.Herato1108.77-E5;Parent=evm.model.Herato1108.77								
917	Herato0701	7448477	7448859	+	0	NA	Intergenic	Intergenic	2932	ID=evm.model.Herato0701.334-E3;Parent=evm.model.Herato0701.334								
3431	Herato1202	4140184	4140384	+	0	NA	Intergenic	Intergenic	7505	ID=evm.model.Herato1202.145-E2;Parent=evm.model.Herato1202.145								
6003	Herato2001	12677988	12678721	+	0	NA	Intergenic	Intergenic	2839	ID=evm.model.Herato2001.483.3-E2;Parent=evm.model.Herato2001.483.3								
4977	Herato2001	3530151	3530441	+	0	NA	promoter-TSS (ID=evm.model.Herato2001.104-E5;Parent=evm.model.Herato2001.104)	-promoter-TSS (ID=evm.model.Herato2001.104-E5;Parent=evm.model.Herato2001.104)	42	ID=evm.model.Herato2001.104.2-E5;Parent=evm.model.Herato2001.104.2								
495	Herato1005	4155869	4156064	+	0	NA	Intergenic	Intergenic	-24830	ID=evm.model.Herato1005.189-E2;Parent=evm.model.Herato1005.189								
4501	Herato0310	448840	449172	+	0	NA	Intergenic	Intergenic	-15957	ID=evm.model.Herato0310.10-E7;Parent=evm.model.Herato0310.10								
3889	Herato1701	6475237	6475421	+	0	NA	Intergenic	Intergenic	1741	ID=evm.model.Herato1701.184-E3;Parent=evm.model.Herato1701.184								
3302	Herato1202	524200	524364	+	0	NA	promoter-TSS (ID=evm.model.Herato1202.26-E3;Parent=evm.model.Herato1202.26)	-promoter-TSS (ID=evm.model.Herato1202.26-E3;Parent=evm.model.Herato1202.26)	-438	ID=evm.model.Herato1202.26-E3;Parent=evm.model.Herato1202.26								
2086	Herato1001	3658526	3658690	+	0	NA	Intergenic	Intergenic	-1026	ID=evm.model.Herato1001.119-E1;Parent=evm.model.Herato1001.119								
1322	Herato1202	3713712	3714322	+	0	NA	TTS (ID=evm.model.Herato1202.125-E4;Parent=evm.model.Herato1202.125)	-TTS (ID=evm.model.Herato1202.125-E4;Parent=evm.model.Herato1202.125)	694	ID=evm.model.Herato1202.125-E4;Parent=evm.model.Herato1202.125								
1816	Herato1202	19500932	19501140	+	0	NA	Intergenic	Intergenic	13027	ID=evm.model.Herato1202.790-E1;Parent=evm.model.Herato1202.790								
5804	Herato2001	7263546	7264501	+	0	NA	Intergenic	Intergenic	2444	ID=evm.model.Herato2001.279-E10;Parent=evm.model.Herato2001.279								
5174	Herato1507	3541204	3541553	+	0	NA	promoter-TSS (ID=evm.model.Herato1507.133-E2;Parent=evm.model.Herato1507.133)	-promoter-TSS (ID=evm.model.Herato1507.133-E2;Parent=evm.model.Herato1507.133)	6	ID=evm.model.Herato1507.133-E2;Parent=evm.model.Herato1507.133								
2460	Herato1805	5885428	5886325	+	0	NA	Intergenic	Intergenic	-6814	ID=evm.model.Herato1805.158-E1;Parent=evm.model.Herato1805.158								
4293	Herato1301	13301608	13302378	+	0	NA	Intergenic	Intergenic	4385	ID=evm.model.Herato1301.506-E1;Parent=evm.model.Herato1301.506								
2699	Herato1807	2725665	2725918	+	0	NA	Intergenic	Intergenic	-3804	ID=evm.model.Herato1807.52-E1;Parent=evm.model.Herato1807.52								
5067	Herato1904	1883597	1884013	+	0	NA	TTS (ID=evm.model.Herato1904.72-E2;Parent=evm.model.Herato1904.72)	-TTS (ID=evm.model.Herato1904.72-E2;Parent=evm.model.Herato1904.72)	916	ID=evm.model.Herato1904.72-E2;Parent=evm.model.Herato1904.72								
1259	Herato1202	1302454	1302710	+	0	NA	Intergenic	Intergenic	1261	ID=evm.model.Herato1202.53-E15;Parent=evm.model.Herato1202.53								
5464	Herato1601	5026116	5026683	+	0	NA	Intergenic	Intergenic	-7900	ID=evm.model.Herato1601.107-E2;Parent=evm.model.Herato1601.107								
3824	Herato1904	5868632	5868981	+	0	NA	Intergenic	Intergenic	-4378	ID=evm.model.Herato1904.211-E1;Parent=evm.model.Herato1904.211								
3574	Herato1605	1862757	1863019	+	0	NA	promoter-TSS (ID=evm.model.Herato1605.59-E4;Parent=evm.model.Herato1605.59)	-promoter-TSS (ID=evm.model.Herato1605.59-E4;Parent=evm.model.Herato1605.59)	279	ID=evm.model.Herato1605.59-E3;Parent=evm.model.Herato1605.59								
2976	Herato1108	5108936	5109146	+	0	NA	promoter-TSS (ID=evm.model.Herato1108.215-E4;Parent=evm.model.Herato1108.215)	-promoter-TSS (ID=evm.model.Herato1108.215-E4;Parent=evm.model.Herato1108.215)	119	ID=evm.model.Herato1108.215.1-E2;Parent=evm.model.Herato1108.215.1								
5401	Herato1908	2102202	2102821	+	0	NA	Intergenic	Intergenic	3003	ID=evm.model.Herato1908.73-E3;Parent=evm.model.Herato1908.73								
3475	Herato1202	5537179	5537533	+	0	NA	TTS (ID=evm.model.Herato1202.225-E7;Parent=evm.model.Herato1202.225)	-TTS (ID=evm.model.Herato1202.225-E7;Parent=evm.model.Herato1202.225)	151	ID=evm.model.Herato1202.225-E8;Parent=evm.model.Herato1202.225								
4319	Herato1801	4642189	4642729	+	0	NA	Intergenic	Intergenic	-9529	ID=evm.model.Herato1801.154-E16;Parent=evm.model.Herato1801.154								
6327	Herato0503	4742333	4742569	+	0	NA	promoter-TSS (ID=evm.model.Herato0503.134-E1;Parent=evm.model.Herato0503.134)	-promoter-TSS (ID=evm.model.Herato0503.134-E1;Parent=evm.model.Herato0503.134)	-25	ID=evm.model.Herato0503.134-E1;Parent=evm.model.Herato0503.134								
5531	Herato1910	3690901	3691370	+	0	NA	TTS (ID=evm.model.Herato1910.168-E14;Parent=evm.model.Herato1910.168)	-TTS (ID=evm.model.Herato1910.168-E14;Parent=evm.model.Herato1910.168)	141	ID=evm.model.Herato1910.168-E14;Parent=evm.model.Herato1910.168								
3421	Herato1910	2750665	2751373	+	0	NA	Intergenic	Intergenic	-2333	ID=evm.model.Herato1910.145-E5;Parent=evm.model.Herato1910.145								
3238	Herato1108	12410303	12410629	+	0	NA	Intergenic	Intergenic	-6796	ID=evm.model.Herato1108.520-E2;Parent=evm.model.Herato1108.520								
2274	Herato1301	16404599	16405085	+	0	NA	Intergenic	Intergenic	6414	ID=evm.model.Herato1301.590-E2;Parent=evm.model.Herato1301.590								
5938	Herato1701	5331238	5331645	+	0	NA	TTS (ID=evm.model.Herato1701.142-E4;Parent=evm.model.Herato1701.142)	-TTS (ID=evm.model.Herato1701.142-E4;Parent=evm.model.Herato1701.142)	215	ID=evm.model.Herato1701.142-E5;Parent=evm.model.Herato1701.142								
2002	Herato1001	371961	372501	+	0	NA	Intergenic	Intergenic	-6219	ID=evm.model.Herato1001.16-E2;Parent=evm.model.Herato1001.16								
4902	Herato1411	4494024	4494667	+	0	NA	Intergenic	Intergenic	-2362	ID=evm.model.Herato1411.174-E3;Parent=evm.model.Herato1411.174								
4591	Herato1301	22221971	22222531	+	0	NA	Intergenic	Intergenic	6224	ID=evm.model.Herato1301.756-E1;Parent=evm.model.Herato1301.756								
1203	Herato0101	18935477	18936477	+	0	NA	Intergenic	Intergenic	9645	ID=evm.model.Herato0101.748-E1;Parent=evm.model.Herato0101.748								
5508	Herato1807	2517052	2517408	+	0	NA	Intergenic	Intergenic	-7016	ID=evm.model.Herato1807.48-E2;Parent=evm.model.Herato1807.48								
5873	Herato0215	3038159	3038972	+	0	NA	Intergenic	Intergenic	-1479	ID=evm.model.Herato0215.118-E3;Parent=evm.model.Herato0215.118								
4261	Herato1605	2197493	2198124	+	0	NA	Intergenic	Intergenic	10122	ID=evm.model.Herato1605.65.1-E1;Parent=evm.model.Herato1605.65.1								
2088	Herato1301	9666432	9666800	+	0	NA	Intergenic	Intergenic	34688	ID=evm.model.Herato1301.385-E14;Parent=evm.model.Herato1301.385								
1068	Herato1108	8246303	8246930	+	0	NA	promoter-TSS (ID=evm.model.Herato1108.359-E11;Parent=evm.model.Herato1108.359)	-promoter-TSS (ID=evm.model.Herato1108.359-E11;Parent=evm.model.Herato1108.359)	-285	ID=evm.model.Herato1108.359.3.2-E4;Parent=evm.model.Herato1108.359.3.2								
4429	Herato1805	2477260	2477472	+	0	NA	Intergenic	Intergenic	-133754	ID=evm.model.Herato1805.86-E1;Parent=evm.model.Herato1805.86								
486	Herato0606	7028203	7028444	+	0	NA	TTS (ID=evm.model.Herato0606.238-E7;Parent=evm.model.Herato0606.238)	-TTS (ID=evm.model.Herato0606.238-E7;Parent=evm.model.Herato0606.238)	112	ID=evm.model.Herato0606.238-E8;Parent=evm.model.Herato0606.238								
2134	Herato1001	5279574	5279859	+	0	NA	Intergenic	Intergenic	-15740	ID=evm.model.Herato1001.170-E1;Parent=evm.model.Herato1001.170								
1354	Herato0801	3106940	3107241	+	0	NA	Intergenic	Intergenic	2576	ID=evm.model.Herato0801.55-E2;Parent=evm.model.Herato0801.55								
4066	Herato1301	3112373	3112528	+	0	NA	Intergenic	Intergenic	6222	ID=evm.model.Herato1301.85.3-E1;Parent=evm.model.Herato1301.85.3								
4213	Herato2101	7069382	7069659	+	0	NA	Intergenic	Intergenic	-3581	ID=evm.model.Herato2101.253-E14;Parent=evm.model.Herato2101.253								
8	Herato0508	531362	531816	+	0	NA	Intergenic	Intergenic	9802	ID=evm.model.Herato0508.26-E1;Parent=evm.model.Herato0508.26								
3239	Herato1701	7804441	7804978	+	0	NA	TTS (ID=evm.model.Herato1701.230-E10;Parent=evm.model.Herato1701.230)	-TTS (ID=evm.model.Herato1701.230-E10;Parent=evm.model.Herato1701.230)	562	ID=evm.model.Herato1701.230-E10;Parent=evm.model.Herato1701.230								
2359	Herato1003	5747944	5748141	+	0	NA	Intergenic	Intergenic	-4363	ID=evm.model.Herato1003.190-E1;Parent=evm.model.Herato1003.190								
5309	Herato0503	4273044	4273572	+	0	NA	Intergenic	Intergenic	-2619	ID=evm.model.Herato0503.131-E1;Parent=evm.model.Herato0503.131								
2045	Herato1301	6900181	6900513	+	0	NA	Intergenic	Intergenic	4880	ID=evm.model.Herato1301.255-E11;Parent=evm.model.Herato1301.255								
686	Herato0609	1415770	1416173	+	0	NA	Intergenic	Intergenic	1557	ID=evm.model.Herato0609.86-E4;Parent=evm.model.Herato0609.86								
5310	Herato1910	4009100	4009824	+	0	NA	Intergenic	Intergenic	-68861	ID=evm.model.Herato1910.174-E1;Parent=evm.model.Herato1910.174								
3149	Herato1108	10476404	10476659	+	0	NA	Intergenic	Intergenic	-8181	ID=evm.model.Herato1108.458-E1;Parent=evm.model.Herato1108.458								
6375	Herato0411	345695	346240	+	0	NA	Intergenic	Intergenic	2902	ID=evm.model.Herato0411.13-E6;Parent=evm.model.Herato0411.13								
943	Herato0101	10988610	10989359	+	0	NA	promoter-TSS (ID=evm.model.Herato0101.314-E8;Parent=evm.model.Herato0101.314)	-promoter-TSS (ID=evm.model.Herato0101.314-E8;Parent=evm.model.Herato0101.314)	-59	ID=evm.model.Herato0101.314-E8;Parent=evm.model.Herato0101.314								
1887	Herato0901	10428758	10429510	+	0	NA	TTS (ID=evm.model.Herato0901.320.1-E1;Parent=evm.model.Herato0901.320.1)	-TTS (ID=evm.model.Herato0901.320.1-E1;Parent=evm.model.Herato0901.320.1)	107	ID=evm.model.Herato0901.320.1-E1;Parent=evm.model.Herato0901.320.1								
4258	Herato2101	9014840	9015294	+	0	NA	Intergenic	Intergenic	-97191	ID=evm.model.Herato2101.309-E1;Parent=evm.model.Herato2101.309								
1585	Herato1701	1767644	1768300	+	0	NA	Intergenic	Intergenic	-3979	ID=evm.model.Herato1701.55-E2;Parent=evm.model.Herato1701.55								
4709	Herato1408	2868668	2869432	+	0	NA	Intergenic	Intergenic	-3522	ID=evm.model.Herato1408.85-E3;Parent=evm.model.Herato1408.85								
4993	Herato1904	7547680	7548131	+	0	NA	promoter-TSS (ID=evm.model.Herato1904.264.1-E1;Parent=evm.model.Herato1904.264.1)	-promoter-TSS (ID=evm.model.Herato1904.264.1-E1;Parent=evm.model.Herato1904.264.1)	-825	ID=evm.model.Herato1904.264.1-E1;Parent=evm.model.Herato1904.264.1								
6631	Herato1807	5252660	5253011	+	0	NA	Intergenic	Intergenic	27906	ID=evm.model.Herato1807.128-E2;Parent=evm.model.Herato1807.128								
4474	Herato1301	19156726	19157009	+	0	NA	Intergenic	Intergenic	9264	ID=evm.model.Herato1301.668.1-E1;Parent=evm.model.Herato1301.668.1								
2705	Herato1411	464039	464540	+	0	NA	Intergenic	Intergenic	-1597	ID=evm.model.Herato1411.7.3-E2;Parent=evm.model.Herato1411.7.3								
690	Herato0701	58283	58530	+	0	NA	Intergenic	Intergenic	19726	ID=evm.model.Herato0701.1-E6;Parent=evm.model.Herato0701.1								
5825	Herato0301	3293474	3294087	+	0	NA	Intergenic	Intergenic	13948	ID=evm.model.Herato0301.87-E1;Parent=evm.model.Herato0301.87								
61	Herato1003	407658	408013	+	0	NA	Intergenic	Intergenic	-17021	ID=evm.model.Herato1003.11-E1;Parent=evm.model.Herato1003.11								
4475	Herato0301	4581730	4582248	+	0	NA	Intergenic	Intergenic	-1871	ID=evm.model.Herato0301.113-E6;Parent=evm.model.Herato0301.113								
5215	Herato0503	1703828	1704007	+	0	NA	Intergenic	Intergenic	1785	ID=evm.model.Herato0503.60-E2;Parent=evm.model.Herato0503.60								
5970	Herato1701	6238913	6239362	+	0	NA	Intergenic	Intergenic	-40731	ID=evm.model.Herato1701.174.1-E1;Parent=evm.model.Herato1701.174.1								
4094	Herato1705	1161471	1161792	+	0	NA	Intergenic	Intergenic	-21558	ID=evm.model.Herato1705.13-E1;Parent=evm.model.Herato1705.13								
3540	Herato2001	1272498	1272799	+	0	NA	Intergenic	Intergenic	8704	ID=evm.model.Herato2001.22-E1;Parent=evm.model.Herato2001.22								
6421	Herato0405	1553896	1554172	+	0	NA	Intergenic	Intergenic	-18376	ID=evm.model.Herato0405.48-E1;Parent=evm.model.Herato0405.48								
4704	Herato1408	2704181	2704451	+	0	NA	Intergenic	Intergenic	-3829	ID=evm.model.Herato1408.74-E4;Parent=evm.model.Herato1408.74								
2394	Herato1301	20157425	20157630	+	0	NA	Intergenic	Intergenic	8863	ID=evm.model.Herato1301.689-E3;Parent=evm.model.Herato1301.689								
1266	Herato0701	18002644	18002908	+	0	NA	Intergenic	Intergenic	11627	ID=evm.model.Herato0701.743-E2;Parent=evm.model.Herato0701.743								
6578	Herato2001	11279076	11280078	+	0	NA	exon (ID=evm.model.Herato2001.430-E6;Parent=evm.model.Herato2001.430, exon 1 of 1)	-exon (ID=evm.model.Herato2001.430-E6;Parent=evm.model.Herato2001.430, exon 1 of 1)	325	ID=evm.model.Herato2001.430-E6;Parent=evm.model.Herato2001.430								
6076	Herato1701	10523129	10523443	+	0	NA	TTS (ID=evm.model.Herato1701.359-E11;Parent=evm.model.Herato1701.359)	-TTS (ID=evm.model.Herato1701.359-E11;Parent=evm.model.Herato1701.359)	1154	ID=evm.model.Herato1701.359.1-E11;Parent=evm.model.Herato1701.359.1								
5780	Herato2001	13785555	13786106	+	0	NA	promoter-TSS (ID=evm.model.Herato2001.549-E3;Parent=evm.model.Herato2001.549)	-promoter-TSS (ID=evm.model.Herato2001.549-E3;Parent=evm.model.Herato2001.549)	-939	ID=evm.model.Herato2001.549-E3;Parent=evm.model.Herato2001.549								
3419	Herato1202	3739104	3739373	+	0	NA	Intergenic	Intergenic	1900	ID=evm.model.Herato1202.128-E9;Parent=evm.model.Herato1202.128								
3326	Herato1601	2817359	2817636	+	0	NA	Intergenic	Intergenic	-17551	ID=evm.model.Herato1601.65-E1;Parent=evm.model.Herato1601.65								
5433	Herato1910	481480	481793	+	0	NA	Intergenic	Intergenic	-3738	ID=evm.model.Herato1910.43.6-E2;Parent=evm.model.Herato1910.43.6								
