PeakID (cmd=annotatePeaks.pl development_D2_p05FC1_shared_D2down_melpCoords.bed /work/rpapa/share/REF/Hmel2/Hmel2.fa -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_melpomene_melpomene_Hmel2.gff3 -annStats development_D2_p05FC1_shared_D2down_melpCoords_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
512	Hmel212011	951332	951986	+	0	NA	Intergenic	Intergenic	-7828	ID=HMEL012672g1.t1-E1;Parent=HMEL012672g1.t1								
463	Hmel212001	5984978	5985406	+	0	NA	Intergenic	Intergenic	3145	ID=HMEL031459g1.t1-E2;Parent=HMEL031459g1.t1								
517	Hmel212013	211328	212027	+	0	NA	Intergenic	Intergenic	17527	ID=HMEL017584g1.t1-E7;Parent=HMEL017584g1.t1								
458	Hmel212001	4631421	4631967	+	0	NA	promoter-TSS (ID=HMEL005535g1.t1-E7;Parent=HMEL005535g1.t1)	-promoter-TSS (ID=HMEL005535g1.t1-E7;Parent=HMEL005535g1.t1)	-13	ID=HMEL005535g1.t1-E7;Parent=HMEL005535g1.t1								
451	Hmel212001	3244982	3245716	+	0	NA	promoter-TSS (ID=HMEL004107g2.t1-E1;Parent=HMEL004107g2.t1)	-promoter-TSS (ID=HMEL004107g2.t1-E1;Parent=HMEL004107g2.t1)	-324	ID=HMEL004107g2.t1-E1;Parent=HMEL004107g2.t1								
454	Hmel212001	3588563	3589020	+	0	NA	Intergenic	Intergenic	-4793	ID=HMEL013201g3.t3-E3;Parent=HMEL013201g3.t3								
722	Hmel216011	1844342	1844956	+	0	NA	Intergenic	Intergenic	-12279	ID=HMEL010238g1.t1-E1;Parent=HMEL010238g1.t1								
634	Hmel213069	1178639	1179081	+	0	NA	Intergenic	Intergenic	3233	ID=HMEL016100g1.t1-E10;Parent=HMEL016100g1.t1								
1109	Hmel203048	415406	416409	+	0	NA	Intergenic	Intergenic	-11088	ID=HMEL036097g1.t1-E1;Parent=HMEL036097g1.t1								
578	Hmel213022	4865	5459	+	0	NA	promoter-TSS (ID=HMEL014213g1.t1-E7;Parent=HMEL014213g1.t1)	-promoter-TSS (ID=HMEL014213g1.t1-E7;Parent=HMEL014213g1.t1)	-65	ID=HMEL014213g1.t1-E7;Parent=HMEL014213g1.t1								
695	Hmel215047	1346417	1346661	+	0	NA	TTS (ID=HMEL012762g1.t1-E1;Parent=HMEL012762g1.t1)	-TTS (ID=HMEL012762g1.t1-E1;Parent=HMEL012762g1.t1)	630	ID=HMEL012762g1.t1-E1;Parent=HMEL012762g1.t1								
978	Hmel220005	663397	664318	+	0	NA	TTS (ID=HMEL012263g1.t1-E2;Parent=HMEL012263g1.t1)	-TTS (ID=HMEL012263g1.t1-E2;Parent=HMEL012263g1.t1)	390	ID=HMEL012263g1.t1-E2;Parent=HMEL012263g1.t1								
728	Hmel216013	581214	582058	+	0	NA	promoter-TSS (ID=HMEL011706g1.t1-E2;Parent=HMEL011706g1.t1)	-promoter-TSS (ID=HMEL011706g1.t1-E2;Parent=HMEL011706g1.t1)	-606	ID=HMEL011706g1.t1-E2;Parent=HMEL011706g1.t1								
742	Hmel217004	1118087	1118532	+	0	NA	TTS (ID=HMEL006590g1.t1-E1;Parent=HMEL006590g1.t1)	-TTS (ID=HMEL006590g1.t1-E1;Parent=HMEL006590g1.t1)	1271	ID=HMEL006590g1.t1-E1;Parent=HMEL006590g1.t1								
378	Hmel211004	3223091	3223638	+	0	NA	promoter-TSS (ID=HMEL006237g1.t1-E2;Parent=HMEL006237g1.t1)	-promoter-TSS (ID=HMEL006237g1.t1-E2;Parent=HMEL006237g1.t1)	62	ID=HMEL006237g1.t1-E2;Parent=HMEL006237g1.t1								
325	Hmel210011	4374800	4376041	+	0	NA	Intergenic	Intergenic	42614	ID=HMEL009080g1.t1-E3;Parent=HMEL009080g1.t1								
29	Hmel206009	2008211	2008903	+	0	NA	Intergenic	Intergenic	-18544	ID=HMEL037036g1.t1-E1;Parent=HMEL037036g1.t1								
889	Hmel219003	1391806	1392080	+	0	NA	TTS (ID=HMEL016974g1.t1-E8;Parent=HMEL016974g1.t1)	-TTS (ID=HMEL016974g1.t1-E8;Parent=HMEL016974g1.t1)	685	ID=HMEL016974g1.t1-E9;Parent=HMEL016974g1.t1								
350	Hmel211004	233535	233895	+	0	NA	TTS (ID=HMEL031015g1.t1-E5;Parent=HMEL031015g1.t1)	-TTS (ID=HMEL031015g1.t1-E5;Parent=HMEL031015g1.t1)	887	ID=HMEL031015g1.t1-E5;Parent=HMEL031015g1.t1								
540	Hmel212013	3185593	3185938	+	0	NA	Intergenic	Intergenic	-4593	ID=HMEL012337g2.t1-E1;Parent=HMEL012337g2.t1								
1162	Hmel205012	379182	379504	+	0	NA	Intergenic	Intergenic	-19110	ID=HMEL007222g1.t1-E1;Parent=HMEL007222g1.t1								
58	Hmel206012	1608946	1609596	+	0	NA	Intergenic	Intergenic	-8410	ID=HMEL037141g1.t1-E1;Parent=HMEL037141g1.t1								
684	Hmel215028	966856	967771	+	0	NA	Intergenic	Intergenic	-6320	ID=HMEL032753g1.t1-E1;Parent=HMEL032753g1.t1								
211	Hmel209001	945861	946128	+	0	NA	Intergenic	Intergenic	-1310	ID=HMEL015014g1.t1-E1;Parent=HMEL015014g1.t1								
153	Hmel207021	689719	690171	+	0	NA	Intergenic	Intergenic	-10400	ID=HMEL037679g1.t1-E1;Parent=HMEL037679g1.t1								
861	Hmel202006	2496014	2496802	+	0	NA	Intergenic	Intergenic	-13095	ID=HMEL008673g2.t1-E1;Parent=HMEL008673g2.t1								
337	Hmel210011	5434704	5436470	+	0	NA	Intergenic	Intergenic	-11746	ID=HMEL009186g1.t1-E1;Parent=HMEL009186g1.t1								
101	Hmel207002	2676683	2677240	+	0	NA	Intergenic	Intergenic	16766	ID=HMEL010303g1.t1-E2;Parent=HMEL010303g1.t1								
340	Hmel201011	1487158	1487442	+	0	NA	promoter-TSS (ID=HMEL011387g1.t1-E44;Parent=HMEL011387g1.t1)	-promoter-TSS (ID=HMEL011387g1.t1-E44;Parent=HMEL011387g1.t1)	-623	ID=HMEL011387g1.t1-E44;Parent=HMEL011387g1.t1								
76	Hmel207002	532340	533193	+	0	NA	promoter-TSS (ID=HMEL009519g1.t1-E3;Parent=HMEL009519g1.t1)	-promoter-TSS (ID=HMEL009519g1.t1-E3;Parent=HMEL009519g1.t1)	432	ID=HMEL009519g1.t1-E2;Parent=HMEL009519g1.t1								
311	Hmel210011	2905310	2905606	+	0	NA	promoter-TSS (ID=HMEL030883g1.t1-E1;Parent=HMEL030883g1.t1)	-promoter-TSS (ID=HMEL030883g1.t1-E1;Parent=HMEL030883g1.t1)	52	ID=HMEL030883g1.t1-E1;Parent=HMEL030883g1.t1								
982	Hmel220005	804696	805520	+	0	NA	promoter-TSS (ID=HMEL035063g1.t1-E1;Parent=HMEL035063g1.t1)	-promoter-TSS (ID=HMEL035063g1.t1-E1;Parent=HMEL035063g1.t1)	-221	ID=HMEL035063g1.t1-E1;Parent=HMEL035063g1.t1								
571	Hmel213013	299418	300167	+	0	NA	Intergenic	Intergenic	-1995	ID=HMEL015364g1.t1-E2;Parent=HMEL015364g1.t1								
825	Hmel218018	928975	929896	+	0	NA	Intergenic	Intergenic	-15672	ID=HMEL034358g1.t1-E1;Parent=HMEL034358g1.t1								
389	Hmel211010	215925	216879	+	0	NA	TTS (ID=HMEL006520g1.t1-E1;Parent=HMEL006520g1.t1)	-TTS (ID=HMEL006520g1.t1-E1;Parent=HMEL006520g1.t1)	507	ID=HMEL006520g1.t1-E1;Parent=HMEL006520g1.t1								
917	Hmel219003	6565293	6565845	+	0	NA	Intergenic	Intergenic	-8071	ID=HMEL002690g1.t1-E1;Parent=HMEL002690g1.t1								
495	Hmel201019	476261	477948	+	0	NA	promoter-TSS (ID=HMEL033110g1.t1-E2;Parent=HMEL033110g1.t1)	-promoter-TSS (ID=HMEL033110g1.t1-E2;Parent=HMEL033110g1.t1)	185	ID=HMEL033110g1.t1-E1;Parent=HMEL033110g1.t1								
1171	Hmel205012	1056402	1056699	+	0	NA	Intergenic	Intergenic	7916	ID=HMEL017894g4.t1-E10;Parent=HMEL017894g4.t1								
1123	Hmel203069	379308	379543	+	0	NA	Intergenic	Intergenic	-4930	ID=HMEL036176g1.t1-E3;Parent=HMEL036176g1.t1								
966	Hmel220003	1570361	1571238	+	0	NA	Intergenic	Intergenic	1680	ID=HMEL034999g1.t1-E1;Parent=HMEL034999g1.t1								
992	Hmel220005	3244502	3245568	+	0	NA	Intergenic	Intergenic	1577	ID=HMEL035177g1.t1-E2;Parent=HMEL035177g1.t1								
758	Hmel217004	2585697	2586062	+	0	NA	Intergenic	Intergenic	4815	ID=HMEL033817g1.t1-E2;Parent=HMEL033817g1.t1								
236	Hmel209007	2529969	2530450	+	0	NA	Intergenic	Intergenic	-4431	ID=HMEL002207g1.t1-E2;Parent=HMEL002207g1.t1								
706	Hmel216009	1552519	1553000	+	0	NA	Intergenic	Intergenic	-1281	ID=HMEL008833g1.t1-E2;Parent=HMEL008833g1.t1								
218	Hmel201009	4523559	4524199	+	0	NA	Intergenic	Intergenic	-8419	ID=HMEL030250g1.t1-E1;Parent=HMEL030250g1.t1								
1172	Hmel205012	1267707	1268375	+	0	NA	Intergenic	Intergenic	-9744	ID=HMEL017902g2.t1-E1;Parent=HMEL017902g2.t1								
14	Hmel201002	563040	563833	+	0	NA	Intergenic	Intergenic	22657	ID=HMEL030020g1.t1-E2;Parent=HMEL030020g1.t1								
834	Hmel218018	2632521	2633555	+	0	NA	Intergenic	Intergenic	4054	ID=HMEL034393g1.t1-E2;Parent=HMEL034393g1.t1								
285	Hmel210009	170516	170921	+	0	NA	Intergenic	Intergenic	-4953	ID=HMEL030795g1.t1-E1;Parent=HMEL030795g1.t1								
234	Hmel209007	2018098	2018698	+	0	NA	Intergenic	Intergenic	1934	ID=HMEL030413g1.t1-E4;Parent=HMEL030413g1.t1								
594	Hmel213044	648868	649407	+	0	NA	Intergenic	Intergenic	28571	ID=HMEL017299g1.t1-E1;Parent=HMEL017299g1.t1								
1135	Hmel204001	1424227	1424835	+	0	NA	Intergenic	Intergenic	1759	ID=HMEL003677g1.t1-E4;Parent=HMEL003677g1.t1								
96	Hmel201009	1972817	1973150	+	0	NA	Intergenic	Intergenic	-2645	ID=HMEL015802g1.t1-E1;Parent=HMEL015802g1.t1								
1068	Hmel221015	733544	734026	+	0	NA	Intergenic	Intergenic	1772	ID=HMEL008471g6.t1-E3;Parent=HMEL008471g6.t1								
486	Hmel212006	176596	176884	+	0	NA	Intergenic	Intergenic	-8674	ID=HMEL002721g1.t1-E1;Parent=HMEL002721g1.t1								
160	Hmel207021	2020597	2021133	+	0	NA	Intergenic	Intergenic	1550	ID=HMEL037714g1.t1-E1;Parent=HMEL037714g1.t1								
569	Hmel213013	142532	143159	+	0	NA	Intergenic	Intergenic	5599	ID=HMEL015354g1.t1-E7;Parent=HMEL015354g1.t1								
8	Hmel201009	221712	222309	+	0	NA	Intergenic	Intergenic	6261	ID=HMEL030122g1.t1-E1;Parent=HMEL030122g1.t1								
98	Hmel207002	2287571	2288219	+	0	NA	Intergenic	Intergenic	15977	ID=HMEL037400g1.t1-E1;Parent=HMEL037400g1.t1								
1048	Hmel221012	662580	663463	+	0	NA	exon (ID=HMEL008824g1.t1-E1;Parent=HMEL008824g1.t1, exon 1 of 1)	-exon (ID=HMEL008824g1.t1-E1;Parent=HMEL008824g1.t1, exon 1 of 1)	465	ID=HMEL008824g1.t1-E1;Parent=HMEL008824g1.t1								
1000	Hmel220005	4209321	4209921	+	0	NA	Intergenic	Intergenic	-11088	ID=HMEL035200g1.t1-E1;Parent=HMEL035200g1.t1								
1061	Hmel221012	2726841	2727507	+	0	NA	Intergenic	Intergenic	15201	ID=HMEL035612g1.t1-E2;Parent=HMEL035612g1.t1								
43	Hmel206009	2989491	2989968	+	0	NA	promoter-TSS (ID=HMEL003211g1.t1-E1;Parent=HMEL003211g1.t1)	-promoter-TSS (ID=HMEL003211g1.t1-E1;Parent=HMEL003211g1.t1)	-324	ID=HMEL003211g1.t1-E1;Parent=HMEL003211g1.t1								
686	Hmel215035	79757	82025	+	0	NA	promoter-TSS (ID=HMEL032810g1.t1-E3;Parent=HMEL032810g1.t1)	-promoter-TSS (ID=HMEL032810g1.t1-E3;Parent=HMEL032810g1.t1)	-238	ID=HMEL032810g1.t1-E3;Parent=HMEL032810g1.t1								
391	Hmel201011	2322298	2322841	+	0	NA	TTS (ID=HMEL022601g1.t1-E4;Parent=HMEL022601g1.t1)	-TTS (ID=HMEL022601g1.t1-E4;Parent=HMEL022601g1.t1)	1390	ID=HMEL022601g1.t1-E4;Parent=HMEL022601g1.t1								
943	Hmel219014	1832064	1834162	+	0	NA	Intergenic	Intergenic	-1507	ID=HMEL008057g1.t1-E4;Parent=HMEL008057g1.t1								
288	Hmel210009	427536	428006	+	0	NA	Intergenic	Intergenic	-12429	ID=HMEL005949g1.t1-E1;Parent=HMEL005949g1.t1								
193	Hmel208026	105148	105750	+	0	NA	Intergenic	Intergenic	8125	ID=HMEL002366g4.t1-E1;Parent=HMEL002366g4.t1								
119	Hmel207002	6080142	6080761	+	0	NA	Intergenic	Intergenic	-29820	ID=HMEL017796g2.t1-E1;Parent=HMEL017796g2.t1								
586	Hmel213025	211091	211662	+	0	NA	Intergenic	Intergenic	-2473	ID=HMEL006016g1.t1-E3;Parent=HMEL006016g1.t1								
180	Hmel207031	128975	129389	+	0	NA	Intergenic	Intergenic	-3218	ID=HMEL037777g1.t1-E2;Parent=HMEL037777g1.t1								
410	Hmel211015	274633	275216	+	0	NA	Intergenic	Intergenic	-10904	ID=HMEL031249g1.t1-E1;Parent=HMEL031249g1.t1								
246	Hmel209007	5144394	5144903	+	0	NA	Intergenic	Intergenic	26741	ID=HMEL011591g1.t2-E2;Parent=HMEL011591g1.t2								
999	Hmel220005	4197310	4197637	+	0	NA	Intergenic	Intergenic	-6449	ID=HMEL035199g1.t1-E1;Parent=HMEL035199g1.t1								
690	Hmel215047	502010	502507	+	0	NA	Intergenic	Intergenic	33327	ID=HMEL032869g1.t1-E2;Parent=HMEL032869g1.t1								
1168	Hmel205012	980930	981281	+	0	NA	Intergenic	Intergenic	1586	ID=HMEL017894g1.t1-E2;Parent=HMEL017894g1.t1								
61	Hmel201009	1231369	1231807	+	0	NA	Intergenic	Intergenic	4655	ID=HMEL030144g1.t1-E1;Parent=HMEL030144g1.t1								
1180	Hmel205017	302589	303124	+	0	NA	promoter-TSS (ID=HMEL011595g2.t1-E4;Parent=HMEL011595g2.t1)	-promoter-TSS (ID=HMEL011595g2.t1-E4;Parent=HMEL011595g2.t1)	145	ID=HMEL011595g2.t1-E3;Parent=HMEL011595g2.t1								
1185	Hmel205022	160770	161175	+	0	NA	Intergenic	Intergenic	3301	ID=HMEL016722g1.t1-E1;Parent=HMEL016722g1.t1								
430	Hmel212001	2016843	2018406	+	0	NA	TTS (ID=HMEL016806g3.t1-E4;Parent=HMEL016806g3.t1)	-TTS (ID=HMEL016806g3.t1-E4;Parent=HMEL016806g3.t1)	840	ID=HMEL016806g3.t1-E4;Parent=HMEL016806g3.t1								
447	Hmel212001	3077792	3078053	+	0	NA	Intergenic	Intergenic	-16793	ID=HMEL031380g1.t1-E1;Parent=HMEL031380g1.t1								
536	Hmel212013	2837053	2837192	+	0	NA	Intergenic	Intergenic	-1794	ID=HMEL012642g2.t1-E1;Parent=HMEL012642g2.t1								
1130	Hmel204001	1204921	1205814	+	0	NA	Intergenic	Intergenic	7011	ID=HMEL009716g1.t1-E7;Parent=HMEL009716g1.t1								
415	Hmel201011	2692738	2693048	+	0	NA	Intergenic	Intergenic	-5712	ID=HMEL006157g3.t1-E1;Parent=HMEL006157g3.t1								
189	Hmel208021	558111	558681	+	0	NA	Intergenic	Intergenic	4844	ID=HMEL037960g1.t1-E2;Parent=HMEL037960g1.t1								
480	Hmel212004	558463	559559	+	0	NA	Intergenic	Intergenic	2897	ID=HMEL017125g2.t1-E1;Parent=HMEL017125g2.t1								
1153	Hmel205005	473374	475084	+	0	NA	promoter-TSS (ID=HMEL016024g1.t1-E1;Parent=HMEL016024g1.t1)	-promoter-TSS (ID=HMEL016024g1.t1-E1;Parent=HMEL016024g1.t1)	-832	ID=HMEL016024g1.t1-E1;Parent=HMEL016024g1.t1								
438	Hmel212001	2556114	2557337	+	0	NA	Intergenic	Intergenic	-5342	ID=HMEL016829g1.t1-E1;Parent=HMEL016829g1.t1								
107	Hmel207002	3717699	3718657	+	0	NA	Intergenic	Intergenic	4232	ID=HMEL015861g1.t1-E2;Parent=HMEL015861g1.t1								
87	Hmel207002	1495081	1495422	+	0	NA	Intergenic	Intergenic	-2680	ID=HMEL011231-RA-E2;Parent=HMEL011231-RA								
1022	Hmel220017	924726	925707	+	0	NA	Intergenic	Intergenic	-5909	ID=HMEL035368g1.t1-E1;Parent=HMEL035368g1.t1								
444	Hmel212001	2948440	2949075	+	0	NA	Intergenic	Intergenic	-1150	ID=HMEL031377g1.t1-E1;Parent=HMEL031377g1.t1								
508	Hmel212011	762464	762954	+	0	NA	Intergenic	Intergenic	-2339	ID=HMEL031607g1.t1-E1;Parent=HMEL031607g1.t1								
953	Hmel202006	5444554	5445469	+	0	NA	Intergenic	Intergenic	-13444	ID=HMEL033390g1.t1-E1;Parent=HMEL033390g1.t1								
221	Hmel209001	1528452	1528707	+	0	NA	Intergenic	Intergenic	37419	ID=HMEL004103g1.t1-E1;Parent=HMEL004103g1.t1								
39	Hmel206009	2529514	2529874	+	0	NA	Intergenic	Intergenic	28472	ID=HMEL005355g1.t1-E5;Parent=HMEL005355g1.t1								
1089	Hmel203030	197210	197584	+	0	NA	Intergenic	Intergenic	13688	ID=HMEL036017g1.t1-E3;Parent=HMEL036017g1.t1								
558	Hmel201019	1305880	1306757	+	0	NA	Intergenic	Intergenic	4071	ID=HMEL003933g1.t1-E3;Parent=HMEL003933g1.t1								
417	Hmel212001	593590	594636	+	0	NA	Intergenic	Intergenic	4400	ID=HMEL005971g1.t1-E1;Parent=HMEL005971g1.t1								
12	Hmel206006	2156443	2157091	+	0	NA	Intergenic	Intergenic	-8679	ID=HMEL016515g1.t1-E1;Parent=HMEL016515g1.t1								
784	Hmel218003	1382777	1383360	+	0	NA	Intergenic	Intergenic	-21619	ID=HMEL003383g1.t2-E1;Parent=HMEL003383g1.t2								
260	Hmel210004	2373686	2374557	+	0	NA	Intergenic	Intergenic	4291	ID=HMEL017165g1.t2-E1;Parent=HMEL017165g1.t2								
573	Hmel213020	854001	854246	+	0	NA	Intergenic	Intergenic	1744	ID=HMEL031895g1.t1-E1;Parent=HMEL031895g1.t1								
1084	Hmel203030	83464	83736	+	0	NA	promoter-TSS (ID=HMEL021775g1.t1-E3;Parent=HMEL021775g1.t1)	-promoter-TSS (ID=HMEL021775g1.t1-E3;Parent=HMEL021775g1.t1)	-835	ID=HMEL021775g1.t1-E3;Parent=HMEL021775g1.t1								
1144	Hmel204017	2168056	2168672	+	0	NA	Intergenic	Intergenic	1714	ID=HMEL014400g1.t1-E1;Parent=HMEL014400g1.t1								
762	Hmel217004	3187334	3187779	+	0	NA	Intergenic	Intergenic	-21649	ID=HMEL033830g1.t1-E1;Parent=HMEL033830g1.t1								
638	Hmel213069	1298283	1299085	+	0	NA	Intergenic	Intergenic	-42241	ID=HMEL022169g1.t1-E1;Parent=HMEL022169g1.t1								
734	Hmel217001	343118	343908	+	0	NA	TTS (ID=HMEL016452g3.t1-E1;Parent=HMEL016452g3.t1)	-TTS (ID=HMEL016452g3.t1-E1;Parent=HMEL016452g3.t1)	1606	ID=HMEL016452g3.t1-E1;Parent=HMEL016452g3.t1								
875	Hmel218018	7843106	7843542	+	0	NA	Intergenic	Intergenic	-35611	ID=HMEL034483g1.t2-E1;Parent=HMEL034483g1.t2								
1	Hmel205024	539223	539831	+	0	NA	Intergenic	Intergenic	11391	ID=HMEL012721g1.t2-E27;Parent=HMEL012721g1.t2								
506	Hmel212011	471246	471503	+	0	NA	promoter-TSS (ID=HMEL031594g1.t1-E2;Parent=HMEL031594g1.t1)	-promoter-TSS (ID=HMEL031594g1.t1-E2;Parent=HMEL031594g1.t1)	-459	ID=HMEL031594g1.t1-E2;Parent=HMEL031594g1.t1								
136	Hmel207008	700981	701316	+	0	NA	Intergenic	Intergenic	-2030	ID=HMEL037544g1.t1-E1;Parent=HMEL037544g1.t1								
116	Hmel207002	5974968	5975244	+	0	NA	Intergenic	Intergenic	-11421	ID=HMEL037490g1.t1-E5;Parent=HMEL037490g1.t1								
144	Hmel207014	345954	346150	+	0	NA	promoter-TSS (ID=HMEL037622g1.t1-E6;Parent=HMEL037622g1.t1)	-promoter-TSS (ID=HMEL037622g1.t1-E6;Parent=HMEL037622g1.t1)	760	ID=HMEL037622g1.t1-E5;Parent=HMEL037622g1.t1								
661	Hmel214024	486491	487041	+	0	NA	promoter-TSS (ID=HMEL032521g1.t1-E28;Parent=HMEL032521g1.t1)	-promoter-TSS (ID=HMEL032521g1.t1-E28;Parent=HMEL032521g1.t1)	-504	ID=HMEL032521g1.t1-E28;Parent=HMEL032521g1.t1								
381	Hmel211004	3735273	3735622	+	0	NA	Intergenic	Intergenic	12832	ID=HMEL031132g1.t1-E1;Parent=HMEL031132g1.t1								
581	Hmel213022	29657	30759	+	0	NA	Intergenic	Intergenic	2573	ID=HMEL031907g1.t1-E2;Parent=HMEL031907g1.t1								
308	Hmel210011	2772720	2773265	+	0	NA	Intergenic	Intergenic	-10919	ID=HMEL030881g1.t1-E1;Parent=HMEL030881g1.t1								
906	Hmel202006	4358399	4358814	+	0	NA	Intergenic	Intergenic	-31060	ID=HMEL014031g1.t1-E1;Parent=HMEL014031g1.t1								
177	Hmel207028	290246	291086	+	0	NA	Intergenic	Intergenic	-10882	ID=HMEL037757g1.t1-E1;Parent=HMEL037757g1.t1								
678	Hmel215006	1937180	1937978	+	0	NA	Intergenic	Intergenic	-6003	ID=HMEL002914g1.t1-E1;Parent=HMEL002914g1.t1								
373	Hmel211004	2675434	2677325	+	0	NA	TTS (ID=HMEL031098g1.t1-E5;Parent=HMEL031098g1.t1)	-TTS (ID=HMEL031098g1.t1-E5;Parent=HMEL031098g1.t1)	541	ID=HMEL031098g1.t2-E6;Parent=HMEL031098g1.t2								
773	Hmel217018	619299	619838	+	0	NA	Intergenic	Intergenic	-3013	ID=HMEL033972g1.t1-E1;Parent=HMEL033972g1.t1								
205	Hmel208051	688459	688804	+	0	NA	Intergenic	Intergenic	-17811	ID=HMEL038154g1.t1-E1;Parent=HMEL038154g1.t1								
22	Hmel206009	950531	951250	+	0	NA	Intergenic	Intergenic	-50576	ID=HMEL037011g1.t1-E1;Parent=HMEL037011g1.t1								
927	Hmel219005	843383	843715	+	0	NA	Intergenic	Intergenic	-11914	ID=HMEL034720g1.t1-E1;Parent=HMEL034720g1.t1								
301	Hmel201011	844671	845024	+	0	NA	Intergenic	Intergenic	-3124	ID=HMEL033025g1.t1-E1;Parent=HMEL033025g1.t1								
51	Hmel201009	980151	980532	+	0	NA	Intergenic	Intergenic	25075	ID=HMEL003507g1.t1-E4;Parent=HMEL003507g1.t1								
456	Hmel212001	4134328	4134766	+	0	NA	Intergenic	Intergenic	-1130	ID=HMEL031402g1.t1-E1;Parent=HMEL031402g1.t1								
874	Hmel218018	7809945	7810165	+	0	NA	Intergenic	Intergenic	-16512	ID=HMEL016588g4.t1-E1;Parent=HMEL016588g4.t1								
652	Hmel214008	2303351	2304520	+	0	NA	Intergenic	Intergenic	-5127	ID=HMEL014238g1.t1-E1;Parent=HMEL014238g1.t1								
975	Hmel220003	2774990	2775714	+	0	NA	Intergenic	Intergenic	3867	ID=HMEL012529g1.t1-E6;Parent=HMEL012529g1.t1								
493	Hmel212009	115029	115548	+	0	NA	Intergenic	Intergenic	9278	ID=HMEL002552g1.t1-E3;Parent=HMEL002552g1.t1								
1033	Hmel221001	1969650	1969937	+	0	NA	promoter-TSS (ID=HMEL007277g1.t1-E4;Parent=HMEL007277g1.t1)	-promoter-TSS (ID=HMEL007277g1.t1-E4;Parent=HMEL007277g1.t1)	-412	ID=HMEL007277g1.t1-E4;Parent=HMEL007277g1.t1								
796	Hmel218005	557300	558081	+	0	NA	Intergenic	Intergenic	2242	ID=HMEL034261g1.t1-E7;Parent=HMEL034261g1.t1								
1026	Hmel221001	405400	406119	+	0	NA	Intergenic	Intergenic	-1774	ID=HMEL011041g1.t1-E2;Parent=HMEL011041g1.t1								
366	Hmel211004	1836081	1836343	+	0	NA	promoter-TSS (ID=HMEL015162g1.t1-E1;Parent=HMEL015162g1.t1)	-promoter-TSS (ID=HMEL015162g1.t1-E1;Parent=HMEL015162g1.t1)	-447	ID=HMEL015162g1.t1-E1;Parent=HMEL015162g1.t1								
844	Hmel218018	6046499	6047598	+	0	NA	Intergenic	Intergenic	-3539	ID=HMEL007355g1.t3-E1;Parent=HMEL007355g1.t3								
272	Hmel210004	6847516	6847855	+	0	NA	Intergenic	Intergenic	15104	ID=HMEL030728g1.t1-E4;Parent=HMEL030728g1.t1								
775	Hmel217018	1031811	1032311	+	0	NA	Intergenic	Intergenic	2059	ID=HMEL033983g1.t1-E2;Parent=HMEL033983g1.t1								
