PeakID (cmd=annotatePeaks.pl development_D2_p05FC1_melpUnique_D2up.bed /work/rpapa/share/REF/Hmel2/Hmel2.fa -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_melpomene_melpomene_Hmel2.gff3 -annStats development_D2_p05FC1_melpUnique_D2up_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
517	Hmel207002	2893824	2894113	+	0	NA	Intergenic	Intergenic	4442	ID=HMEL009320g1.t1-E1;Parent=HMEL009320g1.t1								
458	Hmel206009	2472958	2473119	+	0	NA	Intergenic	Intergenic	7693	ID=HMEL005357g1.t1-E13;Parent=HMEL005357g1.t1								
451	Hmel206009	1528582	1529047	+	0	NA	Intergenic	Intergenic	10421	ID=HMEL016779g1.t1-E4;Parent=HMEL016779g1.t1								
1785	Hmel220005	4923609	4924143	+	0	NA	Intergenic	Intergenic	16895	ID=HMEL035220g1.t1-E6;Parent=HMEL035220g1.t1								
454	Hmel206009	1866899	1867352	+	0	NA	promoter-TSS (ID=HMEL016763g1.t1-E1;Parent=HMEL016763g1.t1)	-promoter-TSS (ID=HMEL016763g1.t1-E1;Parent=HMEL016763g1.t1)	-960	ID=HMEL016763g1.t1-E1;Parent=HMEL016763g1.t1								
1364	Hmel216009	571714	572404	+	0	NA	Intergenic	Intergenic	6569	ID=HMEL004778g2.t1-E3;Parent=HMEL004778g2.t1								
1408	Hmel216013	326084	326344	+	0	NA	promoter-TSS (ID=HMEL017538g1.t2-E2;Parent=HMEL017538g1.t2)	-promoter-TSS (ID=HMEL017538g1.t2-E2;Parent=HMEL017538g1.t2)	-863	ID=HMEL017538g1.t2-E2;Parent=HMEL017538g1.t2								
1250	Hmel214022	285734	286206	+	0	NA	Intergenic	Intergenic	5380	ID=HMEL032489g1.t1-E1;Parent=HMEL032489g1.t1								
1363	Hmel216007	125677	125842	+	0	NA	Intergenic	Intergenic	-14826	ID=HMEL012656g1.t1-E1;Parent=HMEL012656g1.t1								
722	Hmel209007	3143358	3144120	+	0	NA	Intergenic	Intergenic	-10350	ID=HMEL030441g1.t1-E1;Parent=HMEL030441g1.t1								
634	Hmel208019	394062	394604	+	0	NA	Intergenic	Intergenic	-2101	ID=HMEL009958g1.t1-E1;Parent=HMEL009958g1.t1								
1109	Hmel213036	127676	127987	+	0	NA	Intergenic	Intergenic	7872	ID=HMEL032012g1.t1-E2;Parent=HMEL032012g1.t1								
578	Hmel207021	1133752	1134000	+	0	NA	promoter-TSS (ID=HMEL017400g1.t1-E2;Parent=HMEL017400g1.t1)	-promoter-TSS (ID=HMEL017400g1.t1-E2;Parent=HMEL017400g1.t1)	-471	ID=HMEL017400g1.t1-E2;Parent=HMEL017400g1.t1								
1630	Hmel219003	3396435	3396932	+	0	NA	Intergenic	Intergenic	-4618	ID=HMEL006183g1.t1-E1;Parent=HMEL006183g1.t1								
1597	Hmel218018	8547364	8548309	+	0	NA	Intergenic	Intergenic	-7192	ID=HMEL034495g1.t1-E1;Parent=HMEL034495g1.t1								
695	Hmel209006	162384	162690	+	0	NA	Intergenic	Intergenic	-15416	ID=HMEL030344g1.t1-E1;Parent=HMEL030344g1.t1								
978	Hmel212009	551205	551382	+	0	NA	Intergenic	Intergenic	-18689	ID=HMEL031558g1.t1-E1;Parent=HMEL031558g1.t1								
728	Hmel209007	3904441	3905015	+	0	NA	Intergenic	Intergenic	-9582	ID=HMEL015766g1.t1-E2;Parent=HMEL015766g1.t1								
1244	Hmel214020	59161	59390	+	0	NA	Intergenic	Intergenic	17369	ID=HMEL017306g1.t1-E6;Parent=HMEL017306g1.t1								
1638	Hmel219003	4513247	4513460	+	0	NA	promoter-TSS (ID=HMEL013143g1.t1-E2;Parent=HMEL013143g1.t1)	-promoter-TSS (ID=HMEL013143g1.t1-E2;Parent=HMEL013143g1.t1)	-801	ID=HMEL013143g1.t1-E2;Parent=HMEL013143g1.t1								
742	Hmel210001	104480	104747	+	0	NA	Intergenic	Intergenic	-2748	ID=HMEL013622g1.t1-E1;Parent=HMEL013622g1.t1								
378	Hmel205013	99263	99494	+	0	NA	TTS (ID=HMEL008926g1.t1-E3;Parent=HMEL008926g1.t1)	-TTS (ID=HMEL008926g1.t1-E3;Parent=HMEL008926g1.t1)	197	ID=HMEL008926g1.t1-E3;Parent=HMEL008926g1.t1								
325	Hmel204036	291856	292057	+	0	NA	Intergenic	Intergenic	7961	ID=HMEL036560g1.t1-E2;Parent=HMEL036560g1.t1								
29	Hmel201007	649073	649230	+	0	NA	Intergenic	Intergenic	-2463	ID=HMEL014531g1.t1-E1;Parent=HMEL014531g1.t1								
889	Hmel211009	315669	316051	+	0	NA	Intergenic	Intergenic	-3640	ID=HMEL031169g1.t1-E1;Parent=HMEL031169g1.t1								
350	Hmel205005	1005737	1006093	+	0	NA	Intergenic	Intergenic	2926	ID=HMEL016256g2.t1-E1;Parent=HMEL016256g2.t1								
1233	Hmel214019	473231	473494	+	0	NA	promoter-TSS (ID=HMEL032457g1.t1-E2;Parent=HMEL032457g1.t1)	-promoter-TSS (ID=HMEL032457g1.t1-E2;Parent=HMEL032457g1.t1)	-313	ID=HMEL032457g1.t1-E2;Parent=HMEL032457g1.t1								
1810	Hmel220014	37316	37695	+	0	NA	Intergenic	Intergenic	4508	ID=HMEL003491g1.t1-E2;Parent=HMEL003491g1.t1								
540	Hmel207002	6078376	6079078	+	0	NA	Intergenic	Intergenic	-28096	ID=HMEL017796g2.t1-E1;Parent=HMEL017796g2.t1								
1615	Hmel219003	1795112	1795793	+	0	NA	TTS (ID=HMEL010658g1.t1-E3;Parent=HMEL010658g1.t1)	-TTS (ID=HMEL010658g1.t1-E3;Parent=HMEL010658g1.t1)	645	ID=HMEL010658g1.t1-E3;Parent=HMEL010658g1.t1								
1162	Hmel213054	183621	183921	+	0	NA	Intergenic	Intergenic	16648	ID=HMEL007986g1.t1-E2;Parent=HMEL007986g1.t1								
58	Hmel201009	1803342	1803748	+	0	NA	Intergenic	Intergenic	1141	ID=HMEL015815g1.t1-E1;Parent=HMEL015815g1.t1								
684	Hmel209005	281072	281541	+	0	NA	Intergenic	Intergenic	-32758	ID=HMEL018069g1.t1-E1;Parent=HMEL018069g1.t1								
211	Hmel203033	438357	438770	+	0	NA	Intergenic	Intergenic	-17920	ID=HMEL017476g1.t1-E1;Parent=HMEL017476g1.t1								
153	Hmel202006	2743318	2743709	+	0	NA	promoter-TSS (ID=HMEL002121g1.t1-E1;Parent=HMEL002121g1.t1)	-promoter-TSS (ID=HMEL002121g1.t1-E1;Parent=HMEL002121g1.t1)	-78	ID=HMEL002121g1.t1-E1;Parent=HMEL002121g1.t1								
1732	Hmel220003	596534	597350	+	0	NA	Intergenic	Intergenic	12399	ID=HMEL007254g1.t1-E2;Parent=HMEL007254g1.t1								
861	Hmel210012	392278	392480	+	0	NA	Intergenic	Intergenic	-8823	ID=HMEL030964g1.t1-E1;Parent=HMEL030964g1.t1								
337	Hmel205004	189678	189852	+	0	NA	TTS (ID=HMEL036611g1.t1-E2;Parent=HMEL036611g1.t1)	-TTS (ID=HMEL036611g1.t1-E2;Parent=HMEL036611g1.t1)	396	ID=HMEL036611g1.t1-E2;Parent=HMEL036611g1.t1								
1546	Hmel218014	85824	86121	+	0	NA	Intergenic	Intergenic	22904	ID=HMEL034341g1.t1-E2;Parent=HMEL034341g1.t1								
101	Hmel201019	1106475	1106762	+	0	NA	Intergenic	Intergenic	1274	ID=HMEL033135g1.t1-E1;Parent=HMEL033135g1.t1								
340	Hmel205005	423501	423785	+	0	NA	TTS (ID=HMEL036619g1.t1-E3;Parent=HMEL036619g1.t1)	-TTS (ID=HMEL036619g1.t1-E3;Parent=HMEL036619g1.t1)	783	ID=HMEL036619g1.t1-E3;Parent=HMEL036619g1.t1								
76	Hmel201009	4997533	4997961	+	0	NA	Intergenic	Intergenic	9785	ID=HMEL030260g1.t2-E1;Parent=HMEL030260g1.t2								
311	Hmel204019	246518	246911	+	0	NA	Intergenic	Intergenic	-9975	ID=HMEL022392g1.t1-E1;Parent=HMEL022392g1.t1								
982	Hmel212010	570	749	+	0	NA	TTS (ID=HMEL031571g1.t1-E3;Parent=HMEL031571g1.t1)	-TTS (ID=HMEL031571g1.t1-E3;Parent=HMEL031571g1.t1)	158	ID=HMEL031571g1.t1-E4;Parent=HMEL031571g1.t1								
571	Hmel207015	160004	160640	+	0	NA	Intergenic	Intergenic	-8654	ID=HMEL006285g1.t1-E1;Parent=HMEL006285g1.t1								
1214	Hmel214008	1773107	1774304	+	0	NA	Intergenic	Intergenic	4004	ID=HMEL020042g1.t1-E1;Parent=HMEL020042g1.t1								
1190	Hmel213071	911154	912467	+	0	NA	Intergenic	Intergenic	9334	ID=HMEL032258g1.t1-E2;Parent=HMEL032258g1.t1								
825	Hmel210011	308125	308661	+	0	NA	promoter-TSS (ID=HMEL013322g2.t1-E7;Parent=HMEL013322g2.t1)	-promoter-TSS (ID=HMEL013322g2.t1-E7;Parent=HMEL013322g2.t1)	-606	ID=HMEL013322g2.t1-E7;Parent=HMEL013322g2.t1								
389	Hmel205015	148120	148666	+	0	NA	Intergenic	Intergenic	-1801	ID=HMEL002495g1.t1-E1;Parent=HMEL002495g1.t1								
917	Hmel211016	13075	13563	+	0	NA	Intergenic	Intergenic	-8569	ID=HMEL031257g1.t1-E1;Parent=HMEL031257g1.t1								
1660	Hmel219003	6894782	6895956	+	0	NA	Intergenic	Intergenic	9529	ID=HMEL034704g1.t1-E3;Parent=HMEL034704g1.t1								
495	Hmel206021	12985	13432	+	0	NA	promoter-TSS (ID=HMEL016088g1.t1-E8;Parent=HMEL016088g1.t1)	-promoter-TSS (ID=HMEL016088g1.t1-E8;Parent=HMEL016088g1.t1)	63	ID=HMEL016088g1.t1-E8;Parent=HMEL016088g1.t1								
1703	Hmel219014	2204092	2204637	+	0	NA	Intergenic	Intergenic	-18687	ID=HMEL003260g1.t1-E1;Parent=HMEL003260g1.t1								
1345	Hmel216001	21778	22259	+	0	NA	Intergenic	Intergenic	11974	ID=HMEL013767g1.t1-E5;Parent=HMEL013767g1.t1								
1171	Hmel213065	967918	968199	+	0	NA	Intergenic	Intergenic	5730	ID=HMEL032159g1.t1-E1;Parent=HMEL032159g1.t1								
1123	Hmel213045	317709	318226	+	0	NA	promoter-TSS (ID=HMEL005374-RA-E6;Parent=HMEL005374-RA)	-promoter-TSS (ID=HMEL005374-RA-E6;Parent=HMEL005374-RA)	380	ID=HMEL005374-RA-E5;Parent=HMEL005374-RA								
966	Hmel212001	6102775	6103172	+	0	NA	Intergenic	Intergenic	-3181	ID=HMEL031462g1.t1-E1;Parent=HMEL031462g1.t1								
1322	Hmel215047	1449286	1449880	+	0	NA	promoter-TSS (ID=HMEL032906g1.t1-E3;Parent=HMEL032906g1.t1)	-promoter-TSS (ID=HMEL032906g1.t1-E3;Parent=HMEL032906g1.t1)	-777	ID=HMEL032906g1.t1-E3;Parent=HMEL032906g1.t1								
1816	Hmel220014	762255	762500	+	0	NA	promoter-TSS (ID=HMEL035323g1.t1-E3;Parent=HMEL035323g1.t1)	-promoter-TSS (ID=HMEL035323g1.t1-E3;Parent=HMEL035323g1.t1)	199	ID=HMEL035323g1.t1-E2;Parent=HMEL035323g1.t1								
992	Hmel212011	707489	707723	+	0	NA	Intergenic	Intergenic	-1879	ID=HMEL012680g1.t2-E2;Parent=HMEL012680g1.t2								
758	Hmel210004	797879	798420	+	0	NA	Intergenic	Intergenic	14557	ID=HMEL030620g1.t1-E7;Parent=HMEL030620g1.t1								
236	Hmel203069	790963	791310	+	0	NA	Intergenic	Intergenic	-5008	ID=HMEL036206g1.t1-E1;Parent=HMEL036206g1.t1								
706	Hmel209007	961317	962189	+	0	NA	promoter-TSS (ID=HMEL009457g1.t1-E2;Parent=HMEL009457g1.t1)	-promoter-TSS (ID=HMEL009457g1.t1-E2;Parent=HMEL009457g1.t1)	-92	ID=HMEL009457g1.t1-E2;Parent=HMEL009457g1.t1								
218	Hmel203045	559499	559970	+	0	NA	Intergenic	Intergenic	22999	ID=HMEL009868g1.t1-E15;Parent=HMEL009868g1.t1								
1172	Hmel213067	273686	274019	+	0	NA	promoter-TSS (ID=HMEL003058-RA-E2;Parent=HMEL003058-RA)	-promoter-TSS (ID=HMEL003058-RA-E2;Parent=HMEL003058-RA)	-494	ID=HMEL003058-RA-E2;Parent=HMEL003058-RA								
14	Hmel201002	2190451	2191663	+	0	NA	Intergenic	Intergenic	-3545	ID=HMEL014993g1.t1-E1;Parent=HMEL014993g1.t1								
1259	Hmel214025	356439	356813	+	0	NA	Intergenic	Intergenic	7917	ID=HMEL032570g1.t1-E1;Parent=HMEL032570g1.t1								
1608	Hmel219002	12745	13521	+	0	NA	promoter-TSS (ID=HMEL003577g1.t1-E1;Parent=HMEL003577g1.t1)	-promoter-TSS (ID=HMEL003577g1.t1-E1;Parent=HMEL003577g1.t1)	521	ID=HMEL003577g2.t1-E1;Parent=HMEL003577g2.t1								
834	Hmel210011	2058417	2059024	+	0	NA	TTS (ID=HMEL007306g1.t1-E1;Parent=HMEL007306g1.t1)	-TTS (ID=HMEL007306g1.t1-E1;Parent=HMEL007306g1.t1)	1179	ID=HMEL007306g1.t1-E1;Parent=HMEL007306g1.t1								
285	Hmel204017	65824	66427	+	0	NA	Intergenic	Intergenic	4390	ID=HMEL036414g1.t1-E1;Parent=HMEL036414g1.t1								
234	Hmel203067	1096720	1097277	+	0	NA	promoter-TSS (ID=HMEL036157g1.t1-E3;Parent=HMEL036157g1.t1)	-promoter-TSS (ID=HMEL036157g1.t1-E3;Parent=HMEL036157g1.t1)	-782	ID=HMEL036157g1.t1-E3;Parent=HMEL036157g1.t1								
594	Hmel207028	53977	54214	+	0	NA	Intergenic	Intergenic	-34418	ID=HMEL010451g1.t1-E1;Parent=HMEL010451g1.t1								
1438	Hmel217001	2594386	2594738	+	0	NA	Intergenic	Intergenic	-14261	ID=HMEL033752g1.t1-E2;Parent=HMEL033752g1.t1								
1216	Hmel214008	1930307	1930732	+	0	NA	Intergenic	Intergenic	1884	ID=HMEL032362g1.t1-E2;Parent=HMEL032362g1.t1								
1903	Hmel218020	2672	3148	+	0	NA	promoter-TSS (ID=HMEL034533g1.t1-E1;Parent=HMEL034533g1.t1)	-promoter-TSS (ID=HMEL034533g1.t1-E1;Parent=HMEL034533g1.t1)	-195	ID=HMEL034533g1.t1-E1;Parent=HMEL034533g1.t1								
1135	Hmel213049	314247	314572	+	0	NA	Intergenic	Intergenic	18756	ID=HMEL032065g1.t1-E1;Parent=HMEL032065g1.t1								
1203	Hmel214008	504806	505064	+	0	NA	Intergenic	Intergenic	2796	ID=HMEL032316g1.t1-E2;Parent=HMEL032316g1.t1								
96	Hmel201013	27730	27871	+	0	NA	NA	NA	NA	NA								
1068	Hmel213014	18904	19289	+	0	NA	TTS (ID=HMEL005325g1.t1-E1;Parent=HMEL005325g1.t1)	-TTS (ID=HMEL005325g1.t1-E1;Parent=HMEL005325g1.t1)	182	ID=HMEL005325g1.t1-E1;Parent=HMEL005325g1.t1								
1778	Hmel220005	3618127	3618323	+	0	NA	Intergenic	Intergenic	3991	ID=HMEL003003g1.t1-E1;Parent=HMEL003003g1.t1								
1667	Hmel219005	193425	193823	+	0	NA	promoter-TSS (ID=HMEL034713g1.t1-E33;Parent=HMEL034713g1.t1)	-promoter-TSS (ID=HMEL034713g1.t1-E33;Parent=HMEL034713g1.t1)	22	ID=HMEL034713g1.t1-E33;Parent=HMEL034713g1.t1								
1859	Hmel203036	7892	8033	+	0	NA	promoter-TSS (ID=HMEL004837g1.t1-E2;Parent=HMEL004837g1.t1)	-promoter-TSS (ID=HMEL004837g1.t1-E2;Parent=HMEL004837g1.t1)	74	ID=HMEL004837g1.t1-E2;Parent=HMEL004837g1.t1								
486	Hmel206012	1969683	1970336	+	0	NA	Intergenic	Intergenic	-14005	ID=HMEL037155g1.t1-E1;Parent=HMEL037155g1.t1								
1354	Hmel216006	926692	926933	+	0	NA	Intergenic	Intergenic	22141	ID=HMEL009389g3.t1-E2;Parent=HMEL009389g3.t1								
160	Hmel202006	4920167	4920632	+	0	NA	Intergenic	Intergenic	-2414	ID=HMEL006147g1.t1-E1;Parent=HMEL006147g1.t1								
569	Hmel207015	46174	46670	+	0	NA	Intergenic	Intergenic	-61495	ID=HMEL037636g1.t1-E1;Parent=HMEL037636g1.t1								
8	Hmel201002	1520247	1520481	+	0	NA	Intergenic	Intergenic	-6747	ID=HMEL011289g3.t1-E1;Parent=HMEL011289g3.t1								
98	Hmel201019	490855	491035	+	0	NA	Intergenic	Intergenic	-13656	ID=HMEL033110g1.t1-E1;Parent=HMEL033110g1.t1								
1278	Hmel215006	211812	212051	+	0	NA	Intergenic	Intergenic	12834	ID=HMEL006667g1.t1-E3;Parent=HMEL006667g1.t1								
1048	Hmel213004	1610847	1611658	+	0	NA	Intergenic	Intergenic	-24430	ID=HMEL031787g1.t1-E1;Parent=HMEL031787g1.t1								
1381	Hmel216011	64426	64973	+	0	NA	Intergenic	Intergenic	-1350	ID=HMEL033532g1.t1-E1;Parent=HMEL033532g1.t1								
1000	Hmel212013	452120	452299	+	0	NA	promoter-TSS (ID=HMEL031633g1.t1-E4;Parent=HMEL031633g1.t1)	-promoter-TSS (ID=HMEL031633g1.t1-E4;Parent=HMEL031633g1.t1)	-354	ID=HMEL031633g1.t1-E4;Parent=HMEL031633g1.t1								
1061	Hmel213013	326499	326761	+	0	NA	Intergenic	Intergenic	-9464	ID=HMEL015364g2.t1-E1;Parent=HMEL015364g2.t1								
43	Hmel201007	1847617	1848078	+	0	NA	Intergenic	Intergenic	6908	ID=HMEL030113g1.t1-E2;Parent=HMEL030113g1.t1								
1396	Hmel216011	2127199	2127877	+	0	NA	promoter-TSS (ID=HMEL004400g1.t1-E2;Parent=HMEL004400g1.t1)	-promoter-TSS (ID=HMEL004400g1.t1-E2;Parent=HMEL004400g1.t1)	234	ID=HMEL004400g1.t1-E1;Parent=HMEL004400g1.t1								
686	Hmel209005	522404	522825	+	0	NA	Intergenic	Intergenic	24496	ID=HMEL030327g1.t1-E2;Parent=HMEL030327g1.t1								
1760	Hmel220005	296205	297304	+	0	NA	TTS (ID=HMEL003817g2.t1-E2;Parent=HMEL003817g2.t1)	-TTS (ID=HMEL003817g2.t1-E2;Parent=HMEL003817g2.t1)	139	ID=HMEL003817g2.t1-E3;Parent=HMEL003817g2.t1								
391	Hmel205015	163906	164425	+	0	NA	Intergenic	Intergenic	13971	ID=HMEL002495g1.t1-E1;Parent=HMEL002495g1.t1								
1728	Hmel220003	178531	178724	+	0	NA	Intergenic	Intergenic	1325	ID=HMEL034979g1.t1-E1;Parent=HMEL034979g1.t1								
943	Hmel212001	3153212	3153346	+	0	NA	Intergenic	Intergenic	1654	ID=HMEL031381g1.t1-E3;Parent=HMEL031381g1.t1								
288	Hmel204017	309026	310227	+	0	NA	promoter-TSS (ID=HMEL036419g1.t1-E2;Parent=HMEL036419g1.t1)	-promoter-TSS (ID=HMEL036419g1.t1-E2;Parent=HMEL036419g1.t1)	-184	ID=HMEL036419g1.t1-E2;Parent=HMEL036419g1.t1								
193	Hmel203001	183633	184234	+	0	NA	Intergenic	Intergenic	-8463	ID=HMEL016170g1.t1-E1;Parent=HMEL016170g1.t1								
1887	Hmel213065	86658	87020	+	0	NA	Intergenic	Intergenic	-5857	ID=HMEL032138g1.t1-E1;Parent=HMEL032138g1.t1								
1555	Hmel218018	1389796	1390334	+	0	NA	Intergenic	Intergenic	1934	ID=HMEL034371g1.t1-E8;Parent=HMEL034371g1.t1								
119	Hmel202004	1291797	1292147	+	0	NA	promoter-TSS (ID=HMEL033212g1.t1-E1;Parent=HMEL033212g1.t1)	-promoter-TSS (ID=HMEL033212g1.t1-E1;Parent=HMEL033212g1.t1)	-388	ID=HMEL033212g1.t1-E1;Parent=HMEL033212g1.t1								
1375	Hmel216009	1111461	1111852	+	0	NA	Intergenic	Intergenic	-5092	ID=HMEL033510g1.t1-E1;Parent=HMEL033510g1.t1								
586	Hmel207021	2386762	2387425	+	0	NA	promoter-TSS (ID=HMEL037723g1.t1-E1;Parent=HMEL037723g1.t1)	-promoter-TSS (ID=HMEL037723g1.t1-E1;Parent=HMEL037723g1.t1)	37	ID=HMEL037723g1.t1-E1;Parent=HMEL037723g1.t1								
180	Hmel203015	16567	16765	+	0	NA	Intergenic	Intergenic	-13065	ID=HMEL036005g1.t1-E1;Parent=HMEL036005g1.t1								
1585	Hmel218018	6570678	6570877	+	0	NA	Intergenic	Intergenic	-2089	ID=HMEL022584g1.t1-E1;Parent=HMEL022584g1.t1								
1877	Hmel208051	1456455	1456869	+	0	NA	promoter-TSS (ID=HMEL010123g1.t1-E2;Parent=HMEL010123g1.t1)	-promoter-TSS (ID=HMEL010123g1.t1-E2;Parent=HMEL010123g1.t1)	-620	ID=HMEL010123g1.t1-E2;Parent=HMEL010123g1.t1								
410	Hmel205022	481516	481696	+	0	NA	TTS (ID=HMEL036822g1.t1-E3;Parent=HMEL036822g1.t1)	-TTS (ID=HMEL036822g1.t1-E3;Parent=HMEL036822g1.t1)	177	ID=HMEL036822g1.t1-E3;Parent=HMEL036822g1.t1								
246	Hmel203069	2133244	2133563	+	0	NA	promoter-TSS (ID=HMEL004031g1.t1-E1;Parent=HMEL004031g1.t1)	-promoter-TSS (ID=HMEL004031g1.t1-E1;Parent=HMEL004031g1.t1)	-380	ID=HMEL004031g1.t1-E1;Parent=HMEL004031g1.t1								
999	Hmel212013	380660	380966	+	0	NA	promoter-TSS (ID=HMEL017572g1.t1-E13;Parent=HMEL017572g1.t1)	-promoter-TSS (ID=HMEL017572g1.t1-E13;Parent=HMEL017572g1.t1)	142	ID=HMEL017572g1.t1-E12;Parent=HMEL017572g1.t1								
690	Hmel209005	1025415	1025755	+	0	NA	Intergenic	Intergenic	-5249	ID=HMEL012978g1.t1-E1;Parent=HMEL012978g1.t1								
1168	Hmel213062	720907	721114	+	0	NA	Intergenic	Intergenic	-29803	ID=HMEL021058g1.t1-E1;Parent=HMEL021058g1.t1								
61	Hmel201009	2339852	2339994	+	0	NA	promoter-TSS (ID=HMEL017258g2.t1-E3;Parent=HMEL017258g2.t1)	-promoter-TSS (ID=HMEL017258g2.t1-E3;Parent=HMEL017258g2.t1)	81	ID=HMEL017258g2.t1-E3;Parent=HMEL017258g2.t1								
1180	Hmel213069	708365	710718	+	0	NA	Intergenic	Intergenic	-8960	ID=HMEL032224g1.t1-E1;Parent=HMEL032224g1.t1								
1185	Hmel213069	1158497	1158689	+	0	NA	Intergenic	Intergenic	8142	ID=HMEL032234g1.t1-E1;Parent=HMEL032234g1.t1								
430	Hmel206006	675656	675857	+	0	NA	Intergenic	Intergenic	-5499	ID=HMEL012157g1.t1-E1;Parent=HMEL012157g1.t1								
447	Hmel206009	1176531	1176974	+	0	NA	Intergenic	Intergenic	5960	ID=HMEL002923g1.t1-E2;Parent=HMEL002923g1.t1								
1446	Hmel217004	607239	607570	+	0	NA	Intergenic	Intergenic	12087	ID=HMEL033777g1.t1-E1;Parent=HMEL033777g1.t1								
536	Hmel207002	4942754	4942902	+	0	NA	Intergenic	Intergenic	38112	ID=HMEL037464g1.t1-E3;Parent=HMEL037464g1.t1								
