PeakID (cmd=annotatePeaks.pl FWHW_5th_p05FC1_melpUnique_FWup.bed /work/rpapa/share/REF/Hmel2/Hmel2.fa -gff /home/rpapa/sbelleghem/share/REF/GFF/Heliconius_melpomene_melpomene_Hmel2.gff3 -annStats FWHW_5th_p05FC1_melpUnique_FWup_blabla.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
82	Hmel221012	1404618	1405434	+	0	NA	TTS (ID=HMEL006379g1.t1-E2;Parent=HMEL006379g1.t1)	-TTS (ID=HMEL006379g1.t1-E2;Parent=HMEL006379g1.t1)	1175	ID=HMEL006379g1.t1-E2;Parent=HMEL006379g1.t1								
25	Hmel209007	2968378	2969570	+	0	NA	Intergenic	Intergenic	-4155	ID=HMEL010765g1.t1-E1;Parent=HMEL010765g1.t1								
28	Hmel210004	1720441	1721051	+	0	NA	Intergenic	Intergenic	-18181	ID=HMEL002901-RA-E1;Parent=HMEL002901-RA								
83	Hmel221012	1886836	1887626	+	0	NA	Intergenic	Intergenic	2208	ID=HMEL008404g1.t1-E4;Parent=HMEL008404g1.t1								
75	Hmel220005	1934976	1935295	+	0	NA	Intergenic	Intergenic	3020	ID=HMEL035113g1.t1-E1;Parent=HMEL035113g1.t1								
40	Hmel212013	2847281	2847483	+	0	NA	Intergenic	Intergenic	-1450	ID=HMEL012642g2.t1-E3;Parent=HMEL012642g2.t1								
14	Hmel207002	2244775	2245017	+	0	NA	Intergenic	Intergenic	3052	ID=HMEL037399g1.t1-E2;Parent=HMEL037399g1.t1								
69	Hmel220003	2293449	2293748	+	0	NA	Intergenic	Intergenic	-1051	ID=HMEL012563g1.t1-E1;Parent=HMEL012563g1.t1								
59	Hmel218018	2853461	2853796	+	0	NA	Intergenic	Intergenic	-3756	ID=HMEL034398g1.t1-E1;Parent=HMEL034398g1.t1								
49	Hmel215006	599835	601113	+	0	NA	Intergenic	Intergenic	-5388	ID=HMEL002001g1.t1-E1;Parent=HMEL002001g1.t1								
24	Hmel209007	2959422	2959928	+	0	NA	Intergenic	Intergenic	11533	ID=HMEL030438g1.t1-E2;Parent=HMEL030438g1.t1								
53	Hmel216015	280690	280934	+	0	NA	Intergenic	Intergenic	-31413	ID=HMEL033630g1.t1-E1;Parent=HMEL033630g1.t1								
79	Hmel221001	391391	391627	+	0	NA	Intergenic	Intergenic	15974	ID=HMEL011041g1.t1-E1;Parent=HMEL011041g1.t1								
22	Hmel209007	1586802	1587361	+	0	NA	Intergenic	Intergenic	-6984	ID=HMEL015710g1.t1-E1;Parent=HMEL015710g1.t1								
42	Hmel213020	253499	253938	+	0	NA	promoter-TSS (ID=HMEL004894g1.t1-E6;Parent=HMEL004894g1.t1)	-promoter-TSS (ID=HMEL004894g1.t1-E6;Parent=HMEL004894g1.t1)	-45	ID=HMEL004894g1.t1-E6;Parent=HMEL004894g1.t1								
46	Hmel214029	1305250	1305716	+	0	NA	promoter-TSS (ID=HMEL009127g1.t1-E1;Parent=HMEL009127g1.t1)	-promoter-TSS (ID=HMEL009127g1.t1-E1;Parent=HMEL009127g1.t1)	-83	ID=HMEL009127g1.t1-E1;Parent=HMEL009127g1.t1								
23	Hmel209007	1694275	1694952	+	0	NA	Intergenic	Intergenic	-8599	ID=HMEL015713-RA-E1;Parent=HMEL015713-RA								
13	Hmel206006	743584	744425	+	0	NA	Intergenic	Intergenic	-10958	ID=HMEL036939g1.t1-E1;Parent=HMEL036939g1.t1								
6	Hmel204001	1900222	1900528	+	0	NA	Intergenic	Intergenic	2086	ID=HMEL036347g1.t2-E11;Parent=HMEL036347g1.t2								
3	Hmel203009	212226	212593	+	0	NA	Intergenic	Intergenic	12879	ID=HMEL035977g1.t1-E1;Parent=HMEL035977g1.t1								
36	Hmel212001	3191778	3192189	+	0	NA	promoter-TSS (ID=HMEL004113g2.t1-E3;Parent=HMEL004113g2.t1)	-promoter-TSS (ID=HMEL004113g2.t1-E3;Parent=HMEL004113g2.t1)	-721	ID=HMEL004113g2.t1-E3;Parent=HMEL004113g2.t1								
9	Hmel205012	785663	785856	+	0	NA	Intergenic	Intergenic	-6667	ID=HMEL036668g1.t1-E1;Parent=HMEL036668g1.t1								
51	Hmel216001	712436	713099	+	0	NA	Intergenic	Intergenic	-1716	ID=HMEL032984g1.t1-E2;Parent=HMEL032984g1.t1								
47	Hmel215006	597179	598325	+	0	NA	Intergenic	Intergenic	-2666	ID=HMEL002001g1.t1-E1;Parent=HMEL002001g1.t1								
8	Hmel205002	113053	113836	+	0	NA	Intergenic	Intergenic	-4200	ID=HMEL036601g1.t1-E1;Parent=HMEL036601g1.t1								
38	Hmel212013	1443819	1444989	+	0	NA	Intergenic	Intergenic	-7199	ID=HMEL015319g1.t1-E1;Parent=HMEL015319g1.t1								
4	Hmel203033	118743	119009	+	0	NA	Intergenic	Intergenic	4604	ID=HMEL036031g1.t1-E2;Parent=HMEL036031g1.t1								
34	Hmel211009	248584	249040	+	0	NA	Intergenic	Intergenic	1623	ID=HMEL005717g2.t1-E2;Parent=HMEL005717g2.t1								
37	Hmel212011	443418	443623	+	0	NA	TTS (ID=HMEL012707g1.t1-E1;Parent=HMEL012707g1.t1)	-TTS (ID=HMEL012707g1.t1-E1;Parent=HMEL012707g1.t1)	558	ID=HMEL012707g1.t1-E1;Parent=HMEL012707g1.t1								
43	Hmel213025	586519	587127	+	0	NA	Intergenic	Intergenic	-4079	ID=HMEL031953g1.t1-E1;Parent=HMEL031953g1.t1								
5	Hmel203045	539460	539929	+	0	NA	Intergenic	Intergenic	2959	ID=HMEL009868g1.t1-E15;Parent=HMEL009868g1.t1								
